AQRBF	PRPF8BF	RBFOX2BF	GRWD1BF	PPIGBF	ZNF622BF	BCLAF1BF	BUD13BF	EFTUD2BF	GPKOWBF	KHSRPBF	SF3B4BF	DDX59BF	SF3A3BF	U2AF2BF	FMR1BF	FXR2BF	G3BP1BF	RBM15BF	U2AF1BF	RBM22BF	AGOBF	DDX3XBF	UCHL5BF	RBM5BF	TAF15BF	XPO5BF	SMNDC1BF	SRSF1BF	PABPN1BF	IGF2BP1BF	PCBP2BF	EIF3HBF	GTF2F1BF	PRPF4BF	FTOBF	PUM1BF	DDX24BF	ZNF800BF	DICERBF	SUPV3L1BF	LSM11BF	DROSHABF	NONOBF	XRCC6BF	IGF2BP2BF	PTBP1BF	YBX3BF	LIN28BBF	CSTF2TBF	AGGF1BF	FXR1BF	EXOSC5BF	SLTMBF	YWHAGBF	TIA1BF	HNRNPKBF	RPS3BF	FAM120ABF	PCBP1BF	TRA2ABF	GEMIN5BF	TIAL1BF	NOLC1BF	LARP4BF	AKAP8LBF	SND1BF	AKAP1BF	PUM2BF	UPF1BF	DGCR8BF	NKRFBF	MTPAPBF	METAP2BF	XRN2BF	SDAD1BF	CPSF6BF	SSBBF	HLTFBF	EWSR1BF	AATFBF	DDX52BF	NCBP2BF	WDR43BF	DDX6BF	TARDBPBF	SUB1BF	SRSF7BF	SRSF9BF	ZC3H11ABF	EIF3DBF	QKIBF	DDX55BF	PABPC4BF	DDX42BF	FUSBF	CDC40BF	GRSF1BF	HNRNPA1BF	APOBEC3CBF	TBRG4BF	ZRANB2BF	SERBP1BF	IGF2BP3BF	NPM1BF	DDX51BF	HNRNPMBF	FASTKD2BF	DKC1BF	HNRNPLBF	ILF3BF	CSTF2BF	HNRNPCBF	SUGP2BF	FKBP4BF	STAU2BF	EIF4G2BF	HNRNPUL1BF	PHF6BF	ABCF1BF	NIP7BF	NOL12BF	ZC3H8BF	EIF3GBF	MATR3BF	LARP7BF	NIPBLBF	UTP18BF	TROVE2BF	DHX30BF	DDX21BF	PPIL4BF	SLBPBF	SAFBBF	NSUN2BF	PUS1BF	CPEB4BF	BCCIPBF	HNRNPUBF	SF3B1BF	AARSBF	SAFB2BF	WRNBF	FUBP3BF
AARS	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
AATF	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	U	N	U	N	N	U	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	U	N	N	N	N	N	U	N	N	N	N	N	N	N	N	U	U	U	U	U	U	N	N	U	U	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
ABCF1	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
AGGF1	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
AGO	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
AKAP1	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
AKAP8L	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
APOBEC3C	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
AQR	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
BCCIP	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
