AQRBF	PRPF8BF	RBFOX2BF	GRWD1BF	PPIGBF	ZNF622BF	BCLAF1BF	BUD13BF	EFTUD2BF	GPKOWBF	KHSRPBF	SF3B4BF	DDX59BF	SF3A3BF	U2AF2BF	FMR1BF	FXR2BF	G3BP1BF	RBM15BF	U2AF1BF	RBM22BF	AGOBF	DDX3XBF	UCHL5BF	RBM5BF	TAF15BF	XPO5BF	SMNDC1BF	SRSF1BF	PABPN1BF	IGF2BP1BF	PCBP2BF	EIF3HBF	GTF2F1BF	PRPF4BF	FTOBF	PUM1BF	DDX24BF	ZNF800BF	DICERBF	SUPV3L1BF	LSM11BF	DROSHABF	NONOBF	XRCC6BF	IGF2BP2BF	PTBP1BF	YBX3BF	LIN28BBF	CSTF2TBF	AGGF1BF	FXR1BF	EXOSC5BF	SLTMBF	YWHAGBF	TIA1BF	HNRNPKBF	RPS3BF	FAM120ABF	PCBP1BF	TRA2ABF	GEMIN5BF	TIAL1BF	NOLC1BF	LARP4BF	AKAP8LBF	SND1BF	AKAP1BF	PUM2BF	UPF1BF	DGCR8BF	NKRFBF	MTPAPBF	METAP2BF	XRN2BF	SDAD1BF	CPSF6BF	SSBBF	HLTFBF	EWSR1BF	AATFBF	DDX52BF	NCBP2BF	WDR43BF	DDX6BF	TARDBPBF	SUB1BF	SRSF7BF	SRSF9BF	ZC3H11ABF	EIF3DBF	QKIBF	DDX55BF	PABPC4BF	DDX42BF	FUSBF	CDC40BF	GRSF1BF	HNRNPA1BF	APOBEC3CBF	TBRG4BF	ZRANB2BF	SERBP1BF	IGF2BP3BF	NPM1BF	DDX51BF	HNRNPMBF	FASTKD2BF	DKC1BF	HNRNPLBF	ILF3BF	CSTF2BF	HNRNPCBF	SUGP2BF	FKBP4BF	STAU2BF	EIF4G2BF	HNRNPUL1BF	PHF6BF	ABCF1BF	NIP7BF	NOL12BF	ZC3H8BF	EIF3GBF	MATR3BF	LARP7BF	NIPBLBF	UTP18BF	TROVE2BF	DHX30BF	DDX21BF	PPIL4BF	SLBPBF	SAFBBF	NSUN2BF	PUS1BF	CPEB4BF	BCCIPBF	HNRNPUBF	SF3B1BF	AARSBF	SAFB2BF	WRNBF	FUBP3BF
AARS	0.12008357440108	0.133946111106865	0.466979241691599	0	0.245126211151251	0	0	0.191980960725575	0.140769318417821	0.559464478105868	0.621950252217544	0.16681292510017	0	0.367576860471467	0.389104629291515	0	0	0	0.427782617771944	0.499972554226666	0	0	0	0.405854836866145	0.526095901794634	1.20486869471515	0	0.648815248910454	0.424088619645207	0	0	0.73257743867706	0	0.620187896063032	0.427264289526375	0	0	0.293626671670649	0	0	0	0	0.778985877681999	0	0	0	0	0	0	0.716217299277654	0	0	0	0	0	0	0	0	0.785807841395065	0	0.831803470260338	0	0	0	0	0	0	0	0	0	0	0	0	0	0.640027076734463	0	0	0	0	0.976940636329404	0	0	0	0	0	0.643836982303199	0	0	0	0	0	0	0	0	0.831479362182762	0	0.805944213216927	0	0	0	0	0	0	0	0	0	0	1.01526182360663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.656628452550407	0.558844330504825	0	0	0
AATF	0.987504912532408	1.07745889142415	0.131138383975968	-0.0667627376448759	-0.235753952319002	0	0	0.790021396937796	0.247189611356649	0.362334933941634	1.11467874742502	0.962105244464461	0	0	-0.0460259786906592	0	0	0	0.205749595633094	0.0179682317133434	1.43122312799601	0.0932416336271769	0	-0.0382123926791156	0.76339096871271	0.166968384382829	0	14.1028478798804	0.220591367026621	0	1.81847738528553	0.458897516446744	0	0.604215848193134	0.13425341825499	0.0163758480092589	0	0	0.0307761693800928	0.0742488835546685	0	1.1074132138957	2.07577800441325	1.06991443115268	5.40579037372822	0	12.4643649167972	0	0	1.48874863241017	0.793883718175059	0	0	0.111142319286918	0	1.64096188287007	0	0	0.785807841395065	0.0288966349984038	2.29406833850069	0.715640833019076	0.482871823715539	33.2630181240745	0.137420520696159	1.45241181675547	0	0	0	0	0.0492819397765492	0	0	0	1.42086134035298	5.04210839982676	0.834582424786358	3.50459873788852	0.754978626774282	2.95342422872611	61.8195003493842	1.3009709024851	0.214552469648994	7.33515169175096	0	0.231234699750915	3.85700854113919	0	0.388816015910793	0.514185857089976	0.0908789483884638	0	0.0586183799705769	1.29106811602444	0	2.40057266292345	1.36776034758421	0	0	0.00944314717187206	1.57130032996899	3.62967122870015	2.79870852547276	0	0	0	0.00427032279147476	0.857350967313513	25.3853600005967	0	0	0	0	0	0.0603805766652787	0	0.552843264548815	7.34802858263365	9.49103705744267	3.35062635850014	24.8963726949685	3.85248702967613	18.7680483062588	0	0	21.6997290726568	21.2468662957237	12.8598739990537	0.0948032821174784	0	1.86781514255071	0	0.284008651057043	0	0	0	0	0	0	0	0	0	0	0
ABCF1	0.312092156709176	0.062019187169492	0	0.0583798736027	0	0	0	-0.0894739974762186	0.197219824388909	0	0.348201535539817	0.393950728345293	0	0	0	0	0	0	0	0	0.203533862815741	0	0	0	0	0	0	2.60239332072319	0	0	0	0	0	0	0	0	0	0.117681519947163	0.328420247813253	0.338782851536544	0	0	2.09966166113956	0	2.9726996059119	0	3.1588574874268	0	0	0	0	0	0	0	0	0	0	0	0	0	0.545588785801856	0.574379407053877	0	3.80354029516943	0	0	0	0	0	0	0	0	0	0	0	2.04705324043448	0	0.809660679002159	0	0	4.00206123019253	0	0	3.22035199918894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00355177329574	0.816964685944949	0	0	0	0	0	0	3.25044641946445	0	0	0	0	0	0	0	0	2.26267582510321	3.55579907892765	6.56389332978083	4.84351156727503	4.05085510639677	5.14158416197412	0	0	2.01580192896049	3.32560098382465	2.21323990303531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGGF1	0	-0.560578616464607	0.078551905709642	0.0145515236293223	-0.843711726809324	0.631329588829092	1.76085749005269	0.0304649520584605	-0.254664338468377	0.470483133746793	0.758473517411842	-0.114396241635877	0	0	-0.114949869913722	0	0.344614638124702	0.205894955359969	0.138205820457279	0	0.106480748401987	0	-0.725689928094312	1.29255345201294	0	0.174984332549837	0	1.10192890422169	0.271457291790017	0	0	0	0	0.728548407999888	-0.238496191024626	0.888573610851928	0.314551348856635	0	3.98386568270783	0.000798888040113057	0	0	0.778985877681999	1.24318820859741	0.0301236873576846	0	0.0193826139168905	0	0.22253100403766	1.00625629651134	65.9527315857325	0	0	2.17035849776899	1.21835442285213	0.597863286461397	0	-0.192959226218749	0	0	7.45328876649694	0	0	0	0	1.61751741730053	0	0	0	0	0	0	1.3064106238821	0	0	0	4.6326759666691	0	0.337280713787946	1.90320822097997	0.542676019090018	2.2740023000847	0	0	0	0.320675827043234	1.10557203396418	4.62891344350862	0	0	0	0.336071278232651	0	0.00503859141933407	0	1.36326015302622	0	0.299075592020055	0	0.0334957571237178	0.270545510574946	0	0	0.64941366766771	0	0	0	1.55258503478247	9.96947972736961e-05	1.04311142809906	0	0	0	0	0	0	0.0925967716919638	0.708011538311117	1.24777747439444	0	7.93882829841014e-05	0	0.0357446542096143	0	0	0.010355967672711	0.0299288030299129	0	0	0.179078182124011	0	0	0.314650384976982	0	0	0	0	0	0	0	0	0	0	0
AGO	-8.13466202027258	-6.45386528876681	-4.5273443250224	-2.52850308025519	-8.76618428926819	-0.960688374663462	-1.65949202575628	-11.2640620190693	-9.22401920712789	-3.7859886278785	0	-6.56720360981622	-0.0748852037473547	-5.23332991747207	-3.96817605155118	-0.00219533336682551	-1.09078302679489	0	-0.581962005095791	-1.33208392633919	-2.16408758016005	Inf	-1.08176212578852	-5.48298225321441	0	0	0	-0.901037340429002	-2.63001605516164	-0.782008190152956	-0.273607326048081	-1.87003837432837	-0.394786310763019	-3.33080102964202	-6.81797694515753	-0.599024963993476	-0.0245834608752545	-4.4549582363606	-0.485218774693856	10.7374727465936	-1.1531241518699	-1.91109539082561	-4.7310347038495	-0.797975411512775	-0.56960769798083	0	-0.86083955324804	1.56544512086168	-0.658913526547272	-4.59782302142422	-0.418002845318408	0	0	-0.594066783920505	0	-0.597863286461397	-1.40727165809836	0	-1.48525107687473	0	-1.69112416327184	-1.98279487400634	-0.0704765726182111	-0.0711209672544344	0	-1.30214725805317	0	0	0.714884696066244	-0.042521192588773	-0.0177516091307072	0	-0.433465759788162	1.42003590776484	-1.10532220427552	-0.211228529698781	0	0	-0.00909195267208045	-2.26127687259542	-0.708378115926439	-0.574190304382672	-0.968423942567618	-1.43218254389909	-0.199558192681746	0	0	-0.536932072378588	0	-0.384240529562972	0	0	0	0	0	-2.10388003381049	-1.38174188704191	0	0	-0.0990621657371608	-0.198585897586352	0	0	0	0	0	0	-0.716534063797316	-0.0350244968135303	0	0	0	0	0	0	0	0	-0.109084455788178	-1.09126016001552	0	-0.19197687666698	0	-0.0061143125365732	0	0	-0.174497239789273	-0.183835123626184	-0.101003433340722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKAP1	-2.29692336397204	-5.4065043859716	-0.466979241691599	-2.02783387556997	-2.78399730137979	-1.0914858662172	-1.35971391726626	-1.69459307367315	-2.99060558429389	0	-0.561008601697259	-3.94848901036324	0.183735319127215	-1.19726650855339	-0.600328431511741	0	0	0	0	0	-0.106480748401987	0	0	-0.968775164223082	0	0	0	-0.757395560558533	-0.374155463889547	0	1.84084359206355	1.14942079524027	0.888455602286654	-0.116008609898034	-0.222054995057453	0	0	-1.26621909457782	-0.161771032874785	1.24617443028794	0	1.1439251536573	-0.170590910589967	0	0.00465616875879771	0.899854627217069	0.00210775696606465	2.77437993377977	0	0	0	0	0	0	0	0.663074079475165	0	0.150544811716425	3.31107718550316	5.4455048123052	-0.012062826854989	0.0213413895678942	0.491858557953588	0.318694561830213	8.18712065851484	0	0	81.8493629084868	1.32234610797501	53.0812040857462	0	0	0	0.739438109831392	-0.064912669240234	0	0	0	0	-0.00417324155536053	-0.0345589549920953	0	-0.232177295749117	0	2.20425359970629	0	1.45852027369463	0	0	1.15651023400065	0	0	1.32292730115654	0.924265142584734	0	0.00255546064989197	-0.00676331249527363	0	0	0.00944314717187206	0	0	0	0.618659339558655	0	0.0211625278555889	0	0	0	0	0	0	0	0	0	7.78111157984893	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177188860701467	0	0	0	0	0	0	0.111809416731474	0	0	0	0	0	0	0
AKAP8L	0	-0.466894863206668	2.66594268532261	0	0	0.353918738293637	-1.21499137932924	1.0205820421346	-0.132282575224178	0	-0.571738633230529	-0.337952052997963	0	0	-0.663593673289959	0	0	0	1.74390217015843	-0.0241419220784346	-0.399220422610815	-0.115707117799802	-0.313010362026554	3.50282218347627	0.0342571304877001	0.961233084826493	0	0.416121969185758	0	-0.0101171722649831	0	0.279950466860653	0	6.06558980238304	4.15167206726752	1.38513030776792	0	3.13731444013324	-0.162281744693721	-0.378734848531002	0	2.33905814532761	2.45237605655294	3.35152388332763	0.3779369707618	0	0	0	-0.0295716328872835	5.09831226459583	1.57579454909391	0	0	1.33790589448924	0.269714946862129	0.585474924726797	0	-0.192959226218749	1.94210512931613	0	0	0	0	0	0	65.4275694845025	0	0	0	0.231730544395582	0	0.023684558877752	0.662167030587873	0	0.079174299780588	0	0.0406962805888146	0	0.337280713787946	2.55002195386356	0.98372876917149	3.16317219912219	0.0920925961199787	0.0164918272274692	1.82116581334621	0	0	0	0.388816015910793	1.23912809578668	0.14130441764625	0	0	-0.116008177716183	0	2.669834802815	0.00879938962665403	0	0	0.296800420575996	0.270545510574946	0	0	0	0	0.801544513674847	0.00427032279147476	3.83756620661601	9.96947972736961e-05	0.0752083466321777	0	0	0	0	0	0	0.657114166317855	0.704841968106135	0.600744075974454	0	0	0	0	0	0	0	0	0.0428214906669281	0.103289237078641	0	0.276353391300849	0	0	0	0	0	0	0	0	0	0	0	0	0
APOBEC3C	0	-0.139581204571929	-0.308364953041597	0.0145515236293223	-0.21953772147445	0.631329588829092	0.829261457044757	-0.168621760614205	-0.254664338468377	0.274735133725893	0.375968553643413	-0.114396241635877	0	-0.0915410048632141	0	0	1.22312974127306	3.26840031479197	0	0	0	0.203839037681812	4.59798422842703	0.812591067575275	0.0342571304877001	0	0	0	0	0.384402288438681	0	3.02847506040256	0.441629748577891	1.19345958841214	1.01743110535019	6.25632484038624	2.95666189488313	0	2.19378340131377	-0.000798888040113057	0	0.547813478641051	3.65540160150888	0	0	0	0.0193826139168905	0	1.94516607793302	1.43114435644767	0.0360231207237918	0	0	0.146695324981413	0	1.98648621560886	0	10.2045811487111	1.97364984862099	0.902822617595312	0.174441966861609	1.33277822493139	1.49614451819589	0.409831596843093	12.462808838868	0.442205956148716	0.00927535175404955	0.0123704764612452	0.799122874979317	1.20489648703851	0	0	0	0.423900735397685	0	0	0.439947785131643	0.04801947371742	0	0.00417324155536053	0	0.196658309199616	0.78321863271735	0.913243292182468	7.56138128683778	0	2.23964552915307	0.360145352647701	0.388816015910793	2.65666121233903	1.62326656882009	0	8.97205442425859	20.4762718375441	0	0.333530169724506	0.591211490758931	1.43519446092056	0	59.6873806552133	0.270545510574946	0.142187141414099	0	0	0	0	0	0.981116719262751	9.96947972736961e-05	0	0	0	0	0	0	0	0.0925967716919638	0.174908032421883	0	0	0	0	0	2.30724422717789	0	0	0.0299288030299129	0	0.455307564929531	0	0.276353391300849	0	0	0	0	0	0.111809416731474	0	0	0	0	0	0	0
AQR	260.79124758929	1.46074632087585	-4.03773516760288	-13.3254297701031	-14.143116369396	-13.2114159178119	-28.0078192135307	0.186732764370421	-6.18067233423527	-0.362334933941634	-1.15383429824895	-9.65114610818279	-0.439343380859196	-5.96045099025894	-11.3368093754119	-0.529468111446308	-4.74733438836431	-5.37784003426417	-3.61498789370494	-6.08586983220839	-0.260027938242337	-4.30054482122181	-2.74500339166205	-20.8861732261779	-3.52323072012426	-2.10771436712037	0	-8.95317642283178	-4.57291749348858	-6.36553756878847	-3.06032527724627	-3.09948557410197	-5.42966189594147	-5.88765105380242	-6.27567732951395	-6.09844522902325	-4.15998802564963	-12.2558970000042	-7.15394466796937	-3.05372081193516	0	-7.21866449754088	-10.3617838123482	-4.29978257604021	-1.9650295724511	-0.77712831565869	-0.962788803906361	-4.31273840052546	-4.75188921014068	-9.39597415264621	-1.30927984039471	0	0	-4.38439124403181	-0.98723269014607	-4.67921977101138	-0.139267848116452	-5.7512688071134	-4.12286262020797	-5.13731391851382	-2.51977358170758	-5.21942446258417	-3.91787830002849	-3.27429193844185	-8.92114431412303	-2.19152566612042	-0.825023655655492	-4.36164476537127	-1.01511955001643	-8.64019973066861	-0.295724746907812	-0.433159060745821	-1.86275064569782	-1.68877367792455	-2.55992579976056	-2.3481085917195	-1.65968618844043	0	-2.53933651404815	-6.19776326719549	-4.61301550724182	-3.65268207908183	-3.44061018144763	-4.1839906705107	-4.69410120145713	-0.380002051574222	-2.59126398584475	-1.30098890636448	-0.142084499235252	-2.66115522302451	-2.94669795734383	-0.458223844439498	-8.71005831192383	-4.66691833752066	-0.26166484709689	-7.58240808897225	-2.6375870293149	-2.0046648620877	0	-4.43433113384602	-2.13900956575462	-2.53493570915551	-0.376905511182723	-0.64941366766771	0	-0.624089942188878	0	-2.84541343504241	-1.74641653393292	0	-1.02518302717632	0	0	0	-0.918474666813777	-0.195995064456396	-0.459880900529208	-2.26267582510321	-3.28048943175603	0	-1.09876595823337	-0.386574356261027	-1.06437418251206	-0.468943571912368	0	-1.8088713217822	-1.63487776605715	-1.47802683930309	-0.318838184544241	-0.520542234576396	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCCIP	0.12008357440108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.73257743867706	0	0.620187896063032	0.427264289526375	0	0	0	0	0	0	0	0.778985877681999	0	0	0	0	0	0	0.716217299277654	0	0	0	0	0	0	0	0	0.785807841395065	0	0	0	0	0	0	0	0	0	0	0	0	1.02295038002187	0	0	0.640027076734463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12502214198316	0	0	0	1.16483412657126	1.07483008988387	0	0	0	0	0
