,vs. unboundFLEXI,vs. smallIntrons
AATF,,
AQR,,
BCLAF1,0.07528655087078251,0.021742292176620492
BUD13,0.2764077138701062,0.009063896173476249
CSDA,0.7545149761739669,0.630521490638714
DDX24,,
DDX3X,0.3154991214863485,0.1633093768806323
DDX24,,
DDX55,0.6551476594994283,0.5243560276660812
DKC1,0.025313899745491586,0.005537039751283834
EFTUD2,0.9853197228512256,0.011659883084352396
FXR2,,
G3BP1,0.5722679306405171,0.3005323648885121
GEMIN5,,
GPKOW,,
GRWD1,0.8687517368429197,0.1801293699379869
GTF2F1,,
IGF2BP1,0.1696844793061174,0.15700055627499876
KHSRP,0.5324346125823802,0.35384345384471927
LARP4,0.0660829578430554,0.014974961673324128
LIN28B,0.5272532614366774,0.5325890415215161
LSM11,0.11593452932218806,0.33212171499490206
METAP2,,
NCBP2,0.8879762484677188,0.9597971831246421
NOLC1,0.0012949431474756912,6.866308647290875e-05
PABPC4,,
PABPN1,,
PCBP1,0.3615779883823681,0.31031563787526606
PCBP2,0.46261252841328127,0.3672998089610082
PPIG,0.057323815974539394,0.024115374333727124
PRPF4,0.7491678804875122,0.16119867498381757
PRPF8,0.9037331729445025,0.0015076562105372782
PUM1,,
RBFOX2,0.7685473106474735,0.6620985498880525
RBM5,,
RBM15,0.9588327373526928,0.9781836927290667
RBM22,0.30691428535628207,0.2519957317370738
RPS3,,
SF3A3,0.1268286562558366,0.044019182276730406
SF3B4,0.31836452447720476,0.07466244401742261
SMNDC1,0.20466093654414008,0.03368205919366307
SND1,0.3541430583347579,0.2609625676059678
SRSF1,0.07353794661875235,0.2015455982838965
SUB1,0.09990743740187424,0.005070073432606015
TIA1,0.03265252597045465,0.07829475906637384
TIAL1,0.05572972082915684,0.03222958810378429
TRA2A,0.6614530120929542,0.7391060717497882
U2AF1,0.8577088570602824,0.7274273520495381
U2AF2,,
UCHL5,0.8502784202167557,0.860041587676553
XRN2,0.500758113037039,0.3346441846795116
ZNF622,,
ZNF800,,
