,vs. unboundFLEXI,vs. smallIntrons
AATF,0.004579439281490627,0.0009214837270314913
AQR,1.8540724511240114e-14,1.3322676295501878e-15
BCLAF1,,
BUD13,0.04966741318437218,0.002814065406762545
CSDA,0.5472253110497098,0.10555526066480647
DDX24,0.14569101002570506,0.444382516681208
DDX3X,0.6489955643003513,0.15754084717750194
DDX24,0.14569101002570506,0.444382516681208
DDX55,0.9042004754853954,0.8260469136179571
DKC1,,
EFTUD2,0.00010401736277110274,5.251901358249711e-09
FXR2,0.6535433070866141,0.7223587223587223
G3BP1,,
GEMIN5,0.41740854705783004,0.09223571347074433
GPKOW,0.15769526282879198,0.05041550516128157
GRWD1,0.05881924816611761,0.0023595494507326897
GTF2F1,,
IGF2BP1,0.45603751465416176,0.5775918996257979
KHSRP,,
LARP4,0.9395903568338968,0.7025265692088163
LIN28B,0.07564766575101511,0.004994659197376183
LSM11,0.27085693211318806,0.09774385804685459
METAP2,0.008017164827945011,0.0006465121651701988
NCBP2,0.45255346763091553,0.3794547107536176
NOLC1,,
PABPC4,0.0018010059475129792,0.00019540146496821453
PABPN1,,
PCBP1,,
PCBP2,,
PPIG,,
PRPF4,,
PRPF8,0.17921282155216145,0.0017459044591036088
PUM1,0.3724015234842807,0.1211515585623022
RBFOX2,0.9636464275806759,0.3851261591823195
RBM5,,
RBM15,,
RBM22,0.0002421847986557868,0.00018429214271764582
RPS3,0.12223457217518952,0.03614941197374233
SF3A3,,
SF3B4,0.040260564739268756,3.894248684266355e-05
SMNDC1,0.23769857467556899,0.0005846205425168449
SND1,0.5515987137646852,0.22073778942820999
SRSF1,0.15640005254665013,0.056839512013227456
SUB1,,
TIA1,0.032118053537611435,0.006693035846978224
TIAL1,,
TRA2A,0.8008169894735321,0.9965942789666814
U2AF1,0.5413764951979361,0.17485840753108184
U2AF2,0.31381554187755,0.07769211547062371
UCHL5,0.6026470794554952,0.08545742733424055
XRN2,0.013638954759944366,0.00510759771902336
ZNF622,,
ZNF800,,
