,vs. unboundFLEXI,vs. smallIntrons
AATF,0.0002974006682481267,5.934233133494629e-08
AQR,1.6375464977355839e-37,5.405587990943782e-77
BCLAF1,,
BUD13,0.15037872430990817,3.239171882464314e-09
CSDA,0.020805615126079924,0.0007623561237659615
DDX24,0.30320556681144206,0.0008496869042658281
DDX3X,0.20189093028507543,0.005278797994416234
DDX24,0.30320556681144206,0.0008496869042658281
DDX55,0.6589746292767846,0.15939872024573176
DKC1,,
EFTUD2,5.551115123125783e-16,2.1882686404741022e-29
FXR2,0.7878851263849475,0.8136239422918949
G3BP1,,
GEMIN5,0.0005180599205338865,2.4851805552163545e-06
GPKOW,0.32651421240720546,0.027898950565947468
GRWD1,0.042137336442615414,0.0004268060862034271
GTF2F1,,
IGF2BP1,0.22116601716070505,0.055977650709623905
KHSRP,,
LARP4,0.005353048613403799,0.0034127685123136464
LIN28B,0.0029245967369284642,2.549170996308345e-05
LSM11,0.23070665516621813,0.09233462246461599
METAP2,0.008920865023421487,9.26492903807483e-05
NCBP2,0.6014913342587522,0.3678892788640824
NOLC1,,
PABPC4,4.5742541843196705e-07,4.486808363579556e-12
PABPN1,,
PCBP1,,
PCBP2,,
PPIG,,
PRPF4,,
PRPF8,1.5489018462763822e-18,2.374053494376558e-18
PUM1,0.008953140282326633,0.00017067299908075164
RBFOX2,0.5845768076997124,0.2784038402446521
RBM5,,
RBM15,,
RBM22,3.845158579318664e-07,4.157048786088793e-14
RPS3,6.079232229838638e-07,2.1837930483570677e-08
SF3A3,,
SF3B4,7.046444094882531e-09,5.213246449442135e-21
SMNDC1,0.058652470598803075,3.077344653928602e-08
SND1,0.27102120634912363,0.028457692834437776
SRSF1,0.15456750610967585,0.002727265211187032
SUB1,,
TIA1,0.006503794830254095,4.414204735428083e-06
TIAL1,,
TRA2A,0.28077377089895084,0.0974807290755787
U2AF1,0.021131267300749546,4.529789087406642e-05
U2AF2,0.09523234027760341,0.0034199212170708893
UCHL5,0.0012550036373519813,2.748837328675843e-07
XRN2,0.012050242709831238,3.8062325934625395e-05
ZNF622,,
ZNF800,,
