ID	Intron	GName	GID	Combined_H_repo	PatientA_C_repro	PatientB_C_repo	MDA_repro	MCF_repro	Combined_H	PatientA_C	PatientB_C	MDA	MCF
10I_AARS2___ENSG00000124608___ENST00000244571___protein_coding___protein_coding	10I	AARS2	ENSG00000124608	FALSE	FALSE	FALSE	FALSE	FALSE	0	0.00372841708829596	0.00209404879916876	0	0
10I_ABCB6___ENSG00000115657___ENST00000265316___protein_coding___protein_coding	10I	ABCB6	ENSG00000115657	FALSE	FALSE	FALSE	FALSE	FALSE	0.00198761266519034	0	0	0	0
10I_ACAD9___ENSG00000177646___ENST00000308982___protein_coding___protein_coding	10I	ACAD9	ENSG00000177646	FALSE	FALSE	FALSE	FALSE	FALSE	0.00163896898138769	0	0.00209404879916876	0	0
10I_ADAMTSL5___ENSG00000185761___ENST00000330475___protein_coding___protein_coding	10I	ADAMTSL5	ENSG00000185761	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0.00288978992442406
10I_ADAMTSL5___ENSG00000185761___ENST00000585700___protein_coding___lncRNA	10I	ADAMTSL5	ENSG00000185761	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0	0.00144489496221203
10I_AGRN___ENSG00000188157___ENST00000620552___protein_coding___protein_coding	10I	AGRN	ENSG00000188157	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00628214639750629	0.00963897117785683	0
10I_AL358113.1___ENSG00000285130___ENST00000642889___protein_coding___protein_coding	10I	AL358113.1	ENSG00000285130	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0	0.00288978992442406
10I_ANKRD27___ENSG00000105186___ENST00000306065___protein_coding___protein_coding	10I	ANKRD27	ENSG00000105186	TRUE	FALSE	TRUE	TRUE	TRUE	0.00690451960935342	0.00372841708829596	0.035598829585869	0.0192779423557137	0.0115591596976962
10I_APBB1___ENSG00000166313___ENST00000621678___protein_coding___protein_coding	10I	APBB1	ENSG00000166313	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0
10I_AREL1___ENSG00000119682___ENST00000556202___protein_coding___protein_coding	10I	AREL1	ENSG00000119682	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0
10I_ASIC1___ENSG00000110881___ENST00000228468___protein_coding___protein_coding	10I	ASIC1	ENSG00000110881	FALSE	FALSE	FALSE	FALSE	FALSE	0.00198761266519034	0	0.00209404879916876	0	0
10I_AUP1___ENSG00000115307___ENST00000377526___protein_coding___protein_coding	10I	AUP1	ENSG00000115307	FALSE	FALSE	FALSE	FALSE	FALSE	0.00163896898138769	0	0.00418809759833753	0	0.0115591596976962
10I_B4GALNT4___ENSG00000182272___ENST00000329962___protein_coding___protein_coding	10I	B4GALNT4	ENSG00000182272	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0	0.00144489496221203
10I_C7orf43___ENSG00000146826___ENST00000316937___protein_coding___protein_coding	10I	C7orf43	ENSG00000146826	FALSE	FALSE	FALSE	FALSE	FALSE	0	0.0223705025297757	0.00209404879916876	0	0
10I_CAP2___ENSG00000112186___ENST00000229922___protein_coding___protein_coding	10I	CAP2	ENSG00000112186	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0	0.00288978992442406
10I_CAPN15___ENSG00000103326___ENST00000219611___protein_coding___protein_coding	10I	CAPN15	ENSG00000103326	FALSE	FALSE	TRUE	FALSE	FALSE	0	0	0.00418809759833753	0	0
10I_CARD9___ENSG00000187796___ENST00000371734___protein_coding___protein_coding	10I	CARD9	ENSG00000187796	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0	0.00144489496221203
10I_CARMIL2___ENSG00000159753___ENST00000334583___protein_coding___protein_coding	10I	CARMIL2	ENSG00000159753	FALSE	FALSE	FALSE	FALSE	FALSE	0.00327793796277539	0	0	0	0
10I_CBL___ENSG00000110395___ENST00000264033___protein_coding___protein_coding	10I	CBL	ENSG00000110395	FALSE	FALSE	FALSE	FALSE	FALSE	0.00198761266519034	0	0	0	0
10I_CC2D1A___ENSG00000132024___ENST00000318003___protein_coding___protein_coding	10I	CC2D1A	ENSG00000132024	FALSE	FALSE	FALSE	FALSE	FALSE	0.00397522533038068	0	0	0	0
10I_CCDC130___ENSG00000104957___ENST00000586600___protein_coding___protein_coding	10I	CCDC130	ENSG00000104957	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0.00481948558892842	0
