Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005730~nucleolus	7	30.434782608695656	4.5984809106340037E-4	ENSG00000101361, ENSG00000255717, ENSG00000243207, ENSG00000166012, ENSG00000174444, ENSG00000175061, ENSG00000148303	17	1420	20647	5.987116818558409	0.024980162413945406	0.02529164500848702	0.02483179691742362
GOTERM_MF_DIRECT	GO:0003723~RNA binding	7	30.434782608695656	6.018307542936991E-4	ENSG00000101361, ENSG00000108848, ENSG00000114867, ENSG00000169045, ENSG00000174444, ENSG00000265681, ENSG00000148303	16	1479	18967	5.610589925625423	0.022616771145128944	0.023471399417454266	0.023471399417454266
GOTERM_BP_DIRECT	GO:0006412~translation	4	17.391304347826086	8.517193848105428E-4	ENSG00000114867, ENSG00000174444, ENSG00000265681, ENSG00000148303	18	219	19453	19.739218670725517	0.08246110968636011	0.08517193848105428	0.08517193848105428
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	3	13.043478260869565	0.0010361771388721149	ENSG00000174444, ENSG00000265681, ENSG00000148303	17	62	20647	58.76755218216319	0.05542415052872374	0.028494871318983157	0.0279767827495471
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	3	13.043478260869565	0.002311558126177879	ENSG00000174444, ENSG00000265681, ENSG00000148303	17	93	20647	39.178368121442126	0.1195154205064134	0.042378565646594445	0.04160804627120182
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	3	13.043478260869565	0.0028120185860780857	ENSG00000174444, ENSG00000265681, ENSG00000148303	18	91	19453	35.628205128205124	0.24754490122043826	0.14060092930390428	0.14060092930390428
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	3	13.043478260869565	0.009619990331447564	ENSG00000174444, ENSG00000265681, ENSG00000148303	16	190	18967	18.717434210526317	0.30741848140327865	0.1875898114632275	0.1875898114632275
GOTERM_CC_DIRECT	GO:0005634~nucleus	10	43.47826086956522	0.023188326099447182	ENSG00000110955, ENSG00000105576, ENSG00000108848, ENSG00000114867, ENSG00000169045, ENSG00000174444, ENSG00000104904, ENSG00000265681, ENSG00000132475, ENSG00000148303	17	6100	20647	1.9910318225650918	0.7248330514600896	0.31883948386739874	0.31304240234253694
GOTERM_BP_DIRECT	GO:0042254~ribosome biogenesis	2	8.695652173913043	0.036091268530177086	ENSG00000101361, ENSG00000148303	18	42	19453	51.46296296296296	0.9755866518510379	1.0	1.0
GOTERM_CC_DIRECT	GO:0016020~membrane	7	30.434782608695656	0.05032178493818709	ENSG00000101361, ENSG00000110955, ENSG00000114867, ENSG00000169045, ENSG00000174444, ENSG00000148303, ENSG00000102144	17	3677	20647	2.312131053128349	0.941560544037158	0.553539634320058	0.5434752773324206
GOTERM_BP_DIRECT	GO:0030307~positive regulation of cell growth	2	8.695652173913043	0.07745845491904178	ENSG00000114867, ENSG00000132475	18	92	19453	23.493961352657006	0.9997092101582804	1.0	1.0
GOTERM_MF_DIRECT	GO:0005515~protein binding	14	60.86956521739131	0.08003766093336998	ENSG00000101361, ENSG00000110955, ENSG00000105576, ENSG00000108848, ENSG00000114867, ENSG00000174444, ENSG00000104904, ENSG00000265681, ENSG00000132475, ENSG00000166012, ENSG00000169045, ENSG00000102144, ENSG00000148303, ENSG00000203618	16	12657	18967	1.3112210634431538	0.9579987849693166	1.0	1.0
GOTERM_BP_DIRECT	GO:0006396~RNA processing	3	13.043478260869565	0.08593934546491562	ENSG00000255717, ENSG00000169045, ENSG00000175061	18	565	19453	5.73834808259587	0.9998855866920443	1.0	1.0
