Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	63	27.75330396475771	4.726155611380472E-20	ENSG00000130119, ENSG00000114867, ENSG00000156508, ENSG00000175467, ENSG00000142541, ENSG00000163682, ENSG00000086758, ENSG00000099381, ENSG00000166197, ENSG00000136450, ENSG00000143793, ENSG00000167526, ENSG00000144048, ENSG00000104897, ENSG00000006744, ENSG00000159840, ENSG00000133112, ENSG00000156976, ENSG00000204469, ENSG00000100813, ENSG00000182196, ENSG00000168066, ENSG00000063244, ENSG00000182872, ENSG00000162244, ENSG00000167658, ENSG00000141367, ENSG00000174231, ENSG00000104889, ENSG00000112306, ENSG00000132591, ENSG00000213923, ENSG00000173545, ENSG00000080824, ENSG00000130726, ENSG00000161960, ENSG00000100764, ENSG00000172809, ENSG00000183751, ENSG00000125107, ENSG00000148303, ENSG00000108883, ENSG00000129351, ENSG00000163902, ENSG00000092201, ENSG00000174243, ENSG00000156990, ENSG00000178209, ENSG00000155506, ENSG00000174444, ENSG00000198755, ENSG00000152795, ENSG00000090060, ENSG00000113460, ENSG00000143368, ENSG00000011304, ENSG00000123136, ENSG00000089597, ENSG00000122566, ENSG00000147403, ENSG00000143761, ENSG00000124541, ENSG00000161016	218	1479	18967	3.7060777490369765	1.7959391323245792E-17	1.80066528793596E-17	1.720320642542492E-17
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	99	43.61233480176212	1.456149843272485E-17	ENSG00000113810, ENSG00000006712, ENSG00000111596, ENSG00000175467, ENSG00000004777, ENSG00000135446, ENSG00000138434, ENSG00000086758, ENSG00000099381, ENSG00000115274, ENSG00000166197, ENSG00000144048, ENSG00000075624, ENSG00000104897, ENSG00000065268, ENSG00000114573, ENSG00000198728, ENSG00000063244, ENSG00000184575, ENSG00000152291, ENSG00000183765, ENSG00000121058, ENSG00000076924, ENSG00000160789, ENSG00000177302, ENSG00000115216, ENSG00000213923, ENSG00000168036, ENSG00000166012, ENSG00000160392, ENSG00000100764, ENSG00000108883, ENSG00000160957, ENSG00000178127, ENSG00000092201, ENSG00000142507, ENSG00000010292, ENSG00000155827, ENSG00000137337, ENSG00000171453, ENSG00000111642, ENSG00000152795, ENSG00000164880, ENSG00000011304, ENSG00000101843, ENSG00000131508, ENSG00000102898, ENSG00000124541, ENSG00000126012, ENSG00000130119, ENSG00000198026, ENSG00000099341, ENSG00000136450, ENSG00000149930, ENSG00000149480, ENSG00000104973, ENSG00000072310, ENSG00000006744, ENSG00000108819, ENSG00000104859, ENSG00000132781, ENSG00000133112, ENSG00000204469, ENSG00000100813, ENSG00000168066, ENSG00000167770, ENSG00000182872, ENSG00000258366, ENSG00000141644, ENSG00000272333, ENSG00000174231, ENSG00000108604, ENSG00000104889, ENSG00000112306, ENSG00000117713, ENSG00000196700, ENSG00000132475, ENSG00000170312, ENSG00000173545, ENSG00000132356, ENSG00000080824, ENSG00000166333, ENSG00000143258, ENSG00000130726, ENSG00000101412, ENSG00000183751, ENSG00000169727, ENSG00000167548, ENSG00000104881, ENSG00000105325, ENSG00000129351, ENSG00000174243, ENSG00000090060, ENSG00000143368, ENSG00000079432, ENSG00000123136, ENSG00000122566, ENSG00000103266, ENSG00000147687	219	4076	20647	2.2898860015862987	5.533369404435443E-15	5.533369404435443E-15	5.183893442050047E-15
GOTERM_MF_DIRECT	GO:0005515~protein binding	194	85.46255506607929	2.1599916289727428E-14	ENSG00000100580, ENSG00000114867, ENSG00000104823, ENSG00000111596, ENSG00000006712, ENSG00000175467, ENSG00000004777, ENSG00000135446, ENSG00000086758, ENSG00000099381, ENSG00000115274, ENSG00000166197, ENSG00000075624, ENSG00000130204, ENSG00000178188, ENSG00000065268, ENSG00000140474, ENSG00000183765, ENSG00000121058, ENSG00000076924, ENSG00000136878, ENSG00000160789, ENSG00000177302, ENSG00000215305, ENSG00000151239, ENSG00000213923, ENSG00000168036, ENSG00000125503, ENSG00000110719, ENSG00000108883, ENSG00000105245, ENSG00000142507, ENSG00000198355, ENSG00000155827, ENSG00000171453, ENSG00000114993, ENSG00000152795, ENSG00000011304, ENSG00000133250, ENSG00000131508, ENSG00000102898, ENSG00000160447, ENSG00000147403, ENSG00000126012, ENSG00000127580, ENSG00000198026, ENSG00000114942, ENSG00000149930, ENSG00000160695, ENSG00000140688, ENSG00000149499, ENSG00000167526, ENSG00000103496, ENSG00000149480, ENSG00000130766, ENSG00000108819, ENSG00000159840, ENSG00000115464, ENSG00000133112, ENSG00000204469, ENSG00000168066, ENSG00000168067, ENSG00000167770, ENSG00000125734, ENSG00000258366, ENSG00000141644, ENSG00000167658, ENSG00000272333, ENSG00000213722, ENSG00000108604, ENSG00000112306, ENSG00000132591, ENSG00000203485, ENSG00000170037, ENSG00000132475, ENSG00000173545, ENSG00000132356, ENSG00000166333, ENSG00000143258, ENSG00000116584, ENSG00000088038, ENSG00000130726, ENSG00000149357, ENSG00000101412, ENSG00000169727, ENSG00000167548, ENSG00000105325, ENSG00000178209, ENSG00000116337, ENSG00000116213, ENSG00000143368, ENSG00000079432, ENSG00000089597, ENSG00000122566, ENSG00000124067, ENSG00000103266, ENSG00000126247, ENSG00000089351, ENSG00000130158, ENSG00000113810, ENSG00000138434, ENSG00000204394, ENSG00000196449, ENSG00000140521, ENSG00000104897, ENSG00000114573, ENSG00000198728, ENSG00000063244, ENSG00000184575, ENSG00000105063, ENSG00000152291, ENSG00000105186, ENSG00000145191, ENSG00000105655, ENSG00000176058, ENSG00000115216, ENSG00000173465, ENSG00000008710, ENSG00000166012, ENSG00000160392, ENSG00000100764, ENSG00000172809, ENSG00000125107, ENSG00000184009, ENSG00000160957, ENSG00000198198, ENSG00000178127, ENSG00000092201, ENSG00000149782, ENSG00000156990, ENSG00000010292, ENSG00000111640, ENSG00000196576, ENSG00000137337, ENSG00000174444, ENSG00000111642, ENSG00000198755, ENSG00000176619, ENSG00000101843, ENSG00000161016, ENSG00000040275, ENSG00000130119, ENSG00000156508, ENSG00000099341, ENSG00000163682, ENSG00000136450, ENSG00000143793, ENSG00000155090, ENSG00000104973, ENSG00000104853, ENSG00000196230, ENSG00000072310, ENSG00000188290, ENSG00000104859, ENSG00000132781, ENSG00000265972, ENSG00000156976, ENSG00000137312, ENSG00000141002, ENSG00000100813, ENSG00000182196, ENSG00000166165, ENSG00000182199, ENSG00000182872, ENSG00000141367, ENSG00000113119, ENSG00000174231, ENSG00000137409, ENSG00000117713, ENSG00000196700, ENSG00000170312, ENSG00000080824, ENSG00000187796, ENSG00000161960, ENSG00000183751, ENSG00000146247, ENSG00000148303, ENSG00000104881, ENSG00000129351, ENSG00000163902, ENSG00000174243, ENSG00000132768, ENSG00000135476, ENSG00000155506, ENSG00000090060, ENSG00000113460, ENSG00000178719, ENSG00000185246, ENSG00000123136, ENSG00000203879, ENSG00000067182, ENSG00000143761, ENSG00000214087, ENSG00000147687	218	12657	18967	1.333561658233142	8.22675261247241E-12	4.114784053193075E-12	3.931184764730392E-12
GOTERM_CC_DIRECT	GO:0005829~cytosol	112	49.33920704845815	8.594775848671677E-14	ENSG00000130158, ENSG00000114867, ENSG00000104823, ENSG00000113810, ENSG00000111596, ENSG00000175467, ENSG00000004777, ENSG00000135446, ENSG00000138434, ENSG00000204394, ENSG00000142541, ENSG00000086758, ENSG00000075624, ENSG00000130204, ENSG00000178188, ENSG00000114573, ENSG00000140474, ENSG00000184575, ENSG00000105063, ENSG00000105186, ENSG00000121058, ENSG00000105655, ENSG00000136878, ENSG00000160789, ENSG00000145191, ENSG00000151239, ENSG00000213923, ENSG00000168036, ENSG00000166012, ENSG00000100764, ENSG00000172809, ENSG00000125107, ENSG00000184009, ENSG00000108883, ENSG00000178127, ENSG00000149782, ENSG00000142507, ENSG00000198355, ENSG00000010292, ENSG00000111640, ENSG00000174444, ENSG00000171453, ENSG00000198755, ENSG00000114993, ENSG00000152795, ENSG00000101843, ENSG00000131508, ENSG00000102898, ENSG00000160447, ENSG00000147403, ENSG00000161016, ENSG00000126012, ENSG00000040275, ENSG00000130119, ENSG00000127580, ENSG00000114942, ENSG00000156508, ENSG00000099341, ENSG00000163682, ENSG00000142186, ENSG00000149930, ENSG00000167526, ENSG00000103496, ENSG00000196230, ENSG00000130766, ENSG00000072310, ENSG00000006744, ENSG00000159840, ENSG00000265972, ENSG00000115464, ENSG00000133112, ENSG00000156976, ENSG00000141002, ENSG00000204469, ENSG00000100813, ENSG00000167770, ENSG00000166165, ENSG00000182199, ENSG00000162244, ENSG00000167658, ENSG00000141367, ENSG00000213722, ENSG00000214655, ENSG00000104889, ENSG00000112306, ENSG00000132591, ENSG00000170037, ENSG00000170312, ENSG00000173545, ENSG00000132356, ENSG00000080824, ENSG00000166333, ENSG00000143258, ENSG00000116584, ENSG00000187796, ENSG00000088038, ENSG00000161960, ENSG00000169727, ENSG00000148303, ENSG00000104881, ENSG00000105325, ENSG00000163902, ENSG00000132768, ENSG00000178209, ENSG00000135476, ENSG00000155506, ENSG00000116337, ENSG00000203879, ENSG00000143761, ENSG00000103266, ENSG00000126247, ENSG00000089351	219	5627	20647	1.876523253426686	3.2653879600275104E-11	1.6330074112476185E-11	1.5298701010635586E-11
GOTERM_CC_DIRECT	GO:0005634~nucleus	114	50.22026431718062	3.771154117025245E-12	ENSG00000114867, ENSG00000113810, ENSG00000111596, ENSG00000175467, ENSG00000135446, ENSG00000142541, ENSG00000086758, ENSG00000099381, ENSG00000100106, ENSG00000167968, ENSG00000144048, ENSG00000075624, ENSG00000104897, ENSG00000178188, ENSG00000198728, ENSG00000063244, ENSG00000184575, ENSG00000105063, ENSG00000183765, ENSG00000121058, ENSG00000076924, ENSG00000160789, ENSG00000145191, ENSG00000177302, ENSG00000213923, ENSG00000008710, ENSG00000168036, ENSG00000160392, ENSG00000100764, ENSG00000125107, ENSG00000184009, ENSG00000110719, ENSG00000108883, ENSG00000160957, ENSG00000092201, ENSG00000149782, ENSG00000142507, ENSG00000010292, ENSG00000155827, ENSG00000111640, ENSG00000137337, ENSG00000174444, ENSG00000171453, ENSG00000111642, ENSG00000198755, ENSG00000152795, ENSG00000164880, ENSG00000011304, ENSG00000133250, ENSG00000101843, ENSG00000131508, ENSG00000160447, ENSG00000147403, ENSG00000126012, ENSG00000040275, ENSG00000198026, ENSG00000156508, ENSG00000099341, ENSG00000163682, ENSG00000142186, ENSG00000136450, ENSG00000149499, ENSG00000167526, ENSG00000155090, ENSG00000149480, ENSG00000104973, ENSG00000196230, ENSG00000130766, ENSG00000072310, ENSG00000006744, ENSG00000188290, ENSG00000132781, ENSG00000159840, ENSG00000265972, ENSG00000115464, ENSG00000133112, ENSG00000141002, ENSG00000100813, ENSG00000168066, ENSG00000182196, ENSG00000167770, ENSG00000166165, ENSG00000182199, ENSG00000182872, ENSG00000258366, ENSG00000141644, ENSG00000167658, ENSG00000272333, ENSG00000107443, ENSG00000174231, ENSG00000108604, ENSG00000117713, ENSG00000132475, ENSG00000170312, ENSG00000132356, ENSG00000080824, ENSG00000088038, ENSG00000130726, ENSG00000101412, ENSG00000169727, ENSG00000167548, ENSG00000146247, ENSG00000148303, ENSG00000104881, ENSG00000105325, ENSG00000129351, ENSG00000174243, ENSG00000135476, ENSG00000090060, ENSG00000143368, ENSG00000079432, ENSG00000123136, ENSG00000122566, ENSG00000103266	219	6100	20647	1.7619267909274645	1.433058116617758E-9	4.776795214898643E-10	4.475102885536624E-10
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	12	5.286343612334802	4.034383128416381E-9	ENSG00000142541, ENSG00000163682, ENSG00000112306, ENSG00000156508, ENSG00000172809, ENSG00000174444, ENSG00000198755, ENSG00000147403, ENSG00000167526, ENSG00000162244, ENSG00000148303, ENSG00000161016	219	93	20647	12.164972750036823	1.5330644290711959E-6	3.8326639719955617E-7	3.590600984290579E-7
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	10	4.405286343612335	1.7267365604858262E-8	ENSG00000142541, ENSG00000163682, ENSG00000172809, ENSG00000174444, ENSG00000198755, ENSG00000147403, ENSG00000167526, ENSG00000162244, ENSG00000148303, ENSG00000161016	219	62	20647	15.206215937546029	6.561577475805436E-6	1.312319785969228E-6	1.2294364310659084E-6
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	21	9.251101321585903	3.954162455010003E-8	ENSG00000075624, ENSG00000178209, ENSG00000137337, ENSG00000174444, ENSG00000198755, ENSG00000159840, ENSG00000151239, ENSG00000137312, ENSG00000166333, ENSG00000142541, ENSG00000163682, ENSG00000116584, ENSG00000168036, ENSG00000100106, ENSG00000164889, ENSG00000172809, ENSG00000143761, ENSG00000184009, ENSG00000148303, ENSG00000141367, ENSG00000161016	219	434	20647	4.561864781263809	1.5025704731552736E-5	2.504302888173002E-6	2.346136389972602E-6
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	11	4.845814977973569	6.221818779164223E-8	ENSG00000142541, ENSG00000163682, ENSG00000112306, ENSG00000172809, ENSG00000174444, ENSG00000198755, ENSG00000147403, ENSG00000167526, ENSG00000162244, ENSG00000148303, ENSG00000161016	215	91	19453	10.937030411449015	9.039894348994437E-5	9.034080867346451E-5	8.996749954671466E-5
GOTERM_CC_DIRECT	GO:0016020~membrane	71	31.277533039647576	2.0569454585609787E-7	ENSG00000130119, ENSG00000114867, ENSG00000104823, ENSG00000006712, ENSG00000111596, ENSG00000156508, ENSG00000196449, ENSG00000142541, ENSG00000163682, ENSG00000086758, ENSG00000142186, ENSG00000140688, ENSG00000167526, ENSG00000103496, ENSG00000100263, ENSG00000149480, ENSG00000075624, ENSG00000130204, ENSG00000104853, ENSG00000114573, ENSG00000137312, ENSG00000204469, ENSG00000125734, ENSG00000162244, ENSG00000167658, ENSG00000105186, ENSG00000121058, ENSG00000141367, ENSG00000076924, ENSG00000113119, ENSG00000174231, ENSG00000112306, ENSG00000137409, ENSG00000198720, ENSG00000115216, ENSG00000177303, ENSG00000008710, ENSG00000170312, ENSG00000080824, ENSG00000166333, ENSG00000168036, ENSG00000161960, ENSG00000100764, ENSG00000125107, ENSG00000184009, ENSG00000148303, ENSG00000108883, ENSG00000160957, ENSG00000129351, ENSG00000163902, ENSG00000149782, ENSG00000149781, ENSG00000010292, ENSG00000178209, ENSG00000111640, ENSG00000155506, ENSG00000174444, ENSG00000198755, ENSG00000111642, ENSG00000164880, ENSG00000011304, ENSG00000178719, ENSG00000164889, ENSG00000123136, ENSG00000089597, ENSG00000067182, ENSG00000122566, ENSG00000147403, ENSG00000124067, ENSG00000126247, ENSG00000161016	219	3677	20647	1.8204449974728751	7.816088073753225E-5	1.1166275346473884E-5	1.0461036903538692E-5
