Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	231	25.925925925925924	6.370697497262766E-19	ENSG00000092199, ENSG00000181222, ENSG00000110700, ENSG00000099821, ENSG00000114867, ENSG00000167962, ENSG00000116001, ENSG00000167721, ENSG00000142541, ENSG00000086758, ENSG00000099381, ENSG00000138398, ENSG00000166197, ENSG00000100345, ENSG00000141456, ENSG00000144048, ENSG00000124795, ENSG00000179950, ENSG00000052749, ENSG00000132507, ENSG00000115268, ENSG00000143621, ENSG00000088247, ENSG00000164587, ENSG00000164104, ENSG00000106348, ENSG00000131504, ENSG00000103194, ENSG00000145592, ENSG00000163938, ENSG00000131747, ENSG00000145907, ENSG00000132153, ENSG00000213923, ENSG00000144028, ENSG00000115053, ENSG00000156482, ENSG00000070814, ENSG00000105372, ENSG00000105373, ENSG00000106344, ENSG00000175931, ENSG00000170004, ENSG00000011304, ENSG00000056097, ENSG00000076928, ENSG00000147403, ENSG00000163950, ENSG00000124541, ENSG00000110104, ENSG00000124193, ENSG00000129084, ENSG00000120705, ENSG00000108829, ENSG00000065978, ENSG00000104907, ENSG00000145216, ENSG00000107290, ENSG00000112081, ENSG00000148840, ENSG00000109111, ENSG00000100664, ENSG00000149136, ENSG00000161547, ENSG00000167526, ENSG00000070756, ENSG00000087087, ENSG00000148843, ENSG00000153187, ENSG00000155363, ENSG00000136068, ENSG00000072274, ENSG00000170144, ENSG00000133112, ENSG00000248333, ENSG00000197958, ENSG00000204469, ENSG00000169710, ENSG00000137154, ENSG00000168066, ENSG00000143947, ENSG00000087077, ENSG00000165119, ENSG00000183684, ENSG00000125970, ENSG00000167658, ENSG00000169714, ENSG00000103275, ENSG00000182934, ENSG00000112306, ENSG00000181163, ENSG00000204574, ENSG00000112787, ENSG00000005007, ENSG00000136270, ENSG00000089009, ENSG00000125944, ENSG00000169045, ENSG00000130726, ENSG00000100201, ENSG00000100441, ENSG00000141994, ENSG00000118181, ENSG00000067225, ENSG00000141738, ENSG00000178209, ENSG00000132361, ENSG00000198830, ENSG00000196535, ENSG00000204569, ENSG00000145425, ENSG00000114391, ENSG00000100316, ENSG00000089597, ENSG00000122566, ENSG00000214753, ENSG00000123064, ENSG00000099783, ENSG00000115677, ENSG00000115310, ENSG00000156304, ENSG00000113013, ENSG00000126457, ENSG00000101158, ENSG00000136709, ENSG00000104897, ENSG00000147140, ENSG00000099899, ENSG00000241343, ENSG00000107929, ENSG00000096384, ENSG00000164062, ENSG00000026297, ENSG00000011243, ENSG00000131469, ENSG00000089280, ENSG00000165280, ENSG00000110321, ENSG00000114127, ENSG00000265681, ENSG00000227057, ENSG00000158941, ENSG00000130255, ENSG00000229117, ENSG00000055950, ENSG00000159352, ENSG00000100403, ENSG00000140988, ENSG00000172809, ENSG00000168439, ENSG00000160710, ENSG00000103353, ENSG00000071626, ENSG00000112855, ENSG00000092201, ENSG00000111641, ENSG00000134186, ENSG00000174444, ENSG00000198755, ENSG00000179218, ENSG00000065526, ENSG00000177954, ENSG00000170515, ENSG00000130816, ENSG00000089157, ENSG00000089154, ENSG00000143321, ENSG00000103342, ENSG00000161016, ENSG00000076108, ENSG00000197451, ENSG00000137309, ENSG00000135486, ENSG00000156508, ENSG00000115875, ENSG00000171863, ENSG00000159217, ENSG00000163682, ENSG00000143799, ENSG00000170889, ENSG00000164896, ENSG00000123384, ENSG00000149658, ENSG00000179115, ENSG00000140829, ENSG00000071462, ENSG00000129250, ENSG00000196235, ENSG00000173812, ENSG00000156976, ENSG00000233927, ENSG00000100813, ENSG00000231500, ENSG00000182196, ENSG00000102317, ENSG00000188976, ENSG00000182872, ENSG00000162244, ENSG00000108654, ENSG00000178952, ENSG00000196262, ENSG00000198563, ENSG00000197111, ENSG00000174231, ENSG00000178035, ENSG00000129460, ENSG00000134815, ENSG00000111057, ENSG00000163584, ENSG00000117395, ENSG00000161960, ENSG00000072518, ENSG00000127603, ENSG00000188529, ENSG00000160633, ENSG00000084072, ENSG00000257103, ENSG00000148303, ENSG00000101361, ENSG00000129351, ENSG00000197102, ENSG00000270647, ENSG00000113460, ENSG00000196924, ENSG00000168488, ENSG00000168003, ENSG00000100038, ENSG00000123136, ENSG00000182774, ENSG00000108312, ENSG00000143761	858	571	3411	1.608312003233194	6.733827254606744E-16	6.740197952104006E-16	6.727456557109481E-16
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	44	4.938271604938271	2.202454146183574E-13	ENSG00000022840, ENSG00000131469, ENSG00000103194, ENSG00000145592, ENSG00000110700, ENSG00000112306, ENSG00000156508, ENSG00000120705, ENSG00000265681, ENSG00000171863, ENSG00000130255, ENSG00000167962, ENSG00000142541, ENSG00000163682, ENSG00000170889, ENSG00000089009, ENSG00000156482, ENSG00000140988, ENSG00000172809, ENSG00000105372, ENSG00000167526, ENSG00000148303, ENSG00000118181, ENSG00000241343, ENSG00000174444, ENSG00000198755, ENSG00000115268, ENSG00000177954, ENSG00000197958, ENSG00000145425, ENSG00000114391, ENSG00000100316, ENSG00000137154, ENSG00000231500, ENSG00000221983, ENSG00000143947, ENSG00000089157, ENSG00000164587, ENSG00000182774, ENSG00000162244, ENSG00000089154, ENSG00000147403, ENSG00000161016, ENSG00000103342	860	63	3483	2.8285714285714287	1.5771206562931184E-10	1.576957168667439E-10	1.546122810620869E-10
GOTERM_CC_DIRECT	GO:0005634~nucleus	443	49.719416386083054	7.193839708440672E-13	ENSG00000181222, ENSG00000120071, ENSG00000114867, ENSG00000099381, ENSG00000168137, ENSG00000123349, ENSG00000100345, ENSG00000148400, ENSG00000177084, ENSG00000161981, ENSG00000179262, ENSG00000144048, ENSG00000125520, ENSG00000124795, ENSG00000204304, ENSG00000173846, ENSG00000088247, ENSG00000182670, ENSG00000126746, ENSG00000089693, ENSG00000094914, ENSG00000087152, ENSG00000241878, ENSG00000213246, ENSG00000160789, ENSG00000105810, ENSG00000044574, ENSG00000163938, ENSG00000132153, ENSG00000132155, ENSG00000133247, ENSG00000172534, ENSG00000144028, ENSG00000204410, ENSG00000250479, ENSG00000156482, ENSG00000089685, ENSG00000135679, ENSG00000134107, ENSG00000146670, ENSG00000175931, ENSG00000170004, ENSG00000011304, ENSG00000100239, ENSG00000100116, ENSG00000125755, ENSG00000160447, ENSG00000147403, ENSG00000163950, ENSG00000110104, ENSG00000110107, ENSG00000196642, ENSG00000129084, ENSG00000168291, ENSG00000104907, ENSG00000135521, ENSG00000148606, ENSG00000100429, ENSG00000142186, ENSG00000125967, ENSG00000107290, ENSG00000125968, ENSG00000148840, ENSG00000160211, ENSG00000087088, ENSG00000144485, ENSG00000161547, ENSG00000070756, ENSG00000087087, ENSG00000183337, ENSG00000148843, ENSG00000153187, ENSG00000155363, ENSG00000111669, ENSG00000204463, ENSG00000170144, ENSG00000133112, ENSG00000248333, ENSG00000204227, ENSG00000168066, ENSG00000087077, ENSG00000183684, ENSG00000162889, ENSG00000090238, ENSG00000125970, ENSG00000272333, ENSG00000180198, ENSG00000144580, ENSG00000181163, ENSG00000132475, ENSG00000118058, ENSG00000005007, ENSG00000130299, ENSG00000122678, ENSG00000089009, ENSG00000125944, ENSG00000088038, ENSG00000169045, ENSG00000165802, ENSG00000101412, ENSG00000100201, ENSG00000100441, ENSG00000118181, ENSG00000067225, ENSG00000066136, ENSG00000196531, ENSG00000198830, ENSG00000157881, ENSG00000196535, ENSG00000204569, ENSG00000145425, ENSG00000175727, ENSG00000102858, ENSG00000100316, ENSG00000004142, ENSG00000079313, ENSG00000122566, ENSG00000071894, ENSG00000214753, ENSG00000170291, ENSG00000136813, ENSG00000071655, ENSG00000135723, ENSG00000164609, ENSG00000113810, ENSG00000156304, ENSG00000100867, ENSG00000100982, ENSG00000108465, ENSG00000136709, ENSG00000196792, ENSG00000175634, ENSG00000172366, ENSG00000237649, ENSG00000118046, ENSG00000198858, ENSG00000198728, ENSG00000081692, ENSG00000120129, ENSG00000105063, ENSG00000011243, ENSG00000144554, ENSG00000131469, ENSG00000089280, ENSG00000154222, ENSG00000025770, ENSG00000135821, ENSG00000133884, ENSG00000131462, ENSG00000158941, ENSG00000186660, ENSG00000100403, ENSG00000187514, ENSG00000167900, ENSG00000184009, ENSG00000071626, ENSG00000092201, ENSG00000010292, ENSG00000111640, ENSG00000174444, ENSG00000111642, ENSG00000198755, ENSG00000177954, ENSG00000164880, ENSG00000187741, ENSG00000080345, ENSG00000089157, ENSG00000185324, ENSG00000143321, ENSG00000109685, ENSG00000142599, ENSG00000197451, ENSG00000166949, ENSG00000152382, ENSG00000156508, ENSG00000149091, ENSG00000163682, ENSG00000143799, ENSG00000116285, ENSG00000187531, ENSG00000138073, ENSG00000084774, ENSG00000187778, ENSG00000105393, ENSG00000013573, ENSG00000130005, ENSG00000196230, ENSG00000071462, ENSG00000072310, ENSG00000196235, ENSG00000100813, ENSG00000182196, ENSG00000165637, ENSG00000182199, ENSG00000188976, ENSG00000108654, ENSG00000108773, ENSG00000157933, ENSG00000196262, ENSG00000198563, ENSG00000067057, ENSG00000197111, ENSG00000174231, ENSG00000197114, ENSG00000177508, ENSG00000166851, ENSG00000100726, ENSG00000143418, ENSG00000187555, ENSG00000188529, ENSG00000133612, ENSG00000129351, ENSG00000198793, ENSG00000213676, ENSG00000173153, ENSG00000111602, ENSG00000196497, ENSG00000270647, ENSG00000175213, ENSG00000173039, ENSG00000122966, ENSG00000141582, ENSG00000117385, ENSG00000166508, ENSG00000108312, ENSG00000105287, ENSG00000092199, ENSG00000110700, ENSG00000064961, ENSG00000084207, ENSG00000167721, ENSG00000116001, ENSG00000142541, ENSG00000086758, ENSG00000138398, ENSG00000089902, ENSG00000141456, ENSG00000179950, ENSG00000075624, ENSG00000052749, ENSG00000176444, ENSG00000132507, ENSG00000115268, ENSG00000116478, ENSG00000143621, ENSG00000137193, ENSG00000121851, ENSG00000164104, ENSG00000167615, ENSG00000076924, ENSG00000106348, ENSG00000131504, ENSG00000103194, ENSG00000131747, ENSG00000145907, ENSG00000213923, ENSG00000178999, ENSG00000141551, ENSG00000115053, ENSG00000110719, ENSG00000167986, ENSG00000068078, ENSG00000153406, ENSG00000116016, ENSG00000100906, ENSG00000056097, ENSG00000085999, ENSG00000093009, ENSG00000185049, ENSG00000051523, ENSG00000165458, ENSG00000126012, ENSG00000105556, ENSG00000107854, ENSG00000073111, ENSG00000198026, ENSG00000099860, ENSG00000109917, ENSG00000162191, ENSG00000004975, ENSG00000065978, ENSG00000167522, ENSG00000038358, ENSG00000144802, ENSG00000149136, ENSG00000167526, ENSG00000179632, ENSG00000149480, ENSG00000214706, ENSG00000198258, ENSG00000072274, ENSG00000154832, ENSG00000169951, ENSG00000137154, ENSG00000143947, ENSG00000167770, ENSG00000165119, ENSG00000008083, ENSG00000141644, ENSG00000167658, ENSG00000141522, ENSG00000169714, ENSG00000103275, ENSG00000105576, ENSG00000108604, ENSG00000175166, ENSG00000125148, ENSG00000149115, ENSG00000130726, ENSG00000108840, ENSG00000167548, ENSG00000127564, ENSG00000105568, ENSG00000198276, ENSG00000177595, ENSG00000159147, ENSG00000213719, ENSG00000137497, ENSG00000242372, ENSG00000167553, ENSG00000141867, ENSG00000169738, ENSG00000103266, ENSG00000175063, ENSG00000123064, ENSG00000148362, ENSG00000159377, ENSG00000117616, ENSG00000099783, ENSG00000115317, ENSG00000115677, ENSG00000139645, ENSG00000170606, ENSG00000153827, ENSG00000141736, ENSG00000126457, ENSG00000142945, ENSG00000130706, ENSG00000101158, ENSG00000214078, ENSG00000221978, ENSG00000127663, ENSG00000126453, ENSG00000126581, ENSG00000104897, ENSG00000147140, ENSG00000115548, ENSG00000096384, ENSG00000188130, ENSG00000221983, ENSG00000145191, ENSG00000165280, ENSG00000134057, ENSG00000114127, ENSG00000265681, ENSG00000068903, ENSG00000205581, ENSG00000165288, ENSG00000167468, ENSG00000204256, ENSG00000159352, ENSG00000140988, ENSG00000061273, ENSG00000168439, ENSG00000160710, ENSG00000167106, ENSG00000215021, ENSG00000160957, ENSG00000160714, ENSG00000099875, ENSG00000105647, ENSG00000130702, ENSG00000134186, ENSG00000179218, ENSG00000065526, ENSG00000171603, ENSG00000137331, ENSG00000170515, ENSG00000088986, ENSG00000171848, ENSG00000165175, ENSG00000148334, ENSG00000140854, ENSG00000130816, ENSG00000100075, ENSG00000022840, ENSG00000076108, ENSG00000105953, ENSG00000137309, ENSG00000135486, ENSG00000112245, ENSG00000159335, ENSG00000115875, ENSG00000135363, ENSG00000171863, ENSG00000080603, ENSG00000159217, ENSG00000099341, ENSG00000170889, ENSG00000123384, ENSG00000140829, ENSG00000116717, ENSG00000041357, ENSG00000167491, ENSG00000265972, ENSG00000170421, ENSG00000173812, ENSG00000008128, ENSG00000110172, ENSG00000231500, ENSG00000102317, ENSG00000152804, ENSG00000182872, ENSG00000125458, ENSG00000143093, ENSG00000178035, ENSG00000076201, ENSG00000117713, ENSG00000104529, ENSG00000172732, ENSG00000169689, ENSG00000169567, ENSG00000012822, ENSG00000102225, ENSG00000160633, ENSG00000160753, ENSG00000084072, ENSG00000148303, ENSG00000087460, ENSG00000104872, ENSG00000100393, ENSG00000099797, ENSG00000114315, ENSG00000135111, ENSG00000077782, ENSG00000205250, ENSG00000196924, ENSG00000169696, ENSG00000103549, ENSG00000100038, ENSG00000123136, ENSG00000101365, ENSG00000149503	860	1429	3483	1.2555283414975507	5.151079562892846E-10	2.57539461562176E-10	2.525037737662676E-10
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	41	4.601571268237935	2.124651614139029E-11	ENSG00000131469, ENSG00000145592, ENSG00000110700, ENSG00000112306, ENSG00000265681, ENSG00000177600, ENSG00000171863, ENSG00000130255, ENSG00000142541, ENSG00000163682, ENSG00000163584, ENSG00000229117, ENSG00000170889, ENSG00000089009, ENSG00000156482, ENSG00000140988, ENSG00000172809, ENSG00000105372, ENSG00000167526, ENSG00000148303, ENSG00000118181, ENSG00000241343, ENSG00000174444, ENSG00000198755, ENSG00000115268, ENSG00000177954, ENSG00000233927, ENSG00000197958, ENSG00000145425, ENSG00000114391, ENSG00000100316, ENSG00000137154, ENSG00000231500, ENSG00000221983, ENSG00000143947, ENSG00000089157, ENSG00000164587, ENSG00000182774, ENSG00000162244, ENSG00000147403, ENSG00000161016	846	61	3362	2.6710460024028215	7.899470721994817E-8	7.89733004975477E-8	7.89733004975477E-8
GOTERM_BP_DIRECT	GO:0006412~translation	55	6.172839506172839	7.395201186712782E-11	ENSG00000172590, ENSG00000130312, ENSG00000114867, ENSG00000110700, ENSG00000156508, ENSG00000177600, ENSG00000171863, ENSG00000142541, ENSG00000163682, ENSG00000170889, ENSG00000167526, ENSG00000179115, ENSG00000175634, ENSG00000241343, ENSG00000115268, ENSG00000262660, ENSG00000233927, ENSG00000197958, ENSG00000137154, ENSG00000221983, ENSG00000231500, ENSG00000165792, ENSG00000143947, ENSG00000162244, ENSG00000164587, ENSG00000131469, ENSG00000145592, ENSG00000112306, ENSG00000172053, ENSG00000204574, ENSG00000265681, ENSG00000130255, ENSG00000229117, ENSG00000163584, ENSG00000055950, ENSG00000089009, ENSG00000156482, ENSG00000140988, ENSG00000172809, ENSG00000105372, ENSG00000148303, ENSG00000112855, ENSG00000118181, ENSG00000196531, ENSG00000174444, ENSG00000198755, ENSG00000177954, ENSG00000145425, ENSG00000114391, ENSG00000100316, ENSG00000089157, ENSG00000182774, ENSG00000147403, ENSG00000161016, ENSG00000103342	846	97	3362	2.2532962881723573	2.74953746215445E-7	1.3743981405505704E-7	1.3743981405505704E-7
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	47	5.274971941638609	2.573732852728004E-10	ENSG00000172590, ENSG00000130312, ENSG00000131469, ENSG00000173141, ENSG00000145592, ENSG00000110700, ENSG00000112306, ENSG00000265681, ENSG00000177600, ENSG00000171863, ENSG00000130255, ENSG00000142541, ENSG00000163682, ENSG00000163584, ENSG00000229117, ENSG00000170889, ENSG00000055950, ENSG00000089009, ENSG00000156482, ENSG00000140988, ENSG00000172809, ENSG00000105372, ENSG00000167526, ENSG00000148303, ENSG00000118181, ENSG00000241343, ENSG00000174444, ENSG00000198755, ENSG00000115268, ENSG00000262660, ENSG00000074071, ENSG00000177954, ENSG00000233927, ENSG00000197958, ENSG00000145425, ENSG00000114391, ENSG00000100316, ENSG00000137154, ENSG00000231500, ENSG00000221983, ENSG00000143947, ENSG00000089157, ENSG00000164587, ENSG00000182774, ENSG00000162244, ENSG00000147403, ENSG00000161016	858	79	3411	2.3651854474639284	2.720434711944719E-7	1.3615046790931143E-7	1.3589309462403861E-7
GOTERM_CC_DIRECT	GO:0005840~ribosome	43	4.8260381593714925	2.56979188768066E-9	ENSG00000130312, ENSG00000131469, ENSG00000145592, ENSG00000110700, ENSG00000156508, ENSG00000171863, ENSG00000227057, ENSG00000117676, ENSG00000130255, ENSG00000142541, ENSG00000163682, ENSG00000163584, ENSG00000229117, ENSG00000170889, ENSG00000055950, ENSG00000089009, ENSG00000140988, ENSG00000172809, ENSG00000105372, ENSG00000167526, ENSG00000118181, ENSG00000241343, ENSG00000174444, ENSG00000115268, ENSG00000262660, ENSG00000177954, ENSG00000233927, ENSG00000197958, ENSG00000145425, ENSG00000114391, ENSG00000100316, ENSG00000137154, ENSG00000231500, ENSG00000221983, ENSG00000168066, ENSG00000143947, ENSG00000089157, ENSG00000164587, ENSG00000182774, ENSG00000162244, ENSG00000089154, ENSG00000147403, ENSG00000161016	860	74	3483	2.3533783783783786	1.8399693348936097E-6	6.133236638597842E-7	6.013313017172745E-7
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	408	45.79124579124579	4.463470058024391E-8	ENSG00000181222, ENSG00000114867, ENSG00000076382, ENSG00000013810, ENSG00000034510, ENSG00000166197, ENSG00000123349, ENSG00000100345, ENSG00000179262, ENSG00000125520, ENSG00000113407, ENSG00000173846, ENSG00000088247, ENSG00000182670, ENSG00000089693, ENSG00000260272, ENSG00000136878, ENSG00000105810, ENSG00000145592, ENSG00000044574, ENSG00000132153, ENSG00000132155, ENSG00000131069, ENSG00000172534, ENSG00000156482, ENSG00000125503, ENSG00000089685, ENSG00000100241, ENSG00000135679, ENSG00000134107, ENSG00000146670, ENSG00000175931, ENSG00000134222, ENSG00000170004, ENSG00000125753, ENSG00000125755, ENSG00000163950, ENSG00000090372, ENSG00000239857, ENSG00000110107, ENSG00000114942, ENSG00000196642, ENSG00000129084, ENSG00000132254, ENSG00000102606, ENSG00000100429, ENSG00000142186, ENSG00000125967, ENSG00000160691, ENSG00000107290, ENSG00000125968, ENSG00000149930, ENSG00000100664, ENSG00000160211, ENSG00000087088, ENSG00000161547, ENSG00000108389, ENSG00000070756, ENSG00000087087, ENSG00000087086, ENSG00000198931, ENSG00000204463, ENSG00000170144, ENSG00000133112, ENSG00000248333, ENSG00000197958, ENSG00000087077, ENSG00000183684, ENSG00000162889, ENSG00000125733, ENSG00000148834, ENSG00000180198, ENSG00000112306, ENSG00000181163, ENSG00000204574, ENSG00000196305, ENSG00000197879, ENSG00000005007, ENSG00000130299, ENSG00000143258, ENSG00000089009, ENSG00000088038, ENSG00000165802, ENSG00000101412, ENSG00000100201, ENSG00000118181, ENSG00000067225, ENSG00000196531, ENSG00000132361, ENSG00000198830, ENSG00000157881, ENSG00000196535, ENSG00000198837, ENSG00000145425, ENSG00000102858, ENSG00000100316, ENSG00000163516, ENSG00000122566, ENSG00000170291, ENSG00000136813, ENSG00000071655, ENSG00000135723, ENSG00000164609, ENSG00000172354, ENSG00000148926, ENSG00000100867, ENSG00000108465, ENSG00000196792, ENSG00000175634, ENSG00000172366, ENSG00000237649, ENSG00000118046, ENSG00000173457, ENSG00000081692, ENSG00000120129, ENSG00000256269, ENSG00000011243, ENSG00000186635, ENSG00000131469, ENSG00000089280, ENSG00000110321, ENSG00000135821, ENSG00000131462, ENSG00000158941, ENSG00000130255, ENSG00000167900, ENSG00000184009, ENSG00000112855, ENSG00000112972, ENSG00000010292, ENSG00000111640, ENSG00000174444, ENSG00000111642, ENSG00000198755, ENSG00000178921, ENSG00000187741, ENSG00000124702, ENSG00000080345, ENSG00000166825, ENSG00000089157, ENSG00000185324, ENSG00000089154, ENSG00000143321, ENSG00000109685, ENSG00000161016, ENSG00000258890, ENSG00000197451, ENSG00000166949, ENSG00000156508, ENSG00000177600, ENSG00000149091, ENSG00000163682, ENSG00000116285, ENSG00000187531, ENSG00000120437, ENSG00000084774, ENSG00000187778, ENSG00000105393, ENSG00000013573, ENSG00000141258, ENSG00000130005, ENSG00000196230, ENSG00000071462, ENSG00000072310, ENSG00000182199, ENSG00000162244, ENSG00000108654, ENSG00000108773, ENSG00000143543, ENSG00000092010, ENSG00000157933, ENSG00000196262, ENSG00000198563, ENSG00000067057, ENSG00000197111, ENSG00000172053, ENSG00000175203, ENSG00000177508, ENSG00000163584, ENSG00000166851, ENSG00000100726, ENSG00000122952, ENSG00000044090, ENSG00000072518, ENSG00000188529, ENSG00000257103, ENSG00000133612, ENSG00000129351, ENSG00000198793, ENSG00000173153, ENSG00000110514, ENSG00000197102, ENSG00000196497, ENSG00000270647, ENSG00000173039, ENSG00000122966, ENSG00000117385, ENSG00000004660, ENSG00000166986, ENSG00000143761, ENSG00000105287, ENSG00000014216, ENSG00000110700, ENSG00000128591, ENSG00000084207, ENSG00000116001, ENSG00000142541, ENSG00000086758, ENSG00000138398, ENSG00000039523, ENSG00000141456, ENSG00000167967, ENSG00000167965, ENSG00000075624, ENSG00000178980, ENSG00000132507, ENSG00000213930, ENSG00000115268, ENSG00000116478, ENSG00000137193, ENSG00000184056, ENSG00000164587, ENSG00000164104, ENSG00000106348, ENSG00000131504, ENSG00000103194, ENSG00000131748, ENSG00000131626, ENSG00000131747, ENSG00000145907, ENSG00000213923, ENSG00000177666, ENSG00000141551, ENSG00000115053, ENSG00000188566, ENSG00000105372, ENSG00000167986, ENSG00000198355, ENSG00000116016, ENSG00000100906, ENSG00000056097, ENSG00000140450, ENSG00000137177, ENSG00000093009, ENSG00000076928, ENSG00000126012, ENSG00000105556, ENSG00000107854, ENSG00000073111, ENSG00000136059, ENSG00000099860, ENSG00000120705, ENSG00000109917, ENSG00000108829, ENSG00000162191, ENSG00000004975, ENSG00000065978, ENSG00000115234, ENSG00000038358, ENSG00000112081, ENSG00000167526, ENSG00000179632, ENSG00000148396, ENSG00000198258, ENSG00000176248, ENSG00000136068, ENSG00000169710, ENSG00000137154, ENSG00000143947, ENSG00000165119, ENSG00000141524, ENSG00000148399, ENSG00000099849, ENSG00000167658, ENSG00000141522, ENSG00000169714, ENSG00000140553, ENSG00000103275, ENSG00000105576, ENSG00000177225, ENSG00000117676, ENSG00000167302, ENSG00000116584, ENSG00000125148, ENSG00000149115, ENSG00000108840, ENSG00000127564, ENSG00000105568, ENSG00000198276, ENSG00000124181, ENSG00000177595, ENSG00000178209, ENSG00000213719, ENSG00000242372, ENSG00000167553, ENSG00000114391, ENSG00000141504, ENSG00000141503, ENSG00000141985, ENSG00000103266, ENSG00000103145, ENSG00000148362, ENSG00000159377, ENSG00000099783, ENSG00000115677, ENSG00000164292, ENSG00000113013, ENSG00000170606, ENSG00000126457, ENSG00000215041, ENSG00000142945, ENSG00000130706, ENSG00000214078, ENSG00000126581, ENSG00000160813, ENSG00000198055, ENSG00000115548, ENSG00000204386, ENSG00000096384, ENSG00000116871, ENSG00000188130, ENSG00000164068, ENSG00000221983, ENSG00000102119, ENSG00000105655, ENSG00000145191, ENSG00000140859, ENSG00000160948, ENSG00000165280, ENSG00000134057, ENSG00000265681, ENSG00000068903, ENSG00000172932, ENSG00000205581, ENSG00000229117, ENSG00000204256, ENSG00000140988, ENSG00000061273, ENSG00000172809, ENSG00000124253, ENSG00000160710, ENSG00000167106, ENSG00000215021, ENSG00000160957, ENSG00000105401, ENSG00000099875, ENSG00000166140, ENSG00000179218, ENSG00000170515, ENSG00000088986, ENSG00000170759, ENSG00000148334, ENSG00000140854, ENSG00000168209, ENSG00000103342, ENSG00000022840, ENSG00000115758, ENSG00000135486, ENSG00000187091, ENSG00000112245, ENSG00000115875, ENSG00000171863, ENSG00000159217, ENSG00000196914, ENSG00000170889, ENSG00000149658, ENSG00000179115, ENSG00000116717, ENSG00000041357, ENSG00000066557, ENSG00000265972, ENSG00000170421, ENSG00000173812, ENSG00000008128, ENSG00000233927, ENSG00000110172, ENSG00000231500, ENSG00000102317, ENSG00000152804, ENSG00000124006, ENSG00000125458, ENSG00000183963, ENSG00000178035, ENSG00000076201, ENSG00000111057, ENSG00000104529, ENSG00000159314, ENSG00000169567, ENSG00000103319, ENSG00000161960, ENSG00000102225, ENSG00000127603, ENSG00000084072, ENSG00000185813, ENSG00000148303, ENSG00000087460, ENSG00000101361, ENSG00000104872, ENSG00000100393, ENSG00000114315, ENSG00000116977, ENSG00000110074, ENSG00000205250, ENSG00000196924, ENSG00000169696, ENSG00000123136, ENSG00000182774, ENSG00000214087	860	1377	3483	1.2000000000000002	3.1957935678672555E-5	7.98961140386366E-6	7.833389951832807E-6
GOTERM_CC_DIRECT	GO:1990904~ribonucleoprotein complex	43	4.8260381593714925	9.116753397728126E-8	ENSG00000131469, ENSG00000197451, ENSG00000197111, ENSG00000131747, ENSG00000181163, ENSG00000145907, ENSG00000135486, ENSG00000099783, ENSG00000213923, ENSG00000171863, ENSG00000065978, ENSG00000159217, ENSG00000116001, ENSG00000142541, ENSG00000115053, ENSG00000163584, ENSG00000170889, ENSG00000125944, ENSG00000169045, ENSG00000100201, ENSG00000087087, ENSG00000257103, ENSG00000070756, ENSG00000071626, ENSG00000104872, ENSG00000179950, ENSG00000153187, ENSG00000075624, ENSG00000129351, ENSG00000111640, ENSG00000174444, ENSG00000170144, ENSG00000143621, ENSG00000145425, ENSG00000170515, ENSG00000137154, ENSG00000165119, ENSG00000089157, ENSG00000167658, ENSG00000122566, ENSG00000011243, ENSG00000163950, ENSG00000108654	860	81	3483	2.1500000000000004	6.527382686660754E-5	1.3055190865546674E-5	1.279992177041029E-5
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	24	2.6936026936026933	1.3177897050569937E-7	ENSG00000131469, ENSG00000145592, ENSG00000174444, ENSG00000241343, ENSG00000198755, ENSG00000265681, ENSG00000177600, ENSG00000130255, ENSG00000197958, ENSG00000142541, ENSG00000163682, ENSG00000229117, ENSG00000114391, ENSG00000100316, ENSG00000089009, ENSG00000221983, ENSG00000156482, ENSG00000172809, ENSG00000089157, ENSG00000162244, ENSG00000147403, ENSG00000167526, ENSG00000148303, ENSG00000161016	860	34	3483	2.8588235294117643	9.434929792961899E-5	1.5725623813680124E-5	1.5418139549166826E-5
