Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006412~translation	46	14.285714285714285	1.2733295603450589E-37	ENSG00000172590, ENSG00000130312, ENSG00000131469, ENSG00000111639, ENSG00000114867, ENSG00000110700, ENSG00000172053, ENSG00000112306, ENSG00000242485, ENSG00000156508, ENSG00000265681, ENSG00000171863, ENSG00000130255, ENSG00000142541, ENSG00000229117, ENSG00000170889, ENSG00000105193, ENSG00000156482, ENSG00000140988, ENSG00000121022, ENSG00000063177, ENSG00000109475, ENSG00000172809, ENSG00000105372, ENSG00000167526, ENSG00000125691, ENSG00000118181, ENSG00000196531, ENSG00000241343, ENSG00000174444, ENSG00000115268, ENSG00000177954, ENSG00000174547, ENSG00000233927, ENSG00000221983, ENSG00000165792, ENSG00000143947, ENSG00000182154, ENSG00000128626, ENSG00000164587, ENSG00000182774, ENSG00000147403, ENSG00000122026, ENSG00000105364, ENSG00000161016, ENSG00000105640	301	219	19453	13.574811511096952	2.0195006827072635E-34	2.0182273531469184E-34	1.9991274097417422E-34
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	33	10.248447204968944	2.65510980719364E-35	ENSG00000022840, ENSG00000131469, ENSG00000110700, ENSG00000112306, ENSG00000156508, ENSG00000120705, ENSG00000265681, ENSG00000171863, ENSG00000130255, ENSG00000142541, ENSG00000170889, ENSG00000105193, ENSG00000156482, ENSG00000140988, ENSG00000063177, ENSG00000109475, ENSG00000172809, ENSG00000105372, ENSG00000167526, ENSG00000125691, ENSG00000118181, ENSG00000241343, ENSG00000174444, ENSG00000115268, ENSG00000177954, ENSG00000221983, ENSG00000143947, ENSG00000164587, ENSG00000182774, ENSG00000147403, ENSG00000122026, ENSG00000161016, ENSG00000105640	309	93	20647	23.709886209416428	1.1815238642011699E-32	1.1815238642011699E-32	1.0859399111421988E-32
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	33	10.248447204968944	3.155069732257475E-35	ENSG00000131469, ENSG00000110700, ENSG00000112306, ENSG00000265681, ENSG00000171863, ENSG00000130255, ENSG00000142541, ENSG00000229117, ENSG00000170889, ENSG00000105193, ENSG00000156482, ENSG00000140988, ENSG00000063177, ENSG00000109475, ENSG00000172809, ENSG00000105372, ENSG00000167526, ENSG00000125691, ENSG00000118181, ENSG00000241343, ENSG00000174444, ENSG00000115268, ENSG00000177954, ENSG00000233927, ENSG00000221983, ENSG00000143947, ENSG00000232112, ENSG00000164587, ENSG00000182774, ENSG00000147403, ENSG00000122026, ENSG00000161016, ENSG00000105640	301	91	19453	23.43649373881932	5.003940595360356E-32	2.500392762814049E-32	2.476729739822118E-32
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	41	12.732919254658384	2.442235431797443E-33	ENSG00000172590, ENSG00000130312, ENSG00000131469, ENSG00000111639, ENSG00000110700, ENSG00000112306, ENSG00000242485, ENSG00000265681, ENSG00000171863, ENSG00000130255, ENSG00000142541, ENSG00000229117, ENSG00000170889, ENSG00000105193, ENSG00000156482, ENSG00000140988, ENSG00000063177, ENSG00000109475, ENSG00000062582, ENSG00000172809, ENSG00000105372, ENSG00000167526, ENSG00000125691, ENSG00000118181, ENSG00000241343, ENSG00000174444, ENSG00000115268, ENSG00000177954, ENSG00000174547, ENSG00000233927, ENSG00000221983, ENSG00000143947, ENSG00000182154, ENSG00000128626, ENSG00000164587, ENSG00000182774, ENSG00000147403, ENSG00000122026, ENSG00000105364, ENSG00000161016, ENSG00000105640	304	190	18967	13.463417590027701	1.2895003079890498E-30	1.2919425434208473E-30	1.2699624245346704E-30
GOTERM_MF_DIRECT	GO:0003723~RNA binding	93	28.88198757763975	2.23523339343163E-31	ENSG00000092199, ENSG00000114867, ENSG00000110700, ENSG00000137309, ENSG00000183808, ENSG00000129084, ENSG00000135486, ENSG00000156508, ENSG00000120705, ENSG00000171863, ENSG00000142541, ENSG00000170889, ENSG00000082153, ENSG00000100664, ENSG00000105193, ENSG00000109475, ENSG00000062582, ENSG00000126457, ENSG00000087365, ENSG00000167526, ENSG00000070756, ENSG00000125691, ENSG00000179950, ENSG00000071462, ENSG00000132507, ENSG00000129250, ENSG00000132341, ENSG00000241343, ENSG00000115268, ENSG00000150991, ENSG00000115541, ENSG00000133112, ENSG00000174547, ENSG00000233927, ENSG00000030582, ENSG00000182196, ENSG00000102317, ENSG00000143947, ENSG00000182154, ENSG00000188976, ENSG00000165119, ENSG00000164587, ENSG00000122026, ENSG00000169714, ENSG00000131469, ENSG00000178952, ENSG00000130811, ENSG00000174231, ENSG00000178035, ENSG00000112306, ENSG00000242485, ENSG00000165280, ENSG00000111057, ENSG00000265681, ENSG00000130175, ENSG00000130255, ENSG00000144028, ENSG00000229117, ENSG00000115053, ENSG00000117395, ENSG00000169045, ENSG00000156482, ENSG00000140988, ENSG00000130726, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000125107, ENSG00000105373, ENSG00000105202, ENSG00000118181, ENSG00000156990, ENSG00000067225, ENSG00000197102, ENSG00000111641, ENSG00000155508, ENSG00000150459, ENSG00000174444, ENSG00000152234, ENSG00000177954, ENSG00000204569, ENSG00000196924, ENSG00000084623, ENSG00000206503, ENSG00000168003, ENSG00000128626, ENSG00000089597, ENSG00000182774, ENSG00000122566, ENSG00000147403, ENSG00000105364, ENSG00000161016, ENSG00000105640	304	1479	18967	3.9231944592719117	1.1802032317319005E-28	5.912192325626661E-29	5.811606822922238E-29
GOTERM_CC_DIRECT	GO:0005840~ribosome	36	11.180124223602485	1.6699245092666692E-29	ENSG00000130312, ENSG00000131469, ENSG00000111639, ENSG00000110700, ENSG00000242485, ENSG00000156508, ENSG00000171863, ENSG00000130255, ENSG00000142541, ENSG00000229117, ENSG00000170889, ENSG00000105193, ENSG00000140988, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000167526, ENSG00000125691, ENSG00000118181, ENSG00000241343, ENSG00000174444, ENSG00000115268, ENSG00000177954, ENSG00000174547, ENSG00000175756, ENSG00000233927, ENSG00000221983, ENSG00000143947, ENSG00000128626, ENSG00000164587, ENSG00000182774, ENSG00000147403, ENSG00000122026, ENSG00000105364, ENSG00000161016, ENSG00000105640	309	174	20647	13.824573150318045	7.431164066236678E-27	3.715582033118339E-27	3.414995621450339E-27
GOTERM_MF_DIRECT	GO:0005515~protein binding	277	86.0248447204969	5.906915745300926E-24	ENSG00000092199, ENSG00000110700, ENSG00000114867, ENSG00000104823, ENSG00000064961, ENSG00000196961, ENSG00000245532, ENSG00000084207, ENSG00000135446, ENSG00000076382, ENSG00000123349, ENSG00000138030, ENSG00000161981, ENSG00000140365, ENSG00000167965, ENSG00000105223, ENSG00000179950, ENSG00000175470, ENSG00000182307, ENSG00000075624, ENSG00000130204, ENSG00000132507, ENSG00000154518, ENSG00000267673, ENSG00000115268, ENSG00000171557, ENSG00000165792, ENSG00000137076, ENSG00000163931, ENSG00000164587, ENSG00000122026, ENSG00000105220, ENSG00000104131, ENSG00000160789, ENSG00000105810, ENSG00000103876, ENSG00000002330, ENSG00000178999, ENSG00000172534, ENSG00000144028, ENSG00000115053, ENSG00000172889, ENSG00000125505, ENSG00000250479, ENSG00000163382, ENSG00000156482, ENSG00000121022, ENSG00000063177, ENSG00000184640, ENSG00000105372, ENSG00000110717, ENSG00000100242, ENSG00000105373, ENSG00000167986, ENSG00000065000, ENSG00000198355, ENSG00000159069, ENSG00000204525, ENSG00000162062, ENSG00000167996, ENSG00000186010, ENSG00000185043, ENSG00000138382, ENSG00000143727, ENSG00000147403, ENSG00000149823, ENSG00000125991, ENSG00000051523, ENSG00000105364, ENSG00000239857, ENSG00000099624, ENSG00000114942, ENSG00000129084, ENSG00000120705, ENSG00000104904, ENSG00000162191, ENSG00000168291, ENSG00000204592, ENSG00000112640, ENSG00000102606, ENSG00000100664, ENSG00000109475, ENSG00000167526, ENSG00000070756, ENSG00000103254, ENSG00000087191, ENSG00000112514, ENSG00000111669, ENSG00000198258, ENSG00000204463, ENSG00000198931, ENSG00000133112, ENSG00000213619, ENSG00000113161, ENSG00000234616, ENSG00000143947, ENSG00000165119, ENSG00000148834, ENSG00000169714, ENSG00000135506, ENSG00000136718, ENSG00000112306, ENSG00000242485, ENSG00000132475, ENSG00000130175, ENSG00000188486, ENSG00000089006, ENSG00000234745, ENSG00000169045, ENSG00000164032, ENSG00000125148, ENSG00000130726, ENSG00000149476, ENSG00000161203, ENSG00000105202, ENSG00000107984, ENSG00000118181, ENSG00000067225, ENSG00000066379, ENSG00000170043, ENSG00000150459, ENSG00000213719, ENSG00000204569, ENSG00000167553, ENSG00000206503, ENSG00000167792, ENSG00000089597, ENSG00000122566, ENSG00000104231, ENSG00000089351, ENSG00000168090, ENSG00000068120, ENSG00000136933, ENSG00000111639, ENSG00000114902, ENSG00000183808, ENSG00000148362, ENSG00000159377, ENSG00000105518, ENSG00000204394, ENSG00000139644, ENSG00000062822, ENSG00000147955, ENSG00000216490, ENSG00000139641, ENSG00000184584, ENSG00000105193, ENSG00000126457, ENSG00000130706, ENSG00000103335, ENSG00000214078, ENSG00000100065, ENSG00000078618, ENSG00000108465, ENSG00000164733, ENSG00000115307, ENSG00000110536, ENSG00000130725, ENSG00000172366, ENSG00000241343, ENSG00000132341, ENSG00000115541, ENSG00000174547, ENSG00000175756, ENSG00000221983, ENSG00000182154, ENSG00000063241, ENSG00000103202, ENSG00000106397, ENSG00000203618, ENSG00000071994, ENSG00000101294, ENSG00000131469, ENSG00000148341, ENSG00000130811, ENSG00000165280, ENSG00000111775, ENSG00000214736, ENSG00000265681, ENSG00000135821, ENSG00000167468, ENSG00000229117, ENSG00000134294, ENSG00000159593, ENSG00000140988, ENSG00000172809, ENSG00000125107, ENSG00000140983, ENSG00000102144, ENSG00000105404, ENSG00000156990, ENSG00000111641, ENSG00000244754, ENSG00000174444, ENSG00000173113, ENSG00000177954, ENSG00000088986, ENSG00000160285, ENSG00000171848, ENSG00000188157, ENSG00000128626, ENSG00000147123, ENSG00000149428, ENSG00000162585, ENSG00000215012, ENSG00000070669, ENSG00000161016, ENSG00000105640, ENSG00000022840, ENSG00000137309, ENSG00000179222, ENSG00000135486, ENSG00000156508, ENSG00000173486, ENSG00000171863, ENSG00000247077, ENSG00000170889, ENSG00000120437, ENSG00000105393, ENSG00000087365, ENSG00000072778, ENSG00000123143, ENSG00000125691, ENSG00000178028, ENSG00000129255, ENSG00000149761, ENSG00000071462, ENSG00000129250, ENSG00000041357, ENSG00000150991, ENSG00000170421, ENSG00000114650, ENSG00000233927, ENSG00000169679, ENSG00000030582, ENSG00000182196, ENSG00000102317, ENSG00000166165, ENSG00000102316, ENSG00000087111, ENSG00000188976, ENSG00000182199, ENSG00000071553, ENSG00000092010, ENSG00000178952, ENSG00000113119, ENSG00000105613, ENSG00000174231, ENSG00000178035, ENSG00000172053, ENSG00000169682, ENSG00000111057, ENSG00000104529, ENSG00000117399, ENSG00000117395, ENSG00000143418, ENSG00000071564, ENSG00000213551, ENSG00000099797, ENSG00000197102, ENSG00000196497, ENSG00000155508, ENSG00000244038, ENSG00000152234, ENSG00000228474, ENSG00000196924, ENSG00000141101, ENSG00000162384, ENSG00000084623, ENSG00000119559, ENSG00000119318, ENSG00000257218, ENSG00000168003, ENSG00000164327, ENSG00000166508, ENSG00000179010, ENSG00000214087	304	12657	18967	1.365444490878773	3.118851513518889E-21	1.0415861430880633E-21	1.0238653958521606E-21
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	98	30.434782608695656	3.095047747149729E-23	ENSG00000068120, ENSG00000092199, ENSG00000110700, ENSG00000104823, ENSG00000159377, ENSG00000064601, ENSG00000084207, ENSG00000138030, ENSG00000105193, ENSG00000214078, ENSG00000164733, ENSG00000105223, ENSG00000075624, ENSG00000115307, ENSG00000132341, ENSG00000115541, ENSG00000171557, ENSG00000221983, ENSG00000137076, ENSG00000163931, ENSG00000106397, ENSG00000164587, ENSG00000105220, ENSG00000071994, ENSG00000131469, ENSG00000103876, ENSG00000165280, ENSG00000135821, ENSG00000167468, ENSG00000115053, ENSG00000163382, ENSG00000156482, ENSG00000140988, ENSG00000105372, ENSG00000167986, ENSG00000102144, ENSG00000171298, ENSG00000111885, ENSG00000244754, ENSG00000174444, ENSG00000204525, ENSG00000167996, ENSG00000185043, ENSG00000143727, ENSG00000188157, ENSG00000149428, ENSG00000075415, ENSG00000129084, ENSG00000135486, ENSG00000156508, ENSG00000204592, ENSG00000170889, ENSG00000120437, ENSG00000109475, ENSG00000070756, ENSG00000087191, ENSG00000125691, ENSG00000112514, ENSG00000111669, ENSG00000041357, ENSG00000198931, ENSG00000204463, ENSG00000170421, ENSG00000150991, ENSG00000133112, ENSG00000233927, ENSG00000030582, ENSG00000143947, ENSG00000166165, ENSG00000182199, ENSG00000165119, ENSG00000148834, ENSG00000071553, ENSG00000092010, ENSG00000178952, ENSG00000178035, ENSG00000111057, ENSG00000132475, ENSG00000188486, ENSG00000234745, ENSG00000164032, ENSG00000149476, ENSG00000161203, ENSG00000105202, ENSG00000118181, ENSG00000067225, ENSG00000197102, ENSG00000196531, ENSG00000213719, ENSG00000152234, ENSG00000196924, ENSG00000084623, ENSG00000206503, ENSG00000168003, ENSG00000180879, ENSG00000089597, ENSG00000166986, ENSG00000122566	309	2240	20647	2.923321197411003	1.3772962474816293E-20	4.5909874916054315E-21	4.2195817619474636E-21
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	18	5.590062111801243	2.2462277660689868E-17	ENSG00000125691, ENSG00000131469, ENSG00000174444, ENSG00000241343, ENSG00000265681, ENSG00000130255, ENSG00000142541, ENSG00000229117, ENSG00000221983, ENSG00000156482, ENSG00000063177, ENSG00000109475, ENSG00000172809, ENSG00000147403, ENSG00000167526, ENSG00000122026, ENSG00000161016, ENSG00000105640	309	62	20647	19.398997807704355	9.995713559006992E-15	2.498928389751748E-15	2.296767890805539E-15
GOTERM_CC_DIRECT	GO:0005829~cytosol	153	47.51552795031056	5.556836404398267E-17	ENSG00000168090, ENSG00000092199, ENSG00000136933, ENSG00000110700, ENSG00000114867, ENSG00000104823, ENSG00000159377, ENSG00000196961, ENSG00000084207, ENSG00000135446, ENSG00000076382, ENSG00000204394, ENSG00000062822, ENSG00000142541, ENSG00000147955, ENSG00000216490, ENSG00000123349, ENSG00000184584, ENSG00000138030, ENSG00000105193, ENSG00000126457, ENSG00000161981, ENSG00000130706, ENSG00000214078, ENSG00000140365, ENSG00000078618, ENSG00000108465, ENSG00000167965, ENSG00000175470, ENSG00000075624, ENSG00000130204, ENSG00000178980, ENSG00000132507, ENSG00000130725, ENSG00000132341, ENSG00000241343, ENSG00000115268, ENSG00000221983, ENSG00000137076, ENSG00000163931, ENSG00000164587, ENSG00000122026, ENSG00000105220, ENSG00000104131, ENSG00000131469, ENSG00000160789, ENSG00000148341, ENSG00000105810, ENSG00000130811, ENSG00000103876, ENSG00000165280, ENSG00000002330, ENSG00000265681, ENSG00000135821, ENSG00000178999, ENSG00000130255, ENSG00000167468, ENSG00000229117, ENSG00000159593, ENSG00000156482, ENSG00000140988, ENSG00000121022, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000125107, ENSG00000105373, ENSG00000102144, ENSG00000198355, ENSG00000159069, ENSG00000111885, ENSG00000174444, ENSG00000173113, ENSG00000177954, ENSG00000167996, ENSG00000088986, ENSG00000171848, ENSG00000138382, ENSG00000143727, ENSG00000147403, ENSG00000149823, ENSG00000070669, ENSG00000161016, ENSG00000105640, ENSG00000239857, ENSG00000137309, ENSG00000179222, ENSG00000114942, ENSG00000129084, ENSG00000135486, ENSG00000156508, ENSG00000120705, ENSG00000104904, ENSG00000162191, ENSG00000171863, ENSG00000112640, ENSG00000170889, ENSG00000102606, ENSG00000120437, ENSG00000100664, ENSG00000109475, ENSG00000105393, ENSG00000167526, ENSG00000123143, ENSG00000070756, ENSG00000087191, ENSG00000125691, ENSG00000178028, ENSG00000111669, ENSG00000041357, ENSG00000198931, ENSG00000204463, ENSG00000170421, ENSG00000150991, ENSG00000133112, ENSG00000233927, ENSG00000169679, ENSG00000143947, ENSG00000166165, ENSG00000102316, ENSG00000188976, ENSG00000182199, ENSG00000148834, ENSG00000169714, ENSG00000092010, ENSG00000178035, ENSG00000112306, ENSG00000172053, ENSG00000111057, ENSG00000104529, ENSG00000117399, ENSG00000089006, ENSG00000169045, ENSG00000125148, ENSG00000149476, ENSG00000161203, ENSG00000213551, ENSG00000118181, ENSG00000067225, ENSG00000197102, ENSG00000155508, ENSG00000170043, ENSG00000150459, ENSG00000196924, ENSG00000141101, ENSG00000084623, ENSG00000119318, ENSG00000167792, ENSG00000164327, ENSG00000166508, ENSG00000166986, ENSG00000182774, ENSG00000089351	309	5627	20647	1.8168245680931567	4.9404924595819466E-14	4.945584399914458E-15	4.545492178797782E-15
