Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	38	44.18604651162791	5.383557293468095E-20	ENSG00000065150, ENSG00000076108, ENSG00000215301, ENSG00000196262, ENSG00000108848, ENSG00000174231, ENSG00000181163, ENSG00000135486, ENSG00000129084, ENSG00000156508, ENSG00000080824, ENSG00000116001, ENSG00000163682, ENSG00000099381, ENSG00000170889, ENSG00000138095, ENSG00000136450, ENSG00000159352, ENSG00000169045, ENSG00000100201, ENSG00000161547, ENSG00000111605, ENSG00000153187, ENSG00000147140, ENSG00000131051, ENSG00000090060, ENSG00000096384, ENSG00000157106, ENSG00000204569, ENSG00000197958, ENSG00000102317, ENSG00000026297, ENSG00000126226, ENSG00000165119, ENSG00000089157, ENSG00000122566, ENSG00000147403, ENSG00000108654	83	1479	18967	5.871323020275829	1.4804782557037263E-17	1.4858618129971942E-17	1.3943413390082366E-17
GOTERM_CC_DIRECT	GO:1990904~ribonucleoprotein complex	13	15.11627906976744	1.3069065527293122E-11	ENSG00000111605, ENSG00000153187, ENSG00000181163, ENSG00000135486, ENSG00000116001, ENSG00000170889, ENSG00000138095, ENSG00000169045, ENSG00000165119, ENSG00000100201, ENSG00000089157, ENSG00000122566, ENSG00000108654	83	191	20647	16.931243297798524	3.1235152242459208E-9	3.123506661023056E-9	2.914401612586366E-9
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	44	51.162790697674424	4.1778610161550147E-11	ENSG00000065150, ENSG00000215301, ENSG00000108848, ENSG00000175166, ENSG00000174231, ENSG00000127481, ENSG00000181163, ENSG00000115657, ENSG00000135486, ENSG00000129084, ENSG00000196305, ENSG00000080824, ENSG00000116001, ENSG00000099381, ENSG00000168137, ENSG00000170889, ENSG00000115392, ENSG00000138095, ENSG00000136450, ENSG00000100867, ENSG00000204256, ENSG00000159352, ENSG00000169045, ENSG00000177084, ENSG00000100201, ENSG00000161547, ENSG00000100462, ENSG00000100023, ENSG00000111605, ENSG00000153187, ENSG00000115947, ENSG00000147140, ENSG00000139613, ENSG00000131051, ENSG00000090060, ENSG00000096384, ENSG00000157106, ENSG00000204569, ENSG00000100911, ENSG00000102317, ENSG00000165119, ENSG00000122566, ENSG00000108654, ENSG00000089053	83	4076	20647	2.6853281625028083	9.985080762220377E-9	4.992543914305242E-9	4.658315033012842E-9
GOTERM_CC_DIRECT	GO:0005634~nucleus	52	60.46511627906976	8.662748748138015E-10	ENSG00000076108, ENSG00000129084, ENSG00000135486, ENSG00000156508, ENSG00000116001, ENSG00000163682, ENSG00000099381, ENSG00000168137, ENSG00000170889, ENSG00000115392, ENSG00000136450, ENSG00000100867, ENSG00000177084, ENSG00000161547, ENSG00000100462, ENSG00000100023, ENSG00000153187, ENSG00000115947, ENSG00000147140, ENSG00000131051, ENSG00000096384, ENSG00000157106, ENSG00000102317, ENSG00000126226, ENSG00000165119, ENSG00000108654, ENSG00000089053, ENSG00000065150, ENSG00000198561, ENSG00000215301, ENSG00000196262, ENSG00000108848, ENSG00000175166, ENSG00000174231, ENSG00000044574, ENSG00000181163, ENSG00000080824, ENSG00000138095, ENSG00000204256, ENSG00000159352, ENSG00000169045, ENSG00000100201, ENSG00000184009, ENSG00000111605, ENSG00000196531, ENSG00000077782, ENSG00000090060, ENSG00000204569, ENSG00000089157, ENSG00000122566, ENSG00000147403, ENSG00000166669	83	6100	20647	2.120568832707881	2.0703966296942156E-7	6.901323169349952E-8	6.439309902782591E-8
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	9	10.465116279069768	3.1017294744556143E-9	ENSG00000153187, ENSG00000136450, ENSG00000174231, ENSG00000169045, ENSG00000165119, ENSG00000135486, ENSG00000122566, ENSG00000108654, ENSG00000100023	83	92	20647	24.335123101100052	7.413130598266093E-7	1.8532833609872297E-7	1.729214182009005E-7
GOTERM_CC_DIRECT	GO:0016607~nuclear speck	14	16.27906976744186	2.1024576534616827E-8	ENSG00000111605, ENSG00000076108, ENSG00000153187, ENSG00000108848, ENSG00000174231, ENSG00000147140, ENSG00000181163, ENSG00000131051, ENSG00000099381, ENSG00000136450, ENSG00000204256, ENSG00000100201, ENSG00000161547, ENSG00000108654	83	445	20647	7.8261269798294295	5.024861217450827E-6	1.0049747583546843E-6	9.376961134439105E-7
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	11	12.790697674418606	6.926004143708878E-8	ENSG00000111605, ENSG00000116001, ENSG00000136450, ENSG00000174231, ENSG00000147140, ENSG00000131051, ENSG00000135486, ENSG00000161547, ENSG00000122566, ENSG00000100023, ENSG00000090060	84	238	19453	10.70343137254902	4.931193536783507E-5	4.924388946177012E-5	4.868980913027341E-5
GOTERM_CC_DIRECT	GO:0005829~cytosol	46	53.48837209302325	1.1658863197251638E-7	ENSG00000065150, ENSG00000198561, ENSG00000076108, ENSG00000215301, ENSG00000196262, ENSG00000175166, ENSG00000177000, ENSG00000044574, ENSG00000127481, ENSG00000181163, ENSG00000115657, ENSG00000103091, ENSG00000135486, ENSG00000129084, ENSG00000156508, ENSG00000196305, ENSG00000076382, ENSG00000080824, ENSG00000116001, ENSG00000163682, ENSG00000170889, ENSG00000159352, ENSG00000169045, ENSG00000100201, ENSG00000161547, ENSG00000100462, ENSG00000184009, ENSG00000102144, ENSG00000156873, ENSG00000153187, ENSG00000115947, ENSG00000141959, ENSG00000044446, ENSG00000077782, ENSG00000137955, ENSG00000096384, ENSG00000157106, ENSG00000197958, ENSG00000118523, ENSG00000100911, ENSG00000168906, ENSG00000089157, ENSG00000166986, ENSG00000147403, ENSG00000108654, ENSG00000089053	83	5627	20647	2.0335730696020264	2.7864296448742998E-5	4.644113840238569E-6	4.333210821645191E-6
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	27	31.3953488372093	2.7525605285896416E-7	ENSG00000198561, ENSG00000215301, ENSG00000196262, ENSG00000175166, ENSG00000044574, ENSG00000115657, ENSG00000135486, ENSG00000129084, ENSG00000156508, ENSG00000196305, ENSG00000080824, ENSG00000170889, ENSG00000184009, ENSG00000102144, ENSG00000141959, ENSG00000115307, ENSG00000196531, ENSG00000171557, ENSG00000096384, ENSG00000197958, ENSG00000100911, ENSG00000026297, ENSG00000165119, ENSG00000089157, ENSG00000166986, ENSG00000122566, ENSG00000108654	83	2240	20647	2.9984348106712564	6.578404181767361E-5	9.39802809047035E-6	8.768871398221287E-6
GOTERM_CC_DIRECT	GO:0016020~membrane	35	40.69767441860465	4.6700194739555926E-7	ENSG00000065150, ENSG00000196262, ENSG00000175166, ENSG00000174231, ENSG00000044574, ENSG00000127481, ENSG00000181163, ENSG00000135486, ENSG00000156508, ENSG00000196305, ENSG00000080824, ENSG00000163682, ENSG00000170889, ENSG00000138095, ENSG00000138074, ENSG00000169045, ENSG00000100201, ENSG00000184009, ENSG00000102144, ENSG00000111605, ENSG00000153187, ENSG00000141959, ENSG00000115307, ENSG00000147140, ENSG00000077782, ENSG00000096384, ENSG00000197958, ENSG00000100911, ENSG00000165119, ENSG00000089157, ENSG00000166986, ENSG00000122566, ENSG00000147403, ENSG00000108654, ENSG00000144136	83	3677	20647	2.3678450544085505	1.1160726294745515E-4	1.3951683178442333E-5	1.3017679283651214E-5
