Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	162	48.50299401197605	8.194058749200146E-35	ENSG00000108349, ENSG00000178971, ENSG00000183527, ENSG00000092199, ENSG00000165819, ENSG00000110700, ENSG00000134759, ENSG00000099783, ENSG00000113810, ENSG00000064961, ENSG00000114346, ENSG00000116001, ENSG00000165782, ENSG00000168137, ENSG00000166197, ENSG00000115392, ENSG00000032219, ENSG00000177084, ENSG00000213780, ENSG00000100462, ENSG00000141456, ENSG00000124795, ENSG00000176444, ENSG00000196792, ENSG00000047410, ENSG00000147140, ENSG00000115548, ENSG00000096384, ENSG00000157106, ENSG00000119414, ENSG00000137193, ENSG00000171824, ENSG00000143624, ENSG00000088247, ENSG00000164104, ENSG00000094914, ENSG00000166888, ENSG00000131467, ENSG00000089280, ENSG00000177302, ENSG00000135829, ENSG00000103995, ENSG00000127481, ENSG00000131747, ENSG00000080986, ENSG00000165280, ENSG00000068745, ENSG00000115216, ENSG00000227057, ENSG00000171566, ENSG00000158941, ENSG00000131069, ENSG00000174953, ENSG00000120699, ENSG00000171316, ENSG00000115053, ENSG00000100888, ENSG00000082258, ENSG00000138095, ENSG00000204256, ENSG00000078674, ENSG00000186660, ENSG00000166012, ENSG00000101972, ENSG00000160957, ENSG00000135679, ENSG00000111641, ENSG00000137337, ENSG00000117625, ENSG00000171453, ENSG00000153922, ENSG00000111364, ENSG00000132323, ENSG00000100906, ENSG00000100519, ENSG00000011426, ENSG00000106290, ENSG00000080345, ENSG00000124702, ENSG00000153914, ENSG00000131508, ENSG00000143442, ENSG00000142599, ENSG00000185627, ENSG00000183605, ENSG00000177565, ENSG00000124193, ENSG00000135486, ENSG00000115875, ENSG00000080603, ENSG00000162231, ENSG00000038358, ENSG00000168610, ENSG00000118515, ENSG00000107290, ENSG00000136450, ENSG00000084774, ENSG00000112081, ENSG00000108021, ENSG00000161547, ENSG00000072778, ENSG00000100023, ENSG00000087087, ENSG00000149480, ENSG00000153187, ENSG00000131051, ENSG00000105705, ENSG00000112237, ENSG00000112511, ENSG00000156858, ENSG00000204463, ENSG00000154832, ENSG00000142453, ENSG00000102317, ENSG00000167770, ENSG00000143947, ENSG00000102316, ENSG00000165119, ENSG00000183684, ENSG00000141644, ENSG00000108654, ENSG00000108651, ENSG00000137807, ENSG00000108848, ENSG00000162923, ENSG00000121060, ENSG00000175166, ENSG00000174231, ENSG00000181163, ENSG00000115657, ENSG00000012817, ENSG00000157014, ENSG00000002016, ENSG00000092094, ENSG00000196305, ENSG00000132510, ENSG00000143258, ENSG00000010244, ENSG00000169567, ENSG00000169045, ENSG00000130726, ENSG00000187555, ENSG00000100201, ENSG00000188529, ENSG00000072756, ENSG00000111605, ENSG00000153201, ENSG00000109920, ENSG00000213551, ENSG00000196497, ENSG00000204560, ENSG00000131791, ENSG00000177479, ENSG00000155229, ENSG00000170322, ENSG00000090060, ENSG00000204569, ENSG00000118985, ENSG00000128708, ENSG00000166508, ENSG00000148773, ENSG00000122566	322	4076	20647	2.548484081946129	3.5726096146512637E-32	3.5726096146512637E-32	3.35956408717206E-32
GOTERM_MF_DIRECT	GO:0003723~RNA binding	100	29.94011976047904	2.5348474502019415E-34	ENSG00000108349, ENSG00000092199, ENSG00000110700, ENSG00000099783, ENSG00000116001, ENSG00000116120, ENSG00000166197, ENSG00000141456, ENSG00000124795, ENSG00000047410, ENSG00000147140, ENSG00000241343, ENSG00000107929, ENSG00000117569, ENSG00000115541, ENSG00000096384, ENSG00000157106, ENSG00000171824, ENSG00000088247, ENSG00000026297, ENSG00000122026, ENSG00000164104, ENSG00000089280, ENSG00000135829, ENSG00000130811, ENSG00000131747, ENSG00000145907, ENSG00000165280, ENSG00000110321, ENSG00000227057, ENSG00000158941, ENSG00000174953, ENSG00000115053, ENSG00000136231, ENSG00000138095, ENSG00000112855, ENSG00000111641, ENSG00000134186, ENSG00000174444, ENSG00000111364, ENSG00000170515, ENSG00000153914, ENSG00000121274, ENSG00000089157, ENSG00000147403, ENSG00000076108, ENSG00000124193, ENSG00000135486, ENSG00000156508, ENSG00000115875, ENSG00000164134, ENSG00000162231, ENSG00000107290, ENSG00000136450, ENSG00000112081, ENSG00000120438, ENSG00000161547, ENSG00000070756, ENSG00000087087, ENSG00000153187, ENSG00000131051, ENSG00000105705, ENSG00000156976, ENSG00000088205, ENSG00000102317, ENSG00000143947, ENSG00000165119, ENSG00000183684, ENSG00000108654, ENSG00000169714, ENSG00000132478, ENSG00000182934, ENSG00000108848, ENSG00000121060, ENSG00000174231, ENSG00000181163, ENSG00000010244, ENSG00000169045, ENSG00000130726, ENSG00000090621, ENSG00000161960, ENSG00000100201, ENSG00000188529, ENSG00000072756, ENSG00000257103, ENSG00000148303, ENSG00000163468, ENSG00000111605, ENSG00000153201, ENSG00000141738, ENSG00000204560, ENSG00000198830, ENSG00000090060, ENSG00000204569, ENSG00000168488, ENSG00000147604, ENSG00000100316, ENSG00000089597, ENSG00000148773, ENSG00000122566	322	1479	18967	3.9826725292815777	1.4119100297624814E-31	1.4144448772126835E-31	1.3662827756588464E-31
GOTERM_CC_DIRECT	GO:0005634~nucleus	180	53.89221556886228	4.10362692035612E-23	ENSG00000108349, ENSG00000178971, ENSG00000183527, ENSG00000092199, ENSG00000165819, ENSG00000110700, ENSG00000134759, ENSG00000117616, ENSG00000115317, ENSG00000099783, ENSG00000113810, ENSG00000064961, ENSG00000114346, ENSG00000177646, ENSG00000116001, ENSG00000168137, ENSG00000115392, ENSG00000032219, ENSG00000177084, ENSG00000213780, ENSG00000100462, ENSG00000141456, ENSG00000108465, ENSG00000124795, ENSG00000176444, ENSG00000196792, ENSG00000047410, ENSG00000147140, ENSG00000115548, ENSG00000117569, ENSG00000096384, ENSG00000157106, ENSG00000113240, ENSG00000137193, ENSG00000171824, ENSG00000143624, ENSG00000088247, ENSG00000089693, ENSG00000164104, ENSG00000094914, ENSG00000166888, ENSG00000131467, ENSG00000089280, ENSG00000177302, ENSG00000135829, ENSG00000130811, ENSG00000131747, ENSG00000145907, ENSG00000080986, ENSG00000165280, ENSG00000068745, ENSG00000171566, ENSG00000132155, ENSG00000132793, ENSG00000158941, ENSG00000174953, ENSG00000120699, ENSG00000171316, ENSG00000163660, ENSG00000115053, ENSG00000100888, ENSG00000136231, ENSG00000082258, ENSG00000138095, ENSG00000204256, ENSG00000186660, ENSG00000101972, ENSG00000100124, ENSG00000160957, ENSG00000135679, ENSG00000137337, ENSG00000134186, ENSG00000117625, ENSG00000174444, ENSG00000171453, ENSG00000153922, ENSG00000132323, ENSG00000100906, ENSG00000100519, ENSG00000170515, ENSG00000106290, ENSG00000080345, ENSG00000131508, ENSG00000089157, ENSG00000130939, ENSG00000147403, ENSG00000143442, ENSG00000142599, ENSG00000185627, ENSG00000022840, ENSG00000177565, ENSG00000076108, ENSG00000158805, ENSG00000197056, ENSG00000179222, ENSG00000135486, ENSG00000156508, ENSG00000115875, ENSG00000080603, ENSG00000164134, ENSG00000162231, ENSG00000038358, ENSG00000168610, ENSG00000118515, ENSG00000107290, ENSG00000136450, ENSG00000084774, ENSG00000138592, ENSG00000148444, ENSG00000161547, ENSG00000100023, ENSG00000070756, ENSG00000087087, ENSG00000149480, ENSG00000130005, ENSG00000073921, ENSG00000153187, ENSG00000131051, ENSG00000105705, ENSG00000112237, ENSG00000112511, ENSG00000204463, ENSG00000154832, ENSG00000265972, ENSG00000142453, ENSG00000110172, ENSG00000102317, ENSG00000152804, ENSG00000167770, ENSG00000143947, ENSG00000102316, ENSG00000165119, ENSG00000183684, ENSG00000141644, ENSG00000108654, ENSG00000169714, ENSG00000137807, ENSG00000198561, ENSG00000108848, ENSG00000162923, ENSG00000175166, ENSG00000174231, ENSG00000181163, ENSG00000012817, ENSG00000002016, ENSG00000092094, ENSG00000132510, ENSG00000010244, ENSG00000169567, ENSG00000169045, ENSG00000130726, ENSG00000090621, ENSG00000187555, ENSG00000100201, ENSG00000188529, ENSG00000106144, ENSG00000146247, ENSG00000072756, ENSG00000148303, ENSG00000111605, ENSG00000213551, ENSG00000196497, ENSG00000196531, ENSG00000204560, ENSG00000198830, ENSG00000135111, ENSG00000131791, ENSG00000177479, ENSG00000155229, ENSG00000170322, ENSG00000090060, ENSG00000204569, ENSG00000147604, ENSG00000100316, ENSG00000128708, ENSG00000004142, ENSG00000166508, ENSG00000148773, ENSG00000241837, ENSG00000122566	322	6100	20647	1.8920985643009876	1.7891813372752682E-20	8.945906686376341E-21	8.412435186730046E-21
GOTERM_CC_DIRECT	GO:0005829~cytosol	167	50.0	5.373459327545755E-21	ENSG00000108349, ENSG00000178971, ENSG00000183527, ENSG00000092199, ENSG00000165819, ENSG00000110700, ENSG00000134759, ENSG00000115317, ENSG00000113810, ENSG00000114346, ENSG00000076382, ENSG00000167325, ENSG00000116001, ENSG00000116120, ENSG00000159131, ENSG00000032219, ENSG00000092108, ENSG00000165704, ENSG00000257365, ENSG00000100462, ENSG00000108465, ENSG00000070610, ENSG00000241343, ENSG00000107929, ENSG00000096384, ENSG00000157106, ENSG00000119414, ENSG00000137193, ENSG00000171824, ENSG00000088247, ENSG00000256269, ENSG00000122026, ENSG00000094914, ENSG00000166888, ENSG00000131467, ENSG00000135829, ENSG00000103995, ENSG00000130811, ENSG00000127481, ENSG00000145907, ENSG00000080986, ENSG00000150787, ENSG00000165280, ENSG00000173588, ENSG00000110321, ENSG00000132155, ENSG00000131069, ENSG00000174953, ENSG00000120699, ENSG00000136231, ENSG00000082258, ENSG00000100889, ENSG00000078674, ENSG00000166012, ENSG00000101972, ENSG00000102144, ENSG00000134108, ENSG00000156873, ENSG00000126562, ENSG00000135679, ENSG00000112855, ENSG00000134186, ENSG00000117625, ENSG00000174444, ENSG00000171453, ENSG00000114993, ENSG00000111364, ENSG00000132323, ENSG00000100906, ENSG00000100519, ENSG00000081791, ENSG00000011426, ENSG00000106290, ENSG00000124702, ENSG00000165219, ENSG00000131508, ENSG00000121274, ENSG00000089157, ENSG00000147403, ENSG00000143442, ENSG00000185627, ENSG00000076108, ENSG00000092036, ENSG00000179222, ENSG00000135486, ENSG00000156508, ENSG00000139725, ENSG00000196914, ENSG00000164134, ENSG00000162231, ENSG00000038358, ENSG00000168610, ENSG00000102606, ENSG00000118515, ENSG00000084774, ENSG00000120438, ENSG00000138592, ENSG00000108021, ENSG00000161547, ENSG00000184787, ENSG00000185359, ENSG00000070756, ENSG00000130005, ENSG00000073921, ENSG00000153187, ENSG00000148396, ENSG00000113569, ENSG00000112511, ENSG00000204463, ENSG00000154832, ENSG00000265972, ENSG00000156976, ENSG00000142453, ENSG00000060971, ENSG00000167770, ENSG00000143947, ENSG00000102316, ENSG00000168906, ENSG00000183684, ENSG00000108654, ENSG00000169714, ENSG00000092098, ENSG00000137807, ENSG00000198561, ENSG00000116906, ENSG00000162923, ENSG00000121060, ENSG00000175166, ENSG00000181163, ENSG00000115657, ENSG00000175203, ENSG00000092094, ENSG00000170037, ENSG00000196305, ENSG00000168237, ENSG00000143258, ENSG00000169567, ENSG00000169045, ENSG00000090621, ENSG00000044090, ENSG00000161960, ENSG00000187555, ENSG00000100201, ENSG00000188529, ENSG00000106144, ENSG00000072756, ENSG00000257103, ENSG00000148303, ENSG00000163468, ENSG00000153201, ENSG00000213551, ENSG00000023287, ENSG00000149100, ENSG00000141738, ENSG00000112659, ENSG00000175216, ENSG00000116977, ENSG00000131791, ENSG00000155229, ENSG00000077380, ENSG00000168488, ENSG00000147604, ENSG00000100316, ENSG00000184432, ENSG00000166508, ENSG00000166986, ENSG00000107862	322	5627	20647	1.9030081229917424	2.342828266809949E-18	7.809427556033165E-19	7.343727747645865E-19
GOTERM_MF_DIRECT	GO:0005515~protein binding	283	84.73053892215569	9.586570038579338E-19	ENSG00000178971, ENSG00000183527, ENSG00000092199, ENSG00000134910, ENSG00000110700, ENSG00000064961, ENSG00000245532, ENSG00000134352, ENSG00000177646, ENSG00000076382, ENSG00000165782, ENSG00000116001, ENSG00000116120, ENSG00000166197, ENSG00000115392, ENSG00000146463, ENSG00000177084, ENSG00000100462, ENSG00000141456, ENSG00000124795, ENSG00000176444, ENSG00000103160, ENSG00000157106, ENSG00000119414, ENSG00000137193, ENSG00000143624, ENSG00000088247, ENSG00000100575, ENSG00000089693, ENSG00000122026, ENSG00000164104, ENSG00000204308, ENSG00000094914, ENSG00000166888, ENSG00000177302, ENSG00000103995, ENSG00000127481, ENSG00000131747, ENSG00000080986, ENSG00000068745, ENSG00000145907, ENSG00000171566, ENSG00000132155, ENSG00000174953, ENSG00000171316, ENSG00000115053, ENSG00000082258, ENSG00000078674, ENSG00000170906, ENSG00000144021, ENSG00000163702, ENSG00000100124, ENSG00000134108, ENSG00000065361, ENSG00000135679, ENSG00000171453, ENSG00000114993, ENSG00000111364, ENSG00000100906, ENSG00000165219, ENSG00000125875, ENSG00000131508, ENSG00000121274, ENSG00000147403, ENSG00000213983, ENSG00000177565, ENSG00000124193, ENSG00000172432, ENSG00000171103, ENSG00000164134, ENSG00000038358, ENSG00000168610, ENSG00000102606, ENSG00000118515, ENSG00000107290, ENSG00000112081, ENSG00000138592, ENSG00000108021, ENSG00000161547, ENSG00000184787, ENSG00000146425, ENSG00000070756, ENSG00000087087, ENSG00000149480, ENSG00000073921, ENSG00000153187, ENSG00000148396, ENSG00000131051, ENSG00000112511, ENSG00000204463, ENSG00000154832, ENSG00000163297, ENSG00000060971, ENSG00000143947, ENSG00000167770, ENSG00000165119, ENSG00000183684, ENSG00000169718, ENSG00000141644, ENSG00000169714, ENSG00000092098, ENSG00000137807, ENSG00000108848, ENSG00000175166, ENSG00000181163, ENSG00000170037, ENSG00000092094, ENSG00000196305, ENSG00000143258, ENSG00000010244, ENSG00000169045, ENSG00000130726, ENSG00000100201, ENSG00000109920, ENSG00000149100, ENSG00000155463, ENSG00000112659, ENSG00000141738, ENSG00000198830, ENSG00000204560, ENSG00000177479, ENSG00000155229, ENSG00000115365, ENSG00000154930, ENSG00000204569, ENSG00000077380, ENSG00000118985, ENSG00000147604, ENSG00000100316, ENSG00000004142, ENSG00000184432, ENSG00000089597, ENSG00000241837, ENSG00000122566, ENSG00000124067, ENSG00000107862, ENSG00000108349, ENSG00000068120, ENSG00000165819, ENSG00000117616, ENSG00000099783, ENSG00000115317, ENSG00000113810, ENSG00000114346, ENSG00000168096, ENSG00000167325, ENSG00000141295, ENSG00000092108, ENSG00000165704, ENSG00000257365, ENSG00000213780, ENSG00000108465, ENSG00000196792, ENSG00000047410, ENSG00000115307, ENSG00000147140, ENSG00000115548, ENSG00000241343, ENSG00000107929, ENSG00000096384, ENSG00000115541, ENSG00000113240, ENSG00000124608, ENSG00000171824, ENSG00000256269, ENSG00000131467, ENSG00000089280, ENSG00000135829, ENSG00000130811, ENSG00000150787, ENSG00000165280, ENSG00000173588, ENSG00000110321, ENSG00000115216, ENSG00000214736, ENSG00000158941, ENSG00000120699, ENSG00000163660, ENSG00000134294, ENSG00000100888, ENSG00000136231, ENSG00000138095, ENSG00000204256, ENSG00000100889, ENSG00000166012, ENSG00000101972, ENSG00000102144, ENSG00000143575, ENSG00000160957, ENSG00000156873, ENSG00000126562, ENSG00000112855, ENSG00000111641, ENSG00000137337, ENSG00000166140, ENSG00000117625, ENSG00000174444, ENSG00000153922, ENSG00000132323, ENSG00000100519, ENSG00000081791, ENSG00000170515, ENSG00000106290, ENSG00000080345, ENSG00000124702, ENSG00000153914, ENSG00000167110, ENSG00000089157, ENSG00000143442, ENSG00000142599, ENSG00000258890, ENSG00000022840, ENSG00000076108, ENSG00000092036, ENSG00000158805, ENSG00000179222, ENSG00000135486, ENSG00000156508, ENSG00000115875, ENSG00000080603, ENSG00000196914, ENSG00000162231, ENSG00000136450, ENSG00000120438, ENSG00000148444, ENSG00000072778, ENSG00000100023, ENSG00000185359, ENSG00000130005, ENSG00000113569, ENSG00000105705, ENSG00000112237, ENSG00000156858, ENSG00000265972, ENSG00000156976, ENSG00000142453, ENSG00000110172, ENSG00000088205, ENSG00000102317, ENSG00000152804, ENSG00000102316, ENSG00000168906, ENSG00000108654, ENSG00000108651, ENSG00000051825, ENSG00000198561, ENSG00000113119, ENSG00000162923, ENSG00000121060, ENSG00000174231, ENSG00000012817, ENSG00000175203, ENSG00000002016, ENSG00000132510, ENSG00000168237, ENSG00000169567, ENSG00000090621, ENSG00000044090, ENSG00000161960, ENSG00000187555, ENSG00000188529, ENSG00000146247, ENSG00000106144, ENSG00000257103, ENSG00000148303, ENSG00000163468, ENSG00000111605, ENSG00000153201, ENSG00000213551, ENSG00000023287, ENSG00000196497, ENSG00000175216, ENSG00000116977, ENSG00000135111, ENSG00000131791, ENSG00000175455, ENSG00000170322, ENSG00000090060, ENSG00000168488, ENSG00000128708, ENSG00000185246, ENSG00000166508, ENSG00000148773	322	12657	18967	1.3170383707343836	5.339719511488691E-16	2.6746530407636353E-16	2.5835806253971316E-16
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	155	46.40718562874252	1.3960311240556726E-14	ENSG00000108349, ENSG00000183527, ENSG00000165819, ENSG00000110700, ENSG00000134759, ENSG00000099783, ENSG00000114346, ENSG00000168096, ENSG00000076382, ENSG00000116001, ENSG00000116120, ENSG00000166197, ENSG00000115392, ENSG00000165704, ENSG00000100462, ENSG00000141456, ENSG00000108465, ENSG00000196792, ENSG00000047410, ENSG00000115548, ENSG00000096384, ENSG00000157106, ENSG00000119414, ENSG00000137193, ENSG00000171824, ENSG00000143624, ENSG00000088247, ENSG00000256269, ENSG00000089693, ENSG00000122026, ENSG00000164104, ENSG00000166888, ENSG00000131467, ENSG00000089280, ENSG00000135829, ENSG00000130811, ENSG00000131747, ENSG00000145907, ENSG00000080986, ENSG00000150787, ENSG00000165280, ENSG00000068745, ENSG00000110321, ENSG00000115216, ENSG00000132155, ENSG00000158941, ENSG00000131069, ENSG00000174953, ENSG00000120699, ENSG00000115053, ENSG00000134294, ENSG00000136231, ENSG00000204256, ENSG00000078674, ENSG00000144021, ENSG00000100124, ENSG00000134108, ENSG00000160957, ENSG00000126562, ENSG00000135679, ENSG00000112855, ENSG00000166140, ENSG00000174444, ENSG00000153922, ENSG00000132323, ENSG00000100906, ENSG00000100519, ENSG00000145348, ENSG00000170515, ENSG00000080345, ENSG00000124702, ENSG00000121274, ENSG00000089157, ENSG00000130939, ENSG00000143442, ENSG00000258890, ENSG00000022840, ENSG00000179222, ENSG00000135486, ENSG00000156508, ENSG00000115875, ENSG00000196914, ENSG00000164134, ENSG00000162231, ENSG00000038358, ENSG00000168610, ENSG00000102606, ENSG00000118515, ENSG00000107290, ENSG00000136450, ENSG00000084774, ENSG00000112081, ENSG00000138592, ENSG00000161547, ENSG00000100023, ENSG00000146425, ENSG00000070756, ENSG00000087087, ENSG00000130005, ENSG00000148396, ENSG00000112511, ENSG00000204463, ENSG00000265972, ENSG00000142453, ENSG00000110172, ENSG00000102317, ENSG00000152804, ENSG00000143947, ENSG00000165119, ENSG00000183684, ENSG00000108654, ENSG00000169714, ENSG00000143543, ENSG00000137807, ENSG00000132478, ENSG00000198561, ENSG00000162923, ENSG00000121060, ENSG00000181163, ENSG00000175203, ENSG00000092094, ENSG00000170037, ENSG00000196305, ENSG00000168237, ENSG00000143258, ENSG00000010244, ENSG00000169567, ENSG00000090621, ENSG00000044090, ENSG00000161960, ENSG00000100201, ENSG00000188529, ENSG00000106144, ENSG00000257103, ENSG00000148303, ENSG00000111605, ENSG00000153201, ENSG00000213551, ENSG00000196497, ENSG00000196531, ENSG00000175216, ENSG00000204560, ENSG00000198830, ENSG00000116977, ENSG00000131791, ENSG00000175455, ENSG00000177479, ENSG00000155229, ENSG00000115365, ENSG00000090060, ENSG00000077380, ENSG00000147604, ENSG00000100316, ENSG00000166986, ENSG00000122566	322	5771	20647	1.7221925648805174	6.09912120808076E-12	1.5216739252206831E-12	1.4309319021570644E-12
GOTERM_CC_DIRECT	GO:0016607~nuclear speck	35	10.479041916167663	2.012482449564308E-14	ENSG00000108349, ENSG00000076108, ENSG00000108848, ENSG00000165819, ENSG00000174231, ENSG00000124193, ENSG00000181163, ENSG00000113810, ENSG00000115875, ENSG00000092094, ENSG00000171566, ENSG00000132155, ENSG00000174953, ENSG00000163660, ENSG00000162231, ENSG00000118515, ENSG00000136450, ENSG00000204256, ENSG00000112081, ENSG00000100201, ENSG00000188529, ENSG00000213780, ENSG00000161547, ENSG00000111605, ENSG00000109920, ENSG00000153187, ENSG00000176444, ENSG00000147140, ENSG00000131051, ENSG00000154832, ENSG00000168488, ENSG00000153914, ENSG00000183684, ENSG00000141644, ENSG00000108654	322	445	20647	5.043234000977039	8.761436021131885E-12	1.7548846960200766E-12	1.6502356086427325E-12
GOTERM_CC_DIRECT	GO:1990904~ribonucleoprotein complex	24	7.18562874251497	3.129648831021081E-14	ENSG00000111605, ENSG00000153187, ENSG00000135829, ENSG00000131747, ENSG00000145907, ENSG00000181163, ENSG00000135486, ENSG00000099783, ENSG00000174444, ENSG00000116001, ENSG00000115053, ENSG00000170515, ENSG00000147604, ENSG00000138095, ENSG00000169045, ENSG00000165119, ENSG00000090621, ENSG00000100201, ENSG00000089157, ENSG00000122566, ENSG00000108654, ENSG00000087087, ENSG00000070756, ENSG00000257103	322	191	20647	8.057103834021659	1.3650414132371225E-11	2.2742114838753187E-12	2.1385933678644052E-12
GOTERM_MF_DIRECT	GO:0003729~mRNA binding	25	7.48502994011976	1.1514147220661547E-11	ENSG00000108349, ENSG00000108848, ENSG00000135829, ENSG00000165819, ENSG00000110700, ENSG00000124193, ENSG00000145907, ENSG00000099783, ENSG00000110321, ENSG00000115875, ENSG00000162231, ENSG00000136231, ENSG00000136450, ENSG00000161960, ENSG00000257103, ENSG00000070756, ENSG00000111605, ENSG00000047410, ENSG00000117569, ENSG00000168488, ENSG00000147604, ENSG00000088247, ENSG00000183684, ENSG00000165119, ENSG00000169714	322	255	18967	5.774875167458287	6.413366504531837E-9	2.141631383043048E-9	2.0687084506455246E-9
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	22	6.58682634730539	1.4618683330523116E-11	ENSG00000108349, ENSG00000092199, ENSG00000153187, ENSG00000174231, ENSG00000165819, ENSG00000124193, ENSG00000204560, ENSG00000135486, ENSG00000099783, ENSG00000134186, ENSG00000115875, ENSG00000171566, ENSG00000136450, ENSG00000169045, ENSG00000112081, ENSG00000183684, ENSG00000165119, ENSG00000122566, ENSG00000188529, ENSG00000161547, ENSG00000108654, ENSG00000070756	318	200	19453	6.729025157232704	2.6035796851786586E-8	2.6021256328331147E-8	2.5582695828415454E-8
