Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	45	40.54054054054054	5.760057125324651E-23	ENSG00000131469, ENSG00000106348, ENSG00000076108, ENSG00000108848, ENSG00000178252, ENSG00000181222, ENSG00000099622, ENSG00000099821, ENSG00000174231, ENSG00000142937, ENSG00000114867, ENSG00000135486, ENSG00000156508, ENSG00000265681, ENSG00000136270, ENSG00000142541, ENSG00000169045, ENSG00000140988, ENSG00000126457, ENSG00000161960, ENSG00000090621, ENSG00000167526, ENSG00000148303, ENSG00000125691, ENSG00000101361, ENSG00000140829, ENSG00000071462, ENSG00000130305, ENSG00000099899, ENSG00000174444, ENSG00000198755, ENSG00000116754, ENSG00000179218, ENSG00000173812, ENSG00000156976, ENSG00000197958, ENSG00000169710, ENSG00000011304, ENSG00000102317, ENSG00000123136, ENSG00000188976, ENSG00000205937, ENSG00000147403, ENSG00000108654, ENSG00000161016	101	1479	18967	5.713754945474264	1.4803346812084353E-20	1.48609473833376E-20	1.4227341099551887E-20
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	14	12.612612612612612	8.659664776883466E-16	ENSG00000125691, ENSG00000131469, ENSG00000142937, ENSG00000156508, ENSG00000174444, ENSG00000198755, ENSG00000265681, ENSG00000197958, ENSG00000142541, ENSG00000140988, ENSG00000147403, ENSG00000167526, ENSG00000148303, ENSG00000161016	103	93	20647	30.176218811984548	1.971756091734278E-13	1.9224455804681295E-13	1.783890944037994E-13
GOTERM_BP_DIRECT	GO:0006412~translation	17	15.315315315315313	3.635097721122638E-14	ENSG00000125691, ENSG00000131469, ENSG00000148187, ENSG00000142937, ENSG00000114867, ENSG00000156508, ENSG00000174444, ENSG00000198755, ENSG00000265681, ENSG00000197958, ENSG00000142541, ENSG00000140988, ENSG00000090621, ENSG00000147403, ENSG00000167526, ENSG00000148303, ENSG00000161016	104	219	19453	14.519713733754829	2.4432789125228283E-11	1.8822806550502104E-11	1.8794796421706715E-11
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	13	11.711711711711711	5.602025759078007E-14	ENSG00000125691, ENSG00000131469, ENSG00000142937, ENSG00000174444, ENSG00000198755, ENSG00000265681, ENSG00000197958, ENSG00000142541, ENSG00000140988, ENSG00000147403, ENSG00000167526, ENSG00000148303, ENSG00000161016	104	91	19453	26.721153846153847	3.773259482642288E-11	1.8822806550502104E-11	1.8794796421706715E-11
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	11	9.90990990990991	4.789113560620768E-13	ENSG00000125691, ENSG00000197958, ENSG00000142541, ENSG00000131469, ENSG00000174444, ENSG00000198755, ENSG00000265681, ENSG00000147403, ENSG00000167526, ENSG00000148303, ENSG00000161016	103	62	20647	35.564829314124644	1.0632694724677094E-10	5.315916052289053E-11	4.9327869674393914E-11
GOTERM_CC_DIRECT	GO:0005829~cytosol	59	53.153153153153156	2.83841344695909E-10	ENSG00000168090, ENSG00000076108, ENSG00000178252, ENSG00000142937, ENSG00000114867, ENSG00000135486, ENSG00000156508, ENSG00000104904, ENSG00000139645, ENSG00000142541, ENSG00000008130, ENSG00000126457, ENSG00000142945, ENSG00000179262, ENSG00000140400, ENSG00000167526, ENSG00000125691, ENSG00000175197, ENSG00000075624, ENSG00000070610, ENSG00000111669, ENSG00000099899, ENSG00000072310, ENSG00000172046, ENSG00000156976, ENSG00000197958, ENSG00000204227, ENSG00000169710, ENSG00000137193, ENSG00000188976, ENSG00000182199, ENSG00000108654, ENSG00000076604, ENSG00000131469, ENSG00000106348, ENSG00000173020, ENSG00000265681, ENSG00000092094, ENSG00000178999, ENSG00000143258, ENSG00000122952, ENSG00000166012, ENSG00000169045, ENSG00000140988, ENSG00000161960, ENSG00000090621, ENSG00000102225, ENSG00000184009, ENSG00000102144, ENSG00000148303, ENSG00000160796, ENSG00000174444, ENSG00000198755, ENSG00000179218, ENSG00000166508, ENSG00000205937, ENSG00000147403, ENSG00000168209, ENSG00000161016	103	5627	20647	2.101816657205809	6.301278765441509E-8	2.1004259507497266E-8	1.9490439002452417E-8
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	13	11.711711711711711	3.5097775949358164E-10	ENSG00000125691, ENSG00000131469, ENSG00000142937, ENSG00000174444, ENSG00000198755, ENSG00000265681, ENSG00000197958, ENSG00000142541, ENSG00000140988, ENSG00000147403, ENSG00000167526, ENSG00000148303, ENSG00000161016	101	190	18967	12.848931735278793	9.020129110304254E-8	4.5276130974672034E-8	4.334575329745733E-8
GOTERM_CC_DIRECT	GO:0005634~nucleus	60	54.054054054054056	2.4458486664848553E-9	ENSG00000168090, ENSG00000076108, ENSG00000158805, ENSG00000181222, ENSG00000099622, ENSG00000142937, ENSG00000114867, ENSG00000135486, ENSG00000156508, ENSG00000104904, ENSG00000139645, ENSG00000142541, ENSG00000126457, ENSG00000142945, ENSG00000179262, ENSG00000167526, ENSG00000175197, ENSG00000140829, ENSG00000075624, ENSG00000071462, ENSG00000111669, ENSG00000072310, ENSG00000116754, ENSG00000173812, ENSG00000204227, ENSG00000137193, ENSG00000102317, ENSG00000188976, ENSG00000182199, ENSG00000108654, ENSG00000076604, ENSG00000105576, ENSG00000131469, ENSG00000106348, ENSG00000108848, ENSG00000174231, ENSG00000265681, ENSG00000132475, ENSG00000092094, ENSG00000178999, ENSG00000204256, ENSG00000169045, ENSG00000140988, ENSG00000090621, ENSG00000102225, ENSG00000167548, ENSG00000184009, ENSG00000148303, ENSG00000110955, ENSG00000133612, ENSG00000174444, ENSG00000198755, ENSG00000111642, ENSG00000179218, ENSG00000011304, ENSG00000123136, ENSG00000166508, ENSG00000205937, ENSG00000147403, ENSG00000166669	103	6100	20647	1.9717014165207702	5.42978250139825E-7	1.3574460098990947E-7	1.2596120632397004E-7
GOTERM_CC_DIRECT	GO:0005840~ribosome	11	9.90990990990991	1.521917074786711E-8	ENSG00000125691, ENSG00000197958, ENSG00000142541, ENSG00000131469, ENSG00000142937, ENSG00000140988, ENSG00000156508, ENSG00000174444, ENSG00000147403, ENSG00000167526, ENSG00000161016	103	174	20647	12.672525387791541	3.3786502138255514E-6	6.757311812052997E-7	6.27029834812125E-7
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	15	13.513513513513514	2.9472030533759238E-8	ENSG00000125691, ENSG00000161638, ENSG00000131469, ENSG00000075624, ENSG00000142937, ENSG00000174444, ENSG00000198755, ENSG00000179218, ENSG00000005961, ENSG00000197958, ENSG00000142541, ENSG00000140988, ENSG00000184009, ENSG00000148303, ENSG00000161016	103	434	20647	6.928213502751555	6.542769459549902E-6	1.0904651297490918E-6	1.011873048325734E-6
