Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	87	43.28358208955223	5.150188089681516E-15	ENSG00000177200, ENSG00000096433, ENSG00000135723, ENSG00000165819, ENSG00000113810, ENSG00000196367, ENSG00000064961, ENSG00000104907, ENSG00000156304, ENSG00000162231, ENSG00000099381, ENSG00000138398, ENSG00000038358, ENSG00000100429, ENSG00000058600, ENSG00000177084, ENSG00000087365, ENSG00000140400, ENSG00000214078, ENSG00000072778, ENSG00000167967, ENSG00000182944, ENSG00000153187, ENSG00000125450, ENSG00000003756, ENSG00000071462, ENSG00000072310, ENSG00000115548, ENSG00000196235, ENSG00000104859, ENSG00000112511, ENSG00000170144, ENSG00000082898, ENSG00000204463, ENSG00000132300, ENSG00000233927, ENSG00000204469, ENSG00000188130, ENSG00000143624, ENSG00000103249, ENSG00000188976, ENSG00000165119, ENSG00000141644, ENSG00000105220, ENSG00000094914, ENSG00000186635, ENSG00000167657, ENSG00000163930, ENSG00000095564, ENSG00000132676, ENSG00000104885, ENSG00000160949, ENSG00000197111, ENSG00000094631, ENSG00000131748, ENSG00000171163, ENSG00000076201, ENSG00000115657, ENSG00000117713, ENSG00000158864, ENSG00000172732, ENSG00000122359, ENSG00000122952, ENSG00000138095, ENSG00000204256, ENSG00000169045, ENSG00000130726, ENSG00000109332, ENSG00000100201, ENSG00000167986, ENSG00000128731, ENSG00000179335, ENSG00000105202, ENSG00000127054, ENSG00000105325, ENSG00000129351, ENSG00000177595, ENSG00000270647, ENSG00000205250, ENSG00000132485, ENSG00000170322, ENSG00000140451, ENSG00000079432, ENSG00000085872, ENSG00000168003, ENSG00000100116, ENSG00000185122	195	4076	20647	2.259994715784706	1.894706613825292E-12	1.9107197812718426E-12	1.8695182765543904E-12
GOTERM_MF_DIRECT	GO:0003723~RNA binding	48	23.88059701492537	1.84834971914242E-12	ENSG00000132676, ENSG00000130810, ENSG00000197111, ENSG00000112787, ENSG00000120705, ENSG00000132153, ENSG00000104907, ENSG00000156304, ENSG00000162231, ENSG00000122359, ENSG00000099381, ENSG00000138035, ENSG00000138398, ENSG00000138095, ENSG00000169045, ENSG00000130726, ENSG00000090621, ENSG00000127603, ENSG00000100201, ENSG00000087365, ENSG00000164896, ENSG00000106344, ENSG00000179335, ENSG00000182944, ENSG00000105202, ENSG00000153187, ENSG00000003756, ENSG00000129351, ENSG00000071462, ENSG00000270647, ENSG00000178209, ENSG00000196235, ENSG00000072274, ENSG00000082898, ENSG00000170144, ENSG00000132485, ENSG00000170445, ENSG00000132300, ENSG00000196924, ENSG00000233927, ENSG00000204469, ENSG00000169710, ENSG00000085872, ENSG00000168003, ENSG00000188976, ENSG00000165119, ENSG00000089597, ENSG00000147403	196	1479	18967	3.1406217659477584	8.834870612872692E-10	8.853595154692192E-10	8.798144663117919E-10
GOTERM_CC_DIRECT	GO:0005829~cytosol	92	45.77114427860697	3.4735352864576064E-9	ENSG00000177200, ENSG00000186716, ENSG00000135723, ENSG00000165819, ENSG00000196642, ENSG00000113810, ENSG00000120705, ENSG00000084207, ENSG00000204394, ENSG00000076382, ENSG00000142102, ENSG00000162231, ENSG00000138035, ENSG00000138398, ENSG00000038358, ENSG00000100429, ENSG00000225697, ENSG00000142186, ENSG00000058600, ENSG00000160691, ENSG00000140400, ENSG00000214078, ENSG00000185359, ENSG00000105397, ENSG00000153187, ENSG00000125450, ENSG00000148396, ENSG00000072310, ENSG00000099331, ENSG00000112511, ENSG00000117448, ENSG00000082898, ENSG00000204463, ENSG00000137955, ENSG00000132300, ENSG00000233927, ENSG00000119777, ENSG00000204469, ENSG00000169710, ENSG00000164068, ENSG00000188130, ENSG00000060971, ENSG00000188976, ENSG00000168906, ENSG00000105186, ENSG00000105220, ENSG00000094914, ENSG00000186635, ENSG00000167657, ENSG00000163930, ENSG00000104522, ENSG00000067057, ENSG00000197111, ENSG00000094631, ENSG00000131748, ENSG00000172053, ENSG00000076201, ENSG00000115657, ENSG00000131381, ENSG00000132153, ENSG00000249115, ENSG00000173821, ENSG00000122359, ENSG00000092929, ENSG00000122952, ENSG00000169045, ENSG00000161202, ENSG00000109332, ENSG00000090621, ENSG00000044090, ENSG00000102225, ENSG00000100201, ENSG00000160753, ENSG00000184009, ENSG00000102144, ENSG00000100241, ENSG00000160796, ENSG00000128731, ENSG00000127054, ENSG00000105325, ENSG00000124181, ENSG00000177595, ENSG00000178209, ENSG00000006125, ENSG00000170445, ENSG00000196924, ENSG00000185122, ENSG00000167792, ENSG00000141503, ENSG00000166986, ENSG00000147403, ENSG00000014216	195	5627	20647	1.7311442541227504	1.2886807448930782E-6	6.44340795637886E-7	6.304466544920556E-7
GOTERM_CC_DIRECT	GO:0016020~membrane	69	34.32835820895522	6.298672498614007E-9	ENSG00000213983, ENSG00000096433, ENSG00000186716, ENSG00000135723, ENSG00000038358, ENSG00000225697, ENSG00000142186, ENSG00000103335, ENSG00000214078, ENSG00000105397, ENSG00000112759, ENSG00000153187, ENSG00000125450, ENSG00000115307, ENSG00000099331, ENSG00000115548, ENSG00000072274, ENSG00000082898, ENSG00000204463, ENSG00000114650, ENSG00000137312, ENSG00000114770, ENSG00000204469, ENSG00000169710, ENSG00000060971, ENSG00000103249, ENSG00000165119, ENSG00000105186, ENSG00000105220, ENSG00000094914, ENSG00000101294, ENSG00000176454, ENSG00000067057, ENSG00000197111, ENSG00000173064, ENSG00000008710, ENSG00000058262, ENSG00000173821, ENSG00000122359, ENSG00000092929, ENSG00000138095, ENSG00000169045, ENSG00000100201, ENSG00000127603, ENSG00000140983, ENSG00000184009, ENSG00000102144, ENSG00000100241, ENSG00000160796, ENSG00000128731, ENSG00000179335, ENSG00000105202, ENSG00000129351, ENSG00000105726, ENSG00000178209, ENSG00000006125, ENSG00000196924, ENSG00000085998, ENSG00000117385, ENSG00000185000, ENSG00000125637, ENSG00000085872, ENSG00000168003, ENSG00000167792, ENSG00000164889, ENSG00000089597, ENSG00000166986, ENSG00000147403, ENSG00000014216	195	3677	20647	1.986908223677329	2.336804764357936E-6	7.78935832328599E-7	7.621393723322949E-7
GOTERM_MF_DIRECT	GO:0005515~protein binding	162	80.59701492537313	5.122301318220036E-7	ENSG00000096433, ENSG00000135723, ENSG00000106327, ENSG00000165819, ENSG00000113810, ENSG00000064961, ENSG00000084207, ENSG00000076382, ENSG00000204394, ENSG00000099381, ENSG00000138035, ENSG00000138398, ENSG00000177084, ENSG00000103335, ENSG00000214078, ENSG00000167967, ENSG00000182944, ENSG00000115307, ENSG00000115548, ENSG00000117448, ENSG00000082898, ENSG00000188130, ENSG00000143624, ENSG00000105186, ENSG00000105220, ENSG00000094914, ENSG00000186635, ENSG00000163930, ENSG00000203618, ENSG00000161638, ENSG00000101294, ENSG00000132676, ENSG00000160949, ENSG00000196187, ENSG00000094631, ENSG00000173064, ENSG00000131748, ENSG00000171163, ENSG00000110046, ENSG00000077454, ENSG00000132153, ENSG00000008710, ENSG00000058262, ENSG00000249115, ENSG00000122359, ENSG00000172889, ENSG00000204410, ENSG00000138095, ENSG00000204256, ENSG00000109332, ENSG00000163702, ENSG00000125503, ENSG00000140983, ENSG00000184009, ENSG00000167986, ENSG00000102144, ENSG00000160796, ENSG00000128731, ENSG00000179335, ENSG00000243943, ENSG00000006125, ENSG00000085998, ENSG00000121716, ENSG00000085872, ENSG00000147403, ENSG00000164402, ENSG00000022840, ENSG00000213983, ENSG00000186716, ENSG00000196367, ENSG00000196642, ENSG00000120705, ENSG00000104907, ENSG00000162231, ENSG00000038358, ENSG00000100429, ENSG00000160691, ENSG00000087365, ENSG00000164896, ENSG00000072778, ENSG00000185359, ENSG00000184702, ENSG00000105397, ENSG00000153187, ENSG00000125450, ENSG00000003756, ENSG00000148396, ENSG00000071462, ENSG00000072310, ENSG00000099331, ENSG00000196235, ENSG00000104859, ENSG00000072274, ENSG00000170144, ENSG00000112511, ENSG00000204463, ENSG00000137955, ENSG00000114650, ENSG00000137312, ENSG00000132300, ENSG00000233927, ENSG00000163297, ENSG00000204469, ENSG00000060971, ENSG00000169710, ENSG00000007392, ENSG00000143382, ENSG00000188976, ENSG00000168906, ENSG00000165119, ENSG00000103249, ENSG00000109065, ENSG00000169718, ENSG00000141524, ENSG00000141644, ENSG00000070526, ENSG00000167657, ENSG00000105576, ENSG00000104522, ENSG00000104885, ENSG00000067057, ENSG00000197111, ENSG00000172053, ENSG00000076201, ENSG00000131381, ENSG00000117713, ENSG00000158864, ENSG00000172732, ENSG00000092929, ENSG00000122952, ENSG00000169045, ENSG00000161202, ENSG00000130726, ENSG00000090621, ENSG00000044090, ENSG00000102225, ENSG00000100201, ENSG00000127603, ENSG00000168758, ENSG00000160753, ENSG00000185813, ENSG00000105202, ENSG00000127054, ENSG00000105325, ENSG00000129351, ENSG00000124181, ENSG00000177595, ENSG00000270647, ENSG00000178209, ENSG00000205250, ENSG00000132485, ENSG00000170322, ENSG00000196924, ENSG00000117385, ENSG00000079432, ENSG00000185000, ENSG00000168003, ENSG00000167792, ENSG00000185122, ENSG00000141503, ENSG00000089597, ENSG00000014216	196	12657	18967	1.2385878266926584	2.448160933891108E-4	1.2267911657136988E-4	1.2191077137363686E-4
GOTERM_BP_DIRECT	GO:0006325~chromatin organization	16	7.960199004975125	9.989434457775549E-7	ENSG00000177200, ENSG00000153187, ENSG00000104885, ENSG00000071462, ENSG00000160949, ENSG00000196367, ENSG00000115548, ENSG00000064961, ENSG00000112511, ENSG00000204463, ENSG00000099381, ENSG00000100429, ENSG00000204256, ENSG00000130726, ENSG00000167657, ENSG00000163930	197	322	19453	4.906643125137938	0.0013576413347935468	0.001357564142811697	0.0013565651993659195
GOTERM_BP_DIRECT	GO:0006281~DNA repair	14	6.965174129353234	1.210188380830613E-5	ENSG00000105325, ENSG00000104885, ENSG00000196367, ENSG00000170322, ENSG00000172732, ENSG00000140451, ENSG00000143624, ENSG00000100429, ENSG00000185122, ENSG00000130726, ENSG00000109332, ENSG00000177084, ENSG00000167986, ENSG00000128731	197	301	19453	4.59284618108842	0.016323957826472557	0.008223230047744015	0.008217179105839863
GOTERM_CC_DIRECT	GO:1990904~ribonucleoprotein complex	11	5.472636815920398	1.3700486609133505E-5	ENSG00000153187, ENSG00000129351, ENSG00000138095, ENSG00000197111, ENSG00000185122, ENSG00000169045, ENSG00000165119, ENSG00000090621, ENSG00000100201, ENSG00000082898, ENSG00000170144	195	191	20647	6.097919183783058	0.005070019196298681	0.0012707201329971325	0.0012433191597788656
GOTERM_MF_DIRECT	GO:0005524~ATP binding	34	16.91542288557214	4.1811364162255686E-5	ENSG00000177200, ENSG00000095564, ENSG00000186716, ENSG00000067057, ENSG00000172053, ENSG00000115657, ENSG00000113810, ENSG00000064687, ENSG00000132153, ENSG00000204394, ENSG00000173821, ENSG00000160072, ENSG00000142186, ENSG00000204410, ENSG00000109332, ENSG00000102225, ENSG00000100201, ENSG00000164896, ENSG00000105397, ENSG00000184009, ENSG00000102144, ENSG00000179335, ENSG00000153187, ENSG00000099331, ENSG00000105726, ENSG00000170445, ENSG00000140451, ENSG00000114770, ENSG00000188130, ENSG00000103249, ENSG00000168906, ENSG00000141503, ENSG00000166986, ENSG00000167657	196	1539	18967	2.1378777631910464	0.019787848769489913	0.006675881144573491	0.006634069780411235
GOTERM_CC_DIRECT	GO:0005634~nucleus	84	41.7910447761194	5.671447308132394E-5	ENSG00000022840, ENSG00000135723, ENSG00000165819, ENSG00000196642, ENSG00000113810, ENSG00000196367, ENSG00000064961, ENSG00000084207, ENSG00000104907, ENSG00000156304, ENSG00000162231, ENSG00000099381, ENSG00000138035, ENSG00000138398, ENSG00000038358, ENSG00000100429, ENSG00000142186, ENSG00000058600, ENSG00000177084, ENSG00000087365, ENSG00000214078, ENSG00000105397, ENSG00000182944, ENSG00000153187, ENSG00000003756, ENSG00000071462, ENSG00000072310, ENSG00000115548, ENSG00000196235, ENSG00000072274, ENSG00000112511, ENSG00000170144, ENSG00000082898, ENSG00000204463, ENSG00000188130, ENSG00000143624, ENSG00000188976, ENSG00000165119, ENSG00000141644, ENSG00000094914, ENSG00000167657, ENSG00000163930, ENSG00000105576, ENSG00000104885, ENSG00000130810, ENSG00000067057, ENSG00000197111, ENSG00000094631, ENSG00000076201, ENSG00000117713, ENSG00000132153, ENSG00000008710, ENSG00000132793, ENSG00000172732, ENSG00000138095, ENSG00000204256, ENSG00000204410, ENSG00000169045, ENSG00000130726, ENSG00000109332, ENSG00000090621, ENSG00000102225, ENSG00000100201, ENSG00000160753, ENSG00000184009, ENSG00000167986, ENSG00000128731, ENSG00000179335, ENSG00000105202, ENSG00000127054, ENSG00000105325, ENSG00000129351, ENSG00000130702, ENSG00000177595, ENSG00000270647, ENSG00000243943, ENSG00000205250, ENSG00000170322, ENSG00000196924, ENSG00000117385, ENSG00000079432, ENSG00000100116, ENSG00000185122, ENSG00000147403	195	6100	20647	1.4580479192938212	0.02082183491604006	0.004208213902634236	0.004117470745704117
