Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006412~translation	24	17.77777777777778	1.2542534117579649E-21	ENSG00000172590, ENSG00000130312, ENSG00000131469, ENSG00000111639, ENSG00000118181, ENSG00000114867, ENSG00000112306, ENSG00000242485, ENSG00000171863, ENSG00000130255, ENSG00000233927, ENSG00000229117, ENSG00000170889, ENSG00000165792, ENSG00000143947, ENSG00000128626, ENSG00000140988, ENSG00000121022, ENSG00000156482, ENSG00000182154, ENSG00000182774, ENSG00000167526, ENSG00000105364, ENSG00000161016	126	219	19453	16.9193302891933	8.390955324660785E-19	8.378412790543206E-19	8.303157585837727E-19
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	22	16.296296296296298	9.273484147228827E-20	ENSG00000172590, ENSG00000130312, ENSG00000131469, ENSG00000111639, ENSG00000118181, ENSG00000112306, ENSG00000242485, ENSG00000171863, ENSG00000130255, ENSG00000233927, ENSG00000229117, ENSG00000170889, ENSG00000143947, ENSG00000128626, ENSG00000140988, ENSG00000156482, ENSG00000182154, ENSG00000062582, ENSG00000182774, ENSG00000167526, ENSG00000105364, ENSG00000161016	130	190	18967	16.893684210526317	2.513114203899012E-17	2.522387688046241E-17	2.522387688046241E-17
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	15	11.11111111111111	6.630285830654451E-16	ENSG00000131469, ENSG00000118181, ENSG00000112306, ENSG00000171863, ENSG00000130255, ENSG00000233927, ENSG00000229117, ENSG00000170889, ENSG00000143947, ENSG00000140988, ENSG00000156482, ENSG00000232112, ENSG00000182774, ENSG00000167526, ENSG00000161016	126	91	19453	25.44871794871795	4.4564352208453784E-13	2.2145154674385864E-13	2.1946246099466231E-13
GOTERM_CC_DIRECT	GO:0005840~ribosome	18	13.333333333333334	8.395961469172753E-16	ENSG00000130312, ENSG00000131469, ENSG00000111639, ENSG00000118181, ENSG00000242485, ENSG00000171863, ENSG00000130255, ENSG00000175756, ENSG00000233927, ENSG00000229117, ENSG00000170889, ENSG00000143947, ENSG00000128626, ENSG00000140988, ENSG00000182774, ENSG00000167526, ENSG00000105364, ENSG00000161016	131	174	20647	16.304553829955253	2.0516921495072893E-13	1.939467099378906E-13	1.73796402411876E-13
GOTERM_MF_DIRECT	GO:0003723~RNA binding	39	28.888888888888886	3.2020047225814316E-13	ENSG00000131469, ENSG00000130811, ENSG00000137309, ENSG00000174231, ENSG00000114867, ENSG00000183808, ENSG00000112306, ENSG00000242485, ENSG00000129084, ENSG00000120705, ENSG00000171863, ENSG00000130255, ENSG00000229117, ENSG00000170889, ENSG00000117395, ENSG00000169045, ENSG00000156482, ENSG00000140988, ENSG00000100664, ENSG00000062582, ENSG00000087365, ENSG00000167526, ENSG00000071462, ENSG00000118181, ENSG00000129250, ENSG00000111641, ENSG00000150459, ENSG00000233927, ENSG00000084623, ENSG00000206503, ENSG00000182196, ENSG00000143947, ENSG00000182154, ENSG00000128626, ENSG00000165119, ENSG00000089597, ENSG00000182774, ENSG00000105364, ENSG00000161016	130	1479	18967	3.847261663286004	8.677103480181358E-11	4.354726422710747E-11	4.354726422710747E-11
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	13	9.62962962962963	6.259550098919225E-13	ENSG00000131469, ENSG00000118181, ENSG00000112306, ENSG00000120705, ENSG00000171863, ENSG00000130255, ENSG00000170889, ENSG00000143947, ENSG00000140988, ENSG00000156482, ENSG00000182774, ENSG00000167526, ENSG00000161016	131	93	20647	22.03160141180333	1.445930042365262E-10	7.229780364251704E-11	6.478634352381398E-11
GOTERM_CC_DIRECT	GO:0005743~mitochondrial inner membrane	22	16.296296296296298	4.663928477166706E-12	ENSG00000048544, ENSG00000172590, ENSG00000130312, ENSG00000075415, ENSG00000130204, ENSG00000111639, ENSG00000110536, ENSG00000242485, ENSG00000169682, ENSG00000154518, ENSG00000111775, ENSG00000174109, ENSG00000213619, ENSG00000175756, ENSG00000166136, ENSG00000128626, ENSG00000182154, ENSG00000062582, ENSG00000110717, ENSG00000072778, ENSG00000105364, ENSG00000143224	131	494	20647	7.019099422072504	1.0773691938581464E-9	3.5912249274183637E-10	3.2181106492450275E-10
GOTERM_MF_DIRECT	GO:0005515~protein binding	116	85.92592592592592	2.955319315587417E-9	ENSG00000068120, ENSG00000136933, ENSG00000111639, ENSG00000114902, ENSG00000114867, ENSG00000183808, ENSG00000105518, ENSG00000064961, ENSG00000084207, ENSG00000184584, ENSG00000214078, ENSG00000100065, ENSG00000105223, ENSG00000175470, ENSG00000182307, ENSG00000130204, ENSG00000115307, ENSG00000110536, ENSG00000154518, ENSG00000267673, ENSG00000171557, ENSG00000175756, ENSG00000165792, ENSG00000182154, ENSG00000106397, ENSG00000104131, ENSG00000203618, ENSG00000071994, ENSG00000131469, ENSG00000105810, ENSG00000130811, ENSG00000103876, ENSG00000111775, ENSG00000002330, ENSG00000167468, ENSG00000229117, ENSG00000125505, ENSG00000159593, ENSG00000163382, ENSG00000156482, ENSG00000140988, ENSG00000121022, ENSG00000110717, ENSG00000198355, ENSG00000111641, ENSG00000244754, ENSG00000173113, ENSG00000162062, ENSG00000088986, ENSG00000185043, ENSG00000138382, ENSG00000143727, ENSG00000128626, ENSG00000162585, ENSG00000215012, ENSG00000125991, ENSG00000105364, ENSG00000161016, ENSG00000137309, ENSG00000114942, ENSG00000129084, ENSG00000120705, ENSG00000173486, ENSG00000162191, ENSG00000168291, ENSG00000171863, ENSG00000204592, ENSG00000170889, ENSG00000120437, ENSG00000100664, ENSG00000087365, ENSG00000167526, ENSG00000072778, ENSG00000103254, ENSG00000149761, ENSG00000112514, ENSG00000071462, ENSG00000129250, ENSG00000041357, ENSG00000198931, ENSG00000213619, ENSG00000233927, ENSG00000169679, ENSG00000234616, ENSG00000182196, ENSG00000143947, ENSG00000166165, ENSG00000102316, ENSG00000165119, ENSG00000148834, ENSG00000071553, ENSG00000092010, ENSG00000174231, ENSG00000136718, ENSG00000112306, ENSG00000242485, ENSG00000169682, ENSG00000117399, ENSG00000117395, ENSG00000089006, ENSG00000234745, ENSG00000169045, ENSG00000213551, ENSG00000118181, ENSG00000066379, ENSG00000170043, ENSG00000150459, ENSG00000228474, ENSG00000141101, ENSG00000084623, ENSG00000119559, ENSG00000119318, ENSG00000206503, ENSG00000179010, ENSG00000089597, ENSG00000214087	130	12657	18967	1.337157304258513	8.008912169010785E-7	2.6794895127992583E-7	2.6794895127992583E-7
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	31	22.962962962962962	6.4639665853690826E-9	ENSG00000172590, ENSG00000130312, ENSG00000075415, ENSG00000111639, ENSG00000242485, ENSG00000111775, ENSG00000002330, ENSG00000084207, ENSG00000168291, ENSG00000167468, ENSG00000166136, ENSG00000120437, ENSG00000163382, ENSG00000062582, ENSG00000167969, ENSG00000110717, ENSG00000072778, ENSG00000103254, ENSG00000048544, ENSG00000130204, ENSG00000110536, ENSG00000267673, ENSG00000175756, ENSG00000213619, ENSG00000088986, ENSG00000165792, ENSG00000166165, ENSG00000182154, ENSG00000101365, ENSG00000215012, ENSG00000105364	131	1466	20647	3.3328317174010396	1.4931751709523766E-6	3.175272182065022E-7	2.845373773538786E-7
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	39	28.888888888888886	6.8728835109632515E-9	ENSG00000092010, ENSG00000071553, ENSG00000071994, ENSG00000068120, ENSG00000131469, ENSG00000075415, ENSG00000103876, ENSG00000129084, ENSG00000084207, ENSG00000204592, ENSG00000167468, ENSG00000170889, ENSG00000120437, ENSG00000163382, ENSG00000234745, ENSG00000156482, ENSG00000140988, ENSG00000214078, ENSG00000105223, ENSG00000112514, ENSG00000118181, ENSG00000115307, ENSG00000171298, ENSG00000041357, ENSG00000244754, ENSG00000111885, ENSG00000198931, ENSG00000171557, ENSG00000233927, ENSG00000084623, ENSG00000185043, ENSG00000206503, ENSG00000166165, ENSG00000143947, ENSG00000143727, ENSG00000165119, ENSG00000089597, ENSG00000106397, ENSG00000148834	131	2240	20647	2.7441146401308614	1.58763483004698E-6	3.175272182065022E-7	2.845373773538786E-7
GOTERM_BP_DIRECT	GO:0032543~mitochondrial translation	10	7.4074074074074066	1.1312399767424382E-8	ENSG00000172590, ENSG00000048544, ENSG00000130312, ENSG00000111639, ENSG00000128626, ENSG00000242485, ENSG00000182154, ENSG00000062582, ENSG00000105364, ENSG00000175756	126	96	19453	16.082175925925927	7.567966868293752E-6	2.5188943482131626E-6	2.4962695486783135E-6
