Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	104	41.6	3.317876669176584E-16	ENSG00000178971, ENSG00000071894, ENSG00000116809, ENSG00000071655, ENSG00000148362, ENSG00000006712, ENSG00000154889, ENSG00000169180, ENSG00000062822, ENSG00000086758, ENSG00000140400, ENSG00000133316, ENSG00000179950, ENSG00000075624, ENSG00000104897, ENSG00000147140, ENSG00000130725, ENSG00000065268, ENSG00000169592, ENSG00000115268, ENSG00000088247, ENSG00000102119, ENSG00000063244, ENSG00000184216, ENSG00000011243, ENSG00000105221, ENSG00000160789, ENSG00000177302, ENSG00000160949, ENSG00000131748, ENSG00000172531, ENSG00000134057, ENSG00000133247, ENSG00000005206, ENSG00000178999, ENSG00000165684, ENSG00000134690, ENSG00000140988, ENSG00000187514, ENSG00000160957, ENSG00000010292, ENSG00000111642, ENSG00000115289, ENSG00000204922, ENSG00000102898, ENSG00000093009, ENSG00000109685, ENSG00000167513, ENSG00000197451, ENSG00000166949, ENSG00000124193, ENSG00000104907, ENSG00000099341, ENSG00000166313, ENSG00000038358, ENSG00000100429, ENSG00000084774, ENSG00000149930, ENSG00000105393, ENSG00000013573, ENSG00000141499, ENSG00000087087, ENSG00000148843, ENSG00000087191, ENSG00000140829, ENSG00000104973, ENSG00000104852, ENSG00000116717, ENSG00000108819, ENSG00000132382, ENSG00000154832, ENSG00000130640, ENSG00000100813, ENSG00000143947, ENSG00000125733, ENSG00000160741, ENSG00000092010, ENSG00000104884, ENSG00000174231, ENSG00000108604, ENSG00000112306, ENSG00000005882, ENSG00000132475, ENSG00000132510, ENSG00000073050, ENSG00000130726, ENSG00000101412, ENSG00000183751, ENSG00000169727, ENSG00000180900, ENSG00000104881, ENSG00000173272, ENSG00000105325, ENSG00000105204, ENSG00000177595, ENSG00000137497, ENSG00000079432, ENSG00000079313, ENSG00000185122, ENSG00000141867, ENSG00000123136, ENSG00000166508, ENSG00000103266, ENSG00000147687	243	4076	20647	2.1679529273030527	1.4521717162097048E-13	1.4465942277609906E-13	1.3736009410391058E-13
GOTERM_CC_DIRECT	GO:0005634~nucleus	132	52.800000000000004	9.275374881977275E-16	ENSG00000178971, ENSG00000071894, ENSG00000071655, ENSG00000114867, ENSG00000148362, ENSG00000176953, ENSG00000169180, ENSG00000062822, ENSG00000142541, ENSG00000086758, ENSG00000100106, ENSG00000100345, ENSG00000167968, ENSG00000125520, ENSG00000133316, ENSG00000179950, ENSG00000126581, ENSG00000075624, ENSG00000104897, ENSG00000147140, ENSG00000130725, ENSG00000115268, ENSG00000198858, ENSG00000088247, ENSG00000063244, ENSG00000105063, ENSG00000184216, ENSG00000011243, ENSG00000167615, ENSG00000105221, ENSG00000071994, ENSG00000103197, ENSG00000160789, ENSG00000177302, ENSG00000091640, ENSG00000130811, ENSG00000108528, ENSG00000172531, ENSG00000134057, ENSG00000132153, ENSG00000265681, ENSG00000008710, ENSG00000133247, ENSG00000178999, ENSG00000165684, ENSG00000134690, ENSG00000140988, ENSG00000187634, ENSG00000187514, ENSG00000160957, ENSG00000068078, ENSG00000130702, ENSG00000010292, ENSG00000174444, ENSG00000111642, ENSG00000198755, ENSG00000115289, ENSG00000089157, ENSG00000093009, ENSG00000160447, ENSG00000147403, ENSG00000109685, ENSG00000100075, ENSG00000167513, ENSG00000103495, ENSG00000160602, ENSG00000197451, ENSG00000166949, ENSG00000076984, ENSG00000196642, ENSG00000104904, ENSG00000173801, ENSG00000104907, ENSG00000099341, ENSG00000163682, ENSG00000166313, ENSG00000038358, ENSG00000100429, ENSG00000084774, ENSG00000149499, ENSG00000105393, ENSG00000013573, ENSG00000123384, ENSG00000167526, ENSG00000087087, ENSG00000148843, ENSG00000087191, ENSG00000075702, ENSG00000140829, ENSG00000104973, ENSG00000104852, ENSG00000130766, ENSG00000116717, ENSG00000214706, ENSG00000132382, ENSG00000154832, ENSG00000100813, ENSG00000143947, ENSG00000166165, ENSG00000182199, ENSG00000167658, ENSG00000160741, ENSG00000105576, ENSG00000104884, ENSG00000174231, ENSG00000014164, ENSG00000108604, ENSG00000132475, ENSG00000132510, ENSG00000073050, ENSG00000130726, ENSG00000101412, ENSG00000169727, ENSG00000146247, ENSG00000104881, ENSG00000161847, ENSG00000105325, ENSG00000105204, ENSG00000113108, ENSG00000179134, ENSG00000177595, ENSG00000137497, ENSG00000196924, ENSG00000168005, ENSG00000079432, ENSG00000187147, ENSG00000079313, ENSG00000185122, ENSG00000141867, ENSG00000123136, ENSG00000166508, ENSG00000103266	243	6100	20647	1.8386318558996155	3.872457909892546E-13	2.022031724271046E-13	1.920002600569296E-13
GOTERM_MF_DIRECT	GO:0003723~RNA binding	58	23.200000000000003	3.459771930480639E-14	ENSG00000103495, ENSG00000197451, ENSG00000114867, ENSG00000124193, ENSG00000104907, ENSG00000167962, ENSG00000142541, ENSG00000163682, ENSG00000086758, ENSG00000100345, ENSG00000123384, ENSG00000167526, ENSG00000087087, ENSG00000141499, ENSG00000148843, ENSG00000179115, ENSG00000179950, ENSG00000140829, ENSG00000104852, ENSG00000104897, ENSG00000147140, ENSG00000132382, ENSG00000115268, ENSG00000169710, ENSG00000100813, ENSG00000088247, ENSG00000063244, ENSG00000143947, ENSG00000167658, ENSG00000011243, ENSG00000130811, ENSG00000174231, ENSG00000112306, ENSG00000108528, ENSG00000132153, ENSG00000265681, ENSG00000117395, ENSG00000140988, ENSG00000130726, ENSG00000161960, ENSG00000183751, ENSG00000141994, ENSG00000129347, ENSG00000161847, ENSG00000155660, ENSG00000156990, ENSG00000179134, ENSG00000104835, ENSG00000178209, ENSG00000174444, ENSG00000198755, ENSG00000196924, ENSG00000168488, ENSG00000007376, ENSG00000123136, ENSG00000089157, ENSG00000147403, ENSG00000143761	245	1479	18967	3.0359343737495	1.5830003974315332E-11	1.5845755441601325E-11	1.5465180529248456E-11
GOTERM_MF_DIRECT	GO:0005515~protein binding	212	84.8	1.1482107117134635E-12	ENSG00000178971, ENSG00000116809, ENSG00000132613, ENSG00000114867, ENSG00000006712, ENSG00000104946, ENSG00000154889, ENSG00000167962, ENSG00000086758, ENSG00000100345, ENSG00000179950, ENSG00000182307, ENSG00000075624, ENSG00000130204, ENSG00000065268, ENSG00000169592, ENSG00000115268, ENSG00000088247, ENSG00000167615, ENSG00000105221, ENSG00000161996, ENSG00000103197, ENSG00000160789, ENSG00000177302, ENSG00000091640, ENSG00000215305, ENSG00000131748, ENSG00000108528, ENSG00000172531, ENSG00000132153, ENSG00000133247, ENSG00000178999, ENSG00000134690, ENSG00000125503, ENSG00000068078, ENSG00000065000, ENSG00000198355, ENSG00000104835, ENSG00000115289, ENSG00000102898, ENSG00000125753, ENSG00000093009, ENSG00000160447, ENSG00000147403, ENSG00000167513, ENSG00000103495, ENSG00000105677, ENSG00000076984, ENSG00000124193, ENSG00000114942, ENSG00000196642, ENSG00000104904, ENSG00000104907, ENSG00000205560, ENSG00000115234, ENSG00000166313, ENSG00000038358, ENSG00000100429, ENSG00000168056, ENSG00000149930, ENSG00000090006, ENSG00000108262, ENSG00000149499, ENSG00000167526, ENSG00000087087, ENSG00000109113, ENSG00000103496, ENSG00000148843, ENSG00000087191, ENSG00000130766, ENSG00000214706, ENSG00000108819, ENSG00000111665, ENSG00000154832, ENSG00000130640, ENSG00000169710, ENSG00000143947, ENSG00000125733, ENSG00000167658, ENSG00000105576, ENSG00000108604, ENSG00000112306, ENSG00000203485, ENSG00000132475, ENSG00000161202, ENSG00000130726, ENSG00000101412, ENSG00000168758, ENSG00000169727, ENSG00000161204, ENSG00000141994, ENSG00000161203, ENSG00000105325, ENSG00000105204, ENSG00000177595, ENSG00000178209, ENSG00000137497, ENSG00000116213, ENSG00000079432, ENSG00000187147, ENSG00000141867, ENSG00000141503, ENSG00000141985, ENSG00000107862, ENSG00000103266, ENSG00000089351, ENSG00000071894, ENSG00000071655, ENSG00000148362, ENSG00000172354, ENSG00000169180, ENSG00000062822, ENSG00000147955, ENSG00000215041, ENSG00000103335, ENSG00000133316, ENSG00000126581, ENSG00000104897, ENSG00000141959, ENSG00000147140, ENSG00000130725, ENSG00000102119, ENSG00000063244, ENSG00000105063, ENSG00000184216, ENSG00000011243, ENSG00000071994, ENSG00000105655, ENSG00000184916, ENSG00000160949, ENSG00000130811, ENSG00000134057, ENSG00000064545, ENSG00000265681, ENSG00000008710, ENSG00000005206, ENSG00000140988, ENSG00000187634, ENSG00000187514, ENSG00000140983, ENSG00000161249, ENSG00000160957, ENSG00000155660, ENSG00000156990, ENSG00000010292, ENSG00000174444, ENSG00000111642, ENSG00000198755, ENSG00000176619, ENSG00000188157, ENSG00000161013, ENSG00000089157, ENSG00000146830, ENSG00000109685, ENSG00000177169, ENSG00000160602, ENSG00000197451, ENSG00000166949, ENSG00000173801, ENSG00000099341, ENSG00000163682, ENSG00000185475, ENSG00000105393, ENSG00000013573, ENSG00000123384, ENSG00000185359, ENSG00000141499, ENSG00000179115, ENSG00000075702, ENSG00000140829, ENSG00000104973, ENSG00000104852, ENSG00000116717, ENSG00000100813, ENSG00000166165, ENSG00000182199, ENSG00000160741, ENSG00000092010, ENSG00000104884, ENSG00000113119, ENSG00000174231, ENSG00000005882, ENSG00000132510, ENSG00000073050, ENSG00000007264, ENSG00000117395, ENSG00000187796, ENSG00000117394, ENSG00000161960, ENSG00000183751, ENSG00000146247, ENSG00000180900, ENSG00000104881, ENSG00000173272, ENSG00000161847, ENSG00000113108, ENSG00000179134, ENSG00000244038, ENSG00000196924, ENSG00000168488, ENSG00000007376, ENSG00000168005, ENSG00000178719, ENSG00000185122, ENSG00000123136, ENSG00000166508, ENSG00000203879, ENSG00000067182, ENSG00000142798, ENSG00000143761, ENSG00000214087, ENSG00000147687	245	12657	18967	1.296694416093055	5.24724041994773E-10	2.6294025298238316E-10	2.566250940679591E-10
GOTERM_CC_DIRECT	GO:0005829~cytosol	117	46.800000000000004	4.502131981441112E-12	ENSG00000178971, ENSG00000114867, ENSG00000104946, ENSG00000172354, ENSG00000169180, ENSG00000062822, ENSG00000167962, ENSG00000142541, ENSG00000147955, ENSG00000086758, ENSG00000100345, ENSG00000140400, ENSG00000126581, ENSG00000075624, ENSG00000130204, ENSG00000141959, ENSG00000130725, ENSG00000115268, ENSG00000164068, ENSG00000088247, ENSG00000102119, ENSG00000105063, ENSG00000184216, ENSG00000105221, ENSG00000103197, ENSG00000105655, ENSG00000160789, ENSG00000130811, ENSG00000131748, ENSG00000172531, ENSG00000134057, ENSG00000132153, ENSG00000265681, ENSG00000178999, ENSG00000134690, ENSG00000140988, ENSG00000187514, ENSG00000100241, ENSG00000198355, ENSG00000010292, ENSG00000174444, ENSG00000198755, ENSG00000178921, ENSG00000204922, ENSG00000102898, ENSG00000125753, ENSG00000089157, ENSG00000146830, ENSG00000160447, ENSG00000147403, ENSG00000167513, ENSG00000177169, ENSG00000166949, ENSG00000076984, ENSG00000114942, ENSG00000196642, ENSG00000104904, ENSG00000173801, ENSG00000115234, ENSG00000099341, ENSG00000163682, ENSG00000038358, ENSG00000100429, ENSG00000084774, ENSG00000149930, ENSG00000108262, ENSG00000105393, ENSG00000167526, ENSG00000185359, ENSG00000141499, ENSG00000103496, ENSG00000148843, ENSG00000087191, ENSG00000179115, ENSG00000075702, ENSG00000130766, ENSG00000111665, ENSG00000154832, ENSG00000173898, ENSG00000130640, ENSG00000169710, ENSG00000100813, ENSG00000143947, ENSG00000166165, ENSG00000182199, ENSG00000125733, ENSG00000167658, ENSG00000092010, ENSG00000104884, ENSG00000112306, ENSG00000005882, ENSG00000007264, ENSG00000117394, ENSG00000187796, ENSG00000161202, ENSG00000161960, ENSG00000169727, ENSG00000104881, ENSG00000161203, ENSG00000173272, ENSG00000105325, ENSG00000113108, ENSG00000179134, ENSG00000177595, ENSG00000178209, ENSG00000137497, ENSG00000196924, ENSG00000168488, ENSG00000185122, ENSG00000141503, ENSG00000166508, ENSG00000141985, ENSG00000203879, ENSG00000143761, ENSG00000107862, ENSG00000103266, ENSG00000089351	243	5627	20647	1.7666870709344493	1.9629489145245316E-9	6.543098479694416E-10	6.212942134388734E-10
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	113	45.2	8.037985264811757E-10	ENSG00000071655, ENSG00000114867, ENSG00000148362, ENSG00000006712, ENSG00000104946, ENSG00000172354, ENSG00000176953, ENSG00000169180, ENSG00000142541, ENSG00000086758, ENSG00000100106, ENSG00000100345, ENSG00000215041, ENSG00000167968, ENSG00000125520, ENSG00000126581, ENSG00000075624, ENSG00000141959, ENSG00000115268, ENSG00000164068, ENSG00000088247, ENSG00000102119, ENSG00000184216, ENSG00000011243, ENSG00000161996, ENSG00000071994, ENSG00000103197, ENSG00000105655, ENSG00000160949, ENSG00000130811, ENSG00000215305, ENSG00000131748, ENSG00000172531, ENSG00000134057, ENSG00000132153, ENSG00000265681, ENSG00000177303, ENSG00000008710, ENSG00000131584, ENSG00000140988, ENSG00000125503, ENSG00000100241, ENSG00000160957, ENSG00000198355, ENSG00000010292, ENSG00000174444, ENSG00000111642, ENSG00000198755, ENSG00000178921, ENSG00000125753, ENSG00000089157, ENSG00000093009, ENSG00000109685, ENSG00000164403, ENSG00000177169, ENSG00000160602, ENSG00000197451, ENSG00000166949, ENSG00000076984, ENSG00000114942, ENSG00000196642, ENSG00000104904, ENSG00000173801, ENSG00000115234, ENSG00000163682, ENSG00000166313, ENSG00000038358, ENSG00000100429, ENSG00000084774, ENSG00000149930, ENSG00000149499, ENSG00000105393, ENSG00000013573, ENSG00000167526, ENSG00000087087, ENSG00000087191, ENSG00000179115, ENSG00000130766, ENSG00000116717, ENSG00000108819, ENSG00000132382, ENSG00000169710, ENSG00000143947, ENSG00000182199, ENSG00000125733, ENSG00000167658, ENSG00000160741, ENSG00000092010, ENSG00000105576, ENSG00000104884, ENSG00000112306, ENSG00000007264, ENSG00000187796, ENSG00000101412, ENSG00000161960, ENSG00000169727, ENSG00000173272, ENSG00000161847, ENSG00000113108, ENSG00000179134, ENSG00000177595, ENSG00000178209, ENSG00000116213, ENSG00000196924, ENSG00000187147, ENSG00000185122, ENSG00000123136, ENSG00000141503, ENSG00000141985, ENSG00000203879, ENSG00000143761, ENSG00000214087, ENSG00000103266	243	5771	20647	1.6637116332335722	3.5045607260641987E-7	8.039182845973966E-8	7.633536005122068E-8
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	13	5.2	9.219246382997667E-10	ENSG00000112306, ENSG00000174444, ENSG00000198755, ENSG00000265681, ENSG00000115268, ENSG00000167962, ENSG00000142541, ENSG00000163682, ENSG00000143947, ENSG00000140988, ENSG00000089157, ENSG00000147403, ENSG00000167526	243	93	20647	11.877118456568875	4.0195906580997587E-7	8.039182845973966E-8	7.633536005122068E-8
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	12	4.8	1.281091028243686E-8	ENSG00000142541, ENSG00000163682, ENSG00000143947, ENSG00000112306, ENSG00000140988, ENSG00000174444, ENSG00000198755, ENSG00000265681, ENSG00000089157, ENSG00000115268, ENSG00000147403, ENSG00000167526	236	91	19453	10.86962190352021	2.0394761404141093E-5	2.0382158259357044E-5	2.0343725528509736E-5
GOTERM_CC_DIRECT	GO:0032991~macromolecular complex	26	10.4	7.479063415384404E-7	ENSG00000116809, ENSG00000071655, ENSG00000105677, ENSG00000108604, ENSG00000158882, ENSG00000132475, ENSG00000169180, ENSG00000115234, ENSG00000134690, ENSG00000187796, ENSG00000084774, ENSG00000100345, ENSG00000130726, ENSG00000101412, ENSG00000087087, ENSG00000075624, ENSG00000111642, ENSG00000137497, ENSG00000187147, ENSG00000184216, ENSG00000146830, ENSG00000203879, ENSG00000147403, ENSG00000167615, ENSG00000143761, ENSG00000105221	243	697	20647	3.1695036340341614	3.2603412616549754E-4	5.4347860818460004E-5	5.160553756615239E-5
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	20	8.0	9.677400480145936E-7	ENSG00000068078, ENSG00000075624, ENSG00000178209, ENSG00000174444, ENSG00000198755, ENSG00000172354, ENSG00000115268, ENSG00000173801, ENSG00000196924, ENSG00000142541, ENSG00000163682, ENSG00000100106, ENSG00000140988, ENSG00000100345, ENSG00000125753, ENSG00000108262, ENSG00000089157, ENSG00000123384, ENSG00000142798, ENSG00000143761	243	434	20647	3.915533557110618	4.218458630863564E-4	6.02763801334804E-5	5.7234911411148824E-5
