Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	5	25.0	3.729829638115404E-7	ENSG00000125691, ENSG00000140988, ENSG00000174444, ENSG00000265681, ENSG00000148303	15	93	20647	74.00358422939067	1.8276001628736438E-5	1.827616522676548E-5	1.641125040770778E-5
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	5	25.0	5.879760041590369E-7	ENSG00000125691, ENSG00000140988, ENSG00000174444, ENSG00000265681, ENSG00000148303	16	91	19453	66.80288461538461	3.704181308394894E-5	3.645451225786029E-5	3.586653625370125E-5
GOTERM_MF_DIRECT	GO:0003723~RNA binding	9	45.0	2.629887089894579E-6	ENSG00000101361, ENSG00000125691, ENSG00000136270, ENSG00000140988, ENSG00000161960, ENSG00000174444, ENSG00000265681, ENSG00000148303, ENSG00000156976	15	1479	18967	7.694523326572008	1.1833807215955172E-4	1.2097480613515064E-4	1.130851448654669E-4
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	5	25.0	9.02865966517852E-6	ENSG00000125691, ENSG00000140988, ENSG00000174444, ENSG00000265681, ENSG00000148303	15	190	18967	33.27543859649123	4.0620899384979925E-4	2.0765917229910598E-4	1.941161828013382E-4
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	4	20.0	9.166865489505466E-6	ENSG00000125691, ENSG00000174444, ENSG00000265681, ENSG00000148303	15	62	20647	88.80430107526881	4.490776022209042E-4	2.2458820449288393E-4	2.0167104076912026E-4
GOTERM_BP_DIRECT	GO:0006412~translation	5	25.0	1.935391660615634E-5	ENSG00000125691, ENSG00000140988, ENSG00000174444, ENSG00000265681, ENSG00000148303	16	219	19453	27.758276255707763	0.001218565490792356	5.999714147908465E-4	5.902944564877684E-4
GOTERM_CC_DIRECT	GO:0005730~nucleolus	7	35.0	1.943570955372255E-4	ENSG00000101361, ENSG00000125691, ENSG00000255717, ENSG00000243207, ENSG00000166012, ENSG00000174444, ENSG00000148303	15	1420	20647	6.785399061032863	0.00947920962005766	0.0031744992271080163	0.0028505707345459737
GOTERM_MF_DIRECT	GO:0004386~helicase activity	3	15.0	0.001744074264914089	ENSG00000161960, ENSG00000111642, ENSG00000156976	15	85	18967	44.628235294117644	0.07554588534226392	0.02674247206201603	0.024998397797101942
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	4	20.0	0.0028252211407608628	ENSG00000125691, ENSG00000140988, ENSG00000174444, ENSG00000148303	15	434	20647	12.686328725038402	0.12945146057352985	0.03460895897432057	0.03107743254836949
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	4	20.0	0.003802455374418111	ENSG00000110955, ENSG00000161960, ENSG00000111642, ENSG00000156976	15	443	18967	11.417306245297215	0.15754635487212976	0.04372823680580827	0.04087639527499469
GOTERM_BP_DIRECT	GO:0002183~cytoplasmic translational initiation	2	10.0	0.003849900482217877	ENSG00000161960, ENSG00000156976	16	5	19453	486.325	0.21573775372892667	0.07956460996583613	0.07828130980509683
GOTERM_CC_DIRECT	GO:0016020~membrane	8	40.0	0.006011142414749963	ENSG00000101361, ENSG00000125691, ENSG00000110955, ENSG00000140988, ENSG00000161960, ENSG00000174444, ENSG00000111642, ENSG00000148303	15	3677	20647	2.9947602211948143	0.25579208012797616	0.04909853081394335	0.044088476649255255
GOTERM_CC_DIRECT	GO:0005840~ribosome	3	15.0	0.0060120649976257165	ENSG00000125691, ENSG00000140988, ENSG00000174444	15	174	20647	23.73218390804598	0.2558259259110407	0.04909853081394335	0.044088476649255255
GOTERM_CC_DIRECT	GO:0016281~eukaryotic translation initiation factor 4F complex	2	10.0	0.008108651052550177	ENSG00000161960, ENSG00000156976	15	12	20647	229.4111111111111	0.3289714156966931	0.05676055736785124	0.050968663758886826
