Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	201	25.637755102040817	4.053193465258561E-15	ENSG00000092199, ENSG00000110700, ENSG00000114867, ENSG00000116001, ENSG00000142541, ENSG00000099381, ENSG00000166197, ENSG00000151923, ENSG00000088930, ENSG00000164338, ENSG00000141456, ENSG00000124795, ENSG00000178982, ENSG00000179950, ENSG00000117569, ENSG00000115268, ENSG00000131652, ENSG00000157106, ENSG00000137073, ENSG00000088247, ENSG00000164104, ENSG00000106348, ENSG00000215301, ENSG00000145592, ENSG00000132153, ENSG00000174953, ENSG00000144028, ENSG00000185298, ENSG00000063177, ENSG00000162613, ENSG00000109971, ENSG00000261236, ENSG00000175376, ENSG00000130305, ENSG00000175931, ENSG00000111364, ENSG00000011304, ENSG00000076928, ENSG00000147403, ENSG00000163950, ENSG00000124541, ENSG00000103067, ENSG00000126254, ENSG00000099622, ENSG00000104907, ENSG00000145216, ENSG00000204356, ENSG00000109475, ENSG00000130749, ENSG00000149136, ENSG00000161547, ENSG00000167526, ENSG00000070756, ENSG00000087087, ENSG00000153187, ENSG00000003756, ENSG00000131051, ENSG00000170144, ENSG00000133112, ENSG00000149806, ENSG00000197958, ENSG00000204469, ENSG00000169710, ENSG00000137154, ENSG00000168066, ENSG00000165119, ENSG00000183684, ENSG00000125970, ENSG00000167658, ENSG00000185624, ENSG00000169714, ENSG00000065150, ENSG00000132478, ENSG00000181163, ENSG00000204574, ENSG00000265241, ENSG00000136271, ENSG00000136270, ENSG00000089009, ENSG00000169045, ENSG00000130726, ENSG00000100441, ENSG00000105202, ENSG00000130985, ENSG00000118181, ENSG00000141738, ENSG00000178209, ENSG00000132361, ENSG00000198830, ENSG00000150459, ENSG00000196535, ENSG00000204569, ENSG00000100316, ENSG00000225921, ENSG00000089597, ENSG00000122566, ENSG00000142937, ENSG00000156304, ENSG00000166598, ENSG00000105193, ENSG00000126457, ENSG00000101158, ENSG00000104897, ENSG00000147140, ENSG00000099899, ENSG00000116750, ENSG00000171824, ENSG00000164062, ENSG00000131469, ENSG00000089280, ENSG00000130810, ENSG00000135829, ENSG00000130811, ENSG00000078269, ENSG00000110321, ENSG00000227057, ENSG00000125901, ENSG00000159352, ENSG00000140988, ENSG00000100401, ENSG00000172809, ENSG00000103353, ENSG00000179335, ENSG00000211450, ENSG00000156990, ENSG00000111641, ENSG00000134186, ENSG00000174444, ENSG00000198755, ENSG00000179218, ENSG00000089157, ENSG00000143321, ENSG00000165733, ENSG00000103342, ENSG00000161016, ENSG00000076108, ENSG00000197451, ENSG00000178252, ENSG00000135486, ENSG00000156508, ENSG00000171863, ENSG00000132773, ENSG00000163682, ENSG00000171858, ENSG00000162231, ENSG00000170889, ENSG00000136450, ENSG00000120438, ENSG00000087365, ENSG00000164896, ENSG00000143793, ENSG00000123384, ENSG00000149658, ENSG00000179115, ENSG00000105821, ENSG00000071462, ENSG00000129250, ENSG00000196235, ENSG00000173812, ENSG00000156976, ENSG00000132300, ENSG00000233927, ENSG00000029363, ENSG00000231500, ENSG00000182196, ENSG00000102317, ENSG00000188976, ENSG00000182872, ENSG00000162244, ENSG00000108654, ENSG00000178952, ENSG00000196262, ENSG00000197111, ENSG00000121060, ENSG00000174231, ENSG00000178035, ENSG00000134815, ENSG00000111057, ENSG00000105618, ENSG00000080824, ENSG00000163584, ENSG00000161960, ENSG00000072518, ENSG00000183751, ENSG00000148303, ENSG00000129347, ENSG00000160752, ENSG00000161847, ENSG00000129351, ENSG00000197102, ENSG00000270647, ENSG00000155506, ENSG00000196924, ENSG00000168488, ENSG00000084623, ENSG00000168003, ENSG00000127616, ENSG00000123136, ENSG00000148773, ENSG00000108312, ENSG00000143761	755	571	3411	1.5903573375395785	4.30910862547762E-12	4.255853138521489E-12	4.247746751590972E-12
GOTERM_CC_DIRECT	GO:0005634~nucleus	386	49.234693877551024	1.0345109536069588E-9	ENSG00000163918, ENSG00000111358, ENSG00000114867, ENSG00000135446, ENSG00000099381, ENSG00000123349, ENSG00000058600, ENSG00000151923, ENSG00000179262, ENSG00000125520, ENSG00000124795, ENSG00000157106, ENSG00000173846, ENSG00000124207, ENSG00000088247, ENSG00000089693, ENSG00000087152, ENSG00000241878, ENSG00000215301, ENSG00000161999, ENSG00000160789, ENSG00000044574, ENSG00000189091, ENSG00000132153, ENSG00000132155, ENSG00000133247, ENSG00000174953, ENSG00000144028, ENSG00000134690, ENSG00000168036, ENSG00000250479, ENSG00000063177, ENSG00000162613, ENSG00000134107, ENSG00000146670, ENSG00000175931, ENSG00000173992, ENSG00000171453, ENSG00000011304, ENSG00000100239, ENSG00000147403, ENSG00000163950, ENSG00000183207, ENSG00000185627, ENSG00000104904, ENSG00000104907, ENSG00000100429, ENSG00000142186, ENSG00000204356, ENSG00000087088, ENSG00000144485, ENSG00000107175, ENSG00000161547, ENSG00000070756, ENSG00000087087, ENSG00000087191, ENSG00000073921, ENSG00000153187, ENSG00000111669, ENSG00000131051, ENSG00000112511, ENSG00000204463, ENSG00000170144, ENSG00000133112, ENSG00000198805, ENSG00000168066, ENSG00000183684, ENSG00000162889, ENSG00000090238, ENSG00000125970, ENSG00000258366, ENSG00000164941, ENSG00000272333, ENSG00000065150, ENSG00000165916, ENSG00000181163, ENSG00000132475, ENSG00000130299, ENSG00000089009, ENSG00000100567, ENSG00000088038, ENSG00000169045, ENSG00000101412, ENSG00000100441, ENSG00000185658, ENSG00000118181, ENSG00000198830, ENSG00000068438, ENSG00000196535, ENSG00000204569, ENSG00000079432, ENSG00000100316, ENSG00000004142, ENSG00000079313, ENSG00000122566, ENSG00000179094, ENSG00000071894, ENSG00000168090, ENSG00000170291, ENSG00000135723, ENSG00000156304, ENSG00000163882, ENSG00000100867, ENSG00000100982, ENSG00000108344, ENSG00000175634, ENSG00000172366, ENSG00000237649, ENSG00000175756, ENSG00000198728, ENSG00000105063, ENSG00000184216, ENSG00000089053, ENSG00000131467, ENSG00000131469, ENSG00000089280, ENSG00000154222, ENSG00000135829, ENSG00000094631, ENSG00000025770, ENSG00000112984, ENSG00000008710, ENSG00000132793, ENSG00000163660, ENSG00000109332, ENSG00000188603, ENSG00000187514, ENSG00000100401, ENSG00000205903, ENSG00000184009, ENSG00000010292, ENSG00000111640, ENSG00000174444, ENSG00000111642, ENSG00000198755, ENSG00000183386, ENSG00000089157, ENSG00000013441, ENSG00000143321, ENSG00000142599, ENSG00000197451, ENSG00000158805, ENSG00000156508, ENSG00000163682, ENSG00000162231, ENSG00000187531, ENSG00000084774, ENSG00000013573, ENSG00000130005, ENSG00000196230, ENSG00000071462, ENSG00000072310, ENSG00000196235, ENSG00000132781, ENSG00000182196, ENSG00000165516, ENSG00000165637, ENSG00000182199, ENSG00000188976, ENSG00000108654, ENSG00000157933, ENSG00000196262, ENSG00000067057, ENSG00000197111, ENSG00000174231, ENSG00000002016, ENSG00000106144, ENSG00000071564, ENSG00000132522, ENSG00000129474, ENSG00000133612, ENSG00000129351, ENSG00000173153, ENSG00000111602, ENSG00000196497, ENSG00000270647, ENSG00000173039, ENSG00000141582, ENSG00000117385, ENSG00000160087, ENSG00000166508, ENSG00000108312, ENSG00000166987, ENSG00000092199, ENSG00000110700, ENSG00000084207, ENSG00000116001, ENSG00000142541, ENSG00000115392, ENSG00000088930, ENSG00000141456, ENSG00000277258, ENSG00000178982, ENSG00000179950, ENSG00000075624, ENSG00000117569, ENSG00000115268, ENSG00000119772, ENSG00000131652, ENSG00000137073, ENSG00000137193, ENSG00000143624, ENSG00000131408, ENSG00000164104, ENSG00000167615, ENSG00000166888, ENSG00000106348, ENSG00000178999, ENSG00000185298, ENSG00000110719, ENSG00000109971, ENSG00000099917, ENSG00000110955, ENSG00000068078, ENSG00000175376, ENSG00000039650, ENSG00000153406, ENSG00000115289, ENSG00000167996, ENSG00000117222, ENSG00000093009, ENSG00000051523, ENSG00000167513, ENSG00000103067, ENSG00000165458, ENSG00000126254, ENSG00000130511, ENSG00000099622, ENSG00000076984, ENSG00000162191, ENSG00000004975, ENSG00000167522, ENSG00000038358, ENSG00000118515, ENSG00000130749, ENSG00000149136, ENSG00000167526, ENSG00000075407, ENSG00000149480, ENSG00000003756, ENSG00000117408, ENSG00000214706, ENSG00000154832, ENSG00000065989, ENSG00000137154, ENSG00000167770, ENSG00000165119, ENSG00000141644, ENSG00000167658, ENSG00000141522, ENSG00000169714, ENSG00000105576, ENSG00000076604, ENSG00000108604, ENSG00000117318, ENSG00000265241, ENSG00000092094, ENSG00000136271, ENSG00000130726, ENSG00000149476, ENSG00000108840, ENSG00000169727, ENSG00000167548, ENSG00000127564, ENSG00000197063, ENSG00000105202, ENSG00000130985, ENSG00000105568, ENSG00000198276, ENSG00000177595, ENSG00000150459, ENSG00000213719, ENSG00000242372, ENSG00000141867, ENSG00000169738, ENSG00000142937, ENSG00000148362, ENSG00000114346, ENSG00000139644, ENSG00000139645, ENSG00000168411, ENSG00000166598, ENSG00000141736, ENSG00000126457, ENSG00000142945, ENSG00000101158, ENSG00000214078, ENSG00000221978, ENSG00000175197, ENSG00000104897, ENSG00000147140, ENSG00000130725, ENSG00000115548, ENSG00000165392, ENSG00000116750, ENSG00000171824, ENSG00000221983, ENSG00000100056, ENSG00000130810, ENSG00000130811, ENSG00000068903, ENSG00000205581, ENSG00000167468, ENSG00000159593, ENSG00000204256, ENSG00000159352, ENSG00000140988, ENSG00000103479, ENSG00000126432, ENSG00000167106, ENSG00000176170, ENSG00000179335, ENSG00000160957, ENSG00000160714, ENSG00000099875, ENSG00000105647, ENSG00000130702, ENSG00000137337, ENSG00000134186, ENSG00000179218, ENSG00000137331, ENSG00000149308, ENSG00000148334, ENSG00000130939, ENSG00000148218, ENSG00000100075, ENSG00000148337, ENSG00000076108, ENSG00000000419, ENSG00000179222, ENSG00000135486, ENSG00000171863, ENSG00000173801, ENSG00000139842, ENSG00000099341, ENSG00000170889, ENSG00000136450, ENSG00000148444, ENSG00000087365, ENSG00000123384, ENSG00000100023, ENSG00000104973, ENSG00000105821, ENSG00000116717, ENSG00000188290, ENSG00000041357, ENSG00000265972, ENSG00000170421, ENSG00000173812, ENSG00000029363, ENSG00000231500, ENSG00000102317, ENSG00000152804, ENSG00000102316, ENSG00000101224, ENSG00000182872, ENSG00000125458, ENSG00000079616, ENSG00000160741, ENSG00000104884, ENSG00000162923, ENSG00000178035, ENSG00000076201, ENSG00000117713, ENSG00000105618, ENSG00000104529, ENSG00000080824, ENSG00000172732, ENSG00000169689, ENSG00000169567, ENSG00000102225, ENSG00000160753, ENSG00000148303, ENSG00000161847, ENSG00000099797, ENSG00000105723, ENSG00000205250, ENSG00000170322, ENSG00000196924, ENSG00000169696, ENSG00000127616, ENSG00000103549, ENSG00000123136, ENSG00000148773, ENSG00000101365, ENSG00000149503	762	1429	3483	1.2346776282076006	7.293299340016546E-7	7.293302222929059E-7	7.179506018032294E-7
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	35	4.464285714285714	9.431119457807938E-9	ENSG00000131469, ENSG00000145592, ENSG00000142937, ENSG00000110700, ENSG00000171863, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000163584, ENSG00000170889, ENSG00000089009, ENSG00000105193, ENSG00000140988, ENSG00000063177, ENSG00000109475, ENSG00000172809, ENSG00000167526, ENSG00000148303, ENSG00000118181, ENSG00000174444, ENSG00000198755, ENSG00000068438, ENSG00000115268, ENSG00000149806, ENSG00000233927, ENSG00000197958, ENSG00000100316, ENSG00000137154, ENSG00000231500, ENSG00000221983, ENSG00000232112, ENSG00000089157, ENSG00000162244, ENSG00000147403, ENSG00000161016	747	61	3362	2.582351262975399	3.228220091722189E-5	3.227329078461876E-5	3.227329078461876E-5
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	33	4.209183673469387	3.2571757278482453E-7	ENSG00000131469, ENSG00000145592, ENSG00000142937, ENSG00000110700, ENSG00000156508, ENSG00000171863, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000170889, ENSG00000089009, ENSG00000105193, ENSG00000140988, ENSG00000063177, ENSG00000109475, ENSG00000172809, ENSG00000167526, ENSG00000148303, ENSG00000118181, ENSG00000174444, ENSG00000198755, ENSG00000115268, ENSG00000149806, ENSG00000197958, ENSG00000100316, ENSG00000137154, ENSG00000231500, ENSG00000221983, ENSG00000089157, ENSG00000162244, ENSG00000147403, ENSG00000161016, ENSG00000103342	762	63	3483	2.394263217097863	2.2960456305975985E-4	1.1481544440665064E-4	1.1302399775633412E-4
GOTERM_CC_DIRECT	GO:0005840~ribosome	36	4.591836734693878	8.370770917666981E-7	ENSG00000131469, ENSG00000145592, ENSG00000142937, ENSG00000110700, ENSG00000156508, ENSG00000171863, ENSG00000227057, ENSG00000117676, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000163584, ENSG00000170889, ENSG00000089009, ENSG00000105193, ENSG00000140988, ENSG00000063177, ENSG00000172809, ENSG00000167526, ENSG00000118181, ENSG00000174444, ENSG00000115268, ENSG00000175756, ENSG00000132300, ENSG00000149806, ENSG00000233927, ENSG00000197958, ENSG00000100316, ENSG00000137154, ENSG00000231500, ENSG00000221983, ENSG00000168066, ENSG00000089157, ENSG00000162244, ENSG00000147403, ENSG00000161016	762	74	3483	2.2236646094913812	5.899654985594971E-4	1.9671311656517407E-4	1.9364383389536285E-4
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	60	7.653061224489796	1.9862348701181397E-6	ENSG00000142937, ENSG00000110700, ENSG00000128591, ENSG00000172354, ENSG00000171863, ENSG00000173801, ENSG00000142541, ENSG00000163682, ENSG00000166598, ENSG00000170889, ENSG00000160691, ENSG00000142627, ENSG00000105193, ENSG00000123384, ENSG00000070756, ENSG00000075624, ENSG00000115268, ENSG00000137312, ENSG00000197958, ENSG00000137076, ENSG00000231500, ENSG00000165119, ENSG00000185624, ENSG00000161638, ENSG00000131469, ENSG00000196262, ENSG00000197111, ENSG00000044574, ENSG00000181163, ENSG00000167460, ENSG00000064666, ENSG00000116584, ENSG00000168036, ENSG00000089009, ENSG00000140988, ENSG00000063177, ENSG00000172809, ENSG00000184009, ENSG00000109971, ENSG00000148303, ENSG00000129474, ENSG00000068078, ENSG00000105647, ENSG00000141738, ENSG00000178209, ENSG00000137337, ENSG00000174444, ENSG00000198755, ENSG00000179218, ENSG00000196924, ENSG00000100316, ENSG00000183386, ENSG00000164889, ENSG00000125753, ENSG00000089157, ENSG00000149428, ENSG00000142798, ENSG00000143761, ENSG00000051523, ENSG00000161016	762	155	3483	1.7693675387350773	0.0013993170157597934	3.500738958583221E-4	3.4461174996549724E-4
GOTERM_BP_DIRECT	GO:0006412~translation	42	5.357142857142857	5.667912491081847E-6	ENSG00000172590, ENSG00000131469, ENSG00000145592, ENSG00000142937, ENSG00000114867, ENSG00000110700, ENSG00000156508, ENSG00000204574, ENSG00000171863, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000163584, ENSG00000170889, ENSG00000089009, ENSG00000105193, ENSG00000140988, ENSG00000063177, ENSG00000109475, ENSG00000172809, ENSG00000167526, ENSG00000148303, ENSG00000179115, ENSG00000095059, ENSG00000118181, ENSG00000175634, ENSG00000174444, ENSG00000198755, ENSG00000115268, ENSG00000149806, ENSG00000233927, ENSG00000197958, ENSG00000100316, ENSG00000137154, ENSG00000231500, ENSG00000221983, ENSG00000089157, ENSG00000162244, ENSG00000147403, ENSG00000215472, ENSG00000161016, ENSG00000103342	747	97	3362	1.9487434273175175	0.019214325106581942	0.009697798272241041	0.009697798272241041
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	323	41.19897959183674	1.22744882571603E-5	ENSG00000163918, ENSG00000092199, ENSG00000111358, ENSG00000110700, ENSG00000006712, ENSG00000114982, ENSG00000135446, ENSG00000165782, ENSG00000116001, ENSG00000099381, ENSG00000166197, ENSG00000115392, ENSG00000151923, ENSG00000058600, ENSG00000088930, ENSG00000164338, ENSG00000156261, ENSG00000179262, ENSG00000167967, ENSG00000141456, ENSG00000277258, ENSG00000124795, ENSG00000179950, ENSG00000075624, ENSG00000169592, ENSG00000115268, ENSG00000119772, ENSG00000131652, ENSG00000157106, ENSG00000137193, ENSG00000173846, ENSG00000143624, ENSG00000124207, ENSG00000088247, ENSG00000131408, ENSG00000141569, ENSG00000164104, ENSG00000105220, ENSG00000166888, ENSG00000104960, ENSG00000215301, ENSG00000160789, ENSG00000131748, ENSG00000127481, ENSG00000189091, ENSG00000177666, ENSG00000133247, ENSG00000131069, ENSG00000178999, ENSG00000174953, ENSG00000144028, ENSG00000162298, ENSG00000134690, ENSG00000168036, ENSG00000162613, ENSG00000109971, ENSG00000099917, ENSG00000261236, ENSG00000175376, ENSG00000130305, ENSG00000039650, ENSG00000146670, ENSG00000153406, ENSG00000175931, ENSG00000171453, ENSG00000111364, ENSG00000115289, ENSG00000140451, ENSG00000117222, ENSG00000011304, ENSG00000093009, ENSG00000163950, ENSG00000124541, ENSG00000167513, ENSG00000103067, ENSG00000183207, ENSG00000177200, ENSG00000185627, ENSG00000126254, ENSG00000239857, ENSG00000099622, ENSG00000162191, ENSG00000004975, ENSG00000104907, ENSG00000167522, ENSG00000145216, ENSG00000038358, ENSG00000100429, ENSG00000204356, ENSG00000118515, ENSG00000149930, ENSG00000130749, ENSG00000149136, ENSG00000108021, ENSG00000107175, ENSG00000161547, ENSG00000087087, ENSG00000087191, ENSG00000149480, ENSG00000153187, ENSG00000003756, ENSG00000131051, ENSG00000112511, ENSG00000204463, ENSG00000170144, ENSG00000154832, ENSG00000133112, ENSG00000065989, ENSG00000149806, ENSG00000204469, ENSG00000137154, ENSG00000168066, ENSG00000167770, ENSG00000165119, ENSG00000103249, ENSG00000183684, ENSG00000162889, ENSG00000258366, ENSG00000141644, ENSG00000148834, ENSG00000272333, ENSG00000164941, ENSG00000065150, ENSG00000076604, ENSG00000165916, ENSG00000136718, ENSG00000108604, ENSG00000181163, ENSG00000117318, ENSG00000204574, ENSG00000265241, ENSG00000092094, ENSG00000132475, ENSG00000196305, ENSG00000117676, ENSG00000143258, ENSG00000164151, ENSG00000100567, ENSG00000169045, ENSG00000130726, ENSG00000101412, ENSG00000108840, ENSG00000169727, ENSG00000167548, ENSG00000127564, ENSG00000185658, ENSG00000197063, ENSG00000105202, ENSG00000130985, ENSG00000118181, ENSG00000177595, ENSG00000150459, ENSG00000242372, ENSG00000198837, ENSG00000204569, ENSG00000079432, ENSG00000079313, ENSG00000141867, ENSG00000122566, ENSG00000179094, ENSG00000071894, ENSG00000168090, ENSG00000172590, ENSG00000170291, ENSG00000135723, ENSG00000142937, ENSG00000148362, ENSG00000114346, ENSG00000156304, ENSG00000168411, ENSG00000163882, ENSG00000100867, ENSG00000141736, ENSG00000105193, ENSG00000126457, ENSG00000101158, ENSG00000100982, ENSG00000140400, ENSG00000214078, ENSG00000221978, ENSG00000108344, ENSG00000104897, ENSG00000147140, ENSG00000130725, ENSG00000175634, ENSG00000115548, ENSG00000165392, ENSG00000175756, ENSG00000116750, ENSG00000198728, ENSG00000116199, ENSG00000171824, ENSG00000011009, ENSG00000221983, ENSG00000102119, ENSG00000184216, ENSG00000140632, ENSG00000089053, ENSG00000186635, ENSG00000131467, ENSG00000131469, ENSG00000089280, ENSG00000154222, ENSG00000135829, ENSG00000094631, ENSG00000171163, ENSG00000025770, ENSG00000115216, ENSG00000112984, ENSG00000227057, ENSG00000205581, ENSG00000125901, ENSG00000204256, ENSG00000159352, ENSG00000140988, ENSG00000187514, ENSG00000109332, ENSG00000100401, ENSG00000103479, ENSG00000179335, ENSG00000160957, ENSG00000099875, ENSG00000010292, ENSG00000111641, ENSG00000115207, ENSG00000137337, ENSG00000111642, ENSG00000149308, ENSG00000161011, ENSG00000036549, ENSG00000143321, ENSG00000142599, ENSG00000165733, ENSG00000148337, ENSG00000197451, ENSG00000135486, ENSG00000170892, ENSG00000171863, ENSG00000099341, ENSG00000139842, ENSG00000132773, ENSG00000171858, ENSG00000162231, ENSG00000170889, ENSG00000187531, ENSG00000136450, ENSG00000084774, ENSG00000013573, ENSG00000087365, ENSG00000072778, ENSG00000100023, ENSG00000125450, ENSG00000104973, ENSG00000105821, ENSG00000116717, ENSG00000071462, ENSG00000072310, ENSG00000139613, ENSG00000041357, ENSG00000196235, ENSG00000104859, ENSG00000132781, ENSG00000112473, ENSG00000170421, ENSG00000132300, ENSG00000233927, ENSG00000029363, ENSG00000231500, ENSG00000102317, ENSG00000102316, ENSG00000165516, ENSG00000188976, ENSG00000101224, ENSG00000182872, ENSG00000108654, ENSG00000160741, ENSG00000092010, ENSG00000157933, ENSG00000104884, ENSG00000162923, ENSG00000197111, ENSG00000121060, ENSG00000174231, ENSG00000076201, ENSG00000105618, ENSG00000117713, ENSG00000104529, ENSG00000196700, ENSG00000002016, ENSG00000080824, ENSG00000172732, ENSG00000117399, ENSG00000169689, ENSG00000169567, ENSG00000122952, ENSG00000169683, ENSG00000072518, ENSG00000183751, ENSG00000180900, ENSG00000160752, ENSG00000071564, ENSG00000132522, ENSG00000129474, ENSG00000129351, ENSG00000173153, ENSG00000111602, ENSG00000196497, ENSG00000270647, ENSG00000175215, ENSG00000205250, ENSG00000170322, ENSG00000173039, ENSG00000141582, ENSG00000169696, ENSG00000168003, ENSG00000127616, ENSG00000103549, ENSG00000123136, ENSG00000166508, ENSG00000148773, ENSG00000108312, ENSG00000149503, ENSG00000166987	762	1244	3483	1.1868084917841861	0.008616232986042638	0.0017307028442596023	0.0017036989700938499
GOTERM_MF_DIRECT	GO:0003729~mRNA binding	37	4.719387755102041	1.3466316303489568E-5	ENSG00000126254, ENSG00000215301, ENSG00000197451, ENSG00000135829, ENSG00000197111, ENSG00000114867, ENSG00000110700, ENSG00000110321, ENSG00000265241, ENSG00000080824, ENSG00000142541, ENSG00000162231, ENSG00000204356, ENSG00000136450, ENSG00000140988, ENSG00000161960, ENSG00000162613, ENSG00000149658, ENSG00000100441, ENSG00000070756, ENSG00000161847, ENSG00000003756, ENSG00000132361, ENSG00000196235, ENSG00000117569, ENSG00000170144, ENSG00000179218, ENSG00000168488, ENSG00000011304, ENSG00000029363, ENSG00000168066, ENSG00000088247, ENSG00000183684, ENSG00000165119, ENSG00000163950, ENSG00000169714, ENSG00000103067	755	84	3411	1.990018921475875	0.014026953457500269	0.007069816059332023	0.007056349743028534
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	35	4.464285714285714	2.1027016420868877E-5	ENSG00000172590, ENSG00000131469, ENSG00000145592, ENSG00000142937, ENSG00000110700, ENSG00000171863, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000163584, ENSG00000170889, ENSG00000089009, ENSG00000105193, ENSG00000140988, ENSG00000063177, ENSG00000109475, ENSG00000172809, ENSG00000167526, ENSG00000148303, ENSG00000118181, ENSG00000174444, ENSG00000198755, ENSG00000115268, ENSG00000149806, ENSG00000233927, ENSG00000197958, ENSG00000100316, ENSG00000137154, ENSG00000231500, ENSG00000221983, ENSG00000089157, ENSG00000162244, ENSG00000147403, ENSG00000215472, ENSG00000161016	755	79	3411	2.00159275714645	0.02181608270033386	0.007359455747304107	0.007345437736356861
