Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	24	52.17391304347826	2.1455048269610436E-14	ENSG00000182944, ENSG00000153113, ENSG00000092199, ENSG00000178952, ENSG00000130985, ENSG00000108848, ENSG00000174231, ENSG00000114867, ENSG00000197102, ENSG00000099783, ENSG00000175467, ENSG00000155506, ENSG00000115677, ENSG00000005007, ENSG00000196924, ENSG00000115053, ENSG00000138095, ENSG00000130816, ENSG00000127603, ENSG00000087365, ENSG00000100201, ENSG00000108312, ENSG00000168439, ENSG00000148843	46	1479	18967	6.69088984919305	2.9783953081619075E-12	3.0037067577454612E-12	2.917886564667019E-12
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	27	58.69565217391305	2.062634468509233E-8	ENSG00000092199, ENSG00000108848, ENSG00000174231, ENSG00000099783, ENSG00000175467, ENSG00000115216, ENSG00000005007, ENSG00000080603, ENSG00000171316, ENSG00000115053, ENSG00000138095, ENSG00000153827, ENSG00000090565, ENSG00000187514, ENSG00000100201, ENSG00000087365, ENSG00000167548, ENSG00000127663, ENSG00000167986, ENSG00000148843, ENSG00000182944, ENSG00000130985, ENSG00000115548, ENSG00000137497, ENSG00000080345, ENSG00000130816, ENSG00000108312	46	4076	20647	2.973231428937151	3.6714826424644187E-6	3.671489353946435E-6	3.4033468730402347E-6
GOTERM_CC_DIRECT	GO:0005634~nucleus	29	63.04347826086957	5.476480457066843E-6	ENSG00000092199, ENSG00000108848, ENSG00000174231, ENSG00000114867, ENSG00000099783, ENSG00000175467, ENSG00000115677, ENSG00000005007, ENSG00000080603, ENSG00000171316, ENSG00000115053, ENSG00000138095, ENSG00000153827, ENSG00000187514, ENSG00000100201, ENSG00000087365, ENSG00000168439, ENSG00000167548, ENSG00000127663, ENSG00000167986, ENSG00000148843, ENSG00000182944, ENSG00000130985, ENSG00000115548, ENSG00000137497, ENSG00000196924, ENSG00000080345, ENSG00000130816, ENSG00000108312	46	6100	20647	2.133866714183892	9.743412116802741E-4	4.8740676067894904E-4	4.5180963770801455E-4
GOTERM_MF_DIRECT	GO:0045296~cadherin binding	8	17.391304347826086	9.537777337931525E-6	ENSG00000196924, ENSG00000153113, ENSG00000113758, ENSG00000167110, ENSG00000175216, ENSG00000155506, ENSG00000115677, ENSG00000127603	46	320	18967	10.308152173913044	0.0013248789443021103	6.676444136552068E-4	6.485688589793437E-4
GOTERM_MF_DIRECT	GO:0008017~microtubule binding	7	15.217391304347828	4.1926409163568144E-5	ENSG00000116584, ENSG00000138095, ENSG00000167110, ENSG00000175216, ENSG00000127603, ENSG00000137497, ENSG00000115355	46	272	18967	10.611333120204604	0.005810943819303693	0.0019565657609665133	0.0019006638820817559
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	5	10.869565217391305	4.782221081169185E-5	ENSG00000092199, ENSG00000174231, ENSG00000099783, ENSG00000175467, ENSG00000087365	46	92	20647	24.393903591682417	0.00847642784685132	0.00254099703375983	0.002355418598709955
GOTERM_CC_DIRECT	GO:0005829~cytosol	26	56.52173913043478	5.710105693842315E-5	ENSG00000153113, ENSG00000186716, ENSG00000092199, ENSG00000114867, ENSG00000131626, ENSG00000175467, ENSG00000115677, ENSG00000005007, ENSG00000115355, ENSG00000116584, ENSG00000153827, ENSG00000090565, ENSG00000187514, ENSG00000100201, ENSG00000168439, ENSG00000127663, ENSG00000148843, ENSG00000130985, ENSG00000198752, ENSG00000197102, ENSG00000175216, ENSG00000155506, ENSG00000137497, ENSG00000196924, ENSG00000143549, ENSG00000166986	46	5627	20647	2.0739369963143535	0.010112796628739762	0.00254099703375983	0.002355418598709955
GOTERM_CC_DIRECT	GO:0032991~macromolecular complex	9	19.565217391304348	1.1555765048216251E-4	ENSG00000116584, ENSG00000186716, ENSG00000092199, ENSG00000131626, ENSG00000175216, ENSG00000168439, ENSG00000137497, ENSG00000167986, ENSG00000080603	46	697	20647	5.7957395047096245	0.020360321910112944	0.0034455646521427056	0.003193922289907564
GOTERM_CC_DIRECT	GO:0016020~membrane	20	43.47826086956522	1.1614262872391142E-4	ENSG00000153113, ENSG00000186716, ENSG00000092199, ENSG00000178952, ENSG00000174231, ENSG00000198752, ENSG00000114867, ENSG00000197102, ENSG00000175216, ENSG00000115548, ENSG00000099783, ENSG00000155506, ENSG00000115216, ENSG00000115355, ENSG00000196924, ENSG00000115053, ENSG00000138095, ENSG00000127603, ENSG00000100201, ENSG00000166986	46	3677	20647	2.4413806151044684	0.02046233450266921	0.0034455646521427056	0.003193922289907564
GOTERM_MF_DIRECT	GO:0005515~protein binding	42	91.30434782608695	1.3779696432293377E-4	ENSG00000153113, ENSG00000186716, ENSG00000092199, ENSG00000178952, ENSG00000113758, ENSG00000108848, ENSG00000174231, ENSG00000114867, ENSG00000131626, ENSG00000099783, ENSG00000175467, ENSG00000115677, ENSG00000115216, ENSG00000005007, ENSG00000080603, ENSG00000171316, ENSG00000116584, ENSG00000115053, ENSG00000138095, ENSG00000153827, ENSG00000090565, ENSG00000187514, ENSG00000127603, ENSG00000100201, ENSG00000087365, ENSG00000168439, ENSG00000167548, ENSG00000167986, ENSG00000148843, ENSG00000182944, ENSG00000130985, ENSG00000197102, ENSG00000175216, ENSG00000115548, ENSG00000155506, ENSG00000137497, ENSG00000196924, ENSG00000143549, ENSG00000080345, ENSG00000167110, ENSG00000130816, ENSG00000108312	46	12657	18967	1.368230674897204	0.01897280474482388	0.0048228937513026815	0.0046850967869797484
