Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	26	40.0	5.978004817136744E-6	ENSG00000183207, ENSG00000182934, ENSG00000215301, ENSG00000175166, ENSG00000273749, ENSG00000178035, ENSG00000115053, ENSG00000170889, ENSG00000168036, ENSG00000166913, ENSG00000167986, ENSG00000087191, ENSG00000100591, ENSG00000105202, ENSG00000150753, ENSG00000117448, ENSG00000150991, ENSG00000152234, ENSG00000170515, ENSG00000164062, ENSG00000143549, ENSG00000137076, ENSG00000167770, ENSG00000163931, ENSG00000182199, ENSG00000014216	65	556	3483	2.5057553956834533	0.0012963898824351894	0.0012972270453186735	0.0012912490405015368
GOTERM_CC_DIRECT	GO:0010494~cytoplasmic stress granule	7	10.76923076923077	4.519329781552118E-5	ENSG00000162231, ENSG00000215301, ENSG00000155363, ENSG00000141738, ENSG00000088247, ENSG00000114867, ENSG00000155506	65	37	3483	10.137629937629939	0.009759233797206446	0.004903472812984048	0.004880876164076287
GOTERM_MF_DIRECT	GO:0003723~RNA binding	25	38.46153846153847	4.6744939083591303E-5	ENSG00000103275, ENSG00000182934, ENSG00000215301, ENSG00000114867, ENSG00000178035, ENSG00000115053, ENSG00000162231, ENSG00000170889, ENSG00000138095, ENSG00000100029, ENSG00000148843, ENSG00000182944, ENSG00000179950, ENSG00000105202, ENSG00000092201, ENSG00000155363, ENSG00000141738, ENSG00000155506, ENSG00000150991, ENSG00000152234, ENSG00000170515, ENSG00000164062, ENSG00000088247, ENSG00000101146, ENSG00000169714	65	571	3411	2.29758857604742	0.009305638383908965	0.009395732755801852	0.009208752999467487
GOTERM_MF_DIRECT	GO:0005515~protein binding	63	96.92307692307692	2.2393950979139224E-4	ENSG00000071894, ENSG00000183207, ENSG00000114867, ENSG00000204394, ENSG00000148606, ENSG00000162231, ENSG00000170889, ENSG00000100867, ENSG00000100029, ENSG00000160014, ENSG00000166913, ENSG00000148843, ENSG00000087191, ENSG00000179950, ENSG00000182944, ENSG00000155363, ENSG00000150753, ENSG00000117448, ENSG00000150991, ENSG00000023228, ENSG00000164062, ENSG00000143549, ENSG00000137076, ENSG00000088247, ENSG00000102316, ENSG00000167770, ENSG00000163931, ENSG00000182199, ENSG00000101146, ENSG00000105063, ENSG00000100297, ENSG00000169714, ENSG00000103275, ENSG00000215301, ENSG00000113758, ENSG00000273749, ENSG00000175166, ENSG00000178035, ENSG00000172053, ENSG00000203485, ENSG00000115053, ENSG00000138095, ENSG00000168036, ENSG00000101457, ENSG00000144021, ENSG00000187514, ENSG00000167986, ENSG00000160714, ENSG00000105202, ENSG00000100591, ENSG00000092201, ENSG00000141738, ENSG00000010292, ENSG00000115207, ENSG00000155506, ENSG00000111642, ENSG00000152234, ENSG00000167553, ENSG00000170515, ENSG00000184432, ENSG00000179010, ENSG00000166508, ENSG00000014216	65	2780	3411	1.1892252351964583	0.043804527412080185	0.01897622956721505	0.01859859315791724
GOTERM_MF_DIRECT	GO:0048027~mRNA 5'-UTR binding	5	7.6923076923076925	2.8322730697335894E-4	ENSG00000115053, ENSG00000215301, ENSG00000150753, ENSG00000182199, ENSG00000155506	65	18	3411	14.576923076923078	0.055078557601025535	0.01897622956721505	0.01859859315791724
GOTERM_CC_DIRECT	GO:0005634~nucleus	41	63.07692307692307	3.837469462131327E-4	ENSG00000071894, ENSG00000103275, ENSG00000183207, ENSG00000215301, ENSG00000175166, ENSG00000114867, ENSG00000178035, ENSG00000148606, ENSG00000115053, ENSG00000162231, ENSG00000170889, ENSG00000138095, ENSG00000100867, ENSG00000168036, ENSG00000160014, ENSG00000101457, ENSG00000187514, ENSG00000167986, ENSG00000148843, ENSG00000087191, ENSG00000182944, ENSG00000160714, ENSG00000179950, ENSG00000105202, ENSG00000092201, ENSG00000155363, ENSG00000010292, ENSG00000111642, ENSG00000150991, ENSG00000152234, ENSG00000167553, ENSG00000170515, ENSG00000088247, ENSG00000102316, ENSG00000167770, ENSG00000182199, ENSG00000166508, ENSG00000105063, ENSG00000101146, ENSG00000100297, ENSG00000169714	65	1429	3483	1.5374172363675511	0.07991485960517253	0.020911915463342062	0.020815547189317444
GOTERM_CC_DIRECT	GO:0005829~cytosol	43	66.15384615384615	3.854730960984712E-4	ENSG00000103275, ENSG00000183207, ENSG00000215301, ENSG00000175166, ENSG00000273749, ENSG00000114867, ENSG00000178035, ENSG00000172053, ENSG00000204394, ENSG00000148606, ENSG00000162231, ENSG00000170889, ENSG00000168036, ENSG00000100029, ENSG00000160014, ENSG00000166913, ENSG00000187514, ENSG00000148843, ENSG00000087191, ENSG00000160714, ENSG00000100591, ENSG00000155363, ENSG00000141738, ENSG00000117308, ENSG00000010292, ENSG00000150753, ENSG00000155506, ENSG00000117448, ENSG00000150991, ENSG00000164062, ENSG00000143549, ENSG00000137076, ENSG00000088247, ENSG00000102316, ENSG00000167770, ENSG00000163931, ENSG00000184432, ENSG00000182199, ENSG00000166508, ENSG00000105063, ENSG00000100297, ENSG00000169714, ENSG00000014216	65	1537	3483	1.4991141584505279	0.0802595680745033	0.020911915463342062	0.020815547189317444
GOTERM_MF_DIRECT	GO:0008190~eukaryotic initiation factor 4E binding	3	4.615384615384616	0.0020297702432950085	ENSG00000215301, ENSG00000114867, ENSG00000155506	65	4	3411	39.35769230769231	0.333934059603775	0.09749151832927831	0.0955513886112827
GOTERM_MF_DIRECT	GO:0003678~DNA helicase activity	5	7.6923076923076925	0.002425162147494485	ENSG00000183207, ENSG00000215301, ENSG00000166508, ENSG00000111642, ENSG00000100297	65	31	3411	8.464019851116625	0.3846853544748141	0.09749151832927831	0.0955513886112827
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	35	53.84615384615385	0.0030122812431870837	ENSG00000071894, ENSG00000103275, ENSG00000183207, ENSG00000215301, ENSG00000175166, ENSG00000148606, ENSG00000115053, ENSG00000162231, ENSG00000170889, ENSG00000138095, ENSG00000100867, ENSG00000168036, ENSG00000100029, ENSG00000160014, ENSG00000101457, ENSG00000187514, ENSG00000167986, ENSG00000148843, ENSG00000087191, ENSG00000182944, ENSG00000179950, ENSG00000105202, ENSG00000092201, ENSG00000010292, ENSG00000115207, ENSG00000111642, ENSG00000150991, ENSG00000088247, ENSG00000102316, ENSG00000167770, ENSG00000163931, ENSG00000166508, ENSG00000101146, ENSG00000179010, ENSG00000100297	65	1244	3483	1.5076057383131338	0.48037689214736334	0.13073300595431941	0.13013054970568202
