Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	11	32.35294117647059	1.0636990770176131E-9	ENSG00000233927, ENSG00000130312, ENSG00000163682, ENSG00000131469, ENSG00000229117, ENSG00000118181, ENSG00000105372, ENSG00000171863, ENSG00000148303, ENSG00000130255, ENSG00000161016	33	79	3411	14.39240506329114	7.76500334032093E-8	7.871373169930338E-8	7.871373169930338E-8
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	10	29.411764705882355	1.2340403558793561E-9	ENSG00000233927, ENSG00000163682, ENSG00000131469, ENSG00000229117, ENSG00000118181, ENSG00000105372, ENSG00000171863, ENSG00000148303, ENSG00000130255, ENSG00000161016	31	61	3362	17.77895293495505	2.2829743229202393E-7	2.2706342548180153E-7	2.2582938512592216E-7
GOTERM_BP_DIRECT	GO:0006412~translation	11	32.35294117647059	4.6709137184035575E-9	ENSG00000233927, ENSG00000130312, ENSG00000163682, ENSG00000131469, ENSG00000229117, ENSG00000118181, ENSG00000105372, ENSG00000171863, ENSG00000148303, ENSG00000130255, ENSG00000161016	31	97	3362	12.298636514798805	8.641186755031782E-7	4.297240620931273E-7	4.273886052339255E-7
GOTERM_CC_DIRECT	GO:0005840~ribosome	10	29.411764705882355	1.3777269865192936E-8	ENSG00000233927, ENSG00000130312, ENSG00000163682, ENSG00000131469, ENSG00000229117, ENSG00000118181, ENSG00000105372, ENSG00000171863, ENSG00000130255, ENSG00000161016	34	74	3483	13.843402225755169	1.2261762760701345E-6	1.2261770180021712E-6	1.1572906686762067E-6
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	8	23.52941176470588	1.3322874683417943E-6	ENSG00000163682, ENSG00000131469, ENSG00000118181, ENSG00000105372, ENSG00000171863, ENSG00000148303, ENSG00000130255, ENSG00000161016	34	63	3483	13.008403361344538	1.1856663409104407E-4	5.928679234120985E-5	5.595607367035536E-5
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	6	17.647058823529413	1.2753544822009786E-5	ENSG00000163682, ENSG00000131469, ENSG00000229117, ENSG00000148303, ENSG00000130255, ENSG00000161016	34	34	3483	18.077854671280278	0.0011344287758924265	3.78355163052957E-4	3.57099255016274E-4
GOTERM_CC_DIRECT	GO:0042788~polysomal ribosome	5	14.705882352941178	2.9100275379527642E-5	ENSG00000233927, ENSG00000229117, ENSG00000148303, ENSG00000130255, ENSG00000161016	34	20	3483	25.610294117647058	0.0025866111348461507	6.474811271944901E-4	6.111057829700805E-4
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	6	17.647058823529413	3.010345244401584E-4	ENSG00000233927, ENSG00000131469, ENSG00000118181, ENSG00000243207, ENSG00000105372, ENSG00000171863	31	69	3362	9.430575035063113	0.05417694342919255	0.018463450832329715	0.01836310599084966
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	23	67.64705882352942	0.0014108046491074808	ENSG00000178773, ENSG00000214279, ENSG00000071994, ENSG00000105576, ENSG00000160813, ENSG00000105401, ENSG00000131469, ENSG00000118181, ENSG00000111640, ENSG00000129084, ENSG00000198931, ENSG00000171863, ENSG00000130255, ENSG00000233927, ENSG00000163682, ENSG00000229117, ENSG00000088986, ENSG00000105372, ENSG00000149658, ENSG00000148834, ENSG00000184009, ENSG00000148303, ENSG00000161016	34	1377	3483	1.7110726643598617	0.11807677091523716	0.025112322754113157	0.02370151810500568
GOTERM_CC_DIRECT	GO:0022627~cytosolic small ribosomal subunit	4	11.76470588235294	0.0017372875035496533	ENSG00000233927, ENSG00000118181, ENSG00000105372, ENSG00000171863	34	26	3483	15.760180995475112	0.14337330642320134	0.025769764635986524	0.024322025049695144
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	7	20.588235294117645	0.0028751051902861347	ENSG00000163682, ENSG00000131469, ENSG00000105372, ENSG00000171863, ENSG00000148303, ENSG00000184009, ENSG00000161016	34	155	3483	4.626375711574952	0.22605379915020318	0.03655490884792371	0.034501262283433615
GOTERM_MF_DIRECT	GO:0003723~RNA binding	13	38.23529411764706	0.003808042083778325	ENSG00000211450, ENSG00000131469, ENSG00000118181, ENSG00000129084, ENSG00000171863, ENSG00000130255, ENSG00000233927, ENSG00000163682, ENSG00000229117, ENSG00000105372, ENSG00000149658, ENSG00000148303, ENSG00000161016	33	571	3411	2.353287693042509	0.24309513935942617	0.14089755709979804	0.14089755709979804
GOTERM_BP_DIRECT	GO:0042274~ribosomal small subunit biogenesis	4	11.76470588235294	0.006637529781127235	ENSG00000233927, ENSG00000118181, ENSG00000105372, ENSG00000171863	31	44	3362	9.859237536656892	0.7083020374820372	0.3053263699318528	0.303666987486571
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	3	8.823529411764707	0.009427641885199314	ENSG00000163682, ENSG00000243207, ENSG00000161016	33	16	3411	19.38068181818182	0.4991669807366915	0.2325484998349164	0.2325484998349164
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	12	35.294117647058826	0.010452458946398865	ENSG00000233927, ENSG00000178773, ENSG00000071994, ENSG00000105401, ENSG00000131469, ENSG00000118181, ENSG00000129084, ENSG00000111640, ENSG00000198931, ENSG00000105372, ENSG00000148834, ENSG00000184009	34	556	3483	2.2109606432501057	0.6074788237620481	0.11628360577868738	0.10975081893718808
GOTERM_CC_DIRECT	GO:0045202~synapse	5	14.705882352941178	0.013351090002926221	ENSG00000233927, ENSG00000131469, ENSG00000171863, ENSG00000148303, ENSG00000184009	34	99	3483	5.17379679144385	0.6976743476577594	0.13202744558449264	0.12461017336064474
GOTERM_CC_DIRECT	GO:0098556~cytoplasmic side of rough endoplasmic reticulum membrane	2	5.88235294117647	0.01886210910698615	ENSG00000233927, ENSG00000131469	34	2	3483	102.44117647058823	0.8163570375947413	0.16787277105217674	0.1584417164986837
GOTERM_CC_DIRECT	GO:0005730~nucleolus	8	23.52941176470588	0.029860360848890745	ENSG00000233927, ENSG00000131469, ENSG00000118181, ENSG00000243207, ENSG00000105372, ENSG00000171863, ENSG00000148303, ENSG00000130255	34	326	3483	2.5138939011187293	0.9326638565190242	0.24159746505011606	0.2280245737551657
GOTERM_CC_DIRECT	GO:0032040~small-subunit processome	3	8.823529411764707	0.061760916440377615	ENSG00000233927, ENSG00000105372, ENSG00000171863	34	43	3483	7.147058823529413	0.9965651855002715	0.458060130266134	0.4323264150826433
GOTERM_BP_DIRECT	GO:0030490~maturation of SSU-rRNA	2	5.88235294117647	0.07759083076484607	ENSG00000233927, ENSG00000105372	31	9	3362	24.100358422939067	0.9999996757588631	1.0	1.0
