Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	139	45.87458745874587	1.0070584952332697E-26	ENSG00000092199, ENSG00000134759, ENSG00000148362, ENSG00000099783, ENSG00000064961, ENSG00000168259, ENSG00000116001, ENSG00000167721, ENSG00000165661, ENSG00000138398, ENSG00000166197, ENSG00000267680, ENSG00000204435, ENSG00000160014, ENSG00000184465, ENSG00000108100, ENSG00000126457, ENSG00000161981, ENSG00000101158, ENSG00000183258, ENSG00000277258, ENSG00000182944, ENSG00000147140, ENSG00000132341, ENSG00000169592, ENSG00000119772, ENSG00000130165, ENSG00000157106, ENSG00000165792, ENSG00000011243, ENSG00000105221, ENSG00000160789, ENSG00000103995, ENSG00000160949, ENSG00000094631, ENSG00000131748, ENSG00000127481, ENSG00000110200, ENSG00000133884, ENSG00000205581, ENSG00000004478, ENSG00000120699, ENSG00000149554, ENSG00000089685, ENSG00000160799, ENSG00000161888, ENSG00000103510, ENSG00000176171, ENSG00000135679, ENSG00000161526, ENSG00000099875, ENSG00000175376, ENSG00000175931, ENSG00000111641, ENSG00000138668, ENSG00000116016, ENSG00000132323, ENSG00000186010, ENSG00000080189, ENSG00000130816, ENSG00000125755, ENSG00000143321, ENSG00000148337, ENSG00000185627, ENSG00000197451, ENSG00000124193, ENSG00000196365, ENSG00000115875, ENSG00000171863, ENSG00000173889, ENSG00000104907, ENSG00000135521, ENSG00000110583, ENSG00000148606, ENSG00000167522, ENSG00000100429, ENSG00000118515, ENSG00000187531, ENSG00000136450, ENSG00000159210, ENSG00000072778, ENSG00000100023, ENSG00000153187, ENSG00000003756, ENSG00000072310, ENSG00000139613, ENSG00000131051, ENSG00000198258, ENSG00000196235, ENSG00000104859, ENSG00000168066, ENSG00000141480, ENSG00000167770, ENSG00000165516, ENSG00000103249, ENSG00000071859, ENSG00000129933, ENSG00000167657, ENSG00000076604, ENSG00000108848, ENSG00000162923, ENSG00000198563, ENSG00000197111, ENSG00000136718, ENSG00000108604, ENSG00000129460, ENSG00000174197, ENSG00000197114, ENSG00000157014, ENSG00000265241, ENSG00000092094, ENSG00000196700, ENSG00000170312, ENSG00000172732, ENSG00000130332, ENSG00000143258, ENSG00000010244, ENSG00000122952, ENSG00000169045, ENSG00000072518, ENSG00000188529, ENSG00000103037, ENSG00000180900, ENSG00000185658, ENSG00000132522, ENSG00000105325, ENSG00000174243, ENSG00000066136, ENSG00000111602, ENSG00000205250, ENSG00000132485, ENSG00000170322, ENSG00000204569, ENSG00000168884, ENSG00000118900, ENSG00000103549, ENSG00000166508, ENSG00000122566, ENSG00000108312	293	4076	20647	2.4030895912810193	4.461269133883385E-24	4.461269133883385E-24	4.390775039217055E-24
GOTERM_MF_DIRECT	GO:0003723~RNA binding	79	26.072607260726073	9.172394511508383E-23	ENSG00000092199, ENSG00000197451, ENSG00000114867, ENSG00000124193, ENSG00000099783, ENSG00000120705, ENSG00000115677, ENSG00000115875, ENSG00000108829, ENSG00000171863, ENSG00000104907, ENSG00000116001, ENSG00000167721, ENSG00000138035, ENSG00000138398, ENSG00000166197, ENSG00000136450, ENSG00000126457, ENSG00000101158, ENSG00000143793, ENSG00000183258, ENSG00000182944, ENSG00000153187, ENSG00000003756, ENSG00000155363, ENSG00000147140, ENSG00000174780, ENSG00000196235, ENSG00000131051, ENSG00000132341, ENSG00000173575, ENSG00000135930, ENSG00000157106, ENSG00000248333, ENSG00000088205, ENSG00000182196, ENSG00000168066, ENSG00000071859, ENSG00000126226, ENSG00000011243, ENSG00000169714, ENSG00000130810, ENSG00000108848, ENSG00000198563, ENSG00000130811, ENSG00000197111, ENSG00000129460, ENSG00000265241, ENSG00000130332, ENSG00000004478, ENSG00000010244, ENSG00000229117, ENSG00000198917, ENSG00000136231, ENSG00000089009, ENSG00000100403, ENSG00000169045, ENSG00000161960, ENSG00000072518, ENSG00000188529, ENSG00000148303, ENSG00000103353, ENSG00000171490, ENSG00000175376, ENSG00000174243, ENSG00000197102, ENSG00000175931, ENSG00000111641, ENSG00000132361, ENSG00000138668, ENSG00000132485, ENSG00000170445, ENSG00000204569, ENSG00000056097, ENSG00000170515, ENSG00000130816, ENSG00000108312, ENSG00000122566, ENSG00000143321	294	1479	18967	3.44595999319268	4.5953696502656995E-20	4.604542044777208E-20	4.503645705150616E-20
GOTERM_CC_DIRECT	GO:0005634~nucleus	166	54.78547854785478	3.134316693024723E-22	ENSG00000092199, ENSG00000114867, ENSG00000134759, ENSG00000148362, ENSG00000099783, ENSG00000064961, ENSG00000115677, ENSG00000176953, ENSG00000116001, ENSG00000167721, ENSG00000138035, ENSG00000138398, ENSG00000267680, ENSG00000204435, ENSG00000160014, ENSG00000108100, ENSG00000126457, ENSG00000161981, ENSG00000101158, ENSG00000183258, ENSG00000277258, ENSG00000108465, ENSG00000125520, ENSG00000182944, ENSG00000147140, ENSG00000132341, ENSG00000173575, ENSG00000119772, ENSG00000130165, ENSG00000157106, ENSG00000126226, ENSG00000126746, ENSG00000105063, ENSG00000011243, ENSG00000105221, ENSG00000087152, ENSG00000123992, ENSG00000103197, ENSG00000160789, ENSG00000145191, ENSG00000130810, ENSG00000130811, ENSG00000094631, ENSG00000133884, ENSG00000135821, ENSG00000132793, ENSG00000205581, ENSG00000004478, ENSG00000120699, ENSG00000172922, ENSG00000136231, ENSG00000100403, ENSG00000149554, ENSG00000089685, ENSG00000161888, ENSG00000103510, ENSG00000176171, ENSG00000167106, ENSG00000160714, ENSG00000135679, ENSG00000161526, ENSG00000099875, ENSG00000175376, ENSG00000149782, ENSG00000175931, ENSG00000138668, ENSG00000116016, ENSG00000132323, ENSG00000056097, ENSG00000170515, ENSG00000162066, ENSG00000171848, ENSG00000160200, ENSG00000130816, ENSG00000125755, ENSG00000143321, ENSG00000165458, ENSG00000148337, ENSG00000185627, ENSG00000197451, ENSG00000158805, ENSG00000115875, ENSG00000171863, ENSG00000173889, ENSG00000104907, ENSG00000135521, ENSG00000110583, ENSG00000148606, ENSG00000167522, ENSG00000100429, ENSG00000118515, ENSG00000144802, ENSG00000187531, ENSG00000125967, ENSG00000136450, ENSG00000159210, ENSG00000087088, ENSG00000100023, ENSG00000153187, ENSG00000003756, ENSG00000155363, ENSG00000072310, ENSG00000131051, ENSG00000198258, ENSG00000196235, ENSG00000265972, ENSG00000008128, ENSG00000248333, ENSG00000141002, ENSG00000168066, ENSG00000182196, ENSG00000141480, ENSG00000167770, ENSG00000165516, ENSG00000071859, ENSG00000129933, ENSG00000169714, ENSG00000167657, ENSG00000105576, ENSG00000076604, ENSG00000108848, ENSG00000162923, ENSG00000198563, ENSG00000143093, ENSG00000197111, ENSG00000108604, ENSG00000197114, ENSG00000037042, ENSG00000265241, ENSG00000092094, ENSG00000170312, ENSG00000172732, ENSG00000130299, ENSG00000130332, ENSG00000010244, ENSG00000089009, ENSG00000143418, ENSG00000088038, ENSG00000169045, ENSG00000164032, ENSG00000106261, ENSG00000188529, ENSG00000103037, ENSG00000146247, ENSG00000148303, ENSG00000185658, ENSG00000132522, ENSG00000266967, ENSG00000105325, ENSG00000198276, ENSG00000174243, ENSG00000066136, ENSG00000111602, ENSG00000077782, ENSG00000205250, ENSG00000170322, ENSG00000204569, ENSG00000117385, ENSG00000118900, ENSG00000103549, ENSG00000167671, ENSG00000254505, ENSG00000166508, ENSG00000128944, ENSG00000122566, ENSG00000108312	293	6100	20647	1.9176422536787334	1.3885022950099523E-19	6.942511475049761E-20	6.832810390793896E-20
GOTERM_MF_DIRECT	GO:0005515~protein binding	264	87.12871287128714	1.3779492832712818E-20	ENSG00000092199, ENSG00000114867, ENSG00000175220, ENSG00000064961, ENSG00000076382, ENSG00000168259, ENSG00000169228, ENSG00000116001, ENSG00000167721, ENSG00000138035, ENSG00000138398, ENSG00000166197, ENSG00000267680, ENSG00000204435, ENSG00000161981, ENSG00000277258, ENSG00000213930, ENSG00000169592, ENSG00000119772, ENSG00000157106, ENSG00000165792, ENSG00000104131, ENSG00000105221, ENSG00000087152, ENSG00000103197, ENSG00000160789, ENSG00000103995, ENSG00000077458, ENSG00000196187, ENSG00000131748, ENSG00000127481, ENSG00000077454, ENSG00000167863, ENSG00000251322, ENSG00000198917, ENSG00000184640, ENSG00000087266, ENSG00000089685, ENSG00000103510, ENSG00000160799, ENSG00000161888, ENSG00000135679, ENSG00000161526, ENSG00000175376, ENSG00000175931, ENSG00000104957, ENSG00000116016, ENSG00000186010, ENSG00000056097, ENSG00000103507, ENSG00000121716, ENSG00000162066, ENSG00000165219, ENSG00000160200, ENSG00000125755, ENSG00000125991, ENSG00000165458, ENSG00000213983, ENSG00000124193, ENSG00000120705, ENSG00000108829, ENSG00000173889, ENSG00000104907, ENSG00000135521, ENSG00000110583, ENSG00000148606, ENSG00000100429, ENSG00000118515, ENSG00000144802, ENSG00000125967, ENSG00000087088, ENSG00000153187, ENSG00000003756, ENSG00000155363, ENSG00000131051, ENSG00000198258, ENSG00000248333, ENSG00000163050, ENSG00000168066, ENSG00000167770, ENSG00000182473, ENSG00000103249, ENSG00000071859, ENSG00000169718, ENSG00000141524, ENSG00000169714, ENSG00000167657, ENSG00000092098, ENSG00000105576, ENSG00000076604, ENSG00000146083, ENSG00000108848, ENSG00000113758, ENSG00000136718, ENSG00000108604, ENSG00000174197, ENSG00000136279, ENSG00000265241, ENSG00000092094, ENSG00000130299, ENSG00000143258, ENSG00000010244, ENSG00000116584, ENSG00000089009, ENSG00000088038, ENSG00000089006, ENSG00000169045, ENSG00000164032, ENSG00000103037, ENSG00000161204, ENSG00000171490, ENSG00000105325, ENSG00000213398, ENSG00000198276, ENSG00000124181, ENSG00000066136, ENSG00000111321, ENSG00000137135, ENSG00000104915, ENSG00000132485, ENSG00000204569, ENSG00000168884, ENSG00000114270, ENSG00000167792, ENSG00000167671, ENSG00000140416, ENSG00000163516, ENSG00000122566, ENSG00000136935, ENSG00000101152, ENSG00000148362, ENSG00000099783, ENSG00000115677, ENSG00000160014, ENSG00000184465, ENSG00000108100, ENSG00000126457, ENSG00000103335, ENSG00000101158, ENSG00000183258, ENSG00000140521, ENSG00000108465, ENSG00000182944, ENSG00000095059, ENSG00000115307, ENSG00000147140, ENSG00000174780, ENSG00000132341, ENSG00000173575, ENSG00000130165, ENSG00000256269, ENSG00000126226, ENSG00000105063, ENSG00000011243, ENSG00000203618, ENSG00000123992, ENSG00000181523, ENSG00000101294, ENSG00000145191, ENSG00000160949, ENSG00000130811, ENSG00000094631, ENSG00000160948, ENSG00000110200, ENSG00000128050, ENSG00000135821, ENSG00000133884, ENSG00000115211, ENSG00000205581, ENSG00000004478, ENSG00000120699, ENSG00000229117, ENSG00000172922, ENSG00000136231, ENSG00000100403, ENSG00000149554, ENSG00000176171, ENSG00000140983, ENSG00000167106, ENSG00000160714, ENSG00000156873, ENSG00000105401, ENSG00000149782, ENSG00000099875, ENSG00000111641, ENSG00000138668, ENSG00000132323, ENSG00000170876, ENSG00000170515, ENSG00000171848, ENSG00000161013, ENSG00000130816, ENSG00000146830, ENSG00000148337, ENSG00000258890, ENSG00000197451, ENSG00000158805, ENSG00000196365, ENSG00000103091, ENSG00000115875, ENSG00000171863, ENSG00000187531, ENSG00000136450, ENSG00000159210, ENSG00000143793, ENSG00000072778, ENSG00000100023, ENSG00000185359, ENSG00000184702, ENSG00000104980, ENSG00000113569, ENSG00000072310, ENSG00000139613, ENSG00000196235, ENSG00000104859, ENSG00000265972, ENSG00000135930, ENSG00000141002, ENSG00000088205, ENSG00000143549, ENSG00000182196, ENSG00000141480, ENSG00000165516, ENSG00000124006, ENSG00000129933, ENSG00000198563, ENSG00000104886, ENSG00000162923, ENSG00000143093, ENSG00000197111, ENSG00000129460, ENSG00000197114, ENSG00000196700, ENSG00000170312, ENSG00000172732, ENSG00000130332, ENSG00000122952, ENSG00000143418, ENSG00000106261, ENSG00000044090, ENSG00000161960, ENSG00000072518, ENSG00000188529, ENSG00000146247, ENSG00000180900, ENSG00000185813, ENSG00000148303, ENSG00000132522, ENSG00000174243, ENSG00000111602, ENSG00000197102, ENSG00000197226, ENSG00000077782, ENSG00000205250, ENSG00000170322, ENSG00000117385, ENSG00000118900, ENSG00000185000, ENSG00000103549, ENSG00000254505, ENSG00000166508, ENSG00000128944, ENSG00000108312, ENSG00000014216	294	12657	18967	1.3456262808512833	6.903525909189122E-18	3.4586527010109172E-18	3.382865490430997E-18
GOTERM_CC_DIRECT	GO:0005829~cytosol	141	46.53465346534654	2.7666524528562033E-14	ENSG00000101152, ENSG00000136935, ENSG00000092199, ENSG00000114867, ENSG00000134759, ENSG00000175220, ENSG00000115677, ENSG00000076382, ENSG00000168259, ENSG00000169228, ENSG00000116001, ENSG00000167721, ENSG00000138035, ENSG00000138398, ENSG00000204435, ENSG00000160014, ENSG00000126457, ENSG00000161981, ENSG00000183258, ENSG00000108465, ENSG00000095059, ENSG00000213930, ENSG00000174780, ENSG00000132341, ENSG00000157106, ENSG00000256269, ENSG00000105063, ENSG00000104131, ENSG00000105221, ENSG00000123992, ENSG00000103197, ENSG00000160789, ENSG00000145191, ENSG00000103995, ENSG00000130811, ENSG00000094631, ENSG00000131748, ENSG00000160948, ENSG00000127481, ENSG00000110200, ENSG00000128050, ENSG00000133884, ENSG00000135821, ENSG00000115211, ENSG00000004478, ENSG00000120699, ENSG00000229117, ENSG00000251322, ENSG00000136231, ENSG00000149554, ENSG00000089685, ENSG00000161888, ENSG00000160714, ENSG00000105401, ENSG00000156873, ENSG00000177951, ENSG00000135679, ENSG00000175376, ENSG00000149782, ENSG00000175931, ENSG00000138668, ENSG00000116016, ENSG00000132323, ENSG00000162066, ENSG00000171848, ENSG00000165219, ENSG00000160200, ENSG00000125755, ENSG00000146830, ENSG00000165458, ENSG00000185627, ENSG00000196365, ENSG00000103091, ENSG00000120705, ENSG00000171863, ENSG00000135521, ENSG00000110583, ENSG00000148606, ENSG00000167522, ENSG00000100429, ENSG00000118515, ENSG00000159210, ENSG00000087088, ENSG00000185359, ENSG00000153187, ENSG00000155363, ENSG00000113569, ENSG00000072310, ENSG00000265972, ENSG00000135930, ENSG00000141002, ENSG00000143549, ENSG00000141480, ENSG00000167770, ENSG00000182473, ENSG00000124006, ENSG00000169714, ENSG00000167657, ENSG00000092098, ENSG00000076604, ENSG00000104886, ENSG00000162923, ENSG00000143093, ENSG00000197111, ENSG00000136279, ENSG00000037042, ENSG00000265241, ENSG00000092094, ENSG00000170312, ENSG00000130332, ENSG00000143258, ENSG00000116584, ENSG00000122952, ENSG00000089009, ENSG00000088038, ENSG00000089006, ENSG00000169045, ENSG00000044090, ENSG00000161960, ENSG00000100288, ENSG00000188529, ENSG00000103037, ENSG00000148303, ENSG00000185658, ENSG00000132522, ENSG00000105325, ENSG00000198276, ENSG00000124181, ENSG00000197102, ENSG00000077782, ENSG00000104915, ENSG00000170445, ENSG00000168884, ENSG00000103549, ENSG00000167671, ENSG00000167792, ENSG00000254505, ENSG00000140416, ENSG00000166508, ENSG00000014216, ENSG00000278259	293	5627	20647	1.765759432671948	1.2246537117732714E-11	4.085423455384326E-12	4.0208682314843486E-12
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	20	6.6006600660066	3.6335607330752334E-10	ENSG00000092199, ENSG00000003756, ENSG00000108848, ENSG00000198563, ENSG00000174243, ENSG00000147140, ENSG00000104957, ENSG00000131051, ENSG00000104859, ENSG00000115875, ENSG00000265241, ENSG00000132485, ENSG00000116001, ENSG00000138398, ENSG00000182196, ENSG00000071859, ENSG00000126457, ENSG00000161981, ENSG00000011243, ENSG00000100023	288	211	19453	6.402382833070037	6.093480326985201E-7	6.089847788634091E-7	6.064412863502565E-7
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	132	43.56435643564357	3.9947190097136693E-10	ENSG00000114867, ENSG00000134759, ENSG00000148362, ENSG00000175220, ENSG00000099783, ENSG00000115677, ENSG00000076382, ENSG00000176953, ENSG00000168259, ENSG00000116001, ENSG00000138035, ENSG00000138398, ENSG00000166197, ENSG00000204435, ENSG00000160014, ENSG00000126457, ENSG00000108465, ENSG00000125520, ENSG00000182944, ENSG00000095059, ENSG00000213930, ENSG00000174780, ENSG00000132341, ENSG00000119772, ENSG00000173457, ENSG00000157106, ENSG00000256269, ENSG00000126226, ENSG00000011243, ENSG00000123992, ENSG00000103197, ENSG00000145191, ENSG00000160949, ENSG00000130811, ENSG00000094631, ENSG00000131748, ENSG00000160948, ENSG00000128050, ENSG00000135821, ENSG00000115211, ENSG00000205581, ENSG00000004478, ENSG00000120699, ENSG00000229117, ENSG00000251322, ENSG00000198917, ENSG00000136231, ENSG00000184640, ENSG00000149554, ENSG00000089685, ENSG00000176171, ENSG00000167106, ENSG00000105401, ENSG00000135679, ENSG00000099875, ENSG00000175931, ENSG00000138668, ENSG00000116016, ENSG00000132323, ENSG00000186010, ENSG00000056097, ENSG00000170515, ENSG00000160200, ENSG00000125755, ENSG00000143321, ENSG00000258890, ENSG00000197451, ENSG00000120705, ENSG00000115875, ENSG00000108829, ENSG00000171863, ENSG00000110583, ENSG00000100429, ENSG00000118515, ENSG00000187531, ENSG00000125967, ENSG00000136450, ENSG00000159210, ENSG00000087088, ENSG00000100023, ENSG00000072310, ENSG00000198258, ENSG00000265972, ENSG00000135930, ENSG00000008128, ENSG00000248333, ENSG00000185189, ENSG00000141480, ENSG00000124006, ENSG00000141524, ENSG00000169714, ENSG00000167657, ENSG00000105576, ENSG00000076604, ENSG00000113758, ENSG00000162923, ENSG00000198563, ENSG00000197111, ENSG00000136279, ENSG00000037042, ENSG00000265241, ENSG00000092094, ENSG00000170312, ENSG00000130299, ENSG00000143258, ENSG00000010244, ENSG00000116584, ENSG00000122952, ENSG00000089009, ENSG00000088038, ENSG00000044090, ENSG00000161960, ENSG00000072518, ENSG00000100288, ENSG00000188529, ENSG00000185813, ENSG00000148303, ENSG00000266967, ENSG00000198276, ENSG00000124181, ENSG00000197102, ENSG00000132361, ENSG00000205250, ENSG00000170445, ENSG00000117385, ENSG00000167671, ENSG00000254505, ENSG00000128944, ENSG00000163516, ENSG00000122566, ENSG00000014216, ENSG00000278259	293	5771	20647	1.6118038704763074	1.769660360473324E-7	4.4241513032578886E-8	4.3542437205879E-8
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	19	6.270627062706271	1.079202207045536E-9	ENSG00000092199, ENSG00000153187, ENSG00000003756, ENSG00000198563, ENSG00000174243, ENSG00000124193, ENSG00000104957, ENSG00000198258, ENSG00000099783, ENSG00000115875, ENSG00000265241, ENSG00000130332, ENSG00000136450, ENSG00000168066, ENSG00000169045, ENSG00000161981, ENSG00000183258, ENSG00000122566, ENSG00000188529	288	200	19453	6.416788194444445	1.8098204057626077E-6	9.043714495041592E-7	9.005942417794997E-7
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	11	3.6303630363036308	7.121164159638381E-7	ENSG00000153187, ENSG00000092199, ENSG00000174243, ENSG00000136450, ENSG00000169045, ENSG00000099783, ENSG00000265241, ENSG00000183258, ENSG00000122566, ENSG00000100023, ENSG00000130332	293	92	20647	8.42547113815106	3.154179298912041E-4	6.309351445439605E-5	6.209655147204668E-5
GOTERM_CC_DIRECT	GO:0016607~nuclear speck	22	7.2607260726072615	1.6315102473275595E-6	ENSG00000153187, ENSG00000160789, ENSG00000108848, ENSG00000198563, ENSG00000077458, ENSG00000147140, ENSG00000124193, ENSG00000131051, ENSG00000115875, ENSG00000265241, ENSG00000092094, ENSG00000116016, ENSG00000138398, ENSG00000144802, ENSG00000118515, ENSG00000187531, ENSG00000136450, ENSG00000182196, ENSG00000011243, ENSG00000188529, ENSG00000165458, ENSG00000125520	293	445	20647	3.4837903133029107	7.224985013433161E-4	1.204598399276848E-4	1.1855641130580266E-4
GOTERM_MF_DIRECT	GO:0003729~mRNA binding	17	5.6105610561056105	2.4147479124028884E-6	ENSG00000003756, ENSG00000108848, ENSG00000197451, ENSG00000197111, ENSG00000114867, ENSG00000124193, ENSG00000132361, ENSG00000196235, ENSG00000099783, ENSG00000115677, ENSG00000115875, ENSG00000265241, ENSG00000136231, ENSG00000136450, ENSG00000168066, ENSG00000161960, ENSG00000169714	294	255	18967	4.300907029478458	0.0012090586636804845	4.040678173420833E-4	3.952137416632727E-4
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	16	5.2805280528052805	2.708171745236015E-6	ENSG00000003756, ENSG00000147140, ENSG00000131051, ENSG00000104859, ENSG00000115875, ENSG00000265241, ENSG00000132485, ENSG00000116001, ENSG00000138035, ENSG00000136450, ENSG00000182196, ENSG00000071859, ENSG00000125755, ENSG00000122566, ENSG00000011243, ENSG00000100023	288	238	19453	4.540849673202614	0.004531312649967312	0.0015129652816718538	0.0015066462142663032
GOTERM_CC_DIRECT	GO:0000776~kinetochore	13	4.29042904290429	3.4890022329713838E-6	ENSG00000153187, ENSG00000158805, ENSG00000108604, ENSG00000139613, ENSG00000076382, ENSG00000010244, ENSG00000198917, ENSG00000122952, ENSG00000254505, ENSG00000089685, ENSG00000128944, ENSG00000161888, ENSG00000103510	293	162	20647	5.654805545021699	0.0015444368136476871	2.2080399845804613E-4	2.1731499622507476E-4
GOTERM_MF_DIRECT	GO:0045296~cadherin binding	18	5.9405940594059405	1.083632365265958E-5	ENSG00000171490, ENSG00000113758, ENSG00000149782, ENSG00000175220, ENSG00000136279, ENSG00000128050, ENSG00000132341, ENSG00000115677, ENSG00000108829, ENSG00000089009, ENSG00000089006, ENSG00000165219, ENSG00000184640, ENSG00000072518, ENSG00000180900, ENSG00000148303, ENSG00000161204, ENSG00000103353	294	320	18967	3.628890306122449	0.005414317028555216	0.0013599586184087774	0.0013301587283639634
GOTERM_CC_DIRECT	GO:0016363~nuclear matrix	11	3.6303630363036308	1.534365696187961E-5	ENSG00000153187, ENSG00000138398, ENSG00000160789, ENSG00000147140, ENSG00000108604, ENSG00000139613, ENSG00000099783, ENSG00000011243, ENSG00000103510, ENSG00000119772, ENSG00000122566	293	129	20647	6.008863137286029	0.006774242845327572	8.496550042640834E-4	8.362293044224387E-4
GOTERM_BP_DIRECT	GO:0006413~translational initiation	8	2.6402640264026402	1.565947597861111E-5	ENSG00000145191, ENSG00000130811, ENSG00000175376, ENSG00000114867, ENSG00000161960, ENSG00000104131, ENSG00000135930, ENSG00000115211	288	55	19453	9.824747474747474	0.025919321694877206	0.006561320435038055	0.006533916352075485
GOTERM_BP_DIRECT	GO:0006325~chromatin organization	17	5.6105610561056105	2.550102490498769E-5	ENSG00000153187, ENSG00000160949, ENSG00000064961, ENSG00000173575, ENSG00000133884, ENSG00000205581, ENSG00000143258, ENSG00000100429, ENSG00000187531, ENSG00000118900, ENSG00000103549, ENSG00000164032, ENSG00000071859, ENSG00000126457, ENSG00000103510, ENSG00000087152, ENSG00000167657	288	322	19453	3.5660477053140096	0.04186420637102317	0.008547943548151873	0.008512242113284892
GOTERM_MF_DIRECT	GO:0003743~translation initiation factor activity	8	2.6402640264026402	4.176542621663611E-5	ENSG00000145191, ENSG00000130811, ENSG00000175376, ENSG00000114867, ENSG00000161960, ENSG00000104131, ENSG00000135930, ENSG00000115211	294	61	18967	8.460800713728114	0.020707508510287798	0.004193248792150266	0.004101364854473666
GOTERM_BP_DIRECT	GO:0007346~regulation of mitotic cell cycle	8	2.6402640264026402	5.77175974370914E-5	ENSG00000153187, ENSG00000105325, ENSG00000110200, ENSG00000089685, ENSG00000108465, ENSG00000248333, ENSG00000008128, ENSG00000167657	288	67	19453	8.065091210613598	0.09225811128601047	0.016122448884094195	0.016055111687084258
