Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	47	39.49579831932773	1.2864585287010672E-22	ENSG00000092199, ENSG00000135829, ENSG00000110700, ENSG00000124193, ENSG00000131747, ENSG00000181163, ENSG00000145907, ENSG00000165280, ENSG00000135486, ENSG00000156508, ENSG00000110321, ENSG00000115875, ENSG00000010244, ENSG00000116001, ENSG00000115053, ENSG00000164134, ENSG00000138095, ENSG00000136450, ENSG00000112081, ENSG00000120438, ENSG00000169045, ENSG00000100201, ENSG00000188529, ENSG00000161547, ENSG00000072756, ENSG00000257103, ENSG00000070756, ENSG00000148303, ENSG00000153201, ENSG00000153187, ENSG00000112855, ENSG00000047410, ENSG00000107929, ENSG00000241343, ENSG00000174444, ENSG00000111364, ENSG00000156976, ENSG00000096384, ENSG00000157106, ENSG00000147604, ENSG00000088205, ENSG00000153914, ENSG00000143947, ENSG00000122566, ENSG00000164104, ENSG00000108654, ENSG00000169714	112	1479	18967	5.381586255191732	3.9365630978252657E-20	3.9494276831122766E-20	3.795052659668148E-20
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	61	51.26050420168067	1.6867607792902956E-15	ENSG00000183527, ENSG00000183605, ENSG00000177565, ENSG00000092199, ENSG00000165819, ENSG00000110700, ENSG00000124193, ENSG00000113810, ENSG00000135486, ENSG00000114346, ENSG00000115875, ENSG00000116001, ENSG00000168137, ENSG00000118515, ENSG00000136450, ENSG00000112081, ENSG00000161547, ENSG00000100023, ENSG00000153187, ENSG00000196792, ENSG00000047410, ENSG00000115548, ENSG00000112237, ENSG00000096384, ENSG00000157106, ENSG00000119414, ENSG00000143947, ENSG00000164104, ENSG00000108654, ENSG00000108651, ENSG00000137807, ENSG00000103995, ENSG00000162923, ENSG00000135829, ENSG00000131747, ENSG00000181163, ENSG00000080986, ENSG00000165280, ENSG00000068745, ENSG00000157014, ENSG00000120699, ENSG00000010244, ENSG00000115053, ENSG00000082258, ENSG00000138095, ENSG00000204256, ENSG00000078674, ENSG00000186660, ENSG00000169045, ENSG00000101972, ENSG00000100201, ENSG00000188529, ENSG00000072756, ENSG00000153201, ENSG00000109920, ENSG00000111364, ENSG00000011426, ENSG00000080345, ENSG00000128708, ENSG00000153914, ENSG00000122566	113	4076	20647	2.7344763649943116	4.446443213623752E-13	4.503651280705089E-13	4.1325639092612245E-13
GOTERM_CC_DIRECT	GO:1990904~ribonucleoprotein complex	17	14.285714285714285	6.6905201344899585E-15	ENSG00000153187, ENSG00000135829, ENSG00000131747, ENSG00000145907, ENSG00000181163, ENSG00000135486, ENSG00000174444, ENSG00000116001, ENSG00000115053, ENSG00000147604, ENSG00000138095, ENSG00000169045, ENSG00000100201, ENSG00000122566, ENSG00000108654, ENSG00000070756, ENSG00000257103	113	191	20647	16.262753092711858	1.7785772854495008E-12	8.931844379544095E-13	8.195887164750199E-13
GOTERM_CC_DIRECT	GO:0005829~cytosol	66	55.46218487394958	6.9822362630935516E-12	ENSG00000183527, ENSG00000092199, ENSG00000165819, ENSG00000110700, ENSG00000113810, ENSG00000135486, ENSG00000156508, ENSG00000114346, ENSG00000116001, ENSG00000167325, ENSG00000164134, ENSG00000118515, ENSG00000138592, ENSG00000120438, ENSG00000165704, ENSG00000161547, ENSG00000070756, ENSG00000073921, ENSG00000153187, ENSG00000113569, ENSG00000107929, ENSG00000241343, ENSG00000265972, ENSG00000156976, ENSG00000096384, ENSG00000157106, ENSG00000119414, ENSG00000143947, ENSG00000168906, ENSG00000108654, ENSG00000169714, ENSG00000137807, ENSG00000116906, ENSG00000103995, ENSG00000162923, ENSG00000135829, ENSG00000181163, ENSG00000145907, ENSG00000080986, ENSG00000165280, ENSG00000173588, ENSG00000110321, ENSG00000120699, ENSG00000082258, ENSG00000078674, ENSG00000169045, ENSG00000101972, ENSG00000100201, ENSG00000188529, ENSG00000106144, ENSG00000072756, ENSG00000257103, ENSG00000102144, ENSG00000148303, ENSG00000134108, ENSG00000153201, ENSG00000112855, ENSG00000023287, ENSG00000149100, ENSG00000175216, ENSG00000174444, ENSG00000111364, ENSG00000077380, ENSG00000011426, ENSG00000147604, ENSG00000184432	113	5627	20647	2.143115289588284	1.8642454246986517E-9	4.710829967444344E-10	4.322671692973274E-10
GOTERM_CC_DIRECT	GO:0005634~nucleus	69	57.98319327731093	7.057423172201263E-12	ENSG00000183527, ENSG00000022840, ENSG00000177565, ENSG00000092199, ENSG00000197056, ENSG00000165819, ENSG00000110700, ENSG00000117616, ENSG00000113810, ENSG00000135486, ENSG00000156508, ENSG00000114346, ENSG00000115875, ENSG00000177646, ENSG00000116001, ENSG00000164134, ENSG00000168137, ENSG00000118515, ENSG00000136450, ENSG00000138592, ENSG00000161547, ENSG00000100023, ENSG00000070756, ENSG00000073921, ENSG00000153187, ENSG00000196792, ENSG00000047410, ENSG00000115548, ENSG00000112237, ENSG00000265972, ENSG00000096384, ENSG00000157106, ENSG00000110172, ENSG00000143947, ENSG00000164104, ENSG00000108654, ENSG00000169714, ENSG00000137807, ENSG00000162923, ENSG00000135829, ENSG00000131747, ENSG00000181163, ENSG00000145907, ENSG00000080986, ENSG00000165280, ENSG00000068745, ENSG00000120699, ENSG00000010244, ENSG00000115053, ENSG00000082258, ENSG00000138095, ENSG00000204256, ENSG00000186660, ENSG00000169045, ENSG00000101972, ENSG00000100201, ENSG00000188529, ENSG00000106144, ENSG00000146247, ENSG00000072756, ENSG00000148303, ENSG00000196531, ENSG00000174444, ENSG00000147604, ENSG00000080345, ENSG00000128708, ENSG00000241837, ENSG00000130939, ENSG00000122566	113	6100	20647	2.066796750326418	1.884343348024231E-9	4.710829967444344E-10	4.322671692973274E-10
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	14	11.76470588235294	9.551788638495447E-11	ENSG00000092199, ENSG00000153187, ENSG00000165819, ENSG00000124193, ENSG00000135486, ENSG00000115875, ENSG00000136450, ENSG00000169045, ENSG00000112081, ENSG00000122566, ENSG00000188529, ENSG00000161547, ENSG00000108654, ENSG00000070756	110	200	19453	12.379181818181817	8.119023453545537E-8	8.109468554082635E-8	7.966191724505202E-8
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	63	52.94117647058824	9.5567527247664E-10	ENSG00000183527, ENSG00000022840, ENSG00000165819, ENSG00000110700, ENSG00000135486, ENSG00000156508, ENSG00000114346, ENSG00000115875, ENSG00000116001, ENSG00000164134, ENSG00000118515, ENSG00000136450, ENSG00000138592, ENSG00000112081, ENSG00000165704, ENSG00000161547, ENSG00000100023, ENSG00000146425, ENSG00000070756, ENSG00000196792, ENSG00000047410, ENSG00000115548, ENSG00000265972, ENSG00000096384, ENSG00000157106, ENSG00000119414, ENSG00000110172, ENSG00000143947, ENSG00000164104, ENSG00000108654, ENSG00000169714, ENSG00000137807, ENSG00000162923, ENSG00000135829, ENSG00000131747, ENSG00000181163, ENSG00000145907, ENSG00000080986, ENSG00000165280, ENSG00000068745, ENSG00000110321, ENSG00000120699, ENSG00000010244, ENSG00000115053, ENSG00000204256, ENSG00000078674, ENSG00000100201, ENSG00000188529, ENSG00000106144, ENSG00000257103, ENSG00000148303, ENSG00000134108, ENSG00000153201, ENSG00000112855, ENSG00000196531, ENSG00000175216, ENSG00000174444, ENSG00000175455, ENSG00000077380, ENSG00000147604, ENSG00000080345, ENSG00000130939, ENSG00000122566	113	5771	20647	1.9946559161385196	2.5516527712987624E-7	5.1033059550252574E-8	4.682808835135536E-8
GOTERM_CC_DIRECT	GO:0016607~nuclear speck	16	13.445378151260504	1.850424639988181E-8	ENSG00000109920, ENSG00000153187, ENSG00000165819, ENSG00000124193, ENSG00000181163, ENSG00000113810, ENSG00000115875, ENSG00000118515, ENSG00000136450, ENSG00000204256, ENSG00000153914, ENSG00000112081, ENSG00000100201, ENSG00000188529, ENSG00000161547, ENSG00000108654	113	445	20647	6.569593318086905	4.940621618265695E-6	8.234389647947405E-7	7.555900613285073E-7
GOTERM_MF_DIRECT	GO:0003729~mRNA binding	13	10.92436974789916	3.2705095591176357E-8	ENSG00000135829, ENSG00000047410, ENSG00000165819, ENSG00000110700, ENSG00000124193, ENSG00000145907, ENSG00000110321, ENSG00000115875, ENSG00000147604, ENSG00000136450, ENSG00000169714, ENSG00000070756, ENSG00000257103	112	255	18967	8.63343837535014	1.0007709349446614E-5	5.0202321732455705E-6	4.824001599698513E-6
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	9	7.563025210084033	3.711795247251342E-8	ENSG00000153187, ENSG00000092199, ENSG00000136450, ENSG00000169045, ENSG00000135486, ENSG00000122566, ENSG00000108654, ENSG00000100023, ENSG00000070756	113	92	20647	17.874470950365524	9.910444389804596E-6	1.4157847585944406E-6	1.2991283365379697E-6
