Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	15	33.33333333333333	1.7621930531647022E-23	ENSG00000131469, ENSG00000171863, ENSG00000233927, ENSG00000142541, ENSG00000229117, ENSG00000170889, ENSG00000143947, ENSG00000105193, ENSG00000156482, ENSG00000063177, ENSG00000164587, ENSG00000182774, ENSG00000147403, ENSG00000167526, ENSG00000161016	41	91	19453	78.20825515947467	3.7710931337724625E-21	3.753471203240816E-21	3.6653615505825805E-21
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	16	35.55555555555556	1.8667650928265188E-20	ENSG00000131469, ENSG00000171863, ENSG00000233927, ENSG00000142541, ENSG00000229117, ENSG00000170889, ENSG00000143947, ENSG00000105193, ENSG00000156482, ENSG00000063177, ENSG00000062582, ENSG00000164587, ENSG00000182774, ENSG00000147403, ENSG00000167526, ENSG00000161016	41	190	18967	38.95661103979461	1.3067355649785632E-18	1.3254032159068284E-18	1.2694002631220327E-18
GOTERM_BP_DIRECT	GO:0006412~translation	16	35.55555555555556	1.1248898645587355E-19	ENSG00000131469, ENSG00000196531, ENSG00000171863, ENSG00000233927, ENSG00000142541, ENSG00000229117, ENSG00000170889, ENSG00000143947, ENSG00000105193, ENSG00000156482, ENSG00000063177, ENSG00000164587, ENSG00000182774, ENSG00000147403, ENSG00000167526, ENSG00000161016	41	219	19453	34.66399376322531	2.407264310155694E-17	1.1980077057550533E-17	1.1698854591410849E-17
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	13	28.888888888888886	2.350304698054404E-19	ENSG00000131469, ENSG00000171863, ENSG00000142541, ENSG00000170889, ENSG00000143947, ENSG00000105193, ENSG00000156482, ENSG00000063177, ENSG00000164587, ENSG00000182774, ENSG00000147403, ENSG00000167526, ENSG00000161016	42	93	20647	68.71761392729134	2.0447650873073313E-17	2.0447650873073313E-17	1.5747041476964505E-17
GOTERM_CC_DIRECT	GO:0005840~ribosome	14	31.11111111111111	9.700881297031563E-18	ENSG00000131469, ENSG00000171863, ENSG00000233927, ENSG00000142541, ENSG00000229117, ENSG00000170889, ENSG00000143947, ENSG00000105193, ENSG00000063177, ENSG00000164587, ENSG00000182774, ENSG00000147403, ENSG00000167526, ENSG00000161016	42	174	20647	39.553639846743295	8.4397667284174595E-16	4.2198833642087298E-16	3.2497952345055737E-16
GOTERM_MF_DIRECT	GO:0003723~RNA binding	20	44.44444444444444	2.123030688846538E-11	ENSG00000131469, ENSG00000171863, ENSG00000233927, ENSG00000142541, ENSG00000030582, ENSG00000115053, ENSG00000229117, ENSG00000170889, ENSG00000143947, ENSG00000105193, ENSG00000156482, ENSG00000063177, ENSG00000062582, ENSG00000164587, ENSG00000182774, ENSG00000122566, ENSG00000147403, ENSG00000167526, ENSG00000070756, ENSG00000161016	41	1479	18967	6.255710021603258	1.4861245567487913E-9	7.53675894540521E-10	7.218304342078229E-10
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	8	17.77777777777778	3.221215546182582E-11	ENSG00000142541, ENSG00000131469, ENSG00000229117, ENSG00000156482, ENSG00000063177, ENSG00000147403, ENSG00000167526, ENSG00000161016	42	62	20647	63.43164362519201	2.8024546017135776E-9	9.341525083929487E-10	7.1940480531411E-10
GOTERM_CC_DIRECT	GO:0022627~cytosolic small ribosomal subunit	7	15.555555555555555	4.230303633439762E-10	ENSG00000233927, ENSG00000170889, ENSG00000143947, ENSG00000105193, ENSG00000164587, ENSG00000171863, ENSG00000182774	42	47	20647	73.21631205673758	3.680364313307649E-8	9.200910402731483E-9	7.085758586011601E-9
GOTERM_CC_DIRECT	GO:0032040~small-subunit processome	7	15.555555555555555	7.616220926918776E-9	ENSG00000233927, ENSG00000170889, ENSG00000143947, ENSG00000105193, ENSG00000164587, ENSG00000171863, ENSG00000182774	42	75	20647	45.88222222222222	6.62610999180302E-7	1.325222441283867E-7	1.020573604207116E-7
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	11	24.444444444444443	9.509814821287772E-9	ENSG00000142541, ENSG00000131469, ENSG00000170889, ENSG00000105193, ENSG00000156482, ENSG00000063177, ENSG00000164587, ENSG00000171863, ENSG00000182774, ENSG00000070756, ENSG00000161016	42	434	20647	12.459787140662717	8.273535514469188E-7	1.378923149086727E-7	1.0619293217104678E-7
GOTERM_BP_DIRECT	GO:0042274~ribosomal small subunit biogenesis	6	13.333333333333334	4.118972314387131E-7	ENSG00000233927, ENSG00000170889, ENSG00000105193, ENSG00000164587, ENSG00000171863, ENSG00000182774	41	74	19453	38.470006591957805	8.814214093355588E-5	2.924470343214863E-5	2.855820804641744E-5
GOTERM_CC_DIRECT	GO:0042788~polysomal ribosome	5	11.11111111111111	4.621316074715122E-7	ENSG00000233927, ENSG00000229117, ENSG00000156482, ENSG00000063177, ENSG00000161016	42	32	20647	76.81175595238095	4.020465090748271E-5	5.271236825794114E-6	4.059458245151789E-6
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	28	62.22222222222222	4.8471143225693E-7	ENSG00000131469, ENSG00000179222, ENSG00000114942, ENSG00000104529, ENSG00000171863, ENSG00000142541, ENSG00000115053, ENSG00000229117, ENSG00000170889, ENSG00000123349, ENSG00000105193, ENSG00000156482, ENSG00000063177, ENSG00000167526, ENSG00000070756, ENSG00000196531, ENSG00000198258, ENSG00000204463, ENSG00000173457, ENSG00000233927, ENSG00000186010, ENSG00000167553, ENSG00000143947, ENSG00000063241, ENSG00000164587, ENSG00000182774, ENSG00000122566, ENSG00000161016	42	5771	20647	2.3851441113614045	4.216901568476761E-5	5.271236825794114E-6	4.059458245151789E-6
GOTERM_CC_DIRECT	GO:1990904~ribonucleoprotein complex	7	15.555555555555555	1.9898375327569156E-6	ENSG00000142541, ENSG00000115053, ENSG00000131469, ENSG00000170889, ENSG00000171863, ENSG00000122566, ENSG00000070756	42	191	20647	18.016579406631763	1.7310105386869612E-4	1.9235096149983515E-5	1.4813234966079261E-5
