Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	37	34.25925925925926	2.825315973966639E-6	ENSG00000092010, ENSG00000068120, ENSG00000131469, ENSG00000092199, ENSG00000075415, ENSG00000178952, ENSG00000273749, ENSG00000135486, ENSG00000129084, ENSG00000099783, ENSG00000104805, ENSG00000084207, ENSG00000115053, ENSG00000168477, ENSG00000169223, ENSG00000084774, ENSG00000120438, ENSG00000100345, ENSG00000161960, ENSG00000161800, ENSG00000102144, ENSG00000104774, ENSG00000142949, ENSG00000150093, ENSG00000149781, ENSG00000178209, ENSG00000132341, ENSG00000204386, ENSG00000137497, ENSG00000196924, ENSG00000204469, ENSG00000169710, ENSG00000170515, ENSG00000137076, ENSG00000089597, ENSG00000142657, ENSG00000143761	107	556	3483	2.166190412156256	8.302991804735038E-4	8.30642896346192E-4	8.30642896346192E-4
GOTERM_MF_DIRECT	GO:0003723~RNA binding	37	34.25925925925926	1.1144257938535154E-5	ENSG00000131469, ENSG00000076108, ENSG00000092199, ENSG00000178952, ENSG00000130811, ENSG00000114867, ENSG00000135486, ENSG00000129084, ENSG00000099783, ENSG00000175467, ENSG00000115053, ENSG00000055950, ENSG00000100403, ENSG00000120438, ENSG00000100345, ENSG00000161960, ENSG00000172809, ENSG00000087365, ENSG00000160752, ENSG00000178209, ENSG00000155506, ENSG00000132341, ENSG00000241343, ENSG00000156976, ENSG00000131652, ENSG00000196924, ENSG00000204469, ENSG00000169710, ENSG00000170515, ENSG00000225921, ENSG00000182154, ENSG00000188976, ENSG00000089597, ENSG00000089154, ENSG00000143761, ENSG00000169714, ENSG00000161016	108	571	3411	2.046555750145943	0.003159983599138272	0.0031761135124825186	0.0031761135124825186
GOTERM_CC_DIRECT	GO:0005829~cytosol	65	60.18518518518518	4.658500840810163E-4	ENSG00000170291, ENSG00000076108, ENSG00000092199, ENSG00000114867, ENSG00000129084, ENSG00000135486, ENSG00000175467, ENSG00000084207, ENSG00000154767, ENSG00000076382, ENSG00000115234, ENSG00000038358, ENSG00000123349, ENSG00000084774, ENSG00000120438, ENSG00000100345, ENSG00000108465, ENSG00000167965, ENSG00000095059, ENSG00000132341, ENSG00000241343, ENSG00000112159, ENSG00000156976, ENSG00000204469, ENSG00000169710, ENSG00000116670, ENSG00000137076, ENSG00000188976, ENSG00000131408, ENSG00000142657, ENSG00000169714, ENSG00000131467, ENSG00000092010, ENSG00000131469, ENSG00000105810, ENSG00000130811, ENSG00000273749, ENSG00000173020, ENSG00000127481, ENSG00000172053, ENSG00000092094, ENSG00000166012, ENSG00000095319, ENSG00000161960, ENSG00000172809, ENSG00000161800, ENSG00000102144, ENSG00000160752, ENSG00000160714, ENSG00000213551, ENSG00000105647, ENSG00000019144, ENSG00000178209, ENSG00000155506, ENSG00000173113, ENSG00000137497, ENSG00000176986, ENSG00000196924, ENSG00000171848, ENSG00000181929, ENSG00000167792, ENSG00000166508, ENSG00000089154, ENSG00000143761, ENSG00000161016	107	1537	3483	1.37660450325005	0.12802265509747623	0.0684799623599094	0.0684799623599094
GOTERM_CC_DIRECT	GO:0016020~membrane	42	38.88888888888889	0.001692855885624199	ENSG00000131467, ENSG00000131469, ENSG00000092199, ENSG00000075415, ENSG00000178952, ENSG00000173020, ENSG00000114867, ENSG00000127481, ENSG00000004399, ENSG00000135486, ENSG00000099783, ENSG00000104805, ENSG00000115234, ENSG00000115053, ENSG00000038358, ENSG00000169223, ENSG00000084774, ENSG00000100345, ENSG00000095319, ENSG00000161960, ENSG00000124155, ENSG00000102144, ENSG00000108465, ENSG00000130821, ENSG00000198056, ENSG00000150093, ENSG00000149781, ENSG00000178209, ENSG00000155506, ENSG00000132341, ENSG00000204386, ENSG00000112159, ENSG00000196924, ENSG00000204469, ENSG00000169710, ENSG00000170515, ENSG00000181929, ENSG00000167792, ENSG00000166508, ENSG00000089597, ENSG00000089154, ENSG00000161016	107	889	3483	1.5378615056295533	0.3923288246183464	0.16589987679117152	0.16589987679117152
GOTERM_BP_DIRECT	GO:0006412~translation	9	8.333333333333332	0.00946605946227667	ENSG00000095059, ENSG00000131469, ENSG00000055950, ENSG00000114867, ENSG00000172053, ENSG00000182154, ENSG00000172809, ENSG00000241343, ENSG00000161016	105	97	3362	2.970839469808542	0.9997747597896128	1.0	1.0
GOTERM_CC_DIRECT	GO:0016281~eukaryotic translation initiation factor 4F complex	3	2.7777777777777777	0.012705101005782525	ENSG00000114867, ENSG00000161960, ENSG00000156976	107	6	3483	16.27570093457944	0.9766983543928559	0.8084526442104858	0.8084526442104858
GOTERM_BP_DIRECT	GO:0006413~translational initiation	5	4.62962962962963	0.012751932323316912	ENSG00000130811, ENSG00000114867, ENSG00000161960, ENSG00000155506, ENSG00000156976	105	30	3362	5.336507936507936	0.9999880211213643	1.0	1.0
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	6	5.555555555555555	0.014376521505878304	ENSG00000092199, ENSG00000135486, ENSG00000099783, ENSG00000175467, ENSG00000087365, ENSG00000100056	107	48	3483	4.06892523364486	0.9858405679217228	0.8084526442104858	0.8084526442104858
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	11	10.185185185185185	0.018283835222073358	ENSG00000196924, ENSG00000131469, ENSG00000150093, ENSG00000105647, ENSG00000137076, ENSG00000273749, ENSG00000100345, ENSG00000178209, ENSG00000172809, ENSG00000143761, ENSG00000161016	107	155	3483	2.3100994874886944	0.9955958006328713	0.8084526442104858	0.8084526442104858
GOTERM_BP_DIRECT	GO:0070527~platelet aggregation	4	3.7037037037037033	0.01943169911427623	ENSG00000196924, ENSG00000137076, ENSG00000149781, ENSG00000100345	105	19	3362	6.740852130325815	0.9999999701502172	1.0	1.0
