Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005829~cytosol	30	71.42857142857143	1.1579622809482261E-4	ENSG00000105655, ENSG00000239857, ENSG00000178252, ENSG00000137309, ENSG00000198467, ENSG00000104904, ENSG00000076382, ENSG00000249115, ENSG00000100429, ENSG00000100726, ENSG00000159593, ENSG00000167526, ENSG00000107872, ENSG00000125691, ENSG00000105401, ENSG00000075624, ENSG00000197102, ENSG00000241343, ENSG00000100813, ENSG00000168488, ENSG00000164068, ENSG00000169696, ENSG00000100911, ENSG00000223501, ENSG00000100359, ENSG00000167792, ENSG00000032444, ENSG00000169738, ENSG00000094914, ENSG00000165458	40	1537	3483	1.6995770982433311	0.015169749476678263	0.015285102108516585	0.015285102108516585
GOTERM_BP_DIRECT	GO:0008285~negative regulation of cell proliferation	5	11.904761904761903	0.020281943954886406	ENSG00000003756, ENSG00000178252, ENSG00000100867, ENSG00000137309, ENSG00000165458	41	89	3362	4.606741573033708	0.9946199837750953	1.0	1.0
GOTERM_BP_DIRECT	GO:0090235~regulation of metaphase plate congression	2	4.761904761904762	0.035280430268376836	ENSG00000197102, ENSG00000076382	41	3	3362	54.66666666666667	0.999894736560624	1.0	1.0
GOTERM_MF_DIRECT	GO:0004090~carbonyl reductase (NADPH) activity	2	4.761904761904762	0.035638430616335634	ENSG00000100867, ENSG00000169738	42	3	3411	54.14285714285714	0.9888891576277967	1.0	1.0
GOTERM_BP_DIRECT	GO:0032388~positive regulation of intracellular transport	2	4.761904761904762	0.046768606151131875	ENSG00000197102, ENSG00000076382	41	4	3362	41.0	0.9999950389233098	1.0	1.0
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	3	7.142857142857142	0.05473600628289385	ENSG00000125691, ENSG00000241343, ENSG00000167526	40	34	3483	7.683088235294117	0.9994070593411449	1.0	1.0
GOTERM_BP_DIRECT	GO:0070314~G1 to G0 transition	2	4.761904761904762	0.058123357715586174	ENSG00000125691, ENSG00000178252	41	5	3362	32.800000000000004	0.9999997663978359	1.0	1.0
GOTERM_BP_DIRECT	GO:1905832~positive regulation of spindle assembly	2	4.761904761904762	0.058123357715586174	ENSG00000197102, ENSG00000076382	41	5	3362	32.800000000000004	0.9999997663978359	1.0	1.0
GOTERM_BP_DIRECT	GO:0000245~spliceosomal complex assembly	2	4.761904761904762	0.08043861249628567	ENSG00000003756, ENSG00000198563	41	7	3362	23.42857142857143	0.9999999994834822	1.0	1.0
GOTERM_MF_DIRECT	GO:0016616~oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	2	4.761904761904762	0.08123445700362833	ENSG00000100867, ENSG00000101365	42	7	3411	23.20408163265306	0.9999726231986797	1.0	1.0
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	21	50.0	0.09048479479260557	ENSG00000125691, ENSG00000182944, ENSG00000105401, ENSG00000105655, ENSG00000075624, ENSG00000178252, ENSG00000198563, ENSG00000239857, ENSG00000197102, ENSG00000104904, ENSG00000076382, ENSG00000164068, ENSG00000100726, ENSG00000100429, ENSG00000159593, ENSG00000169696, ENSG00000100911, ENSG00000100867, ENSG00000167526, ENSG00000185813, ENSG00000107872	40	1377	3483	1.3279411764705884	0.9999963447655088	1.0	1.0
GOTERM_MF_DIRECT	GO:0019213~deacetylase activity	2	4.761904761904762	0.09230066947856838	ENSG00000100429, ENSG00000161179	42	8	3411	20.303571428571427	0.9999939072988536	1.0	1.0
