Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	8	16.666666666666664	1.6238676688727293E-9	ENSG00000022840, ENSG00000170889, ENSG00000221983, ENSG00000105193, ENSG00000140988, ENSG00000063177, ENSG00000109475, ENSG00000167526	48	93	20647	37.001792114695334	2.776813395888311E-7	2.776813713772367E-7	2.5657109168189124E-7
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	8	16.666666666666664	1.7889109216501405E-9	ENSG00000233927, ENSG00000170889, ENSG00000221983, ENSG00000105193, ENSG00000140988, ENSG00000063177, ENSG00000109475, ENSG00000167526	47	91	19453	36.38625204582651	7.584979381247692E-7	7.567093198580095E-7	7.567093198580095E-7
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	21	43.75	2.5145649376657185E-8	ENSG00000075415, ENSG00000075624, ENSG00000197102, ENSG00000135486, ENSG00000084207, ENSG00000150991, ENSG00000133112, ENSG00000196924, ENSG00000233927, ENSG00000170889, ENSG00000188486, ENSG00000221983, ENSG00000188157, ENSG00000105193, ENSG00000140988, ENSG00000163931, ENSG00000182199, ENSG00000109475, ENSG00000180879, ENSG00000166986, ENSG00000070756	48	2240	20647	4.0326171875	4.299896846693407E-6	2.149953021704189E-6	1.9865063007559176E-6
GOTERM_BP_DIRECT	GO:0006412~translation	9	18.75	4.1013058349840115E-8	ENSG00000233927, ENSG00000170889, ENSG00000221983, ENSG00000172053, ENSG00000105193, ENSG00000140988, ENSG00000063177, ENSG00000109475, ENSG00000167526	47	219	19453	17.009326726901776	1.7389385918442635E-5	8.674261840991184E-6	8.674261840991184E-6
GOTERM_CC_DIRECT	GO:0005829~cytosol	31	64.58333333333334	1.712263801896754E-7	ENSG00000239857, ENSG00000172053, ENSG00000196961, ENSG00000135486, ENSG00000104529, ENSG00000104904, ENSG00000084207, ENSG00000204394, ENSG00000170889, ENSG00000105193, ENSG00000140988, ENSG00000063177, ENSG00000109475, ENSG00000105373, ENSG00000167526, ENSG00000123143, ENSG00000070756, ENSG00000167965, ENSG00000075624, ENSG00000197102, ENSG00000159069, ENSG00000150991, ENSG00000133112, ENSG00000196924, ENSG00000233927, ENSG00000221983, ENSG00000163931, ENSG00000182199, ENSG00000188976, ENSG00000166986, ENSG00000149823	48	5627	20647	2.369738907647651	2.9279284871841504E-5	9.759903670811498E-6	9.01792268998957E-6
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	8	16.666666666666664	2.980831860154804E-7	ENSG00000233927, ENSG00000170889, ENSG00000221983, ENSG00000105193, ENSG00000140988, ENSG00000063177, ENSG00000109475, ENSG00000167526	46	190	18967	17.361098398169336	4.441341503214069E-5	4.471247790232206E-5	4.471247790232206E-5
GOTERM_MF_DIRECT	GO:0003723~RNA binding	16	33.33333333333333	8.191711063593654E-7	ENSG00000179950, ENSG00000197102, ENSG00000135486, ENSG00000150991, ENSG00000133112, ENSG00000196924, ENSG00000233927, ENSG00000170889, ENSG00000105193, ENSG00000140988, ENSG00000063177, ENSG00000188976, ENSG00000109475, ENSG00000105373, ENSG00000167526, ENSG00000070756	46	1479	18967	4.460593232795367	1.2204909624802251E-4	6.14378329769524E-5	6.14378329769524E-5
GOTERM_CC_DIRECT	GO:0005840~ribosome	7	14.583333333333334	2.6493858190120993E-6	ENSG00000233927, ENSG00000170889, ENSG00000221983, ENSG00000105193, ENSG00000140988, ENSG00000063177, ENSG00000167526	48	174	20647	17.304717432950195	4.529429655562023E-4	1.1326124376276725E-4	1.0465073985097792E-4
GOTERM_CC_DIRECT	GO:0022627~cytosolic small ribosomal subunit	5	10.416666666666668	3.9120325719855775E-6	ENSG00000233927, ENSG00000170889, ENSG00000221983, ENSG00000105193, ENSG00000140988	48	47	20647	45.760195035460995	6.687351752016069E-4	1.3379151396190677E-4	1.2362022927474425E-4
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	29	60.416666666666664	5.619019828228004E-6	ENSG00000022840, ENSG00000239857, ENSG00000105613, ENSG00000172053, ENSG00000135486, ENSG00000104529, ENSG00000104904, ENSG00000084207, ENSG00000172534, ENSG00000170889, ENSG00000105193, ENSG00000140988, ENSG00000063177, ENSG00000109475, ENSG00000167526, ENSG00000123143, ENSG00000070756, ENSG00000167965, ENSG00000071564, ENSG00000075624, ENSG00000197102, ENSG00000159069, ENSG00000150991, ENSG00000133112, ENSG00000196924, ENSG00000233927, ENSG00000221983, ENSG00000182199, ENSG00000166986	48	5771	20647	2.161536850921273	9.603936167205118E-4	1.601420651044981E-4	1.4796752214333743E-4
