Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	23	42.592592592592595	1.5839393853393528E-39	ENSG00000125691, ENSG00000131469, ENSG00000110700, ENSG00000174444, ENSG00000241343, ENSG00000115268, ENSG00000171863, ENSG00000177954, ENSG00000233927, ENSG00000142541, ENSG00000229117, ENSG00000170889, ENSG00000143947, ENSG00000105193, ENSG00000156482, ENSG00000063177, ENSG00000109475, ENSG00000172809, ENSG00000182774, ENSG00000147403, ENSG00000167526, ENSG00000122026, ENSG00000105640	50	91	19453	98.33384615384615	2.851090893610835E-37	2.8352514997574413E-37	2.8035727120506544E-37
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	21	38.88888888888889	5.582824300508724E-35	ENSG00000125691, ENSG00000131469, ENSG00000110700, ENSG00000174444, ENSG00000241343, ENSG00000115268, ENSG00000171863, ENSG00000177954, ENSG00000142541, ENSG00000170889, ENSG00000143947, ENSG00000105193, ENSG00000156482, ENSG00000063177, ENSG00000109475, ENSG00000172809, ENSG00000182774, ENSG00000147403, ENSG00000167526, ENSG00000122026, ENSG00000105640	51	93	20647	91.41619228336495	5.415339571493463E-33	5.415339571493463E-33	4.410431197401892E-33
GOTERM_BP_DIRECT	GO:0006412~translation	25	46.2962962962963	2.3135534157466785E-34	ENSG00000131469, ENSG00000110700, ENSG00000171863, ENSG00000142541, ENSG00000229117, ENSG00000170889, ENSG00000105193, ENSG00000156482, ENSG00000063177, ENSG00000109475, ENSG00000172809, ENSG00000167526, ENSG00000125691, ENSG00000196531, ENSG00000241343, ENSG00000174444, ENSG00000115268, ENSG00000177954, ENSG00000174547, ENSG00000233927, ENSG00000143947, ENSG00000182774, ENSG00000147403, ENSG00000122026, ENSG00000105640	50	219	19453	44.41324200913242	4.1643961483440213E-32	2.0706303070932774E-32	2.0474947729358105E-32
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	24	44.44444444444444	2.2401512936564965E-33	ENSG00000125691, ENSG00000131469, ENSG00000110700, ENSG00000174444, ENSG00000241343, ENSG00000115268, ENSG00000171863, ENSG00000174547, ENSG00000177954, ENSG00000233927, ENSG00000142541, ENSG00000229117, ENSG00000170889, ENSG00000143947, ENSG00000105193, ENSG00000156482, ENSG00000063177, ENSG00000109475, ENSG00000172809, ENSG00000182774, ENSG00000147403, ENSG00000167526, ENSG00000122026, ENSG00000105640	51	190	18967	46.977089783281734	1.9713331384177168E-31	1.9937346513542818E-31	1.9937346513542818E-31
GOTERM_CC_DIRECT	GO:0005840~ribosome	22	40.74074074074074	4.288199528761427E-31	ENSG00000125691, ENSG00000131469, ENSG00000110700, ENSG00000174444, ENSG00000241343, ENSG00000115268, ENSG00000171863, ENSG00000174547, ENSG00000177954, ENSG00000233927, ENSG00000142541, ENSG00000229117, ENSG00000170889, ENSG00000143947, ENSG00000105193, ENSG00000063177, ENSG00000172809, ENSG00000182774, ENSG00000147403, ENSG00000167526, ENSG00000122026, ENSG00000105640	51	174	20647	51.187063331079564	4.1595535428985845E-29	2.0797767714492922E-29	1.6938388138607637E-29
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	14	25.925925925925924	1.3617952169405327E-22	ENSG00000125691, ENSG00000131469, ENSG00000174444, ENSG00000241343, ENSG00000142541, ENSG00000229117, ENSG00000156482, ENSG00000063177, ENSG00000109475, ENSG00000172809, ENSG00000147403, ENSG00000167526, ENSG00000122026, ENSG00000105640	51	62	20647	91.41619228336496	1.3209413604323168E-20	4.403137868107723E-21	3.586060737943403E-21
GOTERM_MF_DIRECT	GO:0003723~RNA binding	27	50.0	2.2645609475641913E-16	ENSG00000131469, ENSG00000092199, ENSG00000130811, ENSG00000110700, ENSG00000171863, ENSG00000142541, ENSG00000229117, ENSG00000170889, ENSG00000105193, ENSG00000156482, ENSG00000063177, ENSG00000109475, ENSG00000172809, ENSG00000167526, ENSG00000125691, ENSG00000105202, ENSG00000241343, ENSG00000174444, ENSG00000115268, ENSG00000177954, ENSG00000174547, ENSG00000233927, ENSG00000143947, ENSG00000182774, ENSG00000147403, ENSG00000122026, ENSG00000105640	51	1479	18967	6.789285288151772	1.9539925233402755E-14	1.0077296216660651E-14	1.0077296216660651E-14
GOTERM_CC_DIRECT	GO:0022627~cytosolic small ribosomal subunit	9	16.666666666666664	1.922805399787212E-13	ENSG00000233927, ENSG00000170889, ENSG00000110700, ENSG00000143947, ENSG00000105193, ENSG00000115268, ENSG00000171863, ENSG00000182774, ENSG00000177954	51	47	20647	77.52315394242804	1.865219090291248E-11	4.662803094483989E-12	3.797540664579744E-12
GOTERM_CC_DIRECT	GO:0032040~small-subunit processome	9	16.666666666666664	9.807464575210668E-12	ENSG00000233927, ENSG00000105202, ENSG00000170889, ENSG00000110700, ENSG00000143947, ENSG00000105193, ENSG00000171863, ENSG00000182774, ENSG00000177954	51	75	20647	48.58117647058824	9.513263510285697E-10	1.9026481275908696E-10	1.5495794028832856E-10
GOTERM_BP_DIRECT	GO:0042274~ribosomal small subunit biogenesis	9	16.666666666666664	1.1823643890161166E-11	ENSG00000233927, ENSG00000105202, ENSG00000170889, ENSG00000110700, ENSG00000105193, ENSG00000115268, ENSG00000171863, ENSG00000182774, ENSG00000177954	50	74	19453	47.318108108108106	2.1282575701775386E-9	7.054774187796162E-10	6.975949895195087E-10
