Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	17	51.515151515151516	2.4782289680346016E-6	ENSG00000103495, ENSG00000184967, ENSG00000179950, ENSG00000114867, ENSG00000110700, ENSG00000104824, ENSG00000198755, ENSG00000204469, ENSG00000168488, ENSG00000169710, ENSG00000156482, ENSG00000089157, ENSG00000164587, ENSG00000147403, ENSG00000087087, ENSG00000070756, ENSG00000106211	30	571	3411	3.385113835376532	2.6265809543957186E-4	2.651704995797024E-4	2.651704995797024E-4
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	16	48.484848484848484	1.3849849786137565E-5	ENSG00000110700, ENSG00000104824, ENSG00000111885, ENSG00000198755, ENSG00000198931, ENSG00000084207, ENSG00000204469, ENSG00000167996, ENSG00000169710, ENSG00000156482, ENSG00000089157, ENSG00000164587, ENSG00000105220, ENSG00000070756, ENSG00000164733, ENSG00000106211	31	556	3483	3.2332327686238105	0.0010935473508326687	0.0010941381331048675	9.971891846019046E-4
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	6	18.181818181818183	1.6586199723125287E-4	ENSG00000110700, ENSG00000156482, ENSG00000198755, ENSG00000089157, ENSG00000164587, ENSG00000147403	31	63	3483	10.700460829493089	0.013018698543569518	0.006551548890634489	0.0059710319003251034
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	6	18.181818181818183	1.969749785890646E-4	ENSG00000110700, ENSG00000156482, ENSG00000198755, ENSG00000089157, ENSG00000164587, ENSG00000147403	32	61	3362	10.334016393442623	0.055154995784622685	0.029099574265766863	0.029099574265766863
GOTERM_BP_DIRECT	GO:0006412~translation	7	21.21212121212121	2.0278448965691193E-4	ENSG00000114867, ENSG00000110700, ENSG00000156482, ENSG00000198755, ENSG00000089157, ENSG00000164587, ENSG00000147403	32	97	3362	7.581829896907217	0.05673484674362839	0.029099574265766863	0.029099574265766863
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	6	18.181818181818183	4.5062363328761526E-4	ENSG00000110700, ENSG00000156482, ENSG00000198755, ENSG00000089157, ENSG00000164587, ENSG00000147403	30	79	3411	8.635443037974685	0.04665351705321996	0.024108364380887416	0.024108364380887416
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	7	21.21212121212121	0.0017214066825597275	ENSG00000110700, ENSG00000156482, ENSG00000198755, ENSG00000089157, ENSG00000164587, ENSG00000070756, ENSG00000106211	31	155	3483	5.0740894901144635	0.12725190036034895	0.04533037597407282	0.04131376038143346
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	4	12.121212121212121	0.0028827834855753216	ENSG00000156482, ENSG00000198755, ENSG00000089157, ENSG00000147403	31	34	3483	13.218216318785577	0.20393050367294296	0.056934973840112604	0.05189010274035579
GOTERM_CC_DIRECT	GO:1990904~ribonucleoprotein complex	5	15.151515151515152	0.004695888568226181	ENSG00000179950, ENSG00000104824, ENSG00000089157, ENSG00000087087, ENSG00000070756	31	81	3483	6.935483870967742	0.310541631243449	0.07419503937797366	0.06762079538245701
GOTERM_MF_DIRECT	GO:0003729~mRNA binding	5	15.151515151515152	0.0050832861834297655	ENSG00000168488, ENSG00000114867, ENSG00000110700, ENSG00000104824, ENSG00000070756	30	84	3411	6.767857142857142	0.4173697442960652	0.18130387387566163	0.18130387387566163
GOTERM_CC_DIRECT	GO:1904813~ficolin-1-rich granule lumen	4	12.121212121212121	0.009592068668035907	ENSG00000167996, ENSG00000084207, ENSG00000105220, ENSG00000164733	31	52	3483	8.642679900744417	0.5330023908752568	0.10346056228012714	0.09429317068568549
GOTERM_CC_DIRECT	GO:0016020~membrane	15	45.45454545454545	0.009620998674618937	ENSG00000114867, ENSG00000110700, ENSG00000104824, ENSG00000111885, ENSG00000198755, ENSG00000198408, ENSG00000204469, ENSG00000168488, ENSG00000169710, ENSG00000156482, ENSG00000089157, ENSG00000164587, ENSG00000147403, ENSG00000105220, ENSG00000070756	31	889	3483	1.8957509343590115	0.5340788102675809	0.10346056228012714	0.09429317068568549
GOTERM_CC_DIRECT	GO:0005829~cytosol	21	63.63636363636363	0.010477018965076166	ENSG00000114867, ENSG00000110700, ENSG00000072310, ENSG00000111885, ENSG00000198755, ENSG00000198931, ENSG00000173113, ENSG00000084207, ENSG00000198408, ENSG00000204469, ENSG00000167996, ENSG00000168488, ENSG00000169710, ENSG00000156482, ENSG00000089157, ENSG00000164587, ENSG00000147403, ENSG00000105220, ENSG00000070756, ENSG00000106211, ENSG00000165458	31	1537	3483	1.5351018951875248	0.5648440714631817	0.10346056228012714	0.09429317068568549
GOTERM_CC_DIRECT	GO:0014069~postsynaptic density	4	12.121212121212121	0.023913553724753504	ENSG00000110700, ENSG00000156482, ENSG00000089157, ENSG00000164587	31	73	3483	6.156429518338489	0.852234073443245	0.19576905146540824	0.17842242665201763
GOTERM_CC_DIRECT	GO:0005840~ribosome	4	12.121212121212121	0.024780892590558004	ENSG00000110700, ENSG00000089157, ENSG00000164587, ENSG00000147403	31	74	3483	6.073234524847428	0.8622556030077413	0.19576905146540824	0.17842242665201763
GOTERM_MF_DIRECT	GO:0070181~small ribosomal subunit rRNA binding	2	6.0606060606060606	0.025296838605864683	ENSG00000110700, ENSG00000164587	30	3	3411	75.8	0.9338588539682842	0.6766904327068802	0.6766904327068802
GOTERM_CC_DIRECT	GO:0010494~cytoplasmic stress granule	3	9.090909090909092	0.039640652461122555	ENSG00000168488, ENSG00000114867, ENSG00000070756	31	37	3483	9.109851787271142	0.9590487028358208	0.28469195858442564	0.25946608883643857
GOTERM_CC_DIRECT	GO:0032040~small-subunit processome	3	9.090909090909092	0.05207124519364132	ENSG00000184967, ENSG00000110700, ENSG00000164587	31	43	3483	7.838709677419355	0.9853687947319678	0.34280236419147203	0.31242747116184794
GOTERM_CC_DIRECT	GO:0005634~nucleus	18	54.54545454545454	0.06018963247505125	ENSG00000103495, ENSG00000179950, ENSG00000114867, ENSG00000110700, ENSG00000072310, ENSG00000104824, ENSG00000198755, ENSG00000084207, ENSG00000198408, ENSG00000167996, ENSG00000250479, ENSG00000156482, ENSG00000089157, ENSG00000147403, ENSG00000087087, ENSG00000070756, ENSG00000106211, ENSG00000165458	31	1429	3483	1.4152463938237885	0.992583853518882	0.36576776657915755	0.3333579644772069
GOTERM_CC_DIRECT	GO:0034774~secretory granule lumen	3	9.090909090909092	0.06570589242883447	ENSG00000198931, ENSG00000084207, ENSG00000105220	31	49	3483	6.878867676102699	0.9953419389402443	0.3707689644198517	0.33791601820543443
GOTERM_MF_DIRECT	GO:0005515~protein binding	28	84.84848484848484	0.07474927302130252	ENSG00000103495, ENSG00000146083, ENSG00000114867, ENSG00000110700, ENSG00000104824, ENSG00000084207, ENSG00000250479, ENSG00000156482, ENSG00000087087, ENSG00000070756, ENSG00000164733, ENSG00000104980, ENSG00000184967, ENSG00000179950, ENSG00000072310, ENSG00000198755, ENSG00000198931, ENSG00000173113, ENSG00000204469, ENSG00000167996, ENSG00000168488, ENSG00000169710, ENSG00000089157, ENSG00000164587, ENSG00000147403, ENSG00000105220, ENSG00000106211, ENSG00000165458	30	2780	3411	1.1451798561151079	0.9997348448237481	1.0	1.0
GOTERM_BP_DIRECT	GO:0032570~response to progesterone	2	6.0606060606060606	0.08008233212229324	ENSG00000072310, ENSG00000105220	32	9	3362	23.34722222222222	0.9999999999637172	1.0	1.0
GOTERM_MF_DIRECT	GO:0045182~translation regulator activity	2	6.0606060606060606	0.08194306087955248	ENSG00000164587, ENSG00000147403	30	10	3411	22.740000000000002	0.9998840743708566	1.0	1.0
GOTERM_BP_DIRECT	GO:0048147~negative regulation of fibroblast proliferation	2	6.0606060606060606	0.09701632187916127	ENSG00000167996, ENSG00000084207	32	11	3362	19.102272727272727	0.9999999999998279	1.0	1.0
