Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006281~DNA repair	35	6.205673758865248	2.0203443167060968E-4	ENSG00000136518, ENSG00000108469, ENSG00000197774, ENSG00000165280, ENSG00000213923, ENSG00000133247, ENSG00000172613, ENSG00000005007, ENSG00000172732, ENSG00000169689, ENSG00000100429, ENSG00000115274, ENSG00000187531, ENSG00000183495, ENSG00000153827, ENSG00000130726, ENSG00000109332, ENSG00000177084, ENSG00000149136, ENSG00000105373, ENSG00000167986, ENSG00000105325, ENSG00000178028, ENSG00000116717, ENSG00000039650, ENSG00000147140, ENSG00000132781, ENSG00000169592, ENSG00000140451, ENSG00000143624, ENSG00000085999, ENSG00000185122, ENSG00000167770, ENSG00000079616, ENSG00000103266	533	118	3362	1.8709256844850066	0.40022383622218394	0.5109450776949719	0.5109450776949719
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	227	40.248226950354606	8.855584344098554E-4	ENSG00000075856, ENSG00000178971, ENSG00000092199, ENSG00000110700, ENSG00000064961, ENSG00000115274, ENSG00000151923, ENSG00000058600, ENSG00000177084, ENSG00000179262, ENSG00000167967, ENSG00000141456, ENSG00000179950, ENSG00000170581, ENSG00000068654, ENSG00000169592, ENSG00000171311, ENSG00000006025, ENSG00000119772, ENSG00000262660, ENSG00000267796, ENSG00000173846, ENSG00000143624, ENSG00000165792, ENSG00000125651, ENSG00000105220, ENSG00000105221, ENSG00000094914, ENSG00000163930, ENSG00000166888, ENSG00000136518, ENSG00000104960, ENSG00000177302, ENSG00000131748, ENSG00000213923, ENSG00000177666, ENSG00000133247, ENSG00000131069, ENSG00000178999, ENSG00000172534, ENSG00000144028, ENSG00000162298, ENSG00000105373, ENSG00000160799, ENSG00000161888, ENSG00000167986, ENSG00000108883, ENSG00000261236, ENSG00000039650, ENSG00000171453, ENSG00000140451, ENSG00000011304, ENSG00000186010, ENSG00000140691, ENSG00000085999, ENSG00000100911, ENSG00000093009, ENSG00000185049, ENSG00000167513, ENSG00000103067, ENSG00000160209, ENSG00000126012, ENSG00000239857, ENSG00000099622, ENSG00000124193, ENSG00000198026, ENSG00000168291, ENSG00000004975, ENSG00000104907, ENSG00000038358, ENSG00000168610, ENSG00000100429, ENSG00000149930, ENSG00000149136, ENSG00000089022, ENSG00000127586, ENSG00000065183, ENSG00000003756, ENSG00000132382, ENSG00000112511, ENSG00000204463, ENSG00000204469, ENSG00000167770, ENSG00000103249, ENSG00000141644, ENSG00000148834, ENSG00000242802, ENSG00000108963, ENSG00000108848, ENSG00000162408, ENSG00000108604, ENSG00000174996, ENSG00000197879, ENSG00000005007, ENSG00000143379, ENSG00000169045, ENSG00000165802, ENSG00000130726, ENSG00000100201, ENSG00000169727, ENSG00000167548, ENSG00000127564, ENSG00000185658, ENSG00000105202, ENSG00000105325, ENSG00000177595, ENSG00000177479, ENSG00000198837, ENSG00000112651, ENSG00000168884, ENSG00000102978, ENSG00000122566, ENSG00000103266, ENSG00000170291, ENSG00000108469, ENSG00000165819, ENSG00000134759, ENSG00000113810, ENSG00000067955, ENSG00000132694, ENSG00000005100, ENSG00000153827, ENSG00000183495, ENSG00000184465, ENSG00000126457, ENSG00000101158, ENSG00000140400, ENSG00000214078, ENSG00000127663, ENSG00000147140, ENSG00000130725, ENSG00000115548, ENSG00000165271, ENSG00000198728, ENSG00000188130, ENSG00000100083, ENSG00000148341, ENSG00000008838, ENSG00000160949, ENSG00000094631, ENSG00000165280, ENSG00000115216, ENSG00000133884, ENSG00000125901, ENSG00000204256, ENSG00000166012, ENSG00000109332, ENSG00000179335, ENSG00000099875, ENSG00000010292, ENSG00000111641, ENSG00000115207, ENSG00000132323, ENSG00000010295, ENSG00000153914, ENSG00000108592, ENSG00000037757, ENSG00000106009, ENSG00000196365, ENSG00000135486, ENSG00000120314, ENSG00000119689, ENSG00000162231, ENSG00000170889, ENSG00000187531, ENSG00000034152, ENSG00000159210, ENSG00000087365, ENSG00000072778, ENSG00000125686, ENSG00000125450, ENSG00000178028, ENSG00000116717, ENSG00000071462, ENSG00000072310, ENSG00000006744, ENSG00000196235, ENSG00000104859, ENSG00000132781, ENSG00000167491, ENSG00000156858, ENSG00000186432, ENSG00000135372, ENSG00000102317, ENSG00000141480, ENSG00000188976, ENSG00000138081, ENSG00000129933, ENSG00000108654, ENSG00000140398, ENSG00000104884, ENSG00000198563, ENSG00000162923, ENSG00000197111, ENSG00000121060, ENSG00000129460, ENSG00000197114, ENSG00000146918, ENSG00000104529, ENSG00000157014, ENSG00000172613, ENSG00000172732, ENSG00000169689, ENSG00000122952, ENSG00000072518, ENSG00000183751, ENSG00000180900, ENSG00000160633, ENSG00000160752, ENSG00000071564, ENSG00000101361, ENSG00000127054, ENSG00000132522, ENSG00000129351, ENSG00000196497, ENSG00000270647, ENSG00000167393, ENSG00000137413, ENSG00000104518, ENSG00000131791, ENSG00000114554, ENSG00000141582, ENSG00000168002, ENSG00000169696, ENSG00000185122, ENSG00000123136, ENSG00000179010	542	1244	3483	1.1726263926626406	0.3970240043999408	0.5056538660480274	0.5056538660480274
GOTERM_MF_DIRECT	GO:1990381~ubiquitin-specific protease binding	6	1.0638297872340425	0.0035449895149207602	ENSG00000075856, ENSG00000162298, ENSG00000165280, ENSG00000145495, ENSG00000204463, ENSG00000179262	539	8	3411	4.746289424860853	0.9418414043098439	1.0	1.0
GOTERM_BP_DIRECT	GO:0030433~ubiquitin-dependent ERAD pathway	11	1.950354609929078	0.004339505318788955	ENSG00000135506, ENSG00000162298, ENSG00000115307, ENSG00000121060, ENSG00000165280, ENSG00000145495, ENSG00000172046, ENSG00000204463, ENSG00000184787, ENSG00000103266, ENSG00000177239	533	26	3362	2.668639053254438	0.999983345651429	1.0	1.0
GOTERM_MF_DIRECT	GO:0051879~Hsp90 protein binding	7	1.2411347517730498	0.009527873973890315	ENSG00000103197, ENSG00000105401, ENSG00000094631, ENSG00000185122, ENSG00000172046, ENSG00000103266, ENSG00000140553	539	13	3411	3.4075924075924076	0.9995326430284608	1.0	1.0
GOTERM_MF_DIRECT	GO:0003676~nucleic acid binding	25	4.432624113475177	0.017272435200240573	ENSG00000177302, ENSG00000108469, ENSG00000198563, ENSG00000099622, ENSG00000196187, ENSG00000197114, ENSG00000135486, ENSG00000136271, ENSG00000144028, ENSG00000005100, ENSG00000169045, ENSG00000100201, ENSG00000167986, ENSG00000266967, ENSG00000003756, ENSG00000099899, ENSG00000135473, ENSG00000156976, ENSG00000011304, ENSG00000170515, ENSG00000123136, ENSG00000108654, ENSG00000169714, ENSG00000140398, ENSG00000103067	539	99	3411	1.5980772474278966	0.999999131152744	1.0	1.0
GOTERM_CC_DIRECT	GO:0042645~mitochondrial nucleoid	8	1.4184397163120568	0.01928887594078985	ENSG00000110955, ENSG00000178952, ENSG00000196365, ENSG00000006744, ENSG00000182199, ENSG00000108829, ENSG00000140521, ENSG00000072778	542	19	3483	2.705768110312682	0.9999852099740293	1.0	1.0
GOTERM_MF_DIRECT	GO:0008168~methyltransferase activity	9	1.5957446808510638	0.019881391818119844	ENSG00000105202, ENSG00000126012, ENSG00000071462, ENSG00000165819, ENSG00000165792, ENSG00000111641, ENSG00000182199, ENSG00000126457, ENSG00000167548	539	23	3411	2.4763249173187063	0.9999998966795376	1.0	1.0
GOTERM_CC_DIRECT	GO:0005829~cytosol	262	46.45390070921986	0.020324010538598093	ENSG00000178971, ENSG00000092199, ENSG00000110700, ENSG00000114867, ENSG00000198467, ENSG00000104946, ENSG00000076382, ENSG00000138035, ENSG00000151923, ENSG00000058600, ENSG00000179262, ENSG00000140365, ENSG00000070610, ENSG00000170581, ENSG00000196155, ENSG00000213930, ENSG00000171793, ENSG00000171311, ENSG00000117448, ENSG00000006025, ENSG00000240771, ENSG00000119777, ENSG00000127837, ENSG00000260914, ENSG00000105220, ENSG00000105221, ENSG00000094914, ENSG00000163930, ENSG00000166888, ENSG00000103197, ENSG00000172890, ENSG00000131748, ENSG00000213923, ENSG00000177666, ENSG00000111252, ENSG00000131069, ENSG00000249115, ENSG00000178999, ENSG00000177548, ENSG00000204536, ENSG00000251322, ENSG00000095319, ENSG00000167508, ENSG00000105373, ENSG00000161888, ENSG00000108883, ENSG00000160796, ENSG00000171453, ENSG00000140691, ENSG00000100911, ENSG00000162066, ENSG00000185049, ENSG00000099904, ENSG00000076928, ENSG00000167513, ENSG00000160209, ENSG00000126012, ENSG00000239857, ENSG00000127580, ENSG00000204351, ENSG00000004975, ENSG00000038358, ENSG00000168610, ENSG00000100429, ENSG00000225697, ENSG00000160691, ENSG00000149930, ENSG00000108262, ENSG00000089022, ENSG00000184787, ENSG00000127586, ENSG00000145214, ENSG00000177697, ENSG00000148396, ENSG00000105426, ENSG00000111669, ENSG00000112511, ENSG00000204463, ENSG00000137955, ENSG00000196998, ENSG00000204469, ENSG00000060971, ENSG00000100417, ENSG00000167770, ENSG00000182473, ENSG00000148834, ENSG00000141522, ENSG00000237441, ENSG00000169714, ENSG00000140553, ENSG00000092098, ENSG00000104365, ENSG00000108963, ENSG00000273749, ENSG00000136279, ENSG00000174996, ENSG00000197879, ENSG00000005007, ENSG00000136271, ENSG00000088038, ENSG00000169045, ENSG00000100201, ENSG00000149476, ENSG00000169727, ENSG00000127564, ENSG00000185658, ENSG00000105325, ENSG00000105568, ENSG00000124181, ENSG00000141738, ENSG00000177595, ENSG00000117308, ENSG00000178209, ENSG00000157881, ENSG00000068438, ENSG00000116337, ENSG00000104915, ENSG00000130066, ENSG00000198837, ENSG00000168884, ENSG00000102978, ENSG00000223501, ENSG00000167792, ENSG00000169738, ENSG00000103266, ENSG00000089351, ENSG00000051009, ENSG00000136935, ENSG00000101152, ENSG00000170291, ENSG00000108469, ENSG00000165819, ENSG00000134759, ENSG00000113810, ENSG00000115677, ENSG00000196689, ENSG00000132694, ENSG00000095066, ENSG00000204394, ENSG00000153827, ENSG00000126457, ENSG00000126217, ENSG00000140400, ENSG00000214078, ENSG00000127663, ENSG00000126581, ENSG00000141959, ENSG00000174780, ENSG00000130725, ENSG00000099899, ENSG00000107929, ENSG00000188130, ENSG00000164068, ENSG00000164062, ENSG00000105063, ENSG00000105186, ENSG00000145191, ENSG00000100083, ENSG00000148341, ENSG00000198089, ENSG00000130811, ENSG00000094631, ENSG00000078269, ENSG00000150787, ENSG00000165280, ENSG00000133884, ENSG00000001084, ENSG00000136231, ENSG00000100889, ENSG00000166012, ENSG00000109332, ENSG00000164877, ENSG00000176170, ENSG00000156873, ENSG00000105401, ENSG00000105402, ENSG00000177951, ENSG00000148331, ENSG00000010292, ENSG00000111640, ENSG00000198755, ENSG00000178921, ENSG00000132323, ENSG00000162341, ENSG00000081791, ENSG00000171848, ENSG00000183020, ENSG00000171608, ENSG00000182054, ENSG00000146830, ENSG00000037757, ENSG00000178252, ENSG00000196365, ENSG00000178814, ENSG00000103091, ENSG00000135486, ENSG00000149091, ENSG00000142102, ENSG00000119689, ENSG00000162231, ENSG00000170889, ENSG00000008130, ENSG00000115073, ENSG00000034152, ENSG00000159210, ENSG00000185359, ENSG00000125450, ENSG00000178028, ENSG00000239900, ENSG00000072310, ENSG00000099331, ENSG00000006744, ENSG00000172046, ENSG00000156976, ENSG00000186432, ENSG00000141480, ENSG00000188976, ENSG00000168906, ENSG00000182199, ENSG00000138081, ENSG00000079616, ENSG00000108654, ENSG00000140398, ENSG00000104884, ENSG00000104522, ENSG00000104886, ENSG00000162923, ENSG00000143093, ENSG00000197111, ENSG00000121060, ENSG00000173020, ENSG00000213445, ENSG00000178035, ENSG00000104529, ENSG00000173821, ENSG00000168237, ENSG00000092929, ENSG00000122952, ENSG00000120896, ENSG00000103319, ENSG00000167264, ENSG00000044090, ENSG00000102225, ENSG00000100288, ENSG00000160753, ENSG00000148303, ENSG00000160752, ENSG00000127054, ENSG00000132522, ENSG00000149182, ENSG00000167393, ENSG00000104518, ENSG00000131791, ENSG00000135473, ENSG00000114554, ENSG00000123815, ENSG00000204843, ENSG00000169696, ENSG00000185122, ENSG00000254505, ENSG00000143761, ENSG00000014216	542	1537	3483	1.0954223855836476	0.9999919074188697	1.0	1.0
GOTERM_CC_DIRECT	GO:0019898~extrinsic component of membrane	8	1.4184397163120568	0.0258115656229852	ENSG00000126581, ENSG00000070610, ENSG00000169696, ENSG00000196155, ENSG00000110046, ENSG00000126217, ENSG00000196998, ENSG00000240771	542	20	3483	2.570479704797048	0.9999996725571827	1.0	1.0
