Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0098685~Schaffer collateral - CA1 synapse	4	4.0	0.015557203144910166	ENSG00000075624, ENSG00000124181, ENSG00000141522, ENSG00000184009	95	20	3483	7.332631578947368	0.9441466340342455	1.0	1.0
GOTERM_MF_DIRECT	GO:0016787~hydrolase activity	6	6.0	0.02519493804680069	ENSG00000168268, ENSG00000204427, ENSG00000075624, ENSG00000178814, ENSG00000185269, ENSG00000184009	95	61	3411	3.531665228645384	0.9986859203606873	1.0	1.0
GOTERM_MF_DIRECT	GO:0001227~transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding	5	5.0	0.031670955153041594	ENSG00000185122, ENSG00000197114, ENSG00000162702, ENSG00000144485, ENSG00000143321	95	44	3411	4.080143540669856	0.9997677427691656	1.0	1.0
GOTERM_CC_DIRECT	GO:0005576~extracellular region	13	13.0	0.0494835122215708	ENSG00000106348, ENSG00000130402, ENSG00000129351, ENSG00000141959, ENSG00000196411, ENSG00000164050, ENSG00000172889, ENSG00000170515, ENSG00000185269, ENSG00000143793, ENSG00000149428, ENSG00000105220, ENSG00000143321	95	264	3483	1.8053827751196174	0.9999119809969519	1.0	1.0
GOTERM_CC_DIRECT	GO:0097433~dense body	2	2.0	0.053255634201452164	ENSG00000075624, ENSG00000184009	95	2	3483	36.66315789473684	0.9999576530454126	1.0	1.0
GOTERM_BP_DIRECT	GO:0035999~tetrahydrofolate interconversion	2	2.0	0.05340964462546466	ENSG00000177000, ENSG00000182199	92	2	3362	36.54347826086956	0.9999999999999999	1.0	1.0
GOTERM_BP_DIRECT	GO:0032289~central nervous system myelin formation	2	2.0	0.05340964462546466	ENSG00000104884, ENSG00000107331	92	2	3362	36.54347826086956	0.9999999999999999	1.0	1.0
GOTERM_MF_DIRECT	GO:0016746~transferase activity, transferring acyl groups	3	3.0	0.05514483106367211	ENSG00000169710, ENSG00000185000, ENSG00000102125	95	14	3411	7.693984962406015	0.9999996064832255	1.0	1.0
GOTERM_CC_DIRECT	GO:1990904~ribonucleoprotein complex	6	6.0	0.0660595820363129	ENSG00000130402, ENSG00000075624, ENSG00000170515, ENSG00000129351, ENSG00000185122, ENSG00000111640	95	81	3483	2.7157894736842105	0.9999965427768943	1.0	1.0
GOTERM_BP_DIRECT	GO:0006096~glycolytic process	3	3.0	0.0680048600024674	ENSG00000141959, ENSG00000111640, ENSG00000105220	92	16	3362	6.851902173913043	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0000931~gamma-tubulin large complex	2	2.0	0.07882126775038167	ENSG00000173272, ENSG00000152082	95	3	3483	24.442105263157895	0.9999997250345789	1.0	1.0
GOTERM_BP_DIRECT	GO:0031060~regulation of histone methylation	2	2.0	0.07904646674991853	ENSG00000177000, ENSG00000112511	92	3	3362	24.36231884057971	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006544~glycine metabolic process	2	2.0	0.07904646674991853	ENSG00000182199, ENSG00000136877	92	3	3362	24.36231884057971	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0098973~structural constituent of postsynaptic actin cytoskeleton	2	2.0	0.08043924853561038	ENSG00000075624, ENSG00000184009	95	3	3411	23.936842105263157	0.9999999996604444	1.0	1.0
GOTERM_MF_DIRECT	GO:0004559~alpha-mannosidase activity	2	2.0	0.08043924853561038	ENSG00000140400, ENSG00000196547	95	3	3411	23.936842105263157	0.9999999996604444	1.0	1.0
GOTERM_BP_DIRECT	GO:0007420~brain development	5	5.0	0.0815337086352748	ENSG00000204304, ENSG00000187961, ENSG00000188338, ENSG00000141503, ENSG00000136877	92	61	3362	2.9953670705630793	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0015629~actin cytoskeleton	5	5.0	0.08478617677922362	ENSG00000130402, ENSG00000177731, ENSG00000075624, ENSG00000187961, ENSG00000099331	95	62	3483	2.956706281833616	0.9999999167943027	1.0	1.0
GOTERM_MF_DIRECT	GO:0001222~transcription corepressor binding	3	3.0	0.08640396737150219	ENSG00000112511, ENSG00000108840, ENSG00000143321	95	18	3411	5.98421052631579	0.9999999999374694	1.0	1.0
