Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	48	48.97959183673469	1.3037402400952789E-20	ENSG00000071553, ENSG00000178952, ENSG00000110700, ENSG00000178035, ENSG00000104823, ENSG00000165280, ENSG00000111057, ENSG00000156508, ENSG00000135821, ENSG00000084207, ENSG00000132475, ENSG00000064601, ENSG00000115053, ENSG00000170889, ENSG00000138030, ENSG00000164032, ENSG00000105193, ENSG00000105372, ENSG00000149476, ENSG00000214078, ENSG00000167986, ENSG00000102144, ENSG00000161203, ENSG00000164733, ENSG00000112514, ENSG00000067225, ENSG00000111669, ENSG00000111885, ENSG00000213719, ENSG00000170421, ENSG00000150991, ENSG00000152234, ENSG00000233927, ENSG00000204525, ENSG00000030582, ENSG00000167996, ENSG00000084623, ENSG00000206503, ENSG00000137076, ENSG00000143947, ENSG00000182199, ENSG00000165119, ENSG00000180879, ENSG00000106397, ENSG00000149428, ENSG00000166986, ENSG00000122566, ENSG00000105220	98	2240	20647	4.5146501457725945	3.2463131978372443E-18	3.2463131978372443E-18	2.985565149818189E-18
GOTERM_MF_DIRECT	GO:0003723~RNA binding	31	31.63265306122449	1.88473505796637E-11	ENSG00000178952, ENSG00000110700, ENSG00000178035, ENSG00000165280, ENSG00000111057, ENSG00000156508, ENSG00000130175, ENSG00000144028, ENSG00000115053, ENSG00000082153, ENSG00000170889, ENSG00000105193, ENSG00000063177, ENSG00000062582, ENSG00000105372, ENSG00000167526, ENSG00000132507, ENSG00000067225, ENSG00000150991, ENSG00000152234, ENSG00000233927, ENSG00000030582, ENSG00000084623, ENSG00000206503, ENSG00000102317, ENSG00000143947, ENSG00000165119, ENSG00000182774, ENSG00000122566, ENSG00000147403, ENSG00000169714	97	1479	18967	4.0984574419885265	4.749536763881679E-9	4.768379696654916E-9	4.711837644915925E-9
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	10	10.204081632653061	4.991214243671346E-10	ENSG00000233927, ENSG00000170889, ENSG00000110700, ENSG00000143947, ENSG00000105193, ENSG00000063177, ENSG00000105372, ENSG00000147403, ENSG00000167526, ENSG00000182774	94	91	19453	22.74140752864157	3.4788756297921E-7	1.9940583980937135E-7	1.9883283452256281E-7
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	10	10.204081632653061	5.305085044534698E-10	ENSG00000170889, ENSG00000110700, ENSG00000143947, ENSG00000105193, ENSG00000063177, ENSG00000156508, ENSG00000105372, ENSG00000147403, ENSG00000167526, ENSG00000182774	98	93	20647	22.654158437568576	1.3209661431368147E-7	6.604830880445698E-8	6.07432237599223E-8
GOTERM_BP_DIRECT	GO:0006412~translation	13	13.26530612244898	5.730052868085383E-10	ENSG00000172590, ENSG00000110700, ENSG00000172053, ENSG00000156508, ENSG00000233927, ENSG00000170889, ENSG00000143947, ENSG00000105193, ENSG00000063177, ENSG00000105372, ENSG00000182774, ENSG00000147403, ENSG00000167526	94	219	19453	12.284513747206839	3.9938462137456554E-7	1.9940583980937135E-7	1.9883283452256281E-7
GOTERM_CC_DIRECT	GO:0016020~membrane	44	44.89795918367347	1.2639215609427682E-9	ENSG00000071553, ENSG00000101294, ENSG00000178952, ENSG00000110700, ENSG00000178035, ENSG00000104823, ENSG00000169682, ENSG00000156508, ENSG00000064601, ENSG00000139644, ENSG00000144028, ENSG00000115053, ENSG00000147955, ENSG00000082153, ENSG00000170889, ENSG00000105193, ENSG00000063177, ENSG00000105372, ENSG00000214078, ENSG00000167526, ENSG00000102144, ENSG00000134824, ENSG00000129255, ENSG00000112514, ENSG00000105404, ENSG00000132507, ENSG00000111885, ENSG00000213719, ENSG00000152234, ENSG00000204525, ENSG00000030582, ENSG00000206503, ENSG00000143947, ENSG00000167792, ENSG00000087111, ENSG00000165119, ENSG00000182774, ENSG00000149428, ENSG00000166986, ENSG00000122566, ENSG00000147403, ENSG00000105220, ENSG00000125991, ENSG00000051523	98	3677	20647	2.521099165801757	3.1471640993263605E-7	1.0490548955824976E-7	9.64793458186313E-8
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	12	12.244897959183673	3.2073685600119536E-9	ENSG00000233927, ENSG00000172590, ENSG00000170889, ENSG00000110700, ENSG00000143947, ENSG00000105193, ENSG00000063177, ENSG00000062582, ENSG00000105372, ENSG00000147403, ENSG00000167526, ENSG00000182774	97	190	18967	12.349647314161693	8.082565601252867E-7	4.0573212284151213E-7	4.009210700014942E-7
GOTERM_CC_DIRECT	GO:0005783~endoplasmic reticulum	24	24.489795918367346	3.694791340441366E-9	ENSG00000135506, ENSG00000101294, ENSG00000099797, ENSG00000165280, ENSG00000104529, ENSG00000111885, ENSG00000135821, ENSG00000064601, ENSG00000213719, ENSG00000130175, ENSG00000139644, ENSG00000204525, ENSG00000030582, ENSG00000113161, ENSG00000147955, ENSG00000206503, ENSG00000063177, ENSG00000180879, ENSG00000147403, ENSG00000106397, ENSG00000167526, ENSG00000149428, ENSG00000125991, ENSG00000169714	98	1175	20647	4.303326096396005	9.200026275246742E-7	2.3000076094247506E-7	2.1152680424026822E-7
GOTERM_CC_DIRECT	GO:0005840~ribosome	11	11.224489795918368	9.3168627391682E-9	ENSG00000233927, ENSG00000170889, ENSG00000110700, ENSG00000143947, ENSG00000105193, ENSG00000063177, ENSG00000156508, ENSG00000105372, ENSG00000147403, ENSG00000167526, ENSG00000182774	98	174	20647	13.319082805536008	2.3198961385251238E-6	4.6397976441057635E-7	4.267123134539036E-7
GOTERM_CC_DIRECT	GO:0022627~cytosolic small ribosomal subunit	7	7.142857142857142	8.450478302251061E-8	ENSG00000233927, ENSG00000170889, ENSG00000110700, ENSG00000143947, ENSG00000105193, ENSG00000105372, ENSG00000182774	98	47	20647	31.378419452887535	2.104147049619698E-5	3.5069484954341905E-6	3.2252658853591548E-6
