Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0016607~nuclear speck	19	11.377245508982035	1.173687712389214E-4	ENSG00000198563, ENSG00000174231, ENSG00000147140, ENSG00000124193, ENSG00000131051, ENSG00000105618, ENSG00000116754, ENSG00000204371, ENSG00000187531, ENSG00000136450, ENSG00000182196, ENSG00000100941, ENSG00000153914, ENSG00000123136, ENSG00000161265, ENSG00000258366, ENSG00000108654, ENSG00000165458, ENSG00000125520	164	146	3483	2.7638239224858006	0.03289872990290277	0.0334500998030926	0.0334500998030926
GOTERM_MF_DIRECT	GO:0003723~RNA binding	44	26.34730538922156	6.248015277229368E-4	ENSG00000089280, ENSG00000092199, ENSG00000101191, ENSG00000103194, ENSG00000130810, ENSG00000178252, ENSG00000198563, ENSG00000099622, ENSG00000174231, ENSG00000124193, ENSG00000178035, ENSG00000132591, ENSG00000105618, ENSG00000115677, ENSG00000136271, ENSG00000142541, ENSG00000136450, ENSG00000100941, ENSG00000169045, ENSG00000140988, ENSG00000090621, ENSG00000161265, ENSG00000164896, ENSG00000167526, ENSG00000087087, ENSG00000071626, ENSG00000160752, ENSG00000155363, ENSG00000147140, ENSG00000197102, ENSG00000175931, ENSG00000131051, ENSG00000198755, ENSG00000116754, ENSG00000197958, ENSG00000169710, ENSG00000011304, ENSG00000182196, ENSG00000153914, ENSG00000123136, ENSG00000089157, ENSG00000122566, ENSG00000147403, ENSG00000108654	161	571	3411	1.6325722552784154	0.20496872437796765	0.22992696220204073	0.22992696220204073
GOTERM_CC_DIRECT	GO:0005681~spliceosomal complex	10	5.9880239520958085	0.0011184104320365324	ENSG00000092199, ENSG00000198563, ENSG00000099622, ENSG00000174231, ENSG00000100941, ENSG00000153914, ENSG00000105618, ENSG00000161265, ENSG00000122566, ENSG00000108654	164	57	3483	3.725930680359435	0.2730701882173677	0.15937348656520586	0.15937348656520586
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	12	7.18562874251497	0.0014917341748531584	ENSG00000092199, ENSG00000198563, ENSG00000136450, ENSG00000174231, ENSG00000100941, ENSG00000169045, ENSG00000124193, ENSG00000123136, ENSG00000105618, ENSG00000161265, ENSG00000122566, ENSG00000108654	161	82	3362	3.0559006211180124	0.7966585571742105	0.7950943151967335	0.7950943151967335
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	12	7.18562874251497	0.0014917341748531584	ENSG00000089280, ENSG00000011304, ENSG00000092199, ENSG00000198563, ENSG00000182196, ENSG00000174231, ENSG00000100941, ENSG00000153914, ENSG00000147140, ENSG00000131051, ENSG00000116754, ENSG00000108654	161	82	3362	3.0559006211180124	0.7966585571742105	0.7950943151967335	0.7950943151967335
GOTERM_MF_DIRECT	GO:0003676~nucleic acid binding	13	7.784431137724551	0.0019835637540625718	ENSG00000160957, ENSG00000108469, ENSG00000198563, ENSG00000099622, ENSG00000131051, ENSG00000136271, ENSG00000011304, ENSG00000169045, ENSG00000123136, ENSG00000258366, ENSG00000108654, ENSG00000087087, ENSG00000071626	161	99	3411	2.782044042913608	0.5174597004307654	0.3649757307475132	0.3649757307475132
GOTERM_MF_DIRECT	GO:0003730~mRNA 3'-UTR binding	7	4.191616766467066	0.006723527140418786	ENSG00000089280, ENSG00000092199, ENSG00000099622, ENSG00000090621, ENSG00000122566, ENSG00000108654, ENSG00000071626	161	37	3411	4.008225616921268	0.9159099557408416	0.8247526625580378	0.8247526625580378
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	11	6.58682634730539	0.010299996818810846	ENSG00000011304, ENSG00000136450, ENSG00000182196, ENSG00000174231, ENSG00000100941, ENSG00000153914, ENSG00000147140, ENSG00000131051, ENSG00000122566, ENSG00000116754, ENSG00000087087	161	91	3362	2.5241963005938164	0.9999840665081615	1.0	1.0
GOTERM_MF_DIRECT	GO:0008266~poly(U) RNA binding	4	2.3952095808383236	0.01265275907106616	ENSG00000092199, ENSG00000169045, ENSG00000090621, ENSG00000071626	161	11	3411	7.70412196499153	0.990657577513212	1.0	1.0
GOTERM_CC_DIRECT	GO:0032991~macromolecular complex	18	10.778443113772456	0.013316077891703873	ENSG00000092199, ENSG00000103194, ENSG00000072310, ENSG00000196497, ENSG00000131051, ENSG00000132475, ENSG00000172534, ENSG00000115234, ENSG00000102606, ENSG00000117385, ENSG00000106290, ENSG00000084774, ENSG00000109065, ENSG00000147403, ENSG00000087087, ENSG00000125730, ENSG00000071626, ENSG00000108465	164	204	3483	1.8739239598278334	0.9780848386063726	1.0	1.0
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	6	3.592814371257485	0.019529078668200455	ENSG00000197958, ENSG00000142541, ENSG00000198755, ENSG00000089157, ENSG00000147403, ENSG00000167526	164	34	3483	3.747847919655667	0.9963784489134637	1.0	1.0
GOTERM_CC_DIRECT	GO:0005634~nucleus	81	48.50299401197605	0.02027706055223437	ENSG00000092199, ENSG00000108469, ENSG00000158805, ENSG00000101191, ENSG00000099622, ENSG00000115677, ENSG00000104904, ENSG00000142541, ENSG00000187531, ENSG00000136450, ENSG00000058600, ENSG00000100867, ENSG00000084774, ENSG00000125968, ENSG00000100462, ENSG00000214078, ENSG00000167526, ENSG00000087087, ENSG00000108465, ENSG00000125520, ENSG00000130005, ENSG00000155363, ENSG00000147140, ENSG00000111669, ENSG00000072310, ENSG00000172366, ENSG00000188290, ENSG00000131051, ENSG00000112511, ENSG00000265972, ENSG00000116754, ENSG00000204304, ENSG00000182196, ENSG00000125458, ENSG00000258366, ENSG00000108654, ENSG00000089280, ENSG00000103194, ENSG00000130810, ENSG00000198563, ENSG00000174231, ENSG00000178035, ENSG00000105618, ENSG00000132475, ENSG00000204371, ENSG00000172534, ENSG00000136271, ENSG00000141551, ENSG00000120896, ENSG00000143418, ENSG00000169045, ENSG00000165802, ENSG00000140988, ENSG00000090621, ENSG00000102225, ENSG00000149476, ENSG00000184009, ENSG00000110719, ENSG00000071626, ENSG00000160957, ENSG00000104872, ENSG00000213551, ENSG00000068078, ENSG00000130702, ENSG00000177595, ENSG00000196497, ENSG00000175931, ENSG00000198755, ENSG00000011304, ENSG00000117385, ENSG00000106290, ENSG00000100239, ENSG00000169696, ENSG00000187741, ENSG00000123136, ENSG00000166508, ENSG00000089157, ENSG00000013441, ENSG00000122566, ENSG00000147403, ENSG00000165458	164	1429	3483	1.2038223898684053	0.9970863733706578	1.0	1.0
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	7	4.191616766467066	0.023024688549891256	ENSG00000092199, ENSG00000136450, ENSG00000174231, ENSG00000100941, ENSG00000169045, ENSG00000122566, ENSG00000108654	164	48	3483	3.097179878048781	0.9986913518860049	1.0	1.0
GOTERM_BP_DIRECT	GO:0043484~regulation of RNA splicing	6	3.592814371257485	0.026160063596784352	ENSG00000089280, ENSG00000011304, ENSG00000136450, ENSG00000169045, ENSG00000013441, ENSG00000164896	161	36	3362	3.4803312629399588	0.9999999999994797	1.0	1.0
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	8	4.790419161676647	0.02629539307044603	ENSG00000197958, ENSG00000142541, ENSG00000103194, ENSG00000140988, ENSG00000198755, ENSG00000089157, ENSG00000147403, ENSG00000167526	164	63	3483	2.6968641114982583	0.9994967786367005	1.0	1.0
GOTERM_CC_DIRECT	GO:1990904~ribonucleoprotein complex	9	5.389221556886228	0.03401858520465385	ENSG00000142541, ENSG00000104872, ENSG00000169045, ENSG00000090621, ENSG00000089157, ENSG00000122566, ENSG00000108654, ENSG00000087087, ENSG00000071626	164	81	3483	2.3597560975609757	0.9999479884643542	1.0	1.0
GOTERM_CC_DIRECT	GO:0005794~Golgi apparatus	20	11.976047904191617	0.038273557136659433	ENSG00000213983, ENSG00000158604, ENSG00000068078, ENSG00000177595, ENSG00000115657, ENSG00000179889, ENSG00000198837, ENSG00000115234, ENSG00000168237, ENSG00000141551, ENSG00000165661, ENSG00000119777, ENSG00000169710, ENSG00000178719, ENSG00000125968, ENSG00000044090, ENSG00000100462, ENSG00000106397, ENSG00000186635, ENSG00000165458	164	265	3483	1.602853198343304	0.9999852193406089	1.0	1.0
GOTERM_CC_DIRECT	GO:0015934~large ribosomal subunit	3	1.7964071856287425	0.039143025776083334	ENSG00000197958, ENSG00000142541, ENSG00000198755	164	7	3483	9.101916376306619	0.9999885779824755	1.0	1.0
GOTERM_MF_DIRECT	GO:0036002~pre-mRNA binding	3	1.7964071856287425	0.03930720104853339	ENSG00000011304, ENSG00000124193, ENSG00000108654	161	7	3411	9.07985803016859	0.9999995940014481	1.0	1.0
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	27	16.16766467065868	0.04223138814020557	ENSG00000089280, ENSG00000092199, ENSG00000108469, ENSG00000198563, ENSG00000103051, ENSG00000178035, ENSG00000105618, ENSG00000172534, ENSG00000117394, ENSG00000183010, ENSG00000125968, ENSG00000084774, ENSG00000169045, ENSG00000214078, ENSG00000100462, ENSG00000072778, ENSG00000184009, ENSG00000068078, ENSG00000147140, ENSG00000112511, ENSG00000116337, ENSG00000116754, ENSG00000182196, ENSG00000123136, ENSG00000168906, ENSG00000125458, ENSG00000122566	161	394	3411	1.4518554718289878	0.9999998673704599	1.0	1.0
GOTERM_BP_DIRECT	GO:0008203~cholesterol metabolic process	4	2.3952095808383236	0.044012656168842174	ENSG00000070610, ENSG00000072310, ENSG00000115677, ENSG00000161513	161	17	3362	4.9134088417975885	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0031053~primary miRNA processing	3	1.7964071856287425	0.052170735381476645	ENSG00000122566, ENSG00000108654, ENSG00000087087	161	8	3362	7.830745341614906	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006091~generation of precursor metabolites and energy	3	1.7964071856287425	0.06502304293610543	ENSG00000156873, ENSG00000044446, ENSG00000161513	161	9	3362	6.9606625258799175	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0060348~bone development	3	1.7964071856287425	0.06502304293610543	ENSG00000117385, ENSG00000185269, ENSG00000167526	161	9	3362	6.9606625258799175	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0032868~response to insulin	4	2.3952095808383236	0.06654913353371612	ENSG00000117394, ENSG00000084774, ENSG00000124193, ENSG00000165458	161	20	3362	4.176397515527951	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	7	4.191616766467066	0.06783500805830245	ENSG00000197958, ENSG00000142541, ENSG00000140988, ENSG00000198755, ENSG00000089157, ENSG00000147403, ENSG00000167526	161	61	3362	2.3962936564504633	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007420~brain development	7	4.191616766467066	0.06783500805830245	ENSG00000204304, ENSG00000187961, ENSG00000125968, ENSG00000115657, ENSG00000188338, ENSG00000168209, ENSG00000108465	161	61	3362	2.3962936564504633	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0048026~positive regulation of mRNA splicing, via spliceosome	3	1.7964071856287425	0.07880055947854617	ENSG00000099622, ENSG00000100462, ENSG00000071626	161	10	3362	6.264596273291926	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007088~regulation of mitotic nuclear division	3	1.7964071856287425	0.07880055947854617	ENSG00000159069, ENSG00000044090, ENSG00000100462	161	10	3362	6.264596273291926	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	13	7.784431137724551	0.08671760546058929	ENSG00000160957, ENSG00000108469, ENSG00000198563, ENSG00000155363, ENSG00000197102, ENSG00000105726, ENSG00000115657, ENSG00000136271, ENSG00000023839, ENSG00000123136, ENSG00000166508, ENSG00000258366, ENSG00000108654	161	166	3411	1.6591708448701639	0.9999999999999966	1.0	1.0
