Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	38	38.775510204081634	1.5899699018741692E-18	ENSG00000106348, ENSG00000076108, ENSG00000178252, ENSG00000181222, ENSG00000099622, ENSG00000099821, ENSG00000174231, ENSG00000114867, ENSG00000135486, ENSG00000156508, ENSG00000265681, ENSG00000136270, ENSG00000169045, ENSG00000126457, ENSG00000090621, ENSG00000167526, ENSG00000148303, ENSG00000125691, ENSG00000101361, ENSG00000140829, ENSG00000071462, ENSG00000130305, ENSG00000099899, ENSG00000198755, ENSG00000116754, ENSG00000179218, ENSG00000173812, ENSG00000156976, ENSG00000197958, ENSG00000169710, ENSG00000011304, ENSG00000102317, ENSG00000123136, ENSG00000188976, ENSG00000205937, ENSG00000147403, ENSG00000108654, ENSG00000161016	90	1479	18967	5.4146645631432655	3.974924754685423E-16	3.9908244537041646E-16	3.911325958610456E-16
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	9	9.183673469387756	7.144563444954175E-9	ENSG00000125691, ENSG00000197958, ENSG00000156508, ENSG00000198755, ENSG00000265681, ENSG00000147403, ENSG00000167526, ENSG00000148303, ENSG00000161016	91	93	20647	21.957107408720308	1.5003572140237509E-6	9.543433946386588E-7	8.907205016627483E-7
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	8	8.16326530612245	9.547621768428342E-9	ENSG00000125691, ENSG00000197958, ENSG00000198755, ENSG00000265681, ENSG00000147403, ENSG00000167526, ENSG00000148303, ENSG00000161016	91	62	20647	29.276143211627083	2.0049985784975632E-6	9.543433946386588E-7	8.907205016627483E-7
GOTERM_CC_DIRECT	GO:0005829~cytosol	51	52.04081632653062	1.3633477066266556E-8	ENSG00000168090, ENSG00000076108, ENSG00000178252, ENSG00000114867, ENSG00000135486, ENSG00000156508, ENSG00000104904, ENSG00000139645, ENSG00000008130, ENSG00000126457, ENSG00000142945, ENSG00000179262, ENSG00000140400, ENSG00000167526, ENSG00000125691, ENSG00000175197, ENSG00000075624, ENSG00000070610, ENSG00000111669, ENSG00000099899, ENSG00000072310, ENSG00000172046, ENSG00000156976, ENSG00000197958, ENSG00000204227, ENSG00000169710, ENSG00000137193, ENSG00000188976, ENSG00000182199, ENSG00000108654, ENSG00000076604, ENSG00000106348, ENSG00000173020, ENSG00000265681, ENSG00000092094, ENSG00000178999, ENSG00000143258, ENSG00000122952, ENSG00000169045, ENSG00000090621, ENSG00000102225, ENSG00000184009, ENSG00000148303, ENSG00000160796, ENSG00000198755, ENSG00000179218, ENSG00000166508, ENSG00000205937, ENSG00000147403, ENSG00000168209, ENSG00000161016	91	5627	20647	2.056405829819727	2.8630260939799257E-6	9.543433946386588E-7	8.907205016627483E-7
GOTERM_CC_DIRECT	GO:0005634~nucleus	53	54.08163265306123	2.2478602174601285E-8	ENSG00000168090, ENSG00000076108, ENSG00000158805, ENSG00000181222, ENSG00000099622, ENSG00000114867, ENSG00000135486, ENSG00000156508, ENSG00000104904, ENSG00000139645, ENSG00000126457, ENSG00000142945, ENSG00000179262, ENSG00000167526, ENSG00000175197, ENSG00000140829, ENSG00000075624, ENSG00000071462, ENSG00000111669, ENSG00000072310, ENSG00000116754, ENSG00000173812, ENSG00000204227, ENSG00000137193, ENSG00000102317, ENSG00000188976, ENSG00000182199, ENSG00000108654, ENSG00000076604, ENSG00000105576, ENSG00000106348, ENSG00000174231, ENSG00000265681, ENSG00000132475, ENSG00000092094, ENSG00000178999, ENSG00000204256, ENSG00000169045, ENSG00000090621, ENSG00000102225, ENSG00000167548, ENSG00000184009, ENSG00000148303, ENSG00000110955, ENSG00000133612, ENSG00000198755, ENSG00000179218, ENSG00000011304, ENSG00000123136, ENSG00000166508, ENSG00000205937, ENSG00000147403, ENSG00000166669	91	6100	20647	1.9713402990452173	4.720495373922162E-6	1.1801266141665675E-6	1.101451506555463E-6
GOTERM_BP_DIRECT	GO:0006412~translation	11	11.224489795918368	7.728706084530303E-8	ENSG00000125691, ENSG00000197958, ENSG00000114867, ENSG00000090621, ENSG00000156508, ENSG00000198755, ENSG00000265681, ENSG00000147403, ENSG00000167526, ENSG00000148303, ENSG00000161016	92	219	19453	10.620557871749057	5.046717918244514E-5	5.0391163671137576E-5	5.0313876610292274E-5
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	8	8.16326530612245	2.2817219783123003E-7	ENSG00000125691, ENSG00000197958, ENSG00000198755, ENSG00000265681, ENSG00000147403, ENSG00000167526, ENSG00000148303, ENSG00000161016	92	91	19453	18.588628762541806	1.4898536274188245E-4	7.438413649298099E-5	7.427005039406538E-5
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	48	48.97959183673469	9.828518063476852E-7	ENSG00000214279, ENSG00000076604, ENSG00000168090, ENSG00000105576, ENSG00000106348, ENSG00000178252, ENSG00000181222, ENSG00000099622, ENSG00000173020, ENSG00000171241, ENSG00000114867, ENSG00000135486, ENSG00000156508, ENSG00000104904, ENSG00000265681, ENSG00000092094, ENSG00000143258, ENSG00000122952, ENSG00000204256, ENSG00000126457, ENSG00000090621, ENSG00000142945, ENSG00000102225, ENSG00000179262, ENSG00000167526, ENSG00000184009, ENSG00000148303, ENSG00000125691, ENSG00000101361, ENSG00000175197, ENSG00000198055, ENSG00000075624, ENSG00000133612, ENSG00000071462, ENSG00000072310, ENSG00000198755, ENSG00000179218, ENSG00000173812, ENSG00000197958, ENSG00000169710, ENSG00000137193, ENSG00000102317, ENSG00000182199, ENSG00000123136, ENSG00000205937, ENSG00000168209, ENSG00000108654, ENSG00000161016	91	5771	20647	1.8871469892090234	2.0637768196662964E-4	4.127977586660278E-5	3.852779080882927E-5
GOTERM_MF_DIRECT	GO:0005515~protein binding	79	80.61224489795919	5.2613875620787475E-6	ENSG00000168090, ENSG00000076108, ENSG00000158805, ENSG00000178252, ENSG00000181222, ENSG00000099622, ENSG00000114867, ENSG00000099821, ENSG00000135486, ENSG00000156508, ENSG00000104904, ENSG00000139645, ENSG00000008130, ENSG00000146826, ENSG00000126457, ENSG00000142945, ENSG00000179262, ENSG00000167526, ENSG00000125691, ENSG00000175197, ENSG00000140829, ENSG00000198055, ENSG00000075624, ENSG00000071462, ENSG00000115307, ENSG00000111669, ENSG00000099899, ENSG00000072310, ENSG00000172046, ENSG00000116754, ENSG00000173812, ENSG00000156976, ENSG00000197958, ENSG00000204227, ENSG00000169710, ENSG00000137193, ENSG00000102317, ENSG00000188976, ENSG00000182199, ENSG00000108654, ENSG00000203618, ENSG00000076604, ENSG00000105576, ENSG00000161638, ENSG00000146083, ENSG00000173020, ENSG00000171241, ENSG00000174231, ENSG00000265681, ENSG00000132475, ENSG00000092094, ENSG00000005961, ENSG00000178999, ENSG00000143258, ENSG00000136270, ENSG00000172889, ENSG00000122952, ENSG00000204256, ENSG00000169045, ENSG00000090621, ENSG00000102225, ENSG00000167548, ENSG00000168758, ENSG00000184009, ENSG00000148303, ENSG00000160796, ENSG00000101361, ENSG00000110955, ENSG00000198755, ENSG00000179218, ENSG00000011304, ENSG00000121716, ENSG00000178719, ENSG00000123136, ENSG00000166508, ENSG00000205937, ENSG00000147403, ENSG00000168209, ENSG00000161016	90	12657	18967	1.315383669993767	0.0013144856566991159	6.603041390408828E-4	6.47150670135686E-4
GOTERM_MF_DIRECT	GO:0003676~nucleic acid binding	10	10.204081632653061	2.176382047310186E-5	ENSG00000140829, ENSG00000011304, ENSG00000106348, ENSG00000099622, ENSG00000169045, ENSG00000099899, ENSG00000123136, ENSG00000135486, ENSG00000108654, ENSG00000156976	90	325	18967	6.484444444444445	0.005426238818739604	0.0018209063129161892	0.0017846332787943527
