Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	19	48.717948717948715	7.625259133242057E-11	ENSG00000134318, ENSG00000182944, ENSG00000092199, ENSG00000153187, ENSG00000108848, ENSG00000204560, ENSG00000196235, ENSG00000099783, ENSG00000204574, ENSG00000265681, ENSG00000130175, ENSG00000132485, ENSG00000169710, ENSG00000137154, ENSG00000125944, ENSG00000123136, ENSG00000087365, ENSG00000160633, ENSG00000087087	39	1479	18967	6.247689880549921	8.921549499163461E-9	8.997805777225626E-9	8.997805777225626E-9
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	27	69.23076923076923	9.86027381875981E-11	ENSG00000092010, ENSG00000092199, ENSG00000108848, ENSG00000164609, ENSG00000099783, ENSG00000204574, ENSG00000115216, ENSG00000135521, ENSG00000168259, ENSG00000125944, ENSG00000153827, ENSG00000273559, ENSG00000087365, ENSG00000221978, ENSG00000160633, ENSG00000087087, ENSG00000182944, ENSG00000153187, ENSG00000204560, ENSG00000196235, ENSG00000111642, ENSG00000132485, ENSG00000118985, ENSG00000137154, ENSG00000123136, ENSG00000121851, ENSG00000148337	39	4076	20647	3.506888352079716	1.0451896015339912E-8	1.04518902478854E-8	1.0057479295135006E-8
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	9	23.076923076923077	3.244505615114542E-9	ENSG00000153187, ENSG00000092199, ENSG00000125944, ENSG00000164609, ENSG00000204560, ENSG00000273559, ENSG00000123136, ENSG00000099783, ENSG00000087365	38	200	19453	23.03644736842105	7.559695351933016E-7	7.527253027065738E-7	7.527253027065738E-7
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	6	15.384615384615385	7.03310080219005E-7	ENSG00000153187, ENSG00000092199, ENSG00000125944, ENSG00000164609, ENSG00000099783, ENSG00000087365	39	92	20647	34.52675585284281	7.454811586582455E-5	3.7275434251607266E-5	3.5868814091169256E-5
GOTERM_MF_DIRECT	GO:0005515~protein binding	38	97.43589743589743	4.145844626578046E-6	ENSG00000092010, ENSG00000134318, ENSG00000105576, ENSG00000092199, ENSG00000108848, ENSG00000164609, ENSG00000196642, ENSG00000099783, ENSG00000204574, ENSG00000115216, ENSG00000265681, ENSG00000130175, ENSG00000177600, ENSG00000135521, ENSG00000168259, ENSG00000125944, ENSG00000153827, ENSG00000273559, ENSG00000087365, ENSG00000125447, ENSG00000221978, ENSG00000160633, ENSG00000087087, ENSG00000182944, ENSG00000153187, ENSG00000204560, ENSG00000196235, ENSG00000111642, ENSG00000130066, ENSG00000132485, ENSG00000118985, ENSG00000169710, ENSG00000143549, ENSG00000137154, ENSG00000167110, ENSG00000123136, ENSG00000121851, ENSG00000148337	39	12657	18967	1.4601142977535486	4.8494720189107277E-4	2.446048329681047E-4	2.446048329681047E-4
GOTERM_CC_DIRECT	GO:0005681~spliceosomal complex	6	15.384615384615385	4.854268271874387E-6	ENSG00000092199, ENSG00000125944, ENSG00000164609, ENSG00000204560, ENSG00000099783, ENSG00000087365	39	136	20647	23.35633484162896	5.144213256689234E-4	1.715174789395617E-4	1.6504512124372917E-4
GOTERM_CC_DIRECT	GO:0016607~nuclear speck	8	20.51282051282051	1.4592203551179784E-5	ENSG00000153187, ENSG00000108848, ENSG00000153827, ENSG00000164609, ENSG00000273559, ENSG00000123136, ENSG00000087365, ENSG00000221978	39	445	20647	9.517487755690002	0.00154558920679837	3.786267232951296E-4	3.643389224160681E-4
GOTERM_CC_DIRECT	GO:0005634~nucleus	25	64.1025641025641	1.785975109882687E-5	ENSG00000134318, ENSG00000105576, ENSG00000092199, ENSG00000108848, ENSG00000164609, ENSG00000196642, ENSG00000099783, ENSG00000265681, ENSG00000135521, ENSG00000125944, ENSG00000153827, ENSG00000273559, ENSG00000087365, ENSG00000221978, ENSG00000160633, ENSG00000087087, ENSG00000182944, ENSG00000153187, ENSG00000204560, ENSG00000196235, ENSG00000111642, ENSG00000137154, ENSG00000123136, ENSG00000121851, ENSG00000148337	39	6100	20647	2.1697141656158054	0.0018913596429851465	3.786267232951296E-4	3.643389224160681E-4
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	6	15.384615384615385	4.7049271990773616E-5	ENSG00000092199, ENSG00000108848, ENSG00000164609, ENSG00000204560, ENSG00000087365, ENSG00000132485	38	211	19453	14.556996757296083	0.010902866441223957	0.0054577155509297395	0.0054577155509297395
GOTERM_CC_DIRECT	GO:1990904~ribonucleoprotein complex	5	12.82051282051282	4.095718443047118E-4	ENSG00000153187, ENSG00000137154, ENSG00000125944, ENSG00000099783, ENSG00000087087	39	191	20647	13.858907235870586	0.04249420777712043	0.007235769249383243	0.006962721353180101
GOTERM_BP_DIRECT	GO:0006412~translation	4	10.256410256410255	0.008250375919166098	ENSG00000137154, ENSG00000204574, ENSG00000265681, ENSG00000177600	38	219	19453	9.35015621244893	0.8548970054889944	0.5845608698753172	0.5845608698753172
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	4	10.256410256410255	0.010343072877520157	ENSG00000125944, ENSG00000087365, ENSG00000132485, ENSG00000087087	38	238	19453	8.603715170278637	0.911299137156058	0.5845608698753172	0.5845608698753172
GOTERM_CC_DIRECT	GO:0036464~cytoplasmic ribonucleoprotein granule	3	7.6923076923076925	0.012184451715070847	ENSG00000134318, ENSG00000153187, ENSG00000137154	39	91	20647	17.4530853761623	0.727327765782611	0.18450741168535853	0.1775448678481752
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	3	7.6923076923076925	0.012961162535256197	ENSG00000137154, ENSG00000265681, ENSG00000177600	38	91	19453	16.87651821862348	0.9521504075232792	0.5845608698753172	0.5845608698753172
GOTERM_MF_DIRECT	GO:0003729~mRNA binding	4	10.256410256410255	0.014326389319103237	ENSG00000108848, ENSG00000125944, ENSG00000196235, ENSG00000099783	39	255	18967	7.62875816993464	0.815168435562256	0.563504646551394	0.563504646551394
