Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	27	40.298507462686565	4.1413031458875994E-13	ENSG00000108349, ENSG00000182934, ENSG00000108848, ENSG00000121060, ENSG00000124193, ENSG00000110321, ENSG00000099783, ENSG00000227057, ENSG00000116001, ENSG00000115053, ENSG00000112081, ENSG00000120438, ENSG00000169045, ENSG00000161960, ENSG00000087087, ENSG00000111641, ENSG00000204560, ENSG00000198830, ENSG00000117569, ENSG00000090060, ENSG00000156976, ENSG00000168488, ENSG00000102317, ENSG00000088247, ENSG00000122566, ENSG00000147403, ENSG00000108654	65	1479	18967	5.326977687626775	7.329803430877746E-11	7.371519599679927E-11	7.205867473844424E-11
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	40	59.70149253731343	1.1688861860459537E-12	ENSG00000108349, ENSG00000178971, ENSG00000137807, ENSG00000108848, ENSG00000134759, ENSG00000121060, ENSG00000124193, ENSG00000127481, ENSG00000099783, ENSG00000157014, ENSG00000092094, ENSG00000227057, ENSG00000116001, ENSG00000115053, ENSG00000082258, ENSG00000204256, ENSG00000166012, ENSG00000112081, ENSG00000169045, ENSG00000101972, ENSG00000177084, ENSG00000072778, ENSG00000087087, ENSG00000196792, ENSG00000111641, ENSG00000204560, ENSG00000156858, ENSG00000204463, ENSG00000154832, ENSG00000090060, ENSG00000100906, ENSG00000142453, ENSG00000143624, ENSG00000102317, ENSG00000088247, ENSG00000166508, ENSG00000122566, ENSG00000143442, ENSG00000108654, ENSG00000166888	66	4076	20647	3.0700032711808967	1.6714452044652717E-10	1.6715072460457139E-10	1.5779963511620374E-10
GOTERM_MF_DIRECT	GO:0003729~mRNA binding	9	13.432835820895523	2.209896943547219E-6	ENSG00000108349, ENSG00000168488, ENSG00000108848, ENSG00000088247, ENSG00000124193, ENSG00000161960, ENSG00000110321, ENSG00000099783, ENSG00000117569	65	255	18967	10.298823529411765	3.9107570116658774E-4	1.966808279757025E-4	1.9226103408860807E-4
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	8	11.940298507462686	4.136088079194581E-6	ENSG00000108349, ENSG00000169045, ENSG00000112081, ENSG00000124193, ENSG00000204560, ENSG00000099783, ENSG00000122566, ENSG00000108654	65	200	19453	11.971076923076923	0.0018223561040721092	0.0018198787548456157	0.0018157426667664211
GOTERM_CC_DIRECT	GO:0005681~spliceosomal complex	7	10.44776119402985	4.3895288355317094E-6	ENSG00000115053, ENSG00000102317, ENSG00000204560, ENSG00000099783, ENSG00000117569, ENSG00000122566, ENSG00000108654	66	136	20647	16.10171568627451	6.275070362009583E-4	3.138513117405172E-4	2.962931963983904E-4
GOTERM_BP_DIRECT	GO:0031053~primary miRNA processing	4	5.970149253731343	1.2046952103737843E-5	ENSG00000112081, ENSG00000122566, ENSG00000108654, ENSG00000087087	65	14	19453	85.50769230769232	0.005298650246100101	0.0026503294628223255	0.0026443059867704566
GOTERM_CC_DIRECT	GO:1990904~ribonucleoprotein complex	7	10.44776119402985	3.0409906742145702E-5	ENSG00000116001, ENSG00000115053, ENSG00000169045, ENSG00000099783, ENSG00000122566, ENSG00000108654, ENSG00000087087	66	191	20647	11.465095986038396	0.004339240956466317	0.0014495388880422784	0.0013684458033965566
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	7	10.44776119402985	6.733489524346385E-5	ENSG00000108349, ENSG00000116001, ENSG00000108848, ENSG00000088247, ENSG00000204560, ENSG00000117569, ENSG00000108654	65	211	19453	9.92861830113015	0.02925910386560704	0.00987578463570803	0.009853339670626878
GOTERM_CC_DIRECT	GO:0016607~nuclear speck	9	13.432835820895523	7.527673846168914E-5	ENSG00000108349, ENSG00000168488, ENSG00000108848, ENSG00000204256, ENSG00000112081, ENSG00000124193, ENSG00000154832, ENSG00000092094, ENSG00000108654	66	445	20647	6.326966292134831	0.010707243755090246	0.002691143400005387	0.0025405899230820086
GOTERM_CC_DIRECT	GO:0005634~nucleus	35	52.23880597014925	9.895236362780511E-5	ENSG00000108349, ENSG00000178971, ENSG00000137807, ENSG00000108848, ENSG00000134759, ENSG00000099783, ENSG00000092094, ENSG00000132793, ENSG00000116001, ENSG00000115053, ENSG00000082258, ENSG00000204256, ENSG00000169045, ENSG00000101972, ENSG00000177084, ENSG00000087087, ENSG00000196792, ENSG00000204560, ENSG00000198830, ENSG00000117569, ENSG00000204463, ENSG00000154832, ENSG00000090060, ENSG00000100906, ENSG00000142453, ENSG00000143624, ENSG00000102317, ENSG00000088247, ENSG00000166508, ENSG00000089693, ENSG00000122566, ENSG00000147403, ENSG00000143442, ENSG00000108654, ENSG00000166888	66	6100	20647	1.7949453551912569	0.014051234938862733	0.0028300375997552265	0.002671713817950738
