Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	112	50.678733031674206	5.347720592361653E-26	ENSG00000092199, ENSG00000070444, ENSG00000136819, ENSG00000164609, ENSG00000135046, ENSG00000099783, ENSG00000064961, ENSG00000175467, ENSG00000114982, ENSG00000156304, ENSG00000168259, ENSG00000167721, ENSG00000165661, ENSG00000099381, ENSG00000163882, ENSG00000138398, ENSG00000058600, ENSG00000204435, ENSG00000153827, ENSG00000126457, ENSG00000177084, ENSG00000214078, ENSG00000094804, ENSG00000133316, ENSG00000170581, ENSG00000132341, ENSG00000116752, ENSG00000175756, ENSG00000188130, ENSG00000152291, ENSG00000100297, ENSG00000125651, ENSG00000132676, ENSG00000094631, ENSG00000131748, ENSG00000110200, ENSG00000115216, ENSG00000170633, ENSG00000174953, ENSG00000115053, ENSG00000078674, ENSG00000121022, ENSG00000187514, ENSG00000089685, ENSG00000176171, ENSG00000108883, ENSG00000116539, ENSG00000111641, ENSG00000137337, ENSG00000171453, ENSG00000132323, ENSG00000011304, ENSG00000186010, ENSG00000085872, ENSG00000100116, ENSG00000130816, ENSG00000093009, ENSG00000125755, ENSG00000124193, ENSG00000196365, ENSG00000162191, ENSG00000168291, ENSG00000104907, ENSG00000080603, ENSG00000167522, ENSG00000162231, ENSG00000038358, ENSG00000100029, ENSG00000087365, ENSG00000161547, ENSG00000105671, ENSG00000100023, ENSG00000148843, ENSG00000087191, ENSG00000065183, ENSG00000072310, ENSG00000139613, ENSG00000196235, ENSG00000112511, ENSG00000150991, ENSG00000130640, ENSG00000186432, ENSG00000029363, ENSG00000102317, ENSG00000167770, ENSG00000138081, ENSG00000188739, ENSG00000167657, ENSG00000108848, ENSG00000175166, ENSG00000174231, ENSG00000129460, ENSG00000265241, ENSG00000158864, ENSG00000172732, ENSG00000010244, ENSG00000122952, ENSG00000169045, ENSG00000165802, ENSG00000160633, ENSG00000129351, ENSG00000198793, ENSG00000073584, ENSG00000204560, ENSG00000150459, ENSG00000205250, ENSG00000177479, ENSG00000132485, ENSG00000118900, ENSG00000103549, ENSG00000166508, ENSG00000179010	215	4076	20647	2.638774904717347	2.0214383839127048E-23	2.0214383839127048E-23	1.957265736804365E-23
GOTERM_MF_DIRECT	GO:0003723~RNA binding	64	28.95927601809955	4.2753345714531584E-21	ENSG00000092199, ENSG00000114867, ENSG00000099821, ENSG00000124193, ENSG00000099783, ENSG00000204351, ENSG00000175467, ENSG00000104907, ENSG00000156304, ENSG00000167721, ENSG00000162231, ENSG00000099381, ENSG00000138398, ENSG00000100029, ENSG00000100345, ENSG00000126457, ENSG00000087365, ENSG00000161547, ENSG00000143793, ENSG00000142864, ENSG00000105671, ENSG00000148843, ENSG00000065183, ENSG00000196235, ENSG00000132341, ENSG00000150991, ENSG00000029363, ENSG00000182196, ENSG00000102317, ENSG00000125651, ENSG00000188739, ENSG00000132676, ENSG00000130810, ENSG00000108848, ENSG00000130811, ENSG00000104129, ENSG00000174231, ENSG00000129460, ENSG00000265241, ENSG00000132153, ENSG00000174953, ENSG00000136271, ENSG00000010244, ENSG00000115053, ENSG00000089009, ENSG00000169045, ENSG00000161960, ENSG00000160633, ENSG00000108883, ENSG00000171490, ENSG00000129351, ENSG00000073584, ENSG00000197102, ENSG00000178209, ENSG00000111641, ENSG00000204560, ENSG00000150459, ENSG00000132485, ENSG00000011304, ENSG00000170515, ENSG00000124228, ENSG00000085872, ENSG00000130816, ENSG00000076928	215	1479	18967	3.8174379294620815	1.6631051482952787E-18	1.6673804828667317E-18	1.6289024717236533E-18
GOTERM_CC_DIRECT	GO:0005634~nucleus	124	56.10859728506787	9.287234422485036E-18	ENSG00000092199, ENSG00000136819, ENSG00000114867, ENSG00000164609, ENSG00000135046, ENSG00000099783, ENSG00000064961, ENSG00000175467, ENSG00000156304, ENSG00000167721, ENSG00000099381, ENSG00000163882, ENSG00000138398, ENSG00000123349, ENSG00000058600, ENSG00000204435, ENSG00000153827, ENSG00000100345, ENSG00000126457, ENSG00000177084, ENSG00000214078, ENSG00000094804, ENSG00000133316, ENSG00000170581, ENSG00000132341, ENSG00000116752, ENSG00000175756, ENSG00000204304, ENSG00000188130, ENSG00000100297, ENSG00000089693, ENSG00000125651, ENSG00000130810, ENSG00000130811, ENSG00000094631, ENSG00000130779, ENSG00000132153, ENSG00000132793, ENSG00000170633, ENSG00000174953, ENSG00000115053, ENSG00000121022, ENSG00000187514, ENSG00000089685, ENSG00000205903, ENSG00000176171, ENSG00000108883, ENSG00000130702, ENSG00000116539, ENSG00000137337, ENSG00000171453, ENSG00000132323, ENSG00000011304, ENSG00000170515, ENSG00000171848, ENSG00000100116, ENSG00000160200, ENSG00000130816, ENSG00000093009, ENSG00000125755, ENSG00000158805, ENSG00000040275, ENSG00000204351, ENSG00000162191, ENSG00000168291, ENSG00000104907, ENSG00000080603, ENSG00000167522, ENSG00000162231, ENSG00000038358, ENSG00000087365, ENSG00000161547, ENSG00000142864, ENSG00000105671, ENSG00000100023, ENSG00000148843, ENSG00000087191, ENSG00000072310, ENSG00000214706, ENSG00000196235, ENSG00000112511, ENSG00000064932, ENSG00000150991, ENSG00000008128, ENSG00000186432, ENSG00000029363, ENSG00000102317, ENSG00000182196, ENSG00000167770, ENSG00000138081, ENSG00000079616, ENSG00000141522, ENSG00000167657, ENSG00000108848, ENSG00000175166, ENSG00000174231, ENSG00000104129, ENSG00000265241, ENSG00000172732, ENSG00000130299, ENSG00000136271, ENSG00000010244, ENSG00000100726, ENSG00000089009, ENSG00000169045, ENSG00000165802, ENSG00000106261, ENSG00000102225, ENSG00000160633, ENSG00000160753, ENSG00000129351, ENSG00000198793, ENSG00000073584, ENSG00000204560, ENSG00000150459, ENSG00000205250, ENSG00000177479, ENSG00000204843, ENSG00000117385, ENSG00000118900, ENSG00000103549, ENSG00000167671, ENSG00000254505, ENSG00000166508	215	6100	20647	1.952137247426611	3.5105746116993438E-15	1.7552873058496719E-15	1.6995638993147617E-15
GOTERM_CC_DIRECT	GO:0005829~cytosol	107	48.41628959276018	2.915672645034982E-12	ENSG00000101152, ENSG00000092199, ENSG00000136819, ENSG00000177000, ENSG00000114867, ENSG00000164609, ENSG00000198467, ENSG00000135046, ENSG00000175467, ENSG00000167280, ENSG00000076382, ENSG00000204394, ENSG00000168259, ENSG00000167721, ENSG00000085788, ENSG00000163882, ENSG00000138398, ENSG00000123349, ENSG00000058600, ENSG00000204435, ENSG00000153827, ENSG00000100345, ENSG00000126457, ENSG00000214078, ENSG00000094804, ENSG00000095059, ENSG00000170581, ENSG00000132341, ENSG00000188130, ENSG00000100297, ENSG00000130811, ENSG00000094631, ENSG00000130779, ENSG00000131748, ENSG00000160948, ENSG00000131626, ENSG00000110200, ENSG00000132153, ENSG00000170633, ENSG00000174953, ENSG00000078674, ENSG00000121022, ENSG00000187514, ENSG00000089685, ENSG00000108883, ENSG00000100241, ENSG00000105401, ENSG00000156873, ENSG00000171453, ENSG00000132323, ENSG00000171848, ENSG00000160200, ENSG00000125755, ENSG00000146830, ENSG00000076928, ENSG00000186716, ENSG00000040275, ENSG00000196365, ENSG00000204351, ENSG00000162191, ENSG00000167522, ENSG00000162231, ENSG00000038358, ENSG00000100029, ENSG00000161547, ENSG00000142864, ENSG00000148843, ENSG00000087191, ENSG00000072310, ENSG00000099331, ENSG00000111665, ENSG00000112511, ENSG00000150991, ENSG00000130640, ENSG00000186432, ENSG00000143549, ENSG00000167770, ENSG00000168906, ENSG00000138081, ENSG00000079616, ENSG00000141522, ENSG00000167657, ENSG00000175166, ENSG00000265241, ENSG00000136271, ENSG00000092929, ENSG00000122952, ENSG00000100726, ENSG00000089009, ENSG00000169045, ENSG00000044090, ENSG00000161960, ENSG00000102225, ENSG00000160753, ENSG00000198793, ENSG00000197102, ENSG00000178209, ENSG00000150459, ENSG00000116337, ENSG00000204843, ENSG00000103549, ENSG00000167671, ENSG00000254505, ENSG00000140416, ENSG00000141503, ENSG00000166508, ENSG00000141985	215	5627	20647	1.8261033802968245	1.1021223933482815E-9	3.673747532744077E-10	3.557120626942678E-10
GOTERM_MF_DIRECT	GO:0005515~protein binding	186	84.16289592760181	3.0142793064934895E-11	ENSG00000101152, ENSG00000092199, ENSG00000070444, ENSG00000132613, ENSG00000136819, ENSG00000099821, ENSG00000114867, ENSG00000164609, ENSG00000135046, ENSG00000099783, ENSG00000064961, ENSG00000175467, ENSG00000076382, ENSG00000204394, ENSG00000168259, ENSG00000167721, ENSG00000099381, ENSG00000157193, ENSG00000138398, ENSG00000123349, ENSG00000204435, ENSG00000153827, ENSG00000100345, ENSG00000126457, ENSG00000177084, ENSG00000140521, ENSG00000214078, ENSG00000094804, ENSG00000133316, ENSG00000095059, ENSG00000104412, ENSG00000115307, ENSG00000170581, ENSG00000132341, ENSG00000023228, ENSG00000116752, ENSG00000175756, ENSG00000204304, ENSG00000188130, ENSG00000152291, ENSG00000100297, ENSG00000089693, ENSG00000125651, ENSG00000203618, ENSG00000101294, ENSG00000132676, ENSG00000077458, ENSG00000130811, ENSG00000094631, ENSG00000130779, ENSG00000131748, ENSG00000160948, ENSG00000131626, ENSG00000110200, ENSG00000115216, ENSG00000132153, ENSG00000116786, ENSG00000170633, ENSG00000174953, ENSG00000167863, ENSG00000115053, ENSG00000078674, ENSG00000121022, ENSG00000187514, ENSG00000089685, ENSG00000140983, ENSG00000176171, ENSG00000108883, ENSG00000105401, ENSG00000156873, ENSG00000111641, ENSG00000137337, ENSG00000171453, ENSG00000132323, ENSG00000011304, ENSG00000186010, ENSG00000170515, ENSG00000085872, ENSG00000171848, ENSG00000160200, ENSG00000130816, ENSG00000093009, ENSG00000125755, ENSG00000149428, ENSG00000146830, ENSG00000076928, ENSG00000213983, ENSG00000186716, ENSG00000158805, ENSG00000040275, ENSG00000124193, ENSG00000198663, ENSG00000196365, ENSG00000204351, ENSG00000162191, ENSG00000168291, ENSG00000104907, ENSG00000080603, ENSG00000162231, ENSG00000038358, ENSG00000100029, ENSG00000087365, ENSG00000161547, ENSG00000143793, ENSG00000142864, ENSG00000105671, ENSG00000100023, ENSG00000184702, ENSG00000148843, ENSG00000104980, ENSG00000087191, ENSG00000072310, ENSG00000099331, ENSG00000214706, ENSG00000139613, ENSG00000196235, ENSG00000111665, ENSG00000112511, ENSG00000150991, ENSG00000130640, ENSG00000186432, ENSG00000143549, ENSG00000029363, ENSG00000102317, ENSG00000182196, ENSG00000167770, ENSG00000168906, ENSG00000138081, ENSG00000169718, ENSG00000141524, ENSG00000079616, ENSG00000141522, ENSG00000167657, ENSG00000108848, ENSG00000113758, ENSG00000105613, ENSG00000175166, ENSG00000174231, ENSG00000104129, ENSG00000129460, ENSG00000265241, ENSG00000158864, ENSG00000172732, ENSG00000130299, ENSG00000136271, ENSG00000010244, ENSG00000092929, ENSG00000122952, ENSG00000100726, ENSG00000089009, ENSG00000169045, ENSG00000106261, ENSG00000044090, ENSG00000161960, ENSG00000102225, ENSG00000160633, ENSG00000160753, ENSG00000185813, ENSG00000171490, ENSG00000213398, ENSG00000129351, ENSG00000198793, ENSG00000073584, ENSG00000197102, ENSG00000178209, ENSG00000204560, ENSG00000197226, ENSG00000150459, ENSG00000116337, ENSG00000205250, ENSG00000177479, ENSG00000132485, ENSG00000204843, ENSG00000117385, ENSG00000124228, ENSG00000118900, ENSG00000185000, ENSG00000103549, ENSG00000167671, ENSG00000254505, ENSG00000140416, ENSG00000141503, ENSG00000166508, ENSG00000179010, ENSG00000163516, ENSG00000141985	215	12657	18967	1.296409928507251	1.172554020545391E-8	5.877844647662305E-9	5.742202078870097E-9
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	18	8.144796380090497	1.5509297849601948E-10	ENSG00000092199, ENSG00000108848, ENSG00000174231, ENSG00000164609, ENSG00000204560, ENSG00000150459, ENSG00000265241, ENSG00000132485, ENSG00000116752, ENSG00000011304, ENSG00000138398, ENSG00000029363, ENSG00000182196, ENSG00000126457, ENSG00000087365, ENSG00000161547, ENSG00000100023, ENSG00000108883	212	211	19453	7.827819010998837	1.9293559683219996E-7	1.9278057227055222E-7	1.9216020035656813E-7
GOTERM_CC_DIRECT	GO:0016607~nuclear speck	22	9.95475113122172	8.475618126635513E-9	ENSG00000108848, ENSG00000077458, ENSG00000174231, ENSG00000164609, ENSG00000124193, ENSG00000175467, ENSG00000150459, ENSG00000265241, ENSG00000170633, ENSG00000116752, ENSG00000174953, ENSG00000162231, ENSG00000099381, ENSG00000138398, ENSG00000029363, ENSG00000182196, ENSG00000100116, ENSG00000153827, ENSG00000087365, ENSG00000079616, ENSG00000161547, ENSG00000108883	215	445	20647	4.747677031617455	3.2037785218097525E-6	8.009459129670561E-7	7.755190585871495E-7
GOTERM_CC_DIRECT	GO:0005681~spliceosomal complex	13	5.88235294117647	1.8550980044348377E-8	ENSG00000092199, ENSG00000136819, ENSG00000174231, ENSG00000104129, ENSG00000164609, ENSG00000204560, ENSG00000099783, ENSG00000116752, ENSG00000115053, ENSG00000102317, ENSG00000087365, ENSG00000161547, ENSG00000108883	215	136	20647	9.179582763337892	7.012245951454332E-6	1.4024540913527373E-6	1.3579317392463013E-6
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	11	4.97737556561086	3.988012220096977E-8	ENSG00000092199, ENSG00000174231, ENSG00000169045, ENSG00000164609, ENSG00000099783, ENSG00000175467, ENSG00000087365, ENSG00000265241, ENSG00000100023, ENSG00000116752, ENSG00000108883	215	92	20647	11.482153690596562	1.5074572871420777E-5	2.5124476986610955E-6	2.432687454259156E-6
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	16	7.239819004524888	5.326556313025654E-8	ENSG00000174231, ENSG00000150459, ENSG00000265241, ENSG00000132485, ENSG00000116752, ENSG00000175756, ENSG00000156304, ENSG00000011304, ENSG00000029363, ENSG00000182196, ENSG00000087365, ENSG00000125755, ENSG00000161547, ENSG00000100023, ENSG00000148843, ENSG00000108883	212	238	19453	6.168701442841287	6.62601670617935E-5	3.310454748545444E-5	3.2998016359193925E-5
