Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006412~translation	11	13.414634146341465	6.933318038881865E-5	ENSG00000229117, ENSG00000055950, ENSG00000142937, ENSG00000114867, ENSG00000143947, ENSG00000186468, ENSG00000196531, ENSG00000204574, ENSG00000105372, ENSG00000164587, ENSG00000105364	80	97	3362	4.7657216494845365	0.046847363713941714	0.04790922764867369	0.04790922764867369
GOTERM_CC_DIRECT	GO:0005840~ribosome	8	9.75609756097561	0.0011608548379214998	ENSG00000229117, ENSG00000055950, ENSG00000142937, ENSG00000143947, ENSG00000186468, ENSG00000105372, ENSG00000164587, ENSG00000105364	79	74	3483	4.766335956209374	0.1943004898947649	0.15184022951114276	0.15184022951114276
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	8	9.75609756097561	0.002073458533922923	ENSG00000229117, ENSG00000055950, ENSG00000142937, ENSG00000143947, ENSG00000186468, ENSG00000105372, ENSG00000164587, ENSG00000105364	80	79	3411	4.317721518987343	0.31460586373003496	0.358617016682852	0.358617016682852
GOTERM_CC_DIRECT	GO:0022627~cytosolic small ribosomal subunit	5	6.097560975609756	0.002392945295601367	ENSG00000142937, ENSG00000143947, ENSG00000186468, ENSG00000105372, ENSG00000164587	79	26	3483	8.478578383641675	0.3595736877355885	0.15184022951114276	0.15184022951114276
GOTERM_CC_DIRECT	GO:0032040~small-subunit processome	6	7.317073170731707	0.0024490359598571413	ENSG00000150990, ENSG00000142937, ENSG00000143947, ENSG00000186468, ENSG00000105372, ENSG00000164587	79	43	3483	6.151898734177216	0.3662364820379942	0.15184022951114276	0.15184022951114276
GOTERM_MF_DIRECT	GO:0003723~RNA binding	24	29.268292682926827	0.003919311657736088	ENSG00000179950, ENSG00000150990, ENSG00000072501, ENSG00000156990, ENSG00000142937, ENSG00000114867, ENSG00000196235, ENSG00000136068, ENSG00000204574, ENSG00000130175, ENSG00000150991, ENSG00000113460, ENSG00000229117, ENSG00000204356, ENSG00000055950, ENSG00000143947, ENSG00000186468, ENSG00000123136, ENSG00000105372, ENSG00000011485, ENSG00000164587, ENSG00000105364, ENSG00000169714, ENSG00000087087	80	571	3411	1.7921190893169876	0.5106690535135738	0.358617016682852	0.358617016682852
GOTERM_BP_DIRECT	GO:0000462~maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	4	4.878048780487805	0.007902086203236736	ENSG00000150990, ENSG00000142937, ENSG00000105372, ENSG00000164587	80	18	3362	9.33888888888889	0.9958720048083928	1.0	1.0
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	6	7.317073170731707	0.013429451012674135	ENSG00000229117, ENSG00000142937, ENSG00000143947, ENSG00000186468, ENSG00000105372, ENSG00000164587	80	61	3362	4.133606557377049	0.9999135673982178	1.0	1.0
GOTERM_BP_DIRECT	GO:0042274~ribosomal small subunit biogenesis	5	6.097560975609756	0.01881073696697505	ENSG00000150990, ENSG00000142937, ENSG00000186468, ENSG00000105372, ENSG00000164587	80	44	3362	4.775568181818182	0.9999980369619677	1.0	1.0
GOTERM_MF_DIRECT	GO:0008135~translation factor activity, RNA binding	3	3.6585365853658534	0.02113003576180889	ENSG00000114867, ENSG00000104529, ENSG00000204574	80	10	3411	12.79125	0.9794907157669517	1.0	1.0
