Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	49	55.68181818181818	1.2368762856705553E-30	ENSG00000153113, ENSG00000092199, ENSG00000124193, ENSG00000099783, ENSG00000156508, ENSG00000115677, ENSG00000149136, ENSG00000087365, ENSG00000143793, ENSG00000125691, ENSG00000182944, ENSG00000153187, ENSG00000196235, ENSG00000132341, ENSG00000170144, ENSG00000173575, ENSG00000082898, ENSG00000137154, ENSG00000182196, ENSG00000071859, ENSG00000164104, ENSG00000108654, ENSG00000169714, ENSG00000131469, ENSG00000182934, ENSG00000108848, ENSG00000198563, ENSG00000178035, ENSG00000181163, ENSG00000204574, ENSG00000089009, ENSG00000125944, ENSG00000172809, ENSG00000127603, ENSG00000168439, ENSG00000160633, ENSG00000103353, ENSG00000105202, ENSG00000129351, ENSG00000118181, ENSG00000204560, ENSG00000138668, ENSG00000150459, ENSG00000198755, ENSG00000170004, ENSG00000130816, ENSG00000108592, ENSG00000108312, ENSG00000122566	88	1479	18967	7.140750814432356	3.042715662749566E-28	3.0550844256062717E-28	2.8819217456123937E-28
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	53	60.22727272727273	1.0970195354235934E-16	ENSG00000092199, ENSG00000124193, ENSG00000099783, ENSG00000168259, ENSG00000160014, ENSG00000149136, ENSG00000087365, ENSG00000125691, ENSG00000182944, ENSG00000153187, ENSG00000196235, ENSG00000132341, ENSG00000170144, ENSG00000082898, ENSG00000112473, ENSG00000186432, ENSG00000137154, ENSG00000163931, ENSG00000071859, ENSG00000164104, ENSG00000108654, ENSG00000177189, ENSG00000092010, ENSG00000131469, ENSG00000090273, ENSG00000160789, ENSG00000104885, ENSG00000108848, ENSG00000198563, ENSG00000181163, ENSG00000104529, ENSG00000204574, ENSG00000115216, ENSG00000125944, ENSG00000121022, ENSG00000187514, ENSG00000160633, ENSG00000176171, ENSG00000105202, ENSG00000129351, ENSG00000118181, ENSG00000111602, ENSG00000204560, ENSG00000138668, ENSG00000150459, ENSG00000111642, ENSG00000170004, ENSG00000166508, ENSG00000130816, ENSG00000108592, ENSG00000108312, ENSG00000122566, ENSG00000148337	87	4076	20647	3.0858825984456253	2.3869795029440866E-14	2.3585920011607258E-14	2.161128484784479E-14
GOTERM_CC_DIRECT	GO:0005634~nucleus	63	71.5909090909091	4.63125107466585E-16	ENSG00000092199, ENSG00000099783, ENSG00000156508, ENSG00000115677, ENSG00000123349, ENSG00000160014, ENSG00000149136, ENSG00000087365, ENSG00000182944, ENSG00000153187, ENSG00000237649, ENSG00000196235, ENSG00000132341, ENSG00000170144, ENSG00000173575, ENSG00000082898, ENSG00000265972, ENSG00000186432, ENSG00000137154, ENSG00000182196, ENSG00000071859, ENSG00000260914, ENSG00000164104, ENSG00000108654, ENSG00000169714, ENSG00000131469, ENSG00000160789, ENSG00000104885, ENSG00000108848, ENSG00000198563, ENSG00000178035, ENSG00000181163, ENSG00000104529, ENSG00000135821, ENSG00000089009, ENSG00000125944, ENSG00000164032, ENSG00000121022, ENSG00000187514, ENSG00000168439, ENSG00000160633, ENSG00000176171, ENSG00000087460, ENSG00000105202, ENSG00000134107, ENSG00000129351, ENSG00000118181, ENSG00000111602, ENSG00000196531, ENSG00000204560, ENSG00000138668, ENSG00000150459, ENSG00000198755, ENSG00000111642, ENSG00000170004, ENSG00000167996, ENSG00000117385, ENSG00000166508, ENSG00000130816, ENSG00000108592, ENSG00000108312, ENSG00000122566, ENSG00000148337	87	6100	20647	2.4510288298473717	9.547918011776346E-14	4.978594905265789E-14	4.5617823085458627E-14
GOTERM_CC_DIRECT	GO:1990904~ribonucleoprotein complex	12	13.636363636363635	4.254629663006476E-10	ENSG00000153187, ENSG00000131469, ENSG00000129351, ENSG00000137154, ENSG00000125944, ENSG00000181163, ENSG00000138668, ENSG00000099783, ENSG00000082898, ENSG00000170144, ENSG00000122566, ENSG00000108654	87	191	20647	14.910272612384908	9.147454038682667E-8	3.0491512584879747E-8	2.793873478707586E-8
GOTERM_MF_DIRECT	GO:0005515~protein binding	83	94.31818181818183	6.279062128009919E-10	ENSG00000153113, ENSG00000092199, ENSG00000124193, ENSG00000099783, ENSG00000156508, ENSG00000115677, ENSG00000168259, ENSG00000123349, ENSG00000160014, ENSG00000149136, ENSG00000087365, ENSG00000143793, ENSG00000104980, ENSG00000125691, ENSG00000182944, ENSG00000153187, ENSG00000130724, ENSG00000196235, ENSG00000132341, ENSG00000170144, ENSG00000173575, ENSG00000082898, ENSG00000265972, ENSG00000112473, ENSG00000140990, ENSG00000186432, ENSG00000137154, ENSG00000182196, ENSG00000163931, ENSG00000071859, ENSG00000260914, ENSG00000164104, ENSG00000108654, ENSG00000169714, ENSG00000177189, ENSG00000092010, ENSG00000131469, ENSG00000090273, ENSG00000160789, ENSG00000104885, ENSG00000108848, ENSG00000198563, ENSG00000178035, ENSG00000181163, ENSG00000104529, ENSG00000204574, ENSG00000115216, ENSG00000135821, ENSG00000167863, ENSG00000134294, ENSG00000089009, ENSG00000125944, ENSG00000164032, ENSG00000121022, ENSG00000187514, ENSG00000172809, ENSG00000127603, ENSG00000168439, ENSG00000160633, ENSG00000176171, ENSG00000087460, ENSG00000105202, ENSG00000105401, ENSG00000134107, ENSG00000129351, ENSG00000118181, ENSG00000111602, ENSG00000204560, ENSG00000138668, ENSG00000150459, ENSG00000198755, ENSG00000111642, ENSG00000170004, ENSG00000130066, ENSG00000167996, ENSG00000117385, ENSG00000167110, ENSG00000166508, ENSG00000130816, ENSG00000108592, ENSG00000108312, ENSG00000122566, ENSG00000148337	88	12657	18967	1.4133941333218412	1.5446490631010334E-7	7.75464172809225E-8	7.315107379131555E-8
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	52	59.09090909090909	1.1322929508558188E-9	ENSG00000153113, ENSG00000099783, ENSG00000156508, ENSG00000115677, ENSG00000168259, ENSG00000123349, ENSG00000160014, ENSG00000125691, ENSG00000182944, ENSG00000237649, ENSG00000132341, ENSG00000170144, ENSG00000082898, ENSG00000265972, ENSG00000186432, ENSG00000137154, ENSG00000260914, ENSG00000164104, ENSG00000108654, ENSG00000169714, ENSG00000177189, ENSG00000092010, ENSG00000131469, ENSG00000090273, ENSG00000104885, ENSG00000198563, ENSG00000178035, ENSG00000181163, ENSG00000104529, ENSG00000204574, ENSG00000115216, ENSG00000135821, ENSG00000134294, ENSG00000089009, ENSG00000121022, ENSG00000172809, ENSG00000127603, ENSG00000176171, ENSG00000087460, ENSG00000105401, ENSG00000134107, ENSG00000129351, ENSG00000118181, ENSG00000196531, ENSG00000204560, ENSG00000138668, ENSG00000198755, ENSG00000111642, ENSG00000170004, ENSG00000167996, ENSG00000117385, ENSG00000122566	87	5771	20647	2.138405065358501	2.434429495767887E-7	6.086074610850026E-8	5.5765427829649076E-8
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	11	12.5	1.6874736879818223E-8	ENSG00000153187, ENSG00000092199, ENSG00000198563, ENSG00000125944, ENSG00000124193, ENSG00000204560, ENSG00000099783, ENSG00000087365, ENSG00000170144, ENSG00000122566, ENSG00000108654	86	200	19453	12.440872093023257	1.1306009858103039E-5	1.1289198972598392E-5	1.1069827393160755E-5
GOTERM_BP_DIRECT	GO:0006412~translation	11	12.5	3.990638082230689E-8	ENSG00000125691, ENSG00000131469, ENSG00000089009, ENSG00000137154, ENSG00000118181, ENSG00000196531, ENSG00000121022, ENSG00000156508, ENSG00000204574, ENSG00000172809, ENSG00000198755	86	219	19453	11.361527025592014	2.6736918276260013E-5	1.3348684385061655E-5	1.3089292909716662E-5
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	8	9.090909090909092	1.1165001447502458E-7	ENSG00000153187, ENSG00000092199, ENSG00000125944, ENSG00000099783, ENSG00000087365, ENSG00000170144, ENSG00000122566, ENSG00000108654	87	92	20647	20.636681659170414	2.4004466336324803E-5	4.311963235984211E-6	3.950961662739021E-6
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	8	9.090909090909092	1.2033385774839658E-7	ENSG00000125691, ENSG00000131469, ENSG00000089009, ENSG00000137154, ENSG00000118181, ENSG00000156508, ENSG00000172809, ENSG00000198755	87	93	20647	20.414781856383634	2.5871446304948087E-5	4.311963235984211E-6	3.950961662739021E-6
