SND1	GEMIN5	PCBP1	PCBP2	YBX3	LSM11	PABPN1	RBFOX2	PRPF4
ENSG00000099797	ENSG00000088986	ENSG00000184967	ENSG00000145191	ENSG00000178149	ENSG00000072778	ENSG00000102878	ENSG00000146826	ENSG00000127481
ENSG00000105819	ENSG00000111640	ENSG00000111885	ENSG00000166986	ENSG00000155229	ENSG00000169696	ENSG00000278259	ENSG00000169710	ENSG00000146826
ENSG00000177239	ENSG00000203618	ENSG00000072310	ENSG00000143442	ENSG00000278259	ENSG00000182944	ENSG00000140983	ENSG00000099821	ENSG00000171163
ENSG00000130175	ENSG00000148834	ENSG00000105220	ENSG00000165458	ENSG00000072071	ENSG00000249115	ENSG00000104960	ENSG00000063244	ENSG00000214078
ENSG00000113161	ENSG00000186480	ENSG00000165458	ENSG00000197136	ENSG00000197905	ENSG00000100726	ENSG00000169696	ENSG00000107331	ENSG00000073536
ENSG00000214160	ENSG00000179010	ENSG00000070756	ENSG00000204574	ENSG00000011485	ENSG00000094914	ENSG00000014216	ENSG00000196411	ENSG00000174231
ENSG00000112514	ENSG00000131469	ENSG00000168488	ENSG00000198837	ENSG00000131373	ENSG00000168488	ENSG00000120896	ENSG00000089280	ENSG00000130702
ENSG00000107984	ENSG00000229117	ENSG00000250479	ENSG00000070756	ENSG00000136068	ENSG00000169738	ENSG00000077232	ENSG00000146830	ENSG00000087365
ENSG00000204525	ENSG00000233927	ENSG00000179950	ENSG00000204569	ENSG00000185033	ENSG00000198563	ENSG00000105220	ENSG00000106348	ENSG00000132793
ENSG00000147123	ENSG00000171863	ENSG00000164587	ENSG00000168488	ENSG00000204574	ENSG00000100429	ENSG00000104946	ENSG00000100258	ENSG00000100241
ENSG00000105404	ENSG00000211450	ENSG00000104980	ENSG00000156304	ENSG00000114786	ENSG00000137309	ENSG00000141524	ENSG00000140400	ENSG00000258366
ENSG00000026297	ENSG00000130312	ENSG00000182087	ENSG00000067182	ENSG00000106397	ENSG00000101365	ENSG00000133612	ENSG00000174669	ENSG00000140400
ENSG00000078808	ENSG00000110717	ENSG00000084207	ENSG00000214736	ENSG00000076924	ENSG00000106133	ENSG00000102225	ENSG00000262660	ENSG00000204569
ENSG00000133195	ENSG00000105372	ENSG00000106211	ENSG00000264324	ENSG00000196235	ENSG00000167526	ENSG00000108773	ENSG00000196547	ENSG00000189091
ENSG00000064545	ENSG00000243207	ENSG00000175061	ENSG00000068120	ENSG00000222041	ENSG00000076382	ENSG00000182944	ENSG00000188338	ENSG00000166946
ENSG00000150991	ENSG00000160813	ENSG00000103495	ENSG00000146083	ENSG00000114942	ENSG00000100359	ENSG00000249115	ENSG00000166986	ENSG00000103876
ENSG00000213676	ENSG00000129084	ENSG00000147403	ENSG00000087087	ENSG00000104529	ENSG00000003756	ENSG00000196235	ENSG00000197136	ENSG00000173486
ENSG00000172269	ENSG00000130255	ENSG00000089157	ENSG00000141994	ENSG00000163463	ENSG00000108846	ENSG00000164062	ENSG00000141524	ENSG00000111640
ENSG00000066322	ENSG00000149658	ENSG00000169710	ENSG00000167996	ENSG00000168291	ENSG00000165458	ENSG00000025770	ENSG00000198055	ENSG00000214753
ENSG00000030582	ENSG00000198931	ENSG00000264324	ENSG00000166888	ENSG00000179950	ENSG00000075624	ENSG00000087365	ENSG00000111641	ENSG00000102316
ENSG00000170421	ENSG00000154518	ENSG00000198408	ENSG00000111057	ENSG00000119318	ENSG00000100867	ENSG00000204305	ENSG00000178814	ENSG00000245532
ENSG00000161904	ENSG00000178773	ENSG00000146083	ENSG00000124920	ENSG00000229117	ENSG00000107872	ENSG00000011243	ENSG00000100241	ENSG00000142599
ENSG00000115310	ENSG00000071994	ENSG00000198755	ENSG00000204469	ENSG00000164587	ENSG00000159593	ENSG00000198563	ENSG00000131584	ENSG00000140983
ENSG00000134294	ENSG00000118181	ENSG00000087087	ENSG00000092098	ENSG00000143947	ENSG00000214736	ENSG00000213398	ENSG00000044090	ENSG00000167526
ENSG00000167553	ENSG00000184009	ENSG00000173113	ENSG00000099797	ENSG00000183605	ENSG00000198467	ENSG00000008838	ENSG00000105220	ENSG00000172809
ENSG00000082153	ENSG00000105401	ENSG00000198931	ENSG00000213339	ENSG00000087087	ENSG00000223501	ENSG00000106133	ENSG00000129351	ENSG00000171863
ENSG00000118523	ENSG00000161016	ENSG00000164733	ENSG00000129925	ENSG00000105677	ENSG00000178252	ENSG00000080189	ENSG00000177731	ENSG00000007376
ENSG00000147155	ENSG00000214279	ENSG00000167996		ENSG00000150991	ENSG00000161179	ENSG00000141959	ENSG00000164050	ENSG00000266402
ENSG00000138623	ENSG00000167969	ENSG00000156482		ENSG00000114867	ENSG00000032444	ENSG00000138834	ENSG00000161204	ENSG00000113119
ENSG00000181523	ENSG00000172889	ENSG00000110700		ENSG00000148400	ENSG00000164068	ENSG00000130985	ENSG00000204427	ENSG00000182087
ENSG00000108639	ENSG00000148303	ENSG00000104824		ENSG00000166669	ENSG00000185000	ENSG00000003756	ENSG00000166946	ENSG00000146830
ENSG00000152291	ENSG00000163682	ENSG00000204469		ENSG00000164885	ENSG00000105655	ENSG00000244255	ENSG00000123136	ENSG00000141503
ENSG00000141524	ENSG00000105576	ENSG00000114867		ENSG00000169714	ENSG00000104904	ENSG00000165458	ENSG00000130158	ENSG00000141367
ENSG00000006327	ENSG00000285043			ENSG00000130024	ENSG00000100911	ENSG00000100813	ENSG00000144485	ENSG00000198089
ENSG00000164733				ENSG00000167272	ENSG00000125691	ENSG00000099624	ENSG00000152082	ENSG00000119559
ENSG00000169242				ENSG00000173457	ENSG00000100813	ENSG00000123136	ENSG00000245532	ENSG00000205250
ENSG00000169919				ENSG00000105372	ENSG00000241343	ENSG00000104529	ENSG00000250251	ENSG00000107223
ENSG00000204592				ENSG00000168758	ENSG00000105401	ENSG00000170445	ENSG00000182199	ENSG00000143321
ENSG00000243753				ENSG00000072501	ENSG00000168268	ENSG00000108840	ENSG00000182087	ENSG00000109065
ENSG00000106397				ENSG00000214736	ENSG00000185813	ENSG00000130731	ENSG00000130402	ENSG00000185269
ENSG00000138074				ENSG00000104231	ENSG00000197102	ENSG00000104907	ENSG00000076928	ENSG00000121716
ENSG00000180879				ENSG00000049656	ENSG00000239857	ENSG00000198026	ENSG00000141503	ENSG00000105372
ENSG00000135926				ENSG00000123136	ENSG00000167792	ENSG00000258366	ENSG00000124181	ENSG00000138074
ENSG00000128708				ENSG00000150990		ENSG00000131584	ENSG00000099331	ENSG00000149809
ENSG00000213614				ENSG00000134824		ENSG00000213983	ENSG00000075624	ENSG00000169710
ENSG00000101294				ENSG00000167996		ENSG00000168000	ENSG00000103051	ENSG00000060971
ENSG00000216490				ENSG00000137133		ENSG00000140400	ENSG00000205250	ENSG00000175756
ENSG00000225697				ENSG00000111321		ENSG00000155229	ENSG00000108840	ENSG00000068120
ENSG00000139644				ENSG00000055950		ENSG00000078618	ENSG00000173272	ENSG00000051523
ENSG00000089327				ENSG00000204356		ENSG00000160813	ENSG00000109065	ENSG00000157379
ENSG00000126457				ENSG00000104960		ENSG00000100911	ENSG00000185269	ENSG00000173153
ENSG00000214063				ENSG00000186468		ENSG00000144028	ENSG00000162702	ENSG00000115677
ENSG00000177697				ENSG00000149823		ENSG00000148341	ENSG00000071894	ENSG00000102317
ENSG00000188603				ENSG00000260914		ENSG00000182196	ENSG00000179832	ENSG00000142541
ENSG00000166340				ENSG00000099624		ENSG00000115307	ENSG00000184009	ENSG00000141524
ENSG00000130164				ENSG00000115317		ENSG00000169727	ENSG00000141522	ENSG00000184009
ENSG00000102144				ENSG00000100417		ENSG00000204410	ENSG00000185813	ENSG00000141582
				ENSG00000100567		ENSG00000165802	ENSG00000241878	ENSG00000004975
				ENSG00000064490		ENSG00000185813	ENSG00000100023	ENSG00000153406
				ENSG00000142937		ENSG00000141456	ENSG00000183010	ENSG00000130810
				ENSG00000125648		ENSG00000125503	ENSG00000146083	ENSG00000160753
				ENSG00000071564		ENSG00000125520	ENSG00000259803	ENSG00000141504
				ENSG00000134291		ENSG00000173992	ENSG00000102125	ENSG00000146556
				ENSG00000258947		ENSG00000100867	ENSG00000008710	ENSG00000101152
				ENSG00000076984		ENSG00000167792	ENSG00000149428	ENSG00000115207
				ENSG00000167965		ENSG00000178028	ENSG00000188130	ENSG00000101294
				ENSG00000196531		ENSG00000105373	ENSG00000177000	ENSG00000176619
				ENSG00000130175		ENSG00000156873	ENSG00000167770	ENSG00000129255
				ENSG00000169228		ENSG00000178188	ENSG00000142327	ENSG00000185813
				ENSG00000156990			ENSG00000160753	ENSG00000179262
				ENSG00000234741			ENSG00000146556	ENSG00000110700
				ENSG00000102225			ENSG00000099904	ENSG00000126562
				ENSG00000115211			ENSG00000185000	ENSG00000205903
				ENSG00000017483			ENSG00000101152	ENSG00000169919
				ENSG00000105364			ENSG00000136877	ENSG00000141959
				ENSG00000130706			ENSG00000100116	ENSG00000112511
				ENSG00000149182			ENSG00000143321	ENSG00000182199
				ENSG00000113460			ENSG00000185122	ENSG00000227232
				ENSG00000125991			ENSG00000187961	ENSG00000197102
				ENSG00000105613			ENSG00000077454	ENSG00000162384
				ENSG00000105576			ENSG00000168268	ENSG00000164050
				ENSG00000109917			ENSG00000214279	ENSG00000103507
							ENSG00000133112	ENSG00000132361
							ENSG00000116337	ENSG00000140995
							ENSG00000172889	ENSG00000115365
							ENSG00000104884	ENSG00000092929
							ENSG00000071859	
							ENSG00000141959	
							ENSG00000112511	
							ENSG00000131748	
							ENSG00000197114	
							ENSG00000222009	
							ENSG00000143793	
							ENSG00000103249	
							ENSG00000111640	
							ENSG00000204304	
							ENSG00000106327	
							ENSG00000099308	
							ENSG00000170876	
							ENSG00000122515	
							ENSG00000170515	
