Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	78	24.148606811145513	5.0642971886414535E-23	ENSG00000147274, ENSG00000142937, ENSG00000110700, ENSG00000156508, ENSG00000248643, ENSG00000113013, ENSG00000167721, ENSG00000142541, ENSG00000056586, ENSG00000146540, ENSG00000130826, ENSG00000079308, ENSG00000125691, ENSG00000153187, ENSG00000104852, ENSG00000239306, ENSG00000072274, ENSG00000117569, ENSG00000150991, ENSG00000134644, ENSG00000156976, ENSG00000132300, ENSG00000168028, ENSG00000137073, ENSG00000169710, ENSG00000144713, ENSG00000280987, ENSG00000026297, ENSG00000163811, ENSG00000146731, ENSG00000167658, ENSG00000204628, ENSG00000122026, ENSG00000100650, ENSG00000142534, ENSG00000149273, ENSG00000198242, ENSG00000089280, ENSG00000108848, ENSG00000198563, ENSG00000145592, ENSG00000105856, ENSG00000112306, ENSG00000163938, ENSG00000110321, ENSG00000112787, ENSG00000265681, ENSG00000060339, ENSG00000130255, ENSG00000117751, ENSG00000136270, ENSG00000198918, ENSG00000115053, ENSG00000136231, ENSG00000169045, ENSG00000130726, ENSG00000161960, ENSG00000105373, ENSG00000109971, ENSG00000148303, ENSG00000071626, ENSG00000111605, ENSG00000197381, ENSG00000101161, ENSG00000121390, ENSG00000011260, ENSG00000066336, ENSG00000008988, ENSG00000174444, ENSG00000173674, ENSG00000170004, ENSG00000055044, ENSG00000143569, ENSG00000125835, ENSG00000100316, ENSG00000122566, ENSG00000054118, ENSG00000187109	285	1479	18967	3.5097825700153025	2.719527590300461E-20	2.724591887489102E-20	2.6840775099799704E-20
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	21	6.5015479876160995	2.1172571742939437E-18	ENSG00000125691, ENSG00000149273, ENSG00000198242, ENSG00000145592, ENSG00000142937, ENSG00000110700, ENSG00000112306, ENSG00000008988, ENSG00000174444, ENSG00000265681, ENSG00000177600, ENSG00000130255, ENSG00000168028, ENSG00000142541, ENSG00000198918, ENSG00000144713, ENSG00000100316, ENSG00000204628, ENSG00000122026, ENSG00000142534, ENSG00000148303	283	91	19453	15.86273443870617	3.417253079310425E-15	3.4151358221361313E-15	3.4066667934389555E-15
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	20	6.191950464396285	3.1199344944333896E-17	ENSG00000125691, ENSG00000149273, ENSG00000198242, ENSG00000145592, ENSG00000142937, ENSG00000110700, ENSG00000112306, ENSG00000008988, ENSG00000156508, ENSG00000174444, ENSG00000265681, ENSG00000130255, ENSG00000168028, ENSG00000142541, ENSG00000198918, ENSG00000144713, ENSG00000100316, ENSG00000122026, ENSG00000142534, ENSG00000148303	288	93	20647	15.417413381123058	1.385250915528425E-14	8.091117171453807E-15	7.726652434000933E-15
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	119	36.84210526315789	3.644647374528742E-17	ENSG00000071894, ENSG00000147274, ENSG00000142937, ENSG00000110700, ENSG00000198586, ENSG00000128191, ENSG00000248643, ENSG00000175866, ENSG00000087206, ENSG00000119403, ENSG00000167721, ENSG00000123106, ENSG00000130826, ENSG00000011198, ENSG00000127663, ENSG00000198176, ENSG00000075624, ENSG00000239306, ENSG00000206560, ENSG00000179833, ENSG00000130165, ENSG00000134644, ENSG00000168028, ENSG00000116199, ENSG00000163374, ENSG00000186111, ENSG00000163811, ENSG00000105220, ENSG00000142534, ENSG00000141564, ENSG00000149273, ENSG00000089280, ENSG00000132953, ENSG00000008838, ENSG00000094631, ENSG00000171163, ENSG00000134574, ENSG00000189091, ENSG00000177666, ENSG00000139620, ENSG00000060339, ENSG00000005206, ENSG00000117751, ENSG00000010322, ENSG00000084676, ENSG00000115053, ENSG00000100888, ENSG00000166012, ENSG00000105373, ENSG00000164631, ENSG00000023191, ENSG00000106462, ENSG00000109971, ENSG00000071626, ENSG00000128731, ENSG00000197381, ENSG00000101161, ENSG00000121390, ENSG00000011260, ENSG00000066336, ENSG00000010292, ENSG00000130382, ENSG00000116017, ENSG00000170004, ENSG00000198911, ENSG00000181090, ENSG00000205339, ENSG00000055044, ENSG00000054118, ENSG00000179588, ENSG00000160209, ENSG00000099864, ENSG00000171067, ENSG00000196367, ENSG00000063438, ENSG00000167522, ENSG00000125691, ENSG00000153187, ENSG00000104852, ENSG00000145041, ENSG00000072310, ENSG00000157540, ENSG00000154832, ENSG00000134324, ENSG00000150991, ENSG00000065989, ENSG00000132300, ENSG00000186432, ENSG00000028310, ENSG00000204628, ENSG00000100650, ENSG00000129657, ENSG00000105662, ENSG00000108848, ENSG00000198563, ENSG00000180198, ENSG00000105856, ENSG00000112306, ENSG00000197114, ENSG00000132475, ENSG00000196305, ENSG00000160193, ENSG00000277957, ENSG00000169045, ENSG00000130726, ENSG00000185811, ENSG00000071564, ENSG00000111605, ENSG00000129993, ENSG00000197183, ENSG00000127054, ENSG00000105325, ENSG00000008988, ENSG00000153207, ENSG00000125835, ENSG00000169696, ENSG00000165417, ENSG00000122566, ENSG00000090615	288	4076	20647	2.093038688529059	1.6182234342907614E-14	8.091117171453807E-15	7.726652434000933E-15
GOTERM_BP_DIRECT	GO:0006412~translation	25	7.739938080495357	1.447163564759676E-14	ENSG00000149273, ENSG00000198242, ENSG00000145592, ENSG00000142937, ENSG00000110700, ENSG00000112306, ENSG00000156508, ENSG00000265681, ENSG00000177600, ENSG00000130255, ENSG00000142541, ENSG00000198918, ENSG00000136231, ENSG00000148303, ENSG00000125691, ENSG00000266967, ENSG00000008988, ENSG00000174444, ENSG00000168028, ENSG00000144713, ENSG00000100316, ENSG00000204628, ENSG00000122026, ENSG00000142534, ENSG00000215472	283	219	19453	7.846862545783114	2.3294699502685035E-11	1.1671374149786788E-11	1.1642430878491595E-11
GOTERM_CC_DIRECT	GO:0005829~cytosol	138	42.72445820433436	8.010674578718943E-14	ENSG00000076944, ENSG00000142937, ENSG00000110700, ENSG00000154803, ENSG00000112685, ENSG00000128191, ENSG00000138674, ENSG00000135720, ENSG00000175866, ENSG00000167721, ENSG00000142541, ENSG00000128918, ENSG00000123106, ENSG00000101557, ENSG00000126216, ENSG00000011198, ENSG00000070831, ENSG00000127663, ENSG00000107404, ENSG00000198176, ENSG00000075624, ENSG00000141959, ENSG00000130560, ENSG00000206560, ENSG00000179833, ENSG00000134644, ENSG00000168028, ENSG00000144713, ENSG00000141560, ENSG00000166004, ENSG00000137198, ENSG00000059145, ENSG00000186111, ENSG00000146731, ENSG00000122026, ENSG00000105220, ENSG00000142534, ENSG00000141564, ENSG00000149273, ENSG00000198242, ENSG00000132953, ENSG00000145592, ENSG00000094631, ENSG00000110321, ENSG00000265681, ENSG00000177666, ENSG00000139620, ENSG00000135821, ENSG00000130255, ENSG00000118137, ENSG00000010322, ENSG00000084676, ENSG00000167468, ENSG00000198918, ENSG00000136231, ENSG00000166012, ENSG00000164877, ENSG00000105373, ENSG00000023191, ENSG00000109971, ENSG00000071626, ENSG00000128731, ENSG00000197381, ENSG00000106615, ENSG00000173598, ENSG00000010292, ENSG00000130382, ENSG00000174444, ENSG00000116017, ENSG00000198911, ENSG00000205339, ENSG00000055044, ENSG00000184470, ENSG00000143847, ENSG00000160209, ENSG00000105835, ENSG00000114942, ENSG00000156508, ENSG00000104904, ENSG00000085978, ENSG00000177600, ENSG00000063438, ENSG00000167522, ENSG00000034677, ENSG00000125691, ENSG00000104695, ENSG00000153187, ENSG00000196230, ENSG00000112877, ENSG00000072310, ENSG00000138767, ENSG00000074054, ENSG00000137955, ENSG00000154832, ENSG00000134324, ENSG00000150991, ENSG00000065989, ENSG00000156976, ENSG00000132300, ENSG00000141002, ENSG00000169710, ENSG00000106070, ENSG00000186432, ENSG00000167658, ENSG00000204628, ENSG00000100650, ENSG00000129657, ENSG00000185989, ENSG00000105662, ENSG00000178950, ENSG00000100280, ENSG00000067057, ENSG00000112306, ENSG00000196305, ENSG00000160193, ENSG00000100726, ENSG00000089006, ENSG00000169045, ENSG00000161960, ENSG00000185811, ENSG00000148303, ENSG00000143774, ENSG00000197183, ENSG00000127054, ENSG00000077549, ENSG00000105325, ENSG00000105327, ENSG00000175216, ENSG00000008988, ENSG00000153207, ENSG00000173674, ENSG00000116698, ENSG00000125835, ENSG00000100316, ENSG00000169696, ENSG00000165417, ENSG00000166747, ENSG00000090615	288	5627	20647	1.7581933830934187	3.559019745580372E-11	1.1855798376504034E-11	1.1321753404589439E-11
GOTERM_MF_DIRECT	GO:0005515~protein binding	245	75.85139318885449	1.0024566973274809E-13	ENSG00000076944, ENSG00000110700, ENSG00000198586, ENSG00000112685, ENSG00000138834, ENSG00000119403, ENSG00000167721, ENSG00000101557, ENSG00000011198, ENSG00000070831, ENSG00000079308, ENSG00000131653, ENSG00000107404, ENSG00000075624, ENSG00000239306, ENSG00000197249, ENSG00000130560, ENSG00000179833, ENSG00000168028, ENSG00000137073, ENSG00000163374, ENSG00000059145, ENSG00000132182, ENSG00000186111, ENSG00000163811, ENSG00000101544, ENSG00000122026, ENSG00000142534, ENSG00000167615, ENSG00000105220, ENSG00000141564, ENSG00000149273, ENSG00000198242, ENSG00000132953, ENSG00000196187, ENSG00000163938, ENSG00000134574, ENSG00000189091, ENSG00000177666, ENSG00000060339, ENSG00000010322, ENSG00000084676, ENSG00000115053, ENSG00000115170, ENSG00000091513, ENSG00000105373, ENSG00000023191, ENSG00000106462, ENSG00000109971, ENSG00000197381, ENSG00000110955, ENSG00000121390, ENSG00000104714, ENSG00000066336, ENSG00000170004, ENSG00000116017, ENSG00000198911, ENSG00000143847, ENSG00000054118, ENSG00000187109, ENSG00000141542, ENSG00000078808, ENSG00000111678, ENSG00000099864, ENSG00000113732, ENSG00000114942, ENSG00000104904, ENSG00000136732, ENSG00000063438, ENSG00000146540, ENSG00000160216, ENSG00000034677, ENSG00000104695, ENSG00000153187, ENSG00000154153, ENSG00000112877, ENSG00000157540, ENSG00000072274, ENSG00000137955, ENSG00000154832, ENSG00000134324, ENSG00000065989, ENSG00000169710, ENSG00000120049, ENSG00000176915, ENSG00000106070, ENSG00000280987, ENSG00000028310, ENSG00000079459, ENSG00000167658, ENSG00000129657, ENSG00000100650, ENSG00000103365, ENSG00000125850, ENSG00000105662, ENSG00000105576, ENSG00000146083, ENSG00000095485, ENSG00000131149, ENSG00000108848, ENSG00000180198, ENSG00000112306, ENSG00000164828, ENSG00000104805, ENSG00000132475, ENSG00000196305, ENSG00000136270, ENSG00000007541, ENSG00000089006, ENSG00000169045, ENSG00000130726, ENSG00000168758, ENSG00000129993, ENSG00000197183, ENSG00000105325, ENSG00000105327, ENSG00000008988, ENSG00000173674, ENSG00000116698, ENSG00000125835, ENSG00000100316, ENSG00000103148, ENSG00000122566, ENSG00000071894, ENSG00000069696, ENSG00000147274, ENSG00000142937, ENSG00000176155, ENSG00000154803, ENSG00000128191, ENSG00000138674, ENSG00000175866, ENSG00000113013, ENSG00000087206, ENSG00000126216, ENSG00000130826, ENSG00000103335, ENSG00000185559, ENSG00000198176, ENSG00000141959, ENSG00000134882, ENSG00000206560, ENSG00000074370, ENSG00000130165, ENSG00000134644, ENSG00000157985, ENSG00000116199, ENSG00000103326, ENSG00000103202, ENSG00000185305, ENSG00000146731, ENSG00000089280, ENSG00000184916, ENSG00000008838, ENSG00000094631, ENSG00000171163, ENSG00000181085, ENSG00000110321, ENSG00000265681, ENSG00000139620, ENSG00000135821, ENSG00000005206, ENSG00000118137, ENSG00000117751, ENSG00000167468, ENSG00000100888, ENSG00000136231, ENSG00000166012, ENSG00000164877, ENSG00000164631, ENSG00000215021, ENSG00000128731, ENSG00000071626, ENSG00000158813, ENSG00000101161, ENSG00000106615, ENSG00000010292, ENSG00000173598, ENSG00000130382, ENSG00000174444, ENSG00000175895, ENSG00000181090, ENSG00000205339, ENSG00000055044, ENSG00000184470, ENSG00000143569, ENSG00000137210, ENSG00000188157, ENSG00000179588, ENSG00000172270, ENSG00000127184, ENSG00000105835, ENSG00000171067, ENSG00000115756, ENSG00000196367, ENSG00000138756, ENSG00000156508, ENSG00000177600, ENSG00000085978, ENSG00000125691, ENSG00000104852, ENSG00000104731, ENSG00000196230, ENSG00000145041, ENSG00000072310, ENSG00000138767, ENSG00000026652, ENSG00000074054, ENSG00000150991, ENSG00000156976, ENSG00000132300, ENSG00000141002, ENSG00000186432, ENSG00000204628, ENSG00000178950, ENSG00000100280, ENSG00000126870, ENSG00000198563, ENSG00000067057, ENSG00000105856, ENSG00000197114, ENSG00000203880, ENSG00000160193, ENSG00000100726, ENSG00000277957, ENSG00000134490, ENSG00000161960, ENSG00000185811, ENSG00000148303, ENSG00000182667, ENSG00000143774, ENSG00000071564, ENSG00000157800, ENSG00000111605, ENSG00000127054, ENSG00000077549, ENSG00000175216, ENSG00000115762, ENSG00000169696, ENSG00000185246, ENSG00000165417, ENSG00000166747, ENSG00000106012, ENSG00000221968, ENSG00000090615	285	12657	18967	1.2882171851371336	5.383593570940093E-11	2.6966085158109235E-11	2.6565102479178244E-11
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	21	6.5015479876160995	9.218442182376908E-12	ENSG00000125691, ENSG00000149273, ENSG00000198242, ENSG00000145592, ENSG00000142937, ENSG00000110700, ENSG00000112306, ENSG00000008988, ENSG00000174444, ENSG00000265681, ENSG00000177600, ENSG00000130255, ENSG00000168028, ENSG00000142541, ENSG00000198918, ENSG00000144713, ENSG00000100316, ENSG00000122026, ENSG00000142534, ENSG00000148303, ENSG00000215472	285	190	18967	7.355623268698061	4.950282850302301E-9	1.6531739647062588E-9	1.6285914522199202E-9
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	13	4.024767801857585	4.81238908632462E-11	ENSG00000125691, ENSG00000198242, ENSG00000145592, ENSG00000174444, ENSG00000265681, ENSG00000177600, ENSG00000130255, ENSG00000142541, ENSG00000198918, ENSG00000144713, ENSG00000100316, ENSG00000122026, ENSG00000148303	288	62	20647	15.03197804659498	2.1366983959936192E-8	5.341751885820328E-9	5.101132431504097E-9
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	129	39.93808049535604	9.999501543176248E-10	ENSG00000142937, ENSG00000110700, ENSG00000176155, ENSG00000154803, ENSG00000138834, ENSG00000128191, ENSG00000138674, ENSG00000248643, ENSG00000135720, ENSG00000175866, ENSG00000113013, ENSG00000142541, ENSG00000128918, ENSG00000117054, ENSG00000126216, ENSG00000130826, ENSG00000070831, ENSG00000079308, ENSG00000185559, ENSG00000177410, ENSG00000198176, ENSG00000099814, ENSG00000075624, ENSG00000141959, ENSG00000239306, ENSG00000179833, ENSG00000134644, ENSG00000157985, ENSG00000168028, ENSG00000137073, ENSG00000163374, ENSG00000144713, ENSG00000166004, ENSG00000103326, ENSG00000146731, ENSG00000122026, ENSG00000142534, ENSG00000141564, ENSG00000149273, ENSG00000198242, ENSG00000089280, ENSG00000132953, ENSG00000145592, ENSG00000094631, ENSG00000181085, ENSG00000110321, ENSG00000265681, ENSG00000177666, ENSG00000135821, ENSG00000060339, ENSG00000130255, ENSG00000117751, ENSG00000010322, ENSG00000115053, ENSG00000136231, ENSG00000023191, ENSG00000106462, ENSG00000109971, ENSG00000215021, ENSG00000128731, ENSG00000197381, ENSG00000121390, ENSG00000173598, ENSG00000010292, ENSG00000174444, ENSG00000170004, ENSG00000198911, ENSG00000205339, ENSG00000184470, ENSG00000143569, ENSG00000143847, ENSG00000187109, ENSG00000078808, ENSG00000111678, ENSG00000105835, ENSG00000114942, ENSG00000138756, ENSG00000156508, ENSG00000104904, ENSG00000177600, ENSG00000063438, ENSG00000163162, ENSG00000034677, ENSG00000125691, ENSG00000104695, ENSG00000196230, ENSG00000145041, ENSG00000072310, ENSG00000157540, ENSG00000138767, ENSG00000074054, ENSG00000134324, ENSG00000150991, ENSG00000169710, ENSG00000120049, ENSG00000106070, ENSG00000186432, ENSG00000167658, ENSG00000204628, ENSG00000129657, ENSG00000105662, ENSG00000178950, ENSG00000105576, ENSG00000126870, ENSG00000198563, ENSG00000180198, ENSG00000067057, ENSG00000164828, ENSG00000112306, ENSG00000203880, ENSG00000104805, ENSG00000196305, ENSG00000100726, ENSG00000277957, ENSG00000161960, ENSG00000148303, ENSG00000071564, ENSG00000111605, ENSG00000266967, ENSG00000127054, ENSG00000175216, ENSG00000008988, ENSG00000173674, ENSG00000116698, ENSG00000125835, ENSG00000100316, ENSG00000169696, ENSG00000166747, ENSG00000122566	288	5771	20647	1.6025186998209437	4.4397775611493273E-7	8.879557370340509E-8	8.479577308613458E-8
