Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	84	21.53846153846154	9.365851363027262E-10	ENSG00000213741, ENSG00000177885, ENSG00000068366, ENSG00000197894, ENSG00000103811, ENSG00000120708, ENSG00000072062, ENSG00000135486, ENSG00000113013, ENSG00000166598, ENSG00000170889, ENSG00000101439, ENSG00000205403, ENSG00000083444, ENSG00000087088, ENSG00000166710, ENSG00000185359, ENSG00000070756, ENSG00000105223, ENSG00000130202, ENSG00000155366, ENSG00000130402, ENSG00000112514, ENSG00000105426, ENSG00000072274, ENSG00000117448, ENSG00000198931, ENSG00000204463, ENSG00000158874, ENSG00000119655, ENSG00000167930, ENSG00000172757, ENSG00000120885, ENSG00000165795, ENSG00000169750, ENSG00000157020, ENSG00000167770, ENSG00000141524, ENSG00000167815, ENSG00000164587, ENSG00000086062, ENSG00000141522, ENSG00000197081, ENSG00000182899, ENSG00000181523, ENSG00000131469, ENSG00000215301, ENSG00000106028, ENSG00000104687, ENSG00000171560, ENSG00000196465, ENSG00000176978, ENSG00000111057, ENSG00000136156, ENSG00000177106, ENSG00000134333, ENSG00000147416, ENSG00000205544, ENSG00000168036, ENSG00000062485, ENSG00000234745, ENSG00000090863, ENSG00000277791, ENSG00000149476, ENSG00000079805, ENSG00000105202, ENSG00000019582, ENSG00000101160, ENSG00000177830, ENSG00000108639, ENSG00000092841, ENSG00000138107, ENSG00000175899, ENSG00000137731, ENSG00000100911, ENSG00000006042, ENSG00000129559, ENSG00000124942, ENSG00000163399, ENSG00000122566, ENSG00000169738, ENSG00000163631, ENSG00000126522, ENSG00000126247	365	2039	17529	1.97845572970903	4.645461231245207E-7	4.645462276061522E-7	4.430047694711895E-7
GOTERM_MF_DIRECT	GO:0003723~RNA binding	65	16.666666666666664	1.8378074971346047E-9	ENSG00000103495, ENSG00000106246, ENSG00000213741, ENSG00000090097, ENSG00000177885, ENSG00000135486, ENSG00000108829, ENSG00000248643, ENSG00000113013, ENSG00000171858, ENSG00000166598, ENSG00000170889, ENSG00000100028, ENSG00000126457, ENSG00000142546, ENSG00000123144, ENSG00000070756, ENSG00000106244, ENSG00000179115, ENSG00000130402, ENSG00000099899, ENSG00000105705, ENSG00000072274, ENSG00000136942, ENSG00000086504, ENSG00000116030, ENSG00000088247, ENSG00000141526, ENSG00000125970, ENSG00000011485, ENSG00000164587, ENSG00000100650, ENSG00000167978, ENSG00000258643, ENSG00000121057, ENSG00000182899, ENSG00000131469, ENSG00000215301, ENSG00000106028, ENSG00000130811, ENSG00000131747, ENSG00000111057, ENSG00000158545, ENSG00000130332, ENSG00000117751, ENSG00000116221, ENSG00000229117, ENSG00000079246, ENSG00000062485, ENSG00000169045, ENSG00000102054, ENSG00000105202, ENSG00000211450, ENSG00000101161, ENSG00000179134, ENSG00000270647, ENSG00000066654, ENSG00000168488, ENSG00000125835, ENSG00000124942, ENSG00000182774, ENSG00000122566, ENSG00000147403, ENSG00000105321, ENSG00000161016	355	1401	16929	2.2124739873933104	1.1633314477288437E-6	1.1651699531833395E-6	1.1596565306919357E-6
GOTERM_CC_DIRECT	GO:0005783~endoplasmic reticulum	52	13.333333333333334	9.39267132408045E-8	ENSG00000128595, ENSG00000068366, ENSG00000153395, ENSG00000117899, ENSG00000108829, ENSG00000166598, ENSG00000101439, ENSG00000125967, ENSG00000127948, ENSG00000163162, ENSG00000083444, ENSG00000087088, ENSG00000187778, ENSG00000099219, ENSG00000112715, ENSG00000105701, ENSG00000072310, ENSG00000130208, ENSG00000159128, ENSG00000118960, ENSG00000119655, ENSG00000085733, ENSG00000120885, ENSG00000206527, ENSG00000204267, ENSG00000141524, ENSG00000106034, ENSG00000125695, ENSG00000101294, ENSG00000104765, ENSG00000171560, ENSG00000172057, ENSG00000115255, ENSG00000229117, ENSG00000162298, ENSG00000143418, ENSG00000234745, ENSG00000127564, ENSG00000214253, ENSG00000141510, ENSG00000101160, ENSG00000099797, ENSG00000134825, ENSG00000204160, ENSG00000177239, ENSG00000150527, ENSG00000006042, ENSG00000255439, ENSG00000163399, ENSG00000147403, ENSG00000163631, ENSG00000250264	365	1118	17529	2.233705001592864	4.6586566794903916E-5	2.3293824883719516E-5	2.2213667681450264E-5
GOTERM_BP_DIRECT	GO:0006412~translation	19	4.871794871794872	2.9091141826876934E-7	ENSG00000179115, ENSG00000182899, ENSG00000172590, ENSG00000213741, ENSG00000131469, ENSG00000262660, ENSG00000136942, ENSG00000260342, ENSG00000116221, ENSG00000171858, ENSG00000229117, ENSG00000086504, ENSG00000170889, ENSG00000124802, ENSG00000121022, ENSG00000265818, ENSG00000164587, ENSG00000182774, ENSG00000147403, ENSG00000161016	352	201	16565	4.448425486205338	6.581159819607496E-4	6.580416281239562E-4	6.574598052874187E-4
GOTERM_CC_DIRECT	GO:0005829~cytosol	156	40.0	5.807543415335987E-7	ENSG00000177885, ENSG00000197894, ENSG00000072062, ENSG00000261582, ENSG00000095066, ENSG00000139645, ENSG00000206053, ENSG00000119402, ENSG00000102409, ENSG00000166598, ENSG00000127948, ENSG00000123349, ENSG00000141736, ENSG00000126457, ENSG00000265818, ENSG00000142546, ENSG00000233276, ENSG00000102882, ENSG00000099899, ENSG00000198336, ENSG00000117448, ENSG00000112159, ENSG00000134248, ENSG00000136942, ENSG00000268643, ENSG00000172757, ENSG00000086504, ENSG00000165795, ENSG00000120885, ENSG00000137198, ENSG00000088247, ENSG00000169750, ENSG00000164587, ENSG00000011485, ENSG00000101266, ENSG00000121057, ENSG00000131469, ENSG00000215301, ENSG00000104687, ENSG00000148341, ENSG00000130811, ENSG00000196465, ENSG00000159079, ENSG00000134333, ENSG00000132432, ENSG00000141551, ENSG00000147416, ENSG00000229117, ENSG00000230989, ENSG00000079246, ENSG00000168036, ENSG00000121022, ENSG00000161888, ENSG00000079805, ENSG00000149782, ENSG00000092841, ENSG00000136485, ENSG00000184470, ENSG00000228716, ENSG00000100911, ENSG00000129559, ENSG00000124942, ENSG00000147403, ENSG00000165458, ENSG00000161016, ENSG00000213465, ENSG00000129521, ENSG00000213741, ENSG00000106367, ENSG00000090097, ENSG00000161939, ENSG00000108946, ENSG00000103811, ENSG00000135486, ENSG00000196642, ENSG00000167641, ENSG00000171858, ENSG00000170889, ENSG00000007047, ENSG00000258539, ENSG00000189159, ENSG00000089820, ENSG00000100028, ENSG00000087088, ENSG00000105393, ENSG00000166710, ENSG00000185359, ENSG00000070756, ENSG00000100142, ENSG00000106244, ENSG00000179115, ENSG00000102030, ENSG00000155366, ENSG00000130402, ENSG00000217930, ENSG00000105426, ENSG00000105701, ENSG00000077721, ENSG00000072310, ENSG00000198931, ENSG00000204463, ENSG00000158874, ENSG00000119333, ENSG00000085733, ENSG00000116670, ENSG00000116030, ENSG00000124802, ENSG00000157020, ENSG00000167770, ENSG00000167815, ENSG00000079616, ENSG00000100650, ENSG00000141522, ENSG00000162521, ENSG00000182899, ENSG00000104886, ENSG00000115419, ENSG00000132471, ENSG00000111057, ENSG00000177106, ENSG00000131143, ENSG00000130332, ENSG00000140264, ENSG00000116584, ENSG00000088832, ENSG00000054267, ENSG00000169045, ENSG00000011052, ENSG00000277791, ENSG00000102225, ENSG00000149476, ENSG00000214253, ENSG00000127564, ENSG00000141510, ENSG00000127445, ENSG00000102054, ENSG00000132128, ENSG00000105723, ENSG00000124181, ENSG00000179134, ENSG00000138107, ENSG00000175334, ENSG00000077782, ENSG00000116698, ENSG00000173039, ENSG00000168488, ENSG00000125835, ENSG00000169696, ENSG00000167792, ENSG00000103426, ENSG00000166508, ENSG00000128789, ENSG00000101246, ENSG00000182774, ENSG00000169738, ENSG00000126247, ENSG00000126522	365	5348	17529	1.4008688435569308	2.8801275339285226E-4	9.601805113355498E-5	9.156560118179739E-5
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	16	4.102564102564102	1.7333739830277701E-6	ENSG00000182899, ENSG00000172590, ENSG00000213741, ENSG00000131469, ENSG00000262660, ENSG00000136942, ENSG00000260342, ENSG00000116221, ENSG00000171858, ENSG00000229117, ENSG00000086504, ENSG00000170889, ENSG00000164587, ENSG00000182774, ENSG00000147403, ENSG00000161016	355	163	16929	4.680964313488292	0.0010966249491041191	5.494795526198032E-4	5.468794916452615E-4
GOTERM_CC_DIRECT	GO:0016020~membrane	110	28.205128205128204	1.8289969734142594E-6	ENSG00000129562, ENSG00000128595, ENSG00000134910, ENSG00000153395, ENSG00000068366, ENSG00000090971, ENSG00000072062, ENSG00000166598, ENSG00000127948, ENSG00000205403, ENSG00000141736, ENSG00000257524, ENSG00000124155, ENSG00000182600, ENSG00000130202, ENSG00000112715, ENSG00000112159, ENSG00000136942, ENSG00000172757, ENSG00000164465, ENSG00000120885, ENSG00000142494, ENSG00000204267, ENSG00000088247, ENSG00000164587, ENSG00000086062, ENSG00000089693, ENSG00000197081, ENSG00000121057, ENSG00000101294, ENSG00000131469, ENSG00000148341, ENSG00000134333, ENSG00000132432, ENSG00000162298, ENSG00000079246, ENSG00000168036, ENSG00000103512, ENSG00000079805, ENSG00000158813, ENSG00000101161, ENSG00000177830, ENSG00000108639, ENSG00000149782, ENSG00000039650, ENSG00000092841, ENSG00000085998, ENSG00000125912, ENSG00000150527, ENSG00000160285, ENSG00000100911, ENSG00000102934, ENSG00000124942, ENSG00000163399, ENSG00000147403, ENSG00000051523, ENSG00000161016, ENSG00000106367, ENSG00000108946, ENSG00000110107, ENSG00000135486, ENSG00000108829, ENSG00000117410, ENSG00000170889, ENSG00000163162, ENSG00000087088, ENSG00000166710, ENSG00000070756, ENSG00000179115, ENSG00000099219, ENSG00000102030, ENSG00000129255, ENSG00000112514, ENSG00000105701, ENSG00000072274, ENSG00000204463, ENSG00000168060, ENSG00000167930, ENSG00000141526, ENSG00000141522, ENSG00000258643, ENSG00000182899, ENSG00000285330, ENSG00000104765, ENSG00000198720, ENSG00000136156, ENSG00000131143, ENSG00000205544, ENSG00000088832, ENSG00000143418, ENSG00000234745, ENSG00000169045, ENSG00000090863, ENSG00000186106, ENSG00000214253, ENSG00000127564, ENSG00000105202, ENSG00000019582, ENSG00000132128, ENSG00000166619, ENSG00000134825, ENSG00000077782, ENSG00000177239, ENSG00000168488, ENSG00000167792, ENSG00000166508, ENSG00000101246, ENSG00000182774, ENSG00000122566, ENSG00000126247	365	3464	17529	1.5250324274731881	9.067719620478032E-4	2.2679562470336815E-4	2.1627889210623616E-4
GOTERM_CC_DIRECT	GO:0005743~mitochondrial inner membrane	27	6.923076923076923	4.151667912555102E-6	ENSG00000172590, ENSG00000127540, ENSG00000267740, ENSG00000131143, ENSG00000135940, ENSG00000113013, ENSG00000109390, ENSG00000229833, ENSG00000116221, ENSG00000145494, ENSG00000165688, ENSG00000248919, ENSG00000217930, ENSG00000241468, ENSG00000115944, ENSG00000174886, ENSG00000173436, ENSG00000115286, ENSG00000186010, ENSG00000086504, ENSG00000120885, ENSG00000228716, ENSG00000167792, ENSG00000164405, ENSG00000125995, ENSG00000270136, ENSG00000103202, ENSG00000126267	365	460	17529	2.8188385944014294	0.00205711279654186	4.1184545692546614E-4	3.9274778452771264E-4
GOTERM_CC_DIRECT	GO:0032991~macromolecular complex	33	8.461538461538462	7.988718578589215E-6	ENSG00000108946, ENSG00000131747, ENSG00000177106, ENSG00000158545, ENSG00000116584, ENSG00000166598, ENSG00000168036, ENSG00000079246, ENSG00000214253, ENSG00000141510, ENSG00000079805, ENSG00000071564, ENSG00000019582, ENSG00000130402, ENSG00000217930, ENSG00000149782, ENSG00000105701, ENSG00000134825, ENSG00000072310, ENSG00000154639, ENSG00000132780, ENSG00000136485, ENSG00000134248, ENSG00000120885, ENSG00000125912, ENSG00000103426, ENSG00000163399, ENSG00000011485, ENSG00000147403, ENSG00000086062, ENSG00000167615, ENSG00000163631, ENSG00000162521	365	659	17529	2.4048766291807846	0.003954580213801795	6.604007358300419E-4	6.297773146121164E-4
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	11	2.8205128205128207	1.561266362327908E-5	ENSG00000101161, ENSG00000125835, ENSG00000100028, ENSG00000169045, ENSG00000110107, ENSG00000135486, ENSG00000125970, ENSG00000122566, ENSG00000167978, ENSG00000070756, ENSG00000130332	365	89	17529	5.93563183007542	0.007714034542571246	0.0011062687367352035	0.0010549699848301434
