Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	92	22.8287841191067	3.0952280836083753E-24	ENSG00000161813, ENSG00000147274, ENSG00000142937, ENSG00000110700, ENSG00000113013, ENSG00000167721, ENSG00000138035, ENSG00000167881, ENSG00000134030, ENSG00000056586, ENSG00000120438, ENSG00000100664, ENSG00000146540, ENSG00000130826, ENSG00000079308, ENSG00000149657, ENSG00000125691, ENSG00000179115, ENSG00000075420, ENSG00000153944, ENSG00000134644, ENSG00000133112, ENSG00000156976, ENSG00000157106, ENSG00000132300, ENSG00000168028, ENSG00000197958, ENSG00000137073, ENSG00000204469, ENSG00000169710, ENSG00000144713, ENSG00000249141, ENSG00000280987, ENSG00000166441, ENSG00000026297, ENSG00000163811, ENSG00000146731, ENSG00000167658, ENSG00000122026, ENSG00000142534, ENSG00000149273, ENSG00000198242, ENSG00000198563, ENSG00000145592, ENSG00000153250, ENSG00000112306, ENSG00000163938, ENSG00000110321, ENSG00000112787, ENSG00000265681, ENSG00000060339, ENSG00000114686, ENSG00000179604, ENSG00000117751, ENSG00000136270, ENSG00000198918, ENSG00000115053, ENSG00000156482, ENSG00000140988, ENSG00000161960, ENSG00000090621, ENSG00000142207, ENSG00000125107, ENSG00000105373, ENSG00000109971, ENSG00000148303, ENSG00000101361, ENSG00000197381, ENSG00000101161, ENSG00000065243, ENSG00000132680, ENSG00000008988, ENSG00000083845, ENSG00000205531, ENSG00000174444, ENSG00000173674, ENSG00000170004, ENSG00000111364, ENSG00000020577, ENSG00000055483, ENSG00000055044, ENSG00000139793, ENSG00000143569, ENSG00000125835, ENSG00000100316, ENSG00000122406, ENSG00000130935, ENSG00000107581, ENSG00000147403, ENSG00000187109, ENSG00000105321, ENSG00000105640	365	1479	18967	3.232402493354451	1.8911843590847173E-21	1.8942795871683258E-21	1.8664225344158504E-21
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	26	6.451612903225806	7.444196984720795E-23	ENSG00000149273, ENSG00000198242, ENSG00000145592, ENSG00000142937, ENSG00000110700, ENSG00000112306, ENSG00000265681, ENSG00000198918, ENSG00000100325, ENSG00000156482, ENSG00000140988, ENSG00000148303, ENSG00000125691, ENSG00000008988, ENSG00000174444, ENSG00000083845, ENSG00000168028, ENSG00000197958, ENSG00000144713, ENSG00000100316, ENSG00000166441, ENSG00000122406, ENSG00000147403, ENSG00000122026, ENSG00000142534, ENSG00000105640	368	93	20647	15.685542309490414	3.6029913406048645E-20	3.6029913406048645E-20	3.4987725828187736E-20
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	26	6.451612903225806	1.2970744431047597E-22	ENSG00000149273, ENSG00000198242, ENSG00000145592, ENSG00000142937, ENSG00000110700, ENSG00000112306, ENSG00000265681, ENSG00000177600, ENSG00000198918, ENSG00000156482, ENSG00000140988, ENSG00000148303, ENSG00000125691, ENSG00000008988, ENSG00000174444, ENSG00000083845, ENSG00000168028, ENSG00000197958, ENSG00000144713, ENSG00000100316, ENSG00000166441, ENSG00000122406, ENSG00000147403, ENSG00000122026, ENSG00000142534, ENSG00000105640	364	91	19453	15.269230769230768	2.4968683029766623E-19	2.495571228533558E-19	2.4890858563180337E-19
GOTERM_CC_DIRECT	GO:0005829~cytosol	182	45.16129032258064	6.941331745365323E-20	ENSG00000076944, ENSG00000115839, ENSG00000122490, ENSG00000142937, ENSG00000110700, ENSG00000154803, ENSG00000138674, ENSG00000135720, ENSG00000175866, ENSG00000122779, ENSG00000167721, ENSG00000138035, ENSG00000127948, ENSG00000119408, ENSG00000132849, ENSG00000265818, ENSG00000126217, ENSG00000272886, ENSG00000127663, ENSG00000107404, ENSG00000198176, ENSG00000006704, ENSG00000072110, ENSG00000104419, ENSG00000153944, ENSG00000038382, ENSG00000167291, ENSG00000134644, ENSG00000157106, ENSG00000168028, ENSG00000186350, ENSG00000144713, ENSG00000141560, ENSG00000166004, ENSG00000153815, ENSG00000178184, ENSG00000108175, ENSG00000146731, ENSG00000122026, ENSG00000142534, ENSG00000141564, ENSG00000149273, ENSG00000107798, ENSG00000103197, ENSG00000198242, ENSG00000145592, ENSG00000153250, ENSG00000107957, ENSG00000115977, ENSG00000133243, ENSG00000110321, ENSG00000265681, ENSG00000139620, ENSG00000179604, ENSG00000198918, ENSG00000251322, ENSG00000166012, ENSG00000156482, ENSG00000140988, ENSG00000127527, ENSG00000125107, ENSG00000105373, ENSG00000023191, ENSG00000050820, ENSG00000109971, ENSG00000197381, ENSG00000178764, ENSG00000132846, ENSG00000065243, ENSG00000010292, ENSG00000099991, ENSG00000083845, ENSG00000112699, ENSG00000174444, ENSG00000116017, ENSG00000111364, ENSG00000205339, ENSG00000167632, ENSG00000055044, ENSG00000162341, ENSG00000184470, ENSG00000147526, ENSG00000143207, ENSG00000122406, ENSG00000188559, ENSG00000160563, ENSG00000147403, ENSG00000100592, ENSG00000162105, ENSG00000105640, ENSG00000160209, ENSG00000072786, ENSG00000099901, ENSG00000161813, ENSG00000186716, ENSG00000113615, ENSG00000115758, ENSG00000197971, ENSG00000114942, ENSG00000196369, ENSG00000085978, ENSG00000177600, ENSG00000150760, ENSG00000118873, ENSG00000167522, ENSG00000167881, ENSG00000134030, ENSG00000120438, ENSG00000160293, ENSG00000100664, ENSG00000147874, ENSG00000161544, ENSG00000130762, ENSG00000125691, ENSG00000179115, ENSG00000002822, ENSG00000112877, ENSG00000070770, ENSG00000115504, ENSG00000138767, ENSG00000134046, ENSG00000074054, ENSG00000204463, ENSG00000137955, ENSG00000266028, ENSG00000133112, ENSG00000156976, ENSG00000132300, ENSG00000169679, ENSG00000197958, ENSG00000204469, ENSG00000169710, ENSG00000101868, ENSG00000186432, ENSG00000166441, ENSG00000124802, ENSG00000102316, ENSG00000164305, ENSG00000167658, ENSG00000142611, ENSG00000129657, ENSG00000105662, ENSG00000178950, ENSG00000068024, ENSG00000106305, ENSG00000130338, ENSG00000138617, ENSG00000273749, ENSG00000112306, ENSG00000152767, ENSG00000196305, ENSG00000159314, ENSG00000176658, ENSG00000173821, ENSG00000160193, ENSG00000081760, ENSG00000125826, ENSG00000089006, ENSG00000159792, ENSG00000090621, ENSG00000161960, ENSG00000148303, ENSG00000156795, ENSG00000105325, ENSG00000105327, ENSG00000175216, ENSG00000008988, ENSG00000188191, ENSG00000173674, ENSG00000159788, ENSG00000136205, ENSG00000020577, ENSG00000055483, ENSG00000170832, ENSG00000166225, ENSG00000125835, ENSG00000100316, ENSG00000169696, ENSG00000163513, ENSG00000165417, ENSG00000107581, ENSG00000166747, ENSG00000168646	368	5627	20647	1.8146948717750595	3.359604564756816E-17	1.679802282378408E-17	1.631212960160851E-17
GOTERM_BP_DIRECT	GO:0006412~translation	32	7.94044665012407	1.2366070847264002E-18	ENSG00000149273, ENSG00000198242, ENSG00000161813, ENSG00000106305, ENSG00000145592, ENSG00000142937, ENSG00000110700, ENSG00000112306, ENSG00000265681, ENSG00000177600, ENSG00000114686, ENSG00000198918, ENSG00000156482, ENSG00000140988, ENSG00000090621, ENSG00000265818, ENSG00000148303, ENSG00000125691, ENSG00000179115, ENSG00000008988, ENSG00000174444, ENSG00000083845, ENSG00000168028, ENSG00000197958, ENSG00000144713, ENSG00000100316, ENSG00000166441, ENSG00000124802, ENSG00000122406, ENSG00000147403, ENSG00000122026, ENSG00000142534, ENSG00000105640	364	219	19453	7.808921671935371	2.3804686380983203E-15	1.189616015506797E-15	1.186524497794981E-15
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	27	6.699751861042183	3.962465235455873E-15	ENSG00000149273, ENSG00000198242, ENSG00000145592, ENSG00000142937, ENSG00000110700, ENSG00000112306, ENSG00000265681, ENSG00000177600, ENSG00000114686, ENSG00000198918, ENSG00000156482, ENSG00000140988, ENSG00000148303, ENSG00000125691, ENSG00000008988, ENSG00000174444, ENSG00000083845, ENSG00000168028, ENSG00000197958, ENSG00000144713, ENSG00000100316, ENSG00000166441, ENSG00000122406, ENSG00000147403, ENSG00000122026, ENSG00000142534, ENSG00000105640	365	190	18967	7.384412400865177	2.4420465649654943E-12	1.2125143620494971E-12	1.1946832684899458E-12
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	17	4.218362282878412	9.33500957904993E-15	ENSG00000125691, ENSG00000198242, ENSG00000145592, ENSG00000174444, ENSG00000265681, ENSG00000177600, ENSG00000197958, ENSG00000198918, ENSG00000144713, ENSG00000100316, ENSG00000166441, ENSG00000122406, ENSG00000156482, ENSG00000147403, ENSG00000122026, ENSG00000148303, ENSG00000105640	368	62	20647	15.383897265077138	4.5137227289160364E-12	1.5060482120867221E-12	1.4624848340511555E-12
GOTERM_MF_DIRECT	GO:0005515~protein binding	305	75.68238213399503	2.7865788374927577E-13	ENSG00000133943, ENSG00000163918, ENSG00000076944, ENSG00000115839, ENSG00000110700, ENSG00000122490, ENSG00000138834, ENSG00000167721, ENSG00000138035, ENSG00000127948, ENSG00000126858, ENSG00000119408, ENSG00000132849, ENSG00000265818, ENSG00000079308, ENSG00000100342, ENSG00000131653, ENSG00000107404, ENSG00000006704, ENSG00000072110, ENSG00000067445, ENSG00000167291, ENSG00000157106, ENSG00000186350, ENSG00000168028, ENSG00000137073, ENSG00000163374, ENSG00000173726, ENSG00000132182, ENSG00000163811, ENSG00000102996, ENSG00000178184, ENSG00000122026, ENSG00000142534, ENSG00000143740, ENSG00000141564, ENSG00000149273, ENSG00000103197, ENSG00000198242, ENSG00000163938, ENSG00000115977, ENSG00000133243, ENSG00000189091, ENSG00000060339, ENSG00000179604, ENSG00000115053, ENSG00000186260, ENSG00000251322, ENSG00000137166, ENSG00000053254, ENSG00000156482, ENSG00000184640, ENSG00000105373, ENSG00000023191, ENSG00000100243, ENSG00000109971, ENSG00000197381, ENSG00000110955, ENSG00000178764, ENSG00000090661, ENSG00000107669, ENSG00000065243, ENSG00000104714, ENSG00000112699, ENSG00000170004, ENSG00000116017, ENSG00000213918, ENSG00000111364, ENSG00000167632, ENSG00000147526, ENSG00000148737, ENSG00000167992, ENSG00000160563, ENSG00000188559, ENSG00000147403, ENSG00000100592, ENSG00000187109, ENSG00000186716, ENSG00000078808, ENSG00000101194, ENSG00000113615, ENSG00000197971, ENSG00000113732, ENSG00000114942, ENSG00000171105, ENSG00000118873, ENSG00000115594, ENSG00000125846, ENSG00000167881, ENSG00000146540, ENSG00000100664, ENSG00000088970, ENSG00000160216, ENSG00000129646, ENSG00000147874, ENSG00000101076, ENSG00000161544, ENSG00000130762, ENSG00000181035, ENSG00000112877, ENSG00000069667, ENSG00000070770, ENSG00000181031, ENSG00000204463, ENSG00000137955, ENSG00000133112, ENSG00000178307, ENSG00000197958, ENSG00000204469, ENSG00000169710, ENSG00000120049, ENSG00000101868, ENSG00000280987, ENSG00000166441, ENSG00000028310, ENSG00000164946, ENSG00000186951, ENSG00000167658, ENSG00000129657, ENSG00000142611, ENSG00000103365, ENSG00000146776, ENSG00000125850, ENSG00000105662, ENSG00000095485, ENSG00000180198, ENSG00000106305, ENSG00000181045, ENSG00000273749, ENSG00000112306, ENSG00000152767, ENSG00000196305, ENSG00000136270, ENSG00000081760, ENSG00000204219, ENSG00000007541, ENSG00000100325, ENSG00000125826, ENSG00000089006, ENSG00000147853, ENSG00000105325, ENSG00000156795, ENSG00000105327, ENSG00000008988, ENSG00000205531, ENSG00000173674, ENSG00000136720, ENSG00000055483, ENSG00000170832, ENSG00000166225, ENSG00000167674, ENSG00000125835, ENSG00000100316, ENSG00000163513, ENSG00000141505, ENSG00000032389, ENSG00000275023, ENSG00000168646, ENSG00000105321, ENSG00000147274, ENSG00000214756, ENSG00000142937, ENSG00000154803, ENSG00000164050, ENSG00000138674, ENSG00000175866, ENSG00000113013, ENSG00000122779, ENSG00000183495, ENSG00000130826, ENSG00000183255, ENSG00000144560, ENSG00000272886, ENSG00000100065, ENSG00000198176, ENSG00000133315, ENSG00000239704, ENSG00000104419, ENSG00000153944, ENSG00000038382, ENSG00000130165, ENSG00000134644, ENSG00000157985, ENSG00000137478, ENSG00000144677, ENSG00000136141, ENSG00000153815, ENSG00000146731, ENSG00000197081, ENSG00000008838, ENSG00000108924, ENSG00000153250, ENSG00000107957, ENSG00000110321, ENSG00000177706, ENSG00000265681, ENSG00000139620, ENSG00000005206, ENSG00000117751, ENSG00000100888, ENSG00000166012, ENSG00000140988, ENSG00000147257, ENSG00000162337, ENSG00000140743, ENSG00000127527, ENSG00000125107, ENSG00000058668, ENSG00000164631, ENSG00000050820, ENSG00000215021, ENSG00000101161, ENSG00000010292, ENSG00000132680, ENSG00000099991, ENSG00000083845, ENSG00000174444, ENSG00000074590, ENSG00000175899, ENSG00000205339, ENSG00000101849, ENSG00000055044, ENSG00000162341, ENSG00000184470, ENSG00000143569, ENSG00000143207, ENSG00000188157, ENSG00000122406, ENSG00000130935, ENSG00000181409, ENSG00000109685, ENSG00000142599, ENSG00000162105, ENSG00000105640, ENSG00000179588, ENSG00000072786, ENSG00000099901, ENSG00000161813, ENSG00000174695, ENSG00000115758, ENSG00000127184, ENSG00000171067, ENSG00000196367, ENSG00000075131, ENSG00000177600, ENSG00000085978, ENSG00000150760, ENSG00000080603, ENSG00000152818, ENSG00000134030, ENSG00000160293, ENSG00000120438, ENSG00000149657, ENSG00000125691, ENSG00000179115, ENSG00000107566, ENSG00000002822, ENSG00000161944, ENSG00000149084, ENSG00000134046, ENSG00000138767, ENSG00000074054, ENSG00000266028, ENSG00000156976, ENSG00000132300, ENSG00000169679, ENSG00000100814, ENSG00000186432, ENSG00000124802, ENSG00000102316, ENSG00000164305, ENSG00000101464, ENSG00000100373, ENSG00000178950, ENSG00000151276, ENSG00000068024, ENSG00000160867, ENSG00000198563, ENSG00000138617, ENSG00000197114, ENSG00000203880, ENSG00000176533, ENSG00000115414, ENSG00000060656, ENSG00000172731, ENSG00000160193, ENSG00000086015, ENSG00000277957, ENSG00000159792, ENSG00000090621, ENSG00000161960, ENSG00000068383, ENSG00000148303, ENSG00000101361, ENSG00000140807, ENSG00000175216, ENSG00000196498, ENSG00000188191, ENSG00000159788, ENSG00000136205, ENSG00000020577, ENSG00000169696, ENSG00000185246, ENSG00000165417, ENSG00000107581, ENSG00000166747	365	12657	18967	1.2522032856365148	1.7026491327953863E-10	5.6846208284852256E-11	5.601023463360443E-11
GOTERM_CC_DIRECT	GO:0005840~ribosome	22	5.459057071960298	5.261488795970828E-12	ENSG00000125691, ENSG00000149273, ENSG00000198242, ENSG00000145592, ENSG00000142937, ENSG00000110700, ENSG00000008988, ENSG00000174444, ENSG00000083845, ENSG00000114686, ENSG00000132300, ENSG00000197958, ENSG00000144713, ENSG00000167881, ENSG00000100316, ENSG00000166441, ENSG00000122406, ENSG00000140988, ENSG00000147403, ENSG00000122026, ENSG00000142534, ENSG00000105640	368	174	20647	7.09385932033983	2.5465456410245224E-9	6.366401443124702E-10	6.182249335265723E-10
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	164	40.69478908188586	8.112207629322056E-12	ENSG00000115839, ENSG00000142937, ENSG00000110700, ENSG00000174373, ENSG00000154803, ENSG00000138834, ENSG00000138674, ENSG00000116885, ENSG00000135720, ENSG00000175866, ENSG00000113013, ENSG00000138035, ENSG00000117054, ENSG00000119408, ENSG00000130826, ENSG00000132849, ENSG00000183255, ENSG00000265818, ENSG00000126217, ENSG00000272886, ENSG00000079308, ENSG00000100065, ENSG00000177410, ENSG00000198176, ENSG00000099814, ENSG00000072110, ENSG00000104419, ENSG00000153944, ENSG00000038382, ENSG00000134644, ENSG00000157985, ENSG00000157106, ENSG00000168028, ENSG00000137073, ENSG00000171943, ENSG00000163374, ENSG00000144713, ENSG00000166004, ENSG00000136141, ENSG00000178184, ENSG00000108175, ENSG00000090316, ENSG00000146731, ENSG00000122026, ENSG00000142534, ENSG00000141564, ENSG00000149273, ENSG00000103197, ENSG00000198242, ENSG00000145592, ENSG00000107957, ENSG00000115977, ENSG00000133243, ENSG00000110321, ENSG00000265681, ENSG00000060339, ENSG00000179604, ENSG00000117751, ENSG00000115053, ENSG00000251322, ENSG00000156482, ENSG00000140988, ENSG00000184640, ENSG00000140743, ENSG00000127527, ENSG00000023191, ENSG00000100243, ENSG00000050820, ENSG00000109971, ENSG00000215021, ENSG00000197381, ENSG00000132846, ENSG00000107669, ENSG00000065243, ENSG00000132680, ENSG00000010292, ENSG00000083845, ENSG00000112699, ENSG00000174444, ENSG00000170004, ENSG00000074590, ENSG00000205339, ENSG00000167632, ENSG00000184470, ENSG00000147526, ENSG00000143569, ENSG00000167992, ENSG00000122406, ENSG00000188559, ENSG00000109685, ENSG00000187109, ENSG00000105640, ENSG00000072786, ENSG00000099901, ENSG00000078808, ENSG00000115758, ENSG00000114942, ENSG00000075131, ENSG00000196369, ENSG00000177600, ENSG00000150760, ENSG00000152818, ENSG00000163162, ENSG00000160293, ENSG00000100664, ENSG00000088970, ENSG00000129646, ENSG00000101076, ENSG00000161544, ENSG00000125691, ENSG00000179115, ENSG00000002822, ENSG00000181031, ENSG00000138767, ENSG00000074054, ENSG00000204463, ENSG00000266028, ENSG00000133112, ENSG00000197958, ENSG00000169710, ENSG00000120049, ENSG00000186432, ENSG00000166441, ENSG00000124802, ENSG00000164305, ENSG00000167658, ENSG00000129657, ENSG00000105662, ENSG00000178950, ENSG00000151276, ENSG00000068024, ENSG00000198563, ENSG00000106305, ENSG00000180198, ENSG00000130338, ENSG00000112306, ENSG00000203880, ENSG00000196305, ENSG00000159314, ENSG00000176658, ENSG00000173821, ENSG00000086015, ENSG00000277957, ENSG00000090621, ENSG00000161960, ENSG00000148303, ENSG00000147853, ENSG00000101361, ENSG00000140807, ENSG00000175216, ENSG00000008988, ENSG00000188191, ENSG00000205531, ENSG00000173674, ENSG00000159788, ENSG00000055483, ENSG00000139793, ENSG00000166225, ENSG00000167674, ENSG00000125835, ENSG00000100316, ENSG00000169696, ENSG00000107581, ENSG00000166747, ENSG00000168646	368	5771	20647	1.5944169874861562	3.926293956624249E-9	7.85261698518375E-10	7.625475171562733E-10
