Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	112	26.41509433962264	2.7233178979328277E-31	ENSG00000123064, ENSG00000182718, ENSG00000114867, ENSG00000091542, ENSG00000115677, ENSG00000142541, ENSG00000100345, ENSG00000105193, ENSG00000147677, ENSG00000123908, ENSG00000060138, ENSG00000064607, ENSG00000108298, ENSG00000164587, ENSG00000125651, ENSG00000164346, ENSG00000167978, ENSG00000149273, ENSG00000131469, ENSG00000066044, ENSG00000130811, ENSG00000197157, ENSG00000047849, ENSG00000213923, ENSG00000130255, ENSG00000111011, ENSG00000144028, ENSG00000100129, ENSG00000079246, ENSG00000062485, ENSG00000100403, ENSG00000140988, ENSG00000063177, ENSG00000105372, ENSG00000125107, ENSG00000168439, ENSG00000109971, ENSG00000071626, ENSG00000110713, ENSG00000197381, ENSG00000099995, ENSG00000138668, ENSG00000083845, ENSG00000174444, ENSG00000011304, ENSG00000089157, ENSG00000126602, ENSG00000124942, ENSG00000147403, ENSG00000100353, ENSG00000143321, ENSG00000161016, ENSG00000103495, ENSG00000106246, ENSG00000108424, ENSG00000137309, ENSG00000135486, ENSG00000156508, ENSG00000108829, ENSG00000065978, ENSG00000146701, ENSG00000163682, ENSG00000170889, ENSG00000005022, ENSG00000109475, ENSG00000149257, ENSG00000167526, ENSG00000070756, ENSG00000015479, ENSG00000130402, ENSG00000095139, ENSG00000072274, ENSG00000150991, ENSG00000133112, ENSG00000197958, ENSG00000149925, ENSG00000166441, ENSG00000231500, ENSG00000188976, ENSG00000167658, ENSG00000204628, ENSG00000185624, ENSG00000214022, ENSG00000141367, ENSG00000065150, ENSG00000197111, ENSG00000178035, ENSG00000111057, ENSG00000112787, ENSG00000130175, ENSG00000005007, ENSG00000116221, ENSG00000174748, ENSG00000130726, ENSG00000090621, ENSG00000163468, ENSG00000105323, ENSG00000163902, ENSG00000198034, ENSG00000179134, ENSG00000270647, ENSG00000197102, ENSG00000132361, ENSG00000198830, ENSG00000152234, ENSG00000196924, ENSG00000145425, ENSG00000084623, ENSG00000159140, ENSG00000168003, ENSG00000127616, ENSG00000186298	403	1401	16929	3.3581968214834137	1.8681960779819198E-28	1.8709193958798527E-28	1.8273463095129274E-28
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	127	29.952830188679247	2.0677493381747324E-26	ENSG00000076944, ENSG00000130313, ENSG00000182718, ENSG00000244687, ENSG00000172354, ENSG00000084207, ENSG00000137106, ENSG00000100345, ENSG00000105193, ENSG00000130429, ENSG00000108344, ENSG00000254772, ENSG00000147677, ENSG00000164733, ENSG00000132589, ENSG00000105223, ENSG00000106554, ENSG00000126067, ENSG00000075624, ENSG00000072110, ENSG00000141959, ENSG00000118046, ENSG00000123908, ENSG00000172757, ENSG00000221983, ENSG00000137076, ENSG00000163931, ENSG00000164587, ENSG00000105220, ENSG00000149273, ENSG00000131469, ENSG00000197157, ENSG00000263020, ENSG00000008710, ENSG00000135821, ENSG00000134333, ENSG00000117592, ENSG00000168036, ENSG00000062485, ENSG00000140988, ENSG00000105372, ENSG00000167986, ENSG00000102265, ENSG00000109971, ENSG00000079805, ENSG00000103187, ENSG00000110955, ENSG00000083845, ENSG00000174444, ENSG00000131473, ENSG00000011304, ENSG00000182054, ENSG00000188157, ENSG00000143162, ENSG00000089157, ENSG00000124942, ENSG00000149428, ENSG00000163399, ENSG00000124782, ENSG00000103222, ENSG00000172270, ENSG00000186716, ENSG00000108424, ENSG00000075415, ENSG00000135486, ENSG00000156508, ENSG00000108828, ENSG00000177600, ENSG00000065978, ENSG00000146701, ENSG00000170889, ENSG00000083444, ENSG00000109475, ENSG00000070756, ENSG00000140564, ENSG00000155366, ENSG00000130402, ENSG00000147065, ENSG00000072274, ENSG00000198931, ENSG00000069702, ENSG00000204463, ENSG00000150991, ENSG00000133112, ENSG00000197958, ENSG00000149925, ENSG00000231500, ENSG00000157020, ENSG00000078369, ENSG00000182199, ENSG00000141524, ENSG00000167658, ENSG00000204628, ENSG00000185624, ENSG00000141522, ENSG00000141367, ENSG00000103485, ENSG00000135624, ENSG00000197111, ENSG00000178035, ENSG00000111057, ENSG00000104805, ENSG00000136830, ENSG00000117394, ENSG00000164032, ENSG00000163468, ENSG00000087460, ENSG00000198034, ENSG00000198431, ENSG00000105568, ENSG00000197102, ENSG00000196411, ENSG00000137497, ENSG00000152234, ENSG00000196924, ENSG00000145425, ENSG00000170315, ENSG00000084623, ENSG00000168003, ENSG00000167671, ENSG00000185883, ENSG00000180879, ENSG00000166986, ENSG00000142798, ENSG00000166501, ENSG00000014216, ENSG00000126247	407	2039	17529	2.6825586565655226	1.1910236187886458E-23	1.1910236187886458E-23	1.1165846426143555E-23
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	29	6.839622641509433	3.313236146018121E-24	ENSG00000149273, ENSG00000131469, ENSG00000177600, ENSG00000130255, ENSG00000142541, ENSG00000163682, ENSG00000174748, ENSG00000170889, ENSG00000105193, ENSG00000140988, ENSG00000063177, ENSG00000109475, ENSG00000105372, ENSG00000167526, ENSG00000137818, ENSG00000198034, ENSG00000174444, ENSG00000083845, ENSG00000197958, ENSG00000145425, ENSG00000166441, ENSG00000231500, ENSG00000221983, ENSG00000108298, ENSG00000089157, ENSG00000164587, ENSG00000204628, ENSG00000147403, ENSG00000161016	399	88	16565	13.681504898610163	7.974959403465617E-21	7.971646167319598E-21	7.928574097421362E-21
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	29	6.839622641509433	5.108485630642157E-24	ENSG00000149273, ENSG00000022840, ENSG00000131469, ENSG00000156508, ENSG00000130255, ENSG00000142541, ENSG00000163682, ENSG00000174748, ENSG00000170889, ENSG00000105193, ENSG00000140988, ENSG00000063177, ENSG00000109475, ENSG00000105372, ENSG00000167526, ENSG00000137818, ENSG00000198034, ENSG00000174444, ENSG00000083845, ENSG00000197958, ENSG00000145425, ENSG00000166441, ENSG00000231500, ENSG00000221983, ENSG00000108298, ENSG00000089157, ENSG00000164587, ENSG00000147403, ENSG00000161016	407	92	17529	13.576033543424849	2.9424877232498825E-21	1.4712438616249412E-21	1.3792911202733825E-21
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	53	12.5	4.153130314686191E-23	ENSG00000172270, ENSG00000137309, ENSG00000128591, ENSG00000172354, ENSG00000177600, ENSG00000142541, ENSG00000163682, ENSG00000170889, ENSG00000126934, ENSG00000100345, ENSG00000105193, ENSG00000130429, ENSG00000070756, ENSG00000132589, ENSG00000177731, ENSG00000075624, ENSG00000130402, ENSG00000147065, ENSG00000072110, ENSG00000169756, ENSG00000197958, ENSG00000172757, ENSG00000137076, ENSG00000231500, ENSG00000108298, ENSG00000185624, ENSG00000164587, ENSG00000141367, ENSG00000149273, ENSG00000131469, ENSG00000197111, ENSG00000116584, ENSG00000168036, ENSG00000140988, ENSG00000063177, ENSG00000105372, ENSG00000109971, ENSG00000079805, ENSG00000137818, ENSG00000198034, ENSG00000083845, ENSG00000174444, ENSG00000058272, ENSG00000196924, ENSG00000145425, ENSG00000186298, ENSG00000185883, ENSG00000089157, ENSG00000124942, ENSG00000149428, ENSG00000142798, ENSG00000014216, ENSG00000161016	407	427	17529	5.345775624464149	2.3922030612592458E-20	7.974010204197486E-21	7.475634566435143E-21
GOTERM_BP_DIRECT	GO:0006412~translation	37	8.726415094339622	2.055743464634054E-21	ENSG00000149273, ENSG00000131469, ENSG00000114867, ENSG00000156508, ENSG00000177600, ENSG00000130255, ENSG00000142541, ENSG00000116221, ENSG00000163682, ENSG00000174748, ENSG00000170889, ENSG00000105193, ENSG00000140988, ENSG00000063177, ENSG00000109475, ENSG00000090621, ENSG00000105372, ENSG00000167526, ENSG00000243927, ENSG00000137818, ENSG00000198034, ENSG00000137876, ENSG00000174444, ENSG00000083845, ENSG00000262660, ENSG00000123908, ENSG00000197958, ENSG00000145425, ENSG00000166441, ENSG00000231500, ENSG00000221983, ENSG00000108298, ENSG00000089157, ENSG00000164587, ENSG00000204628, ENSG00000147403, ENSG00000161016	399	201	16565	7.642302273095675	4.948174519374168E-18	2.473059387954767E-18	2.4596970554346456E-18
GOTERM_CC_DIRECT	GO:0005829~cytosol	214	50.47169811320755	6.437768570891902E-21	ENSG00000076944, ENSG00000130313, ENSG00000114867, ENSG00000091542, ENSG00000128591, ENSG00000196961, ENSG00000244687, ENSG00000084207, ENSG00000142541, ENSG00000127948, ENSG00000123349, ENSG00000100345, ENSG00000130429, ENSG00000084693, ENSG00000099817, ENSG00000167965, ENSG00000147677, ENSG00000126067, ENSG00000107404, ENSG00000075624, ENSG00000072110, ENSG00000123908, ENSG00000060138, ENSG00000172757, ENSG00000059145, ENSG00000137076, ENSG00000147421, ENSG00000163931, ENSG00000108298, ENSG00000164587, ENSG00000105220, ENSG00000127399, ENSG00000107521, ENSG00000149273, ENSG00000196182, ENSG00000124092, ENSG00000127481, ENSG00000197157, ENSG00000047849, ENSG00000133243, ENSG00000213923, ENSG00000134333, ENSG00000141551, ENSG00000100129, ENSG00000117592, ENSG00000168036, ENSG00000063177, ENSG00000105372, ENSG00000109971, ENSG00000197381, ENSG00000110713, ENSG00000103187, ENSG00000146670, ENSG00000112576, ENSG00000260027, ENSG00000116017, ENSG00000006125, ENSG00000058272, ENSG00000116133, ENSG00000078304, ENSG00000125755, ENSG00000147403, ENSG00000149823, ENSG00000100353, ENSG00000167513, ENSG00000186716, ENSG00000196642, ENSG00000104904, ENSG00000065978, ENSG00000167522, ENSG00000038358, ENSG00000126934, ENSG00000278540, ENSG00000109475, ENSG00000167526, ENSG00000070756, ENSG00000073921, ENSG00000155366, ENSG00000130402, ENSG00000095139, ENSG00000147065, ENSG00000105669, ENSG00000061938, ENSG00000204463, ENSG00000198931, ENSG00000133112, ENSG00000197958, ENSG00000149925, ENSG00000166441, ENSG00000078369, ENSG00000167658, ENSG00000185624, ENSG00000141522, ENSG00000103485, ENSG00000065150, ENSG00000135624, ENSG00000029534, ENSG00000070182, ENSG00000042753, ENSG00000068308, ENSG00000005007, ENSG00000136830, ENSG00000116584, ENSG00000174748, ENSG00000162413, ENSG00000152082, ENSG00000169727, ENSG00000137818, ENSG00000198034, ENSG00000105568, ENSG00000105327, ENSG00000196411, ENSG00000137497, ENSG00000145425, ENSG00000167792, ENSG00000167671, ENSG00000186298, ENSG00000126247, ENSG00000130159, ENSG00000182718, ENSG00000177000, ENSG00000115677, ENSG00000172354, ENSG00000095066, ENSG00000137106, ENSG00000062822, ENSG00000105193, ENSG00000108344, ENSG00000254772, ENSG00000141959, ENSG00000075340, ENSG00000118046, ENSG00000065427, ENSG00000169756, ENSG00000221983, ENSG00000063245, ENSG00000185420, ENSG00000184216, ENSG00000100297, ENSG00000101266, ENSG00000131469, ENSG00000105655, ENSG00000066044, ENSG00000130811, ENSG00000173581, ENSG00000263020, ENSG00000135821, ENSG00000130255, ENSG00000079246, ENSG00000140988, ENSG00000061273, ENSG00000187514, ENSG00000125107, ENSG00000168439, ENSG00000079805, ENSG00000164754, ENSG00000071626, ENSG00000138668, ENSG00000083845, ENSG00000174444, ENSG00000156515, ENSG00000131473, ENSG00000182054, ENSG00000089157, ENSG00000124942, ENSG00000161016, ENSG00000108424, ENSG00000137309, ENSG00000135486, ENSG00000156508, ENSG00000177600, ENSG00000163682, ENSG00000170889, ENSG00000008130, ENSG00000123143, ENSG00000177731, ENSG00000105701, ENSG00000150991, ENSG00000231500, ENSG00000157020, ENSG00000188976, ENSG00000182199, ENSG00000185104, ENSG00000204628, ENSG00000141367, ENSG00000181789, ENSG00000181788, ENSG00000197111, ENSG00000176890, ENSG00000173020, ENSG00000178035, ENSG00000111057, ENSG00000104529, ENSG00000092929, ENSG00000117394, ENSG00000011052, ENSG00000090621, ENSG00000163468, ENSG00000087460, ENSG00000143774, ENSG00000163902, ENSG00000198431, ENSG00000173273, ENSG00000197102, ENSG00000179134, ENSG00000196924, ENSG00000170315, ENSG00000084623, ENSG00000141580, ENSG00000185122, ENSG00000166508, ENSG00000166986, ENSG00000166501, ENSG00000014216	407	5348	17529	1.7233961029772549	3.708154696833736E-18	9.27038674208434E-19	8.690987570704067E-19
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	32	7.547169811320755	1.5869729402891108E-19	ENSG00000149273, ENSG00000131469, ENSG00000177600, ENSG00000130255, ENSG00000142541, ENSG00000116221, ENSG00000163682, ENSG00000174748, ENSG00000170889, ENSG00000105193, ENSG00000140988, ENSG00000063177, ENSG00000109475, ENSG00000105372, ENSG00000167526, ENSG00000243927, ENSG00000137818, ENSG00000198034, ENSG00000137876, ENSG00000174444, ENSG00000083845, ENSG00000262660, ENSG00000197958, ENSG00000145425, ENSG00000166441, ENSG00000231500, ENSG00000221983, ENSG00000108298, ENSG00000089157, ENSG00000164587, ENSG00000147403, ENSG00000161016	403	163	16929	8.24686020490493	1.08866343703833E-16	5.4512520498930955E-17	5.324294214669967E-17
GOTERM_CC_DIRECT	GO:0005840~ribosome	30	7.0754716981132075	1.6811864285124456E-18	ENSG00000149273, ENSG00000131469, ENSG00000156508, ENSG00000130255, ENSG00000142541, ENSG00000116221, ENSG00000163682, ENSG00000174748, ENSG00000170889, ENSG00000105193, ENSG00000140988, ENSG00000063177, ENSG00000105372, ENSG00000167526, ENSG00000137818, ENSG00000198034, ENSG00000137876, ENSG00000174444, ENSG00000083845, ENSG00000262660, ENSG00000136643, ENSG00000197958, ENSG00000145425, ENSG00000166441, ENSG00000231500, ENSG00000221983, ENSG00000089157, ENSG00000164587, ENSG00000147403, ENSG00000161016	407	154	17529	8.390025208207026	9.683633828231687E-16	1.9367267656463373E-16	1.8156813427934413E-16
GOTERM_CC_DIRECT	GO:0016020~membrane	150	35.37735849056604	7.789572983133072E-16	ENSG00000069696, ENSG00000128595, ENSG00000123064, ENSG00000182718, ENSG00000114867, ENSG00000090971, ENSG00000198743, ENSG00000196961, ENSG00000204310, ENSG00000172354, ENSG00000062822, ENSG00000142541, ENSG00000127948, ENSG00000157350, ENSG00000129968, ENSG00000100345, ENSG00000105193, ENSG00000108344, ENSG00000185559, ENSG00000254772, ENSG00000147677, ENSG00000132589, ENSG00000126067, ENSG00000075624, ENSG00000141959, ENSG00000118046, ENSG00000123908, ENSG00000172757, ENSG00000108298, ENSG00000163812, ENSG00000164587, ENSG00000100297, ENSG00000105220, ENSG00000149273, ENSG00000131469, ENSG00000066044, ENSG00000127481, ENSG00000197157, ENSG00000172893, ENSG00000008710, ENSG00000134333, ENSG00000177943, ENSG00000130255, ENSG00000144028, ENSG00000100129, ENSG00000079246, ENSG00000117592, ENSG00000168036, ENSG00000140988, ENSG00000063177, ENSG00000105372, ENSG00000125107, ENSG00000099917, ENSG00000109971, ENSG00000079805, ENSG00000164754, ENSG00000110955, ENSG00000134109, ENSG00000130821, ENSG00000065000, ENSG00000112576, ENSG00000083845, ENSG00000159346, ENSG00000174444, ENSG00000111642, ENSG00000131473, ENSG00000006125, ENSG00000136643, ENSG00000116133, ENSG00000011304, ENSG00000136240, ENSG00000089157, ENSG00000126602, ENSG00000124942, ENSG00000149428, ENSG00000163399, ENSG00000147403, ENSG00000125991, ENSG00000100353, ENSG00000149823, ENSG00000103222, ENSG00000161016, ENSG00000172270, ENSG00000186716, ENSG00000108424, ENSG00000075415, ENSG00000135486, ENSG00000156508, ENSG00000108828, ENSG00000108829, ENSG00000177600, ENSG00000136732, ENSG00000146701, ENSG00000163682, ENSG00000170889, ENSG00000038358, ENSG00000005022, ENSG00000167526, ENSG00000070756, ENSG00000015479, ENSG00000140564, ENSG00000073921, ENSG00000095139, ENSG00000149485, ENSG00000105701, ENSG00000105669, ENSG00000061938, ENSG00000072274, ENSG00000204463, ENSG00000007038, ENSG00000114650, ENSG00000197958, ENSG00000149925, ENSG00000166441, ENSG00000231500, ENSG00000087111, ENSG00000078369, ENSG00000167658, ENSG00000141522, ENSG00000141367, ENSG00000065150, ENSG00000197111, ENSG00000173020, ENSG00000178035, ENSG00000029534, ENSG00000004399, ENSG00000104805, ENSG00000092929, ENSG00000174748, ENSG00000117394, ENSG00000165802, ENSG00000012660, ENSG00000087460, ENSG00000198792, ENSG00000163902, ENSG00000198034, ENSG00000105568, ENSG00000197102, ENSG00000196498, ENSG00000152234, ENSG00000196924, ENSG00000168003, ENSG00000127616, ENSG00000167671, ENSG00000167792, ENSG00000185883, ENSG00000166508, ENSG00000166986, ENSG00000014216, ENSG00000126247	407	3464	17529	1.864988282424772	4.476419235288631E-13	7.477990063807749E-14	7.010615684819765E-14
