Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	113	27.49391727493917	2.94428586441226E-39	ENSG00000127022, ENSG00000147274, ENSG00000142937, ENSG00000110700, ENSG00000242265, ENSG00000113013, ENSG00000167721, ENSG00000142541, ENSG00000166598, ENSG00000166197, ENSG00000117450, ENSG00000130826, ENSG00000124795, ENSG00000147140, ENSG00000134644, ENSG00000168028, ENSG00000137073, ENSG00000163811, ENSG00000146731, ENSG00000122026, ENSG00000142534, ENSG00000167978, ENSG00000149273, ENSG00000198242, ENSG00000131469, ENSG00000089280, ENSG00000145592, ENSG00000131747, ENSG00000163938, ENSG00000110321, ENSG00000265681, ENSG00000060339, ENSG00000117751, ENSG00000198918, ENSG00000115053, ENSG00000139343, ENSG00000140988, ENSG00000162613, ENSG00000105373, ENSG00000109971, ENSG00000071626, ENSG00000197381, ENSG00000112739, ENSG00000109606, ENSG00000132680, ENSG00000174444, ENSG00000170004, ENSG00000071082, ENSG00000055044, ENSG00000011304, ENSG00000143569, ENSG00000116251, ENSG00000122406, ENSG00000130935, ENSG00000179051, ENSG00000164924, ENSG00000089157, ENSG00000124942, ENSG00000147403, ENSG00000105640, ENSG00000103495, ENSG00000213741, ENSG00000161813, ENSG00000074201, ENSG00000135486, ENSG00000156508, ENSG00000163682, ENSG00000167881, ENSG00000136450, ENSG00000100028, ENSG00000056586, ENSG00000100664, ENSG00000167526, ENSG00000070756, ENSG00000125691, ENSG00000179115, ENSG00000136068, ENSG00000072274, ENSG00000133112, ENSG00000156976, ENSG00000132300, ENSG00000204469, ENSG00000169710, ENSG00000280987, ENSG00000102317, ENSG00000143947, ENSG00000167658, ENSG00000204628, ENSG00000100650, ENSG00000103275, ENSG00000196262, ENSG00000198563, ENSG00000112306, ENSG00000112787, ENSG00000136270, ENSG00000174748, ENSG00000090621, ENSG00000161960, ENSG00000148303, ENSG00000101361, ENSG00000102054, ENSG00000008988, ENSG00000173674, ENSG00000152234, ENSG00000115484, ENSG00000145425, ENSG00000159140, ENSG00000125835, ENSG00000100316, ENSG00000186298, ENSG00000107581, ENSG00000122566, ENSG00000107223	360	1479	18967	4.025375629178875	1.8519558087153112E-36	1.8549000945797236E-36	1.8077915207491276E-36
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	33	8.02919708029197	9.175632275112857E-33	ENSG00000149273, ENSG00000213741, ENSG00000198242, ENSG00000131469, ENSG00000145592, ENSG00000142937, ENSG00000110700, ENSG00000112306, ENSG00000265681, ENSG00000177600, ENSG00000142541, ENSG00000163682, ENSG00000198918, ENSG00000174748, ENSG00000140988, ENSG00000167526, ENSG00000148303, ENSG00000125691, ENSG00000008988, ENSG00000174444, ENSG00000071082, ENSG00000168028, ENSG00000145425, ENSG00000116251, ENSG00000100316, ENSG00000143947, ENSG00000122406, ENSG00000089157, ENSG00000204628, ENSG00000147403, ENSG00000122026, ENSG00000142534, ENSG00000105640	358	91	19453	19.704984959174904	1.7268539941762397E-29	1.7259364309487282E-29	1.712172982536059E-29
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	31	7.542579075425791	4.847785323918089E-30	ENSG00000149273, ENSG00000198242, ENSG00000131469, ENSG00000145592, ENSG00000142937, ENSG00000110700, ENSG00000112306, ENSG00000156508, ENSG00000265681, ENSG00000142541, ENSG00000163682, ENSG00000198918, ENSG00000174748, ENSG00000140988, ENSG00000167526, ENSG00000148303, ENSG00000125691, ENSG00000008988, ENSG00000174444, ENSG00000071082, ENSG00000168028, ENSG00000145425, ENSG00000116251, ENSG00000100316, ENSG00000143947, ENSG00000122406, ENSG00000089157, ENSG00000147403, ENSG00000122026, ENSG00000142534, ENSG00000105640	363	93	20647	18.95959595959596	2.5935651482961775E-27	2.5935651482961775E-27	2.3996537353394542E-27
GOTERM_BP_DIRECT	GO:0006412~translation	41	9.975669099756692	2.2376736998409047E-28	ENSG00000149273, ENSG00000213741, ENSG00000198242, ENSG00000131469, ENSG00000161813, ENSG00000148187, ENSG00000106305, ENSG00000145592, ENSG00000142937, ENSG00000110700, ENSG00000112306, ENSG00000156508, ENSG00000265681, ENSG00000177600, ENSG00000142541, ENSG00000163682, ENSG00000198918, ENSG00000174748, ENSG00000140988, ENSG00000090621, ENSG00000265818, ENSG00000167526, ENSG00000148303, ENSG00000125691, ENSG00000179115, ENSG00000008988, ENSG00000174444, ENSG00000071082, ENSG00000168028, ENSG00000145425, ENSG00000116251, ENSG00000100316, ENSG00000124802, ENSG00000143947, ENSG00000122406, ENSG00000089157, ENSG00000204628, ENSG00000147403, ENSG00000122026, ENSG00000142534, ENSG00000215472, ENSG00000105640	358	219	19453	10.172865488125304	4.211301903100582E-25	2.104532114700371E-25	2.087749561951564E-25
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	33	8.02919708029197	2.2773183066770067E-21	ENSG00000149273, ENSG00000213741, ENSG00000198242, ENSG00000131469, ENSG00000145592, ENSG00000142937, ENSG00000110700, ENSG00000112306, ENSG00000265681, ENSG00000177600, ENSG00000142541, ENSG00000163682, ENSG00000198918, ENSG00000174748, ENSG00000140988, ENSG00000167526, ENSG00000148303, ENSG00000125691, ENSG00000008988, ENSG00000174444, ENSG00000071082, ENSG00000168028, ENSG00000145425, ENSG00000116251, ENSG00000100316, ENSG00000143947, ENSG00000122406, ENSG00000089157, ENSG00000147403, ENSG00000122026, ENSG00000142534, ENSG00000215472, ENSG00000105640	360	190	18967	9.150745614035088	1.4324332148998371E-18	7.173552666032571E-19	6.99136720149841E-19
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	104	25.304136253041364	6.862454487209176E-21	ENSG00000127022, ENSG00000147274, ENSG00000162704, ENSG00000142937, ENSG00000110700, ENSG00000172232, ENSG00000164292, ENSG00000137106, ENSG00000113013, ENSG00000166598, ENSG00000117450, ENSG00000156261, ENSG00000132589, ENSG00000168028, ENSG00000172757, ENSG00000183087, ENSG00000180817, ENSG00000146731, ENSG00000142534, ENSG00000149273, ENSG00000100084, ENSG00000198242, ENSG00000131469, ENSG00000075711, ENSG00000249915, ENSG00000171560, ENSG00000176978, ENSG00000117632, ENSG00000100804, ENSG00000118137, ENSG00000167468, ENSG00000115053, ENSG00000168036, ENSG00000140988, ENSG00000091513, ENSG00000109971, ENSG00000110955, ENSG00000130702, ENSG00000174444, ENSG00000175899, ENSG00000071082, ENSG00000011304, ENSG00000116251, ENSG00000122406, ENSG00000164924, ENSG00000078668, ENSG00000089157, ENSG00000124942, ENSG00000163399, ENSG00000172270, ENSG00000213741, ENSG00000078808, ENSG00000075415, ENSG00000180573, ENSG00000167085, ENSG00000135486, ENSG00000156508, ENSG00000114302, ENSG00000139725, ENSG00000108828, ENSG00000177600, ENSG00000166278, ENSG00000103257, ENSG00000070756, ENSG00000105397, ENSG00000125691, ENSG00000112514, ENSG00000175792, ENSG00000136068, ENSG00000072274, ENSG00000136100, ENSG00000133112, ENSG00000204469, ENSG00000169710, ENSG00000157020, ENSG00000143947, ENSG00000182871, ENSG00000141524, ENSG00000167658, ENSG00000204628, ENSG00000125730, ENSG00000196262, ENSG00000067057, ENSG00000136156, ENSG00000115414, ENSG00000176533, ENSG00000196305, ENSG00000137642, ENSG00000090863, ENSG00000161960, ENSG00000100284, ENSG00000105968, ENSG00000008988, ENSG00000152234, ENSG00000115484, ENSG00000145425, ENSG00000170315, ENSG00000256646, ENSG00000100316, ENSG00000124103, ENSG00000166986, ENSG00000122566, ENSG00000166501, ENSG00000163631	363	2240	20647	2.6408008658008657	3.671413150656909E-18	1.8357065753284547E-18	1.698457485584271E-18
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	21	5.109489051094891	2.0309617365875324E-20	ENSG00000125691, ENSG00000198242, ENSG00000131469, ENSG00000145592, ENSG00000174444, ENSG00000265681, ENSG00000177600, ENSG00000071082, ENSG00000142541, ENSG00000163682, ENSG00000198918, ENSG00000174748, ENSG00000116251, ENSG00000100316, ENSG00000122406, ENSG00000089157, ENSG00000147403, ENSG00000167526, ENSG00000122026, ENSG00000148303, ENSG00000105640	363	62	20647	19.265395894428153	1.0865645290743299E-17	3.6218817635810995E-18	3.3510868653694284E-18
GOTERM_CC_DIRECT	GO:0005840~ribosome	30	7.2992700729927	3.2101806065874325E-20	ENSG00000149273, ENSG00000127022, ENSG00000213741, ENSG00000198242, ENSG00000131469, ENSG00000145592, ENSG00000142937, ENSG00000110700, ENSG00000156508, ENSG00000142541, ENSG00000163682, ENSG00000174748, ENSG00000167881, ENSG00000140988, ENSG00000167526, ENSG00000125691, ENSG00000008988, ENSG00000174444, ENSG00000071082, ENSG00000132300, ENSG00000145425, ENSG00000116251, ENSG00000100316, ENSG00000143947, ENSG00000122406, ENSG00000089157, ENSG00000147403, ENSG00000122026, ENSG00000142534, ENSG00000105640	363	174	20647	9.806687565308255	1.7174466245242762E-17	4.2936165613106906E-18	3.972598500651948E-18
GOTERM_CC_DIRECT	GO:0005829~cytosol	177	43.06569343065693	1.4069191450769229E-18	ENSG00000162704, ENSG00000142937, ENSG00000110700, ENSG00000242265, ENSG00000164292, ENSG00000138674, ENSG00000137106, ENSG00000172115, ENSG00000167721, ENSG00000142541, ENSG00000166598, ENSG00000188026, ENSG00000117450, ENSG00000156261, ENSG00000265818, ENSG00000127663, ENSG00000126698, ENSG00000072736, ENSG00000134644, ENSG00000158711, ENSG00000168028, ENSG00000172757, ENSG00000166004, ENSG00000122705, ENSG00000180817, ENSG00000186111, ENSG00000164506, ENSG00000146731, ENSG00000101266, ENSG00000122026, ENSG00000142534, ENSG00000140632, ENSG00000149273, ENSG00000198242, ENSG00000131469, ENSG00000075711, ENSG00000145592, ENSG00000249915, ENSG00000115977, ENSG00000110321, ENSG00000265681, ENSG00000139620, ENSG00000117632, ENSG00000198408, ENSG00000132432, ENSG00000100804, ENSG00000118137, ENSG00000010322, ENSG00000167468, ENSG00000198918, ENSG00000139343, ENSG00000168036, ENSG00000166012, ENSG00000140988, ENSG00000164877, ENSG00000101972, ENSG00000105373, ENSG00000109971, ENSG00000071626, ENSG00000197381, ENSG00000010292, ENSG00000117868, ENSG00000174444, ENSG00000131196, ENSG00000071082, ENSG00000205339, ENSG00000055044, ENSG00000116251, ENSG00000256206, ENSG00000228716, ENSG00000122406, ENSG00000179051, ENSG00000085231, ENSG00000164924, ENSG00000089157, ENSG00000124942, ENSG00000147403, ENSG00000102893, ENSG00000105640, ENSG00000099901, ENSG00000213741, ENSG00000161813, ENSG00000177169, ENSG00000115758, ENSG00000074201, ENSG00000108946, ENSG00000129083, ENSG00000114942, ENSG00000135486, ENSG00000156508, ENSG00000114302, ENSG00000139725, ENSG00000104904, ENSG00000196369, ENSG00000085978, ENSG00000177600, ENSG00000196923, ENSG00000142102, ENSG00000163682, ENSG00000167881, ENSG00000100028, ENSG00000100664, ENSG00000103257, ENSG00000167526, ENSG00000127586, ENSG00000070756, ENSG00000105397, ENSG00000125691, ENSG00000179115, ENSG00000131697, ENSG00000073921, ENSG00000002822, ENSG00000070010, ENSG00000175792, ENSG00000134046, ENSG00000136068, ENSG00000136100, ENSG00000137955, ENSG00000133112, ENSG00000156976, ENSG00000132300, ENSG00000141002, ENSG00000204469, ENSG00000169710, ENSG00000186432, ENSG00000124802, ENSG00000157020, ENSG00000143947, ENSG00000166848, ENSG00000167658, ENSG00000204628, ENSG00000100650, ENSG00000129657, ENSG00000214021, ENSG00000162521, ENSG00000223609, ENSG00000103275, ENSG00000100280, ENSG00000196262, ENSG00000106305, ENSG00000067057, ENSG00000112306, ENSG00000131143, ENSG00000196305, ENSG00000197757, ENSG00000173821, ENSG00000174748, ENSG00000089006, ENSG00000090621, ENSG00000161960, ENSG00000100284, ENSG00000148303, ENSG00000102054, ENSG00000080819, ENSG00000213551, ENSG00000105963, ENSG00000156795, ENSG00000149100, ENSG00000131558, ENSG00000175216, ENSG00000008988, ENSG00000173674, ENSG00000104915, ENSG00000115484, ENSG00000145425, ENSG00000170315, ENSG00000256646, ENSG00000125835, ENSG00000100316, ENSG00000186298, ENSG00000185122, ENSG00000165417, ENSG00000107581, ENSG00000166747, ENSG00000166986, ENSG00000126883, ENSG00000166501, ENSG00000107223	363	5627	20647	1.7891497164644488	7.527017426161537E-16	1.5054034852323075E-16	1.3928499536261535E-16
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	137	33.33333333333333	1.6875934854352446E-15	ENSG00000147274, ENSG00000142937, ENSG00000110700, ENSG00000242265, ENSG00000176715, ENSG00000167721, ENSG00000166197, ENSG00000188026, ENSG00000153391, ENSG00000156261, ENSG00000130826, ENSG00000265818, ENSG00000127663, ENSG00000126698, ENSG00000072736, ENSG00000124795, ENSG00000105229, ENSG00000147140, ENSG00000163806, ENSG00000134644, ENSG00000158711, ENSG00000168028, ENSG00000141562, ENSG00000186111, ENSG00000163811, ENSG00000101266, ENSG00000142534, ENSG00000109787, ENSG00000140632, ENSG00000167978, ENSG00000149273, ENSG00000100084, ENSG00000131469, ENSG00000089280, ENSG00000008838, ENSG00000249915, ENSG00000131747, ENSG00000189091, ENSG00000139620, ENSG00000060339, ENSG00000100804, ENSG00000117751, ENSG00000010322, ENSG00000115053, ENSG00000139343, ENSG00000100888, ENSG00000168036, ENSG00000166012, ENSG00000140988, ENSG00000162613, ENSG00000101972, ENSG00000105373, ENSG00000109971, ENSG00000071626, ENSG00000197381, ENSG00000160957, ENSG00000112739, ENSG00000109606, ENSG00000132680, ENSG00000010292, ENSG00000131196, ENSG00000170004, ENSG00000205339, ENSG00000055044, ENSG00000011304, ENSG00000122406, ENSG00000130935, ENSG00000085231, ENSG00000164924, ENSG00000109685, ENSG00000179588, ENSG00000213741, ENSG00000180573, ENSG00000074201, ENSG00000167085, ENSG00000196367, ENSG00000135486, ENSG00000075131, ENSG00000196369, ENSG00000080603, ENSG00000196923, ENSG00000187531, ENSG00000159692, ENSG00000136450, ENSG00000100028, ENSG00000127586, ENSG00000100023, ENSG00000125691, ENSG00000131697, ENSG00000070010, ENSG00000113328, ENSG00000175792, ENSG00000134046, ENSG00000180182, ENSG00000133112, ENSG00000132300, ENSG00000204469, ENSG00000186432, ENSG00000088448, ENSG00000102317, ENSG00000124802, ENSG00000157020, ENSG00000143947, ENSG00000128607, ENSG00000103249, ENSG00000166848, ENSG00000204628, ENSG00000100650, ENSG00000129657, ENSG00000162521, ENSG00000103275, ENSG00000157933, ENSG00000198563, ENSG00000180198, ENSG00000112306, ENSG00000131143, ENSG00000196305, ENSG00000197757, ENSG00000277957, ENSG00000101361, ENSG00000102054, ENSG00000129993, ENSG00000213551, ENSG00000008988, ENSG00000115484, ENSG00000145425, ENSG00000170315, ENSG00000256646, ENSG00000125835, ENSG00000005075, ENSG00000186298, ENSG00000185122, ENSG00000165417, ENSG00000107581, ENSG00000126883, ENSG00000122566, ENSG00000166501, ENSG00000107223	363	4076	20647	1.9117747643262855	8.909539772616881E-13	1.4778563895944246E-13	1.3673624539238133E-13
