Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	67	10.806451612903226	1.8483028941850343E-79	ENSG00000108107, ENSG00000213741, ENSG00000142937, ENSG00000110700, ENSG00000177600, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000170889, ENSG00000105193, ENSG00000109475, ENSG00000167526, ENSG00000125691, ENSG00000138326, ENSG00000241343, ENSG00000115268, ENSG00000168028, ENSG00000197958, ENSG00000144713, ENSG00000137154, ENSG00000166441, ENSG00000221983, ENSG00000143947, ENSG00000108298, ENSG00000162244, ENSG00000204628, ENSG00000164587, ENSG00000122026, ENSG00000182899, ENSG00000149273, ENSG00000198242, ENSG00000131469, ENSG00000145592, ENSG00000134419, ENSG00000197756, ENSG00000130255, ENSG00000229117, ENSG00000174748, ENSG00000124614, ENSG00000089009, ENSG00000156482, ENSG00000140988, ENSG00000186468, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000188846, ENSG00000137818, ENSG00000198034, ENSG00000008988, ENSG00000083845, ENSG00000174444, ENSG00000198755, ENSG00000177954, ENSG00000071082, ENSG00000145425, ENSG00000147604, ENSG00000116251, ENSG00000114391, ENSG00000122406, ENSG00000161970, ENSG00000089157, ENSG00000182774, ENSG00000147403, ENSG00000142676, ENSG00000161016, ENSG00000105640	558	88	16565	22.60213017269469	4.5191005762824086E-76	4.517252273388224E-76	4.4839828212928934E-76
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	80	12.903225806451612	5.828116562610636E-73	ENSG00000108107, ENSG00000131368, ENSG00000172590, ENSG00000213741, ENSG00000142937, ENSG00000110700, ENSG00000177600, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000170889, ENSG00000257529, ENSG00000105193, ENSG00000109475, ENSG00000167526, ENSG00000125691, ENSG00000138326, ENSG00000241343, ENSG00000115268, ENSG00000262660, ENSG00000168028, ENSG00000197958, ENSG00000144713, ENSG00000086504, ENSG00000137154, ENSG00000166441, ENSG00000221983, ENSG00000143947, ENSG00000108298, ENSG00000162244, ENSG00000164587, ENSG00000122026, ENSG00000182899, ENSG00000149273, ENSG00000172172, ENSG00000198242, ENSG00000131469, ENSG00000145592, ENSG00000134419, ENSG00000197756, ENSG00000130255, ENSG00000116221, ENSG00000182180, ENSG00000229117, ENSG00000174748, ENSG00000124614, ENSG00000089009, ENSG00000156482, ENSG00000140988, ENSG00000186468, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000120333, ENSG00000188846, ENSG00000137818, ENSG00000090263, ENSG00000267855, ENSG00000198034, ENSG00000008988, ENSG00000083845, ENSG00000174444, ENSG00000198755, ENSG00000243147, ENSG00000177954, ENSG00000071082, ENSG00000260342, ENSG00000145425, ENSG00000147604, ENSG00000116251, ENSG00000114391, ENSG00000185088, ENSG00000122406, ENSG00000161970, ENSG00000089157, ENSG00000182774, ENSG00000147403, ENSG00000142676, ENSG00000161016, ENSG00000105640	567	163	16929	14.653812445223487	3.957291146012622E-70	3.9631192625752324E-70	3.84655693132302E-70
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	64	10.32258064516129	4.929857443986546E-72	ENSG00000108107, ENSG00000142937, ENSG00000110700, ENSG00000156508, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000170889, ENSG00000105193, ENSG00000109475, ENSG00000167526, ENSG00000125691, ENSG00000138326, ENSG00000241343, ENSG00000115268, ENSG00000168028, ENSG00000197958, ENSG00000144713, ENSG00000137154, ENSG00000166441, ENSG00000221983, ENSG00000143947, ENSG00000108298, ENSG00000162244, ENSG00000164587, ENSG00000122026, ENSG00000182899, ENSG00000149273, ENSG00000198242, ENSG00000131469, ENSG00000145592, ENSG00000134419, ENSG00000197756, ENSG00000130255, ENSG00000174748, ENSG00000124614, ENSG00000089009, ENSG00000156482, ENSG00000140988, ENSG00000186468, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000188846, ENSG00000137818, ENSG00000198034, ENSG00000008988, ENSG00000083845, ENSG00000174444, ENSG00000198755, ENSG00000177954, ENSG00000071082, ENSG00000145425, ENSG00000147604, ENSG00000116251, ENSG00000114391, ENSG00000122406, ENSG00000161970, ENSG00000089157, ENSG00000182774, ENSG00000147403, ENSG00000142676, ENSG00000161016, ENSG00000105640	580	92	17529	21.02428785607196	2.9283353217280084E-69	2.9283353217280084E-69	2.6917021644166543E-69
GOTERM_BP_DIRECT	GO:0006412~translation	85	13.709677419354838	1.1540112708504467E-70	ENSG00000108107, ENSG00000172590, ENSG00000213741, ENSG00000142937, ENSG00000110700, ENSG00000156508, ENSG00000177600, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000170889, ENSG00000257529, ENSG00000105193, ENSG00000109475, ENSG00000265818, ENSG00000167526, ENSG00000125691, ENSG00000179115, ENSG00000138326, ENSG00000241343, ENSG00000115268, ENSG00000262660, ENSG00000168028, ENSG00000197958, ENSG00000144713, ENSG00000086504, ENSG00000137154, ENSG00000166441, ENSG00000221983, ENSG00000124802, ENSG00000143947, ENSG00000108298, ENSG00000162244, ENSG00000204628, ENSG00000164587, ENSG00000122026, ENSG00000182899, ENSG00000149273, ENSG00000172172, ENSG00000198242, ENSG00000131469, ENSG00000145592, ENSG00000134419, ENSG00000172053, ENSG00000197756, ENSG00000130255, ENSG00000116221, ENSG00000182180, ENSG00000229117, ENSG00000174748, ENSG00000124614, ENSG00000089009, ENSG00000156482, ENSG00000140988, ENSG00000186468, ENSG00000063177, ENSG00000090621, ENSG00000172809, ENSG00000105372, ENSG00000120333, ENSG00000188846, ENSG00000137818, ENSG00000090263, ENSG00000198034, ENSG00000196531, ENSG00000008988, ENSG00000083845, ENSG00000174444, ENSG00000198755, ENSG00000243147, ENSG00000177954, ENSG00000071082, ENSG00000260342, ENSG00000145425, ENSG00000147604, ENSG00000116251, ENSG00000114391, ENSG00000185088, ENSG00000122406, ENSG00000161970, ENSG00000089157, ENSG00000182774, ENSG00000147403, ENSG00000142676, ENSG00000161016, ENSG00000105640	558	201	16565	12.553941760730398	2.8215575572293423E-67	1.4102017729792459E-67	1.3998156715415919E-67
GOTERM_CC_DIRECT	GO:0005840~ribosome	73	11.774193548387096	2.5015413109984227E-65	ENSG00000108107, ENSG00000131368, ENSG00000127022, ENSG00000213741, ENSG00000142937, ENSG00000110700, ENSG00000156508, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000170889, ENSG00000257529, ENSG00000105193, ENSG00000167526, ENSG00000125691, ENSG00000138326, ENSG00000241343, ENSG00000115268, ENSG00000262660, ENSG00000175756, ENSG00000197958, ENSG00000144713, ENSG00000086504, ENSG00000137154, ENSG00000166441, ENSG00000221983, ENSG00000143947, ENSG00000162244, ENSG00000164587, ENSG00000122026, ENSG00000182899, ENSG00000149273, ENSG00000172172, ENSG00000198242, ENSG00000131469, ENSG00000145592, ENSG00000134419, ENSG00000197756, ENSG00000130255, ENSG00000116221, ENSG00000182180, ENSG00000229117, ENSG00000174748, ENSG00000124614, ENSG00000089009, ENSG00000140988, ENSG00000186468, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000120333, ENSG00000188846, ENSG00000137818, ENSG00000090263, ENSG00000198034, ENSG00000008988, ENSG00000083845, ENSG00000174444, ENSG00000177954, ENSG00000071082, ENSG00000260342, ENSG00000145425, ENSG00000120742, ENSG00000116251, ENSG00000114391, ENSG00000185088, ENSG00000122406, ENSG00000089157, ENSG00000182774, ENSG00000147403, ENSG00000142676, ENSG00000161016, ENSG00000105640	580	154	17529	14.326209135691895	1.485915538733063E-62	7.429577693665315E-63	6.829207779025694E-63
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	42	6.774193548387098	5.383343471674472E-48	ENSG00000108107, ENSG00000182899, ENSG00000198242, ENSG00000131469, ENSG00000145592, ENSG00000197756, ENSG00000177600, ENSG00000130255, ENSG00000142541, ENSG00000163682, ENSG00000229117, ENSG00000174748, ENSG00000089009, ENSG00000156482, ENSG00000063177, ENSG00000109475, ENSG00000172809, ENSG00000167526, ENSG00000188846, ENSG00000125691, ENSG00000137818, ENSG00000241343, ENSG00000174444, ENSG00000198755, ENSG00000071082, ENSG00000197958, ENSG00000144713, ENSG00000147604, ENSG00000116251, ENSG00000114391, ENSG00000166441, ENSG00000221983, ENSG00000122406, ENSG00000108298, ENSG00000161970, ENSG00000089157, ENSG00000162244, ENSG00000147403, ENSG00000122026, ENSG00000142676, ENSG00000161016, ENSG00000105640	580	58	17529	21.885196195005946	3.1977060221746366E-45	1.0659020073915455E-45	9.79768511844754E-46
GOTERM_MF_DIRECT	GO:0003723~RNA binding	159	25.645161290322584	4.4101057661331475E-45	ENSG00000108107, ENSG00000127022, ENSG00000092199, ENSG00000177885, ENSG00000142937, ENSG00000110700, ENSG00000248643, ENSG00000153037, ENSG00000113013, ENSG00000142541, ENSG00000255508, ENSG00000166598, ENSG00000105193, ENSG00000203907, ENSG00000178982, ENSG00000138326, ENSG00000241343, ENSG00000115268, ENSG00000168028, ENSG00000144713, ENSG00000086504, ENSG00000232119, ENSG00000088247, ENSG00000108298, ENSG00000164587, ENSG00000011485, ENSG00000122026, ENSG00000167978, ENSG00000121057, ENSG00000149273, ENSG00000198242, ENSG00000131469, ENSG00000215301, ENSG00000089280, ENSG00000144381, ENSG00000145592, ENSG00000139746, ENSG00000130255, ENSG00000004478, ENSG00000117751, ENSG00000229117, ENSG00000139343, ENSG00000100129, ENSG00000079246, ENSG00000156482, ENSG00000140988, ENSG00000125743, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000120333, ENSG00000188846, ENSG00000211450, ENSG00000101161, ENSG00000077348, ENSG00000083845, ENSG00000174444, ENSG00000198755, ENSG00000177954, ENSG00000071082, ENSG00000170515, ENSG00000116251, ENSG00000122406, ENSG00000130935, ENSG00000089157, ENSG00000126602, ENSG00000076928, ENSG00000147403, ENSG00000106211, ENSG00000161016, ENSG00000105640, ENSG00000103495, ENSG00000213741, ENSG00000106246, ENSG00000090097, ENSG00000108424, ENSG00000156508, ENSG00000108829, ENSG00000137944, ENSG00000136854, ENSG00000163682, ENSG00000171858, ENSG00000170889, ENSG00000100028, ENSG00000159176, ENSG00000126777, ENSG00000100664, ENSG00000109475, ENSG00000167526, ENSG00000070756, ENSG00000106244, ENSG00000125691, ENSG00000179115, ENSG00000196591, ENSG00000130402, ENSG00000071462, ENSG00000132382, ENSG00000173933, ENSG00000133112, ENSG00000197958, ENSG00000134283, ENSG00000137154, ENSG00000166441, ENSG00000102317, ENSG00000143947, ENSG00000165119, ENSG00000162244, ENSG00000125970, ENSG00000167658, ENSG00000204628, ENSG00000121774, ENSG00000100650, ENSG00000258643, ENSG00000182899, ENSG00000172172, ENSG00000106028, ENSG00000196262, ENSG00000134419, ENSG00000181163, ENSG00000104408, ENSG00000265241, ENSG00000197756, ENSG00000130175, ENSG00000130332, ENSG00000145833, ENSG00000116221, ENSG00000174748, ENSG00000124614, ENSG00000089009, ENSG00000125944, ENSG00000186468, ENSG00000090621, ENSG00000100320, ENSG00000162775, ENSG00000102054, ENSG00000105202, ENSG00000198034, ENSG00000149187, ENSG00000179134, ENSG00000270647, ENSG00000008988, ENSG00000150459, ENSG00000196924, ENSG00000115484, ENSG00000145425, ENSG00000168488, ENSG00000164167, ENSG00000147604, ENSG00000114391, ENSG00000185088, ENSG00000125835, ENSG00000127616, ENSG00000204842, ENSG00000186298, ENSG00000161970, ENSG00000182774, ENSG00000122566, ENSG00000142676, ENSG00000105321	567	1401	16929	3.3884980116243493	2.9944618152044074E-42	1.4994359604852702E-42	1.4553349028239387E-42
GOTERM_CC_DIRECT	GO:0022627~cytosolic small ribosomal subunit	27	4.354838709677419	7.009092421402117E-29	ENSG00000149273, ENSG00000213741, ENSG00000142937, ENSG00000110700, ENSG00000134419, ENSG00000171858, ENSG00000170889, ENSG00000124614, ENSG00000105193, ENSG00000186468, ENSG00000140988, ENSG00000105372, ENSG00000198034, ENSG00000138326, ENSG00000008988, ENSG00000083845, ENSG00000115268, ENSG00000177954, ENSG00000168028, ENSG00000145425, ENSG00000185088, ENSG00000137154, ENSG00000221983, ENSG00000143947, ENSG00000164587, ENSG00000182774, ENSG00000204628	580	41	17529	19.902565180824226	4.163400898312858E-26	1.0408502245782145E-26	9.56741115521389E-27
GOTERM_CC_DIRECT	GO:0005829~cytosol	303	48.87096774193548	1.4183966472921763E-28	ENSG00000183527, ENSG00000092199, ENSG00000076944, ENSG00000177885, ENSG00000162704, ENSG00000110700, ENSG00000135441, ENSG00000084207, ENSG00000261582, ENSG00000206053, ENSG00000119522, ENSG00000142784, ENSG00000142541, ENSG00000123349, ENSG00000257529, ENSG00000156261, ENSG00000161981, ENSG00000265818, ENSG00000099817, ENSG00000178982, ENSG00000198336, ENSG00000133275, ENSG00000115268, ENSG00000118564, ENSG00000268643, ENSG00000168028, ENSG00000085415, ENSG00000172757, ENSG00000144713, ENSG00000165795, ENSG00000086504, ENSG00000122705, ENSG00000232119, ENSG00000088247, ENSG00000108298, ENSG00000164587, ENSG00000122026, ENSG00000105220, ENSG00000121057, ENSG00000149273, ENSG00000198242, ENSG00000215301, ENSG00000160789, ENSG00000124092, ENSG00000145592, ENSG00000103876, ENSG00000144381, ENSG00000249915, ENSG00000159079, ENSG00000002330, ENSG00000136877, ENSG00000100804, ENSG00000139343, ENSG00000230989, ENSG00000100129, ENSG00000168036, ENSG00000156482, ENSG00000127922, ENSG00000125743, ENSG00000063177, ENSG00000105372, ENSG00000162735, ENSG00000164237, ENSG00000077348, ENSG00000092841, ENSG00000260027, ENSG00000167996, ENSG00000120742, ENSG00000116251, ENSG00000256206, ENSG00000123213, ENSG00000129559, ENSG00000179295, ENSG00000076928, ENSG00000147403, ENSG00000106211, ENSG00000213741, ENSG00000243678, ENSG00000090013, ENSG00000129083, ENSG00000196642, ENSG00000104904, ENSG00000136854, ENSG00000167641, ENSG00000126934, ENSG00000089820, ENSG00000100664, ENSG00000109475, ENSG00000230124, ENSG00000167526, ENSG00000070756, ENSG00000103363, ENSG00000102030, ENSG00000155366, ENSG00000177697, ENSG00000130402, ENSG00000105426, ENSG00000077721, ENSG00000141759, ENSG00000180185, ENSG00000111665, ENSG00000138801, ENSG00000198931, ENSG00000196998, ENSG00000133112, ENSG00000197958, ENSG00000166200, ENSG00000116670, ENSG00000137154, ENSG00000166441, ENSG00000143947, ENSG00000167770, ENSG00000167658, ENSG00000100650, ENSG00000141522, ENSG00000223609, ENSG00000134419, ENSG00000132471, ENSG00000181163, ENSG00000042753, ENSG00000170035, ENSG00000265241, ENSG00000197756, ENSG00000131143, ENSG00000186184, ENSG00000174748, ENSG00000025293, ENSG00000124614, ENSG00000089009, ENSG00000277791, ENSG00000152082, ENSG00000214253, ENSG00000127564, ENSG00000100320, ENSG00000127445, ENSG00000102054, ENSG00000137818, ENSG00000132128, ENSG00000198034, ENSG00000124181, ENSG00000270800, ENSG00000008988, ENSG00000138107, ENSG00000150459, ENSG00000196655, ENSG00000116698, ENSG00000115484, ENSG00000168765, ENSG00000145425, ENSG00000164167, ENSG00000147604, ENSG00000114391, ENSG00000256646, ENSG00000125835, ENSG00000186298, ENSG00000184432, ENSG00000169738, ENSG00000126247, ENSG00000141741, ENSG00000120265, ENSG00000108107, ENSG00000105993, ENSG00000168090, ENSG00000108106, ENSG00000142937, ENSG00000072062, ENSG00000196565, ENSG00000095066, ENSG00000153037, ENSG00000139645, ENSG00000255508, ENSG00000166598, ENSG00000159131, ENSG00000136371, ENSG00000105193, ENSG00000256950, ENSG00000126215, ENSG00000148248, ENSG00000108344, ENSG00000254772, ENSG00000138326, ENSG00000241343, ENSG00000075340, ENSG00000125818, ENSG00000221983, ENSG00000063245, ENSG00000011485, ENSG00000101266, ENSG00000131469, ENSG00000104687, ENSG00000154582, ENSG00000173581, ENSG00000213523, ENSG00000196465, ENSG00000167460, ENSG00000134057, ENSG00000176731, ENSG00000263020, ENSG00000177700, ENSG00000117632, ENSG00000004478, ENSG00000130255, ENSG00000132432, ENSG00000182180, ENSG00000229117, ENSG00000100526, ENSG00000079246, ENSG00000140988, ENSG00000172809, ENSG00000079805, ENSG00000188846, ENSG00000177156, ENSG00000108479, ENSG00000178127, ENSG00000149782, ENSG00000213639, ENSG00000083845, ENSG00000066855, ENSG00000174444, ENSG00000198755, ENSG00000136485, ENSG00000177954, ENSG00000071082, ENSG00000124702, ENSG00000122406, ENSG00000085231, ENSG00000089157, ENSG00000161016, ENSG00000105640, ENSG00000213465, ENSG00000106367, ENSG00000108666, ENSG00000090097, ENSG00000108424, ENSG00000269307, ENSG00000161939, ENSG00000156508, ENSG00000114302, ENSG00000177600, ENSG00000163682, ENSG00000171858, ENSG00000170889, ENSG00000007047, ENSG00000189159, ENSG00000100028, ENSG00000105393, ENSG00000166710, ENSG00000185359, ENSG00000123143, ENSG00000106244, ENSG00000100142, ENSG00000125691, ENSG00000179115, ENSG00000105701, ENSG00000217930, ENSG00000113569, ENSG00000175792, ENSG00000197448, ENSG00000173933, ENSG00000085733, ENSG00000134283, ENSG00000157020, ENSG00000124802, ENSG00000162244, ENSG00000204628, ENSG00000121774, ENSG00000067082, ENSG00000182899, ENSG00000196262, ENSG00000067057, ENSG00000173020, ENSG00000172053, ENSG00000104408, ENSG00000104529, ENSG00000189171, ENSG00000130332, ENSG00000140264, ENSG00000169567, ENSG00000092929, ENSG00000011052, ENSG00000186468, ENSG00000090621, ENSG00000102225, ENSG00000163466, ENSG00000101132, ENSG00000143774, ENSG00000080819, ENSG00000173272, ENSG00000105048, ENSG00000239920, ENSG00000198431, ENSG00000131558, ENSG00000179134, ENSG00000173039, ENSG00000196924, ENSG00000168488, ENSG00000119318, ENSG00000204842, ENSG00000185122, ENSG00000103426, ENSG00000161970, ENSG00000166986, ENSG00000182774, ENSG00000166501, ENSG00000142676	580	5348	17529	1.7123020529750084	8.425276084915527E-26	1.6850552169831053E-26	1.5488891388430567E-26
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	65	10.483870967741936	1.0114213206508595E-24	ENSG00000213465, ENSG00000172270, ENSG00000213741, ENSG00000162704, ENSG00000142937, ENSG00000110700, ENSG00000114302, ENSG00000177600, ENSG00000113013, ENSG00000142541, ENSG00000163682, ENSG00000166598, ENSG00000170889, ENSG00000126934, ENSG00000159176, ENSG00000105193, ENSG00000166710, ENSG00000070756, ENSG00000125691, ENSG00000132589, ENSG00000130202, ENSG00000177697, ENSG00000130402, ENSG00000115268, ENSG00000197958, ENSG00000085733, ENSG00000172757, ENSG00000165119, ENSG00000108298, ENSG00000164587, ENSG00000149273, ENSG00000131469, ENSG00000196262, ENSG00000181163, ENSG00000167460, ENSG00000197756, ENSG00000110880, ENSG00000124614, ENSG00000168036, ENSG00000089009, ENSG00000156482, ENSG00000140988, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000163466, ENSG00000079805, ENSG00000137818, ENSG00000198034, ENSG00000213639, ENSG00000083845, ENSG00000174444, ENSG00000198755, ENSG00000071082, ENSG00000196924, ENSG00000145425, ENSG00000147604, ENSG00000116251, ENSG00000122406, ENSG00000186298, ENSG00000089157, ENSG00000182774, ENSG00000051523, ENSG00000106211, ENSG00000161016	580	427	17529	4.600601631268675	6.007842644666106E-22	1.0013071074443509E-22	9.203934017922822E-23
