Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	335	39.13551401869159	1.0582591511540033E-104	ENSG00000127022, ENSG00000137509, ENSG00000092199, ENSG00000104823, ENSG00000104824, ENSG00000064601, ENSG00000084207, ENSG00000116005, ENSG00000138279, ENSG00000116489, ENSG00000117335, ENSG00000115275, ENSG00000119888, ENSG00000085662, ENSG00000117450, ENSG00000101439, ENSG00000205403, ENSG00000156261, ENSG00000143870, ENSG00000089220, ENSG00000067560, ENSG00000126067, ENSG00000075624, ENSG00000113648, ENSG00000072110, ENSG00000092621, ENSG00000117448, ENSG00000197249, ENSG00000171557, ENSG00000119655, ENSG00000172757, ENSG00000120885, ENSG00000163931, ENSG00000142657, ENSG00000164587, ENSG00000105220, ENSG00000127831, ENSG00000149273, ENSG00000106588, ENSG00000171560, ENSG00000197157, ENSG00000172531, ENSG00000171564, ENSG00000137845, ENSG00000148180, ENSG00000134333, ENSG00000168710, ENSG00000100804, ENSG00000164111, ENSG00000117592, ENSG00000168036, ENSG00000156482, ENSG00000092964, ENSG00000182220, ENSG00000140105, ENSG00000105372, ENSG00000091513, ENSG00000023191, ENSG00000239672, ENSG00000167986, ENSG00000109971, ENSG00000110955, ENSG00000093010, ENSG00000108518, ENSG00000162736, ENSG00000092841, ENSG00000151348, ENSG00000142192, ENSG00000069849, ENSG00000204525, ENSG00000167996, ENSG00000011304, ENSG00000100911, ENSG00000101444, ENSG00000164924, ENSG00000155380, ENSG00000163399, ENSG00000059804, ENSG00000183207, ENSG00000213741, ENSG00000078808, ENSG00000075415, ENSG00000135404, ENSG00000090013, ENSG00000116209, ENSG00000103811, ENSG00000129084, ENSG00000120708, ENSG00000108828, ENSG00000171345, ENSG00000173402, ENSG00000136731, ENSG00000166794, ENSG00000139684, ENSG00000163041, ENSG00000187134, ENSG00000109475, ENSG00000109472, ENSG00000143153, ENSG00000035403, ENSG00000155368, ENSG00000130402, ENSG00000109107, ENSG00000197043, ENSG00000147065, ENSG00000115902, ENSG00000111669, ENSG00000213614, ENSG00000170266, ENSG00000136068, ENSG00000072274, ENSG00000134440, ENSG00000204463, ENSG00000198931, ENSG00000158874, ENSG00000132386, ENSG00000198805, ENSG00000149925, ENSG00000143947, ENSG00000187244, ENSG00000165119, ENSG00000129538, ENSG00000185624, ENSG00000148834, ENSG00000141522, ENSG00000125730, ENSG00000100097, ENSG00000103485, ENSG00000179403, ENSG00000135624, ENSG00000105699, ENSG00000134419, ENSG00000173786, ENSG00000136156, ENSG00000104805, ENSG00000137801, ENSG00000197756, ENSG00000135744, ENSG00000132475, ENSG00000142168, ENSG00000188488, ENSG00000084234, ENSG00000234745, ENSG00000164032, ENSG00000277791, ENSG00000185896, ENSG00000149476, ENSG00000105202, ENSG00000130985, ENSG00000198034, ENSG00000105568, ENSG00000077942, ENSG00000142949, ENSG00000067225, ENSG00000136167, ENSG00000213719, ENSG00000197746, ENSG00000166340, ENSG00000206503, ENSG00000185883, ENSG00000180879, ENSG00000089597, ENSG00000122566, ENSG00000163993, ENSG00000169738, ENSG00000163631, ENSG00000090339, ENSG00000120265, ENSG00000074800, ENSG00000068120, ENSG00000142937, ENSG00000182718, ENSG00000118271, ENSG00000197894, ENSG00000159377, ENSG00000151655, ENSG00000135046, ENSG00000135048, ENSG00000113013, ENSG00000168092, ENSG00000079385, ENSG00000166598, ENSG00000159131, ENSG00000105193, ENSG00000183255, ENSG00000108582, ENSG00000214078, ENSG00000254772, ENSG00000164733, ENSG00000243649, ENSG00000108578, ENSG00000141959, ENSG00000091136, ENSG00000136026, ENSG00000115306, ENSG00000104419, ENSG00000132341, ENSG00000138207, ENSG00000204386, ENSG00000117601, ENSG00000143106, ENSG00000082781, ENSG00000250722, ENSG00000164062, ENSG00000221983, ENSG00000026297, ENSG00000239264, ENSG00000106397, ENSG00000197081, ENSG00000131469, ENSG00000091483, ENSG00000049860, ENSG00000196465, ENSG00000165280, ENSG00000128050, ENSG00000135821, ENSG00000117632, ENSG00000138413, ENSG00000118137, ENSG00000014641, ENSG00000106066, ENSG00000184009, ENSG00000102144, ENSG00000162576, ENSG00000102265, ENSG00000120694, ENSG00000177156, ENSG00000131236, ENSG00000090382, ENSG00000131238, ENSG00000196576, ENSG00000213639, ENSG00000083845, ENSG00000198755, ENSG00000179218, ENSG00000131473, ENSG00000152952, ENSG00000117984, ENSG00000175899, ENSG00000071082, ENSG00000161011, ENSG00000158373, ENSG00000257017, ENSG00000149428, ENSG00000172270, ENSG00000108424, ENSG00000111716, ENSG00000180210, ENSG00000180573, ENSG00000197694, ENSG00000135926, ENSG00000004455, ENSG00000135486, ENSG00000172037, ENSG00000156508, ENSG00000177600, ENSG00000116962, ENSG00000008018, ENSG00000170412, ENSG00000172831, ENSG00000166278, ENSG00000146701, ENSG00000170889, ENSG00000167004, ENSG00000120437, ENSG00000083444, ENSG00000166710, ENSG00000128951, ENSG00000047457, ENSG00000196230, ENSG00000041357, ENSG00000115866, ENSG00000150753, ENSG00000105707, ENSG00000069702, ENSG00000005893, ENSG00000150991, ENSG00000030582, ENSG00000139178, ENSG00000138760, ENSG00000103769, ENSG00000157020, ENSG00000109062, ENSG00000140391, ENSG00000182199, ENSG00000167815, ENSG00000057608, ENSG00000204628, ENSG00000121410, ENSG00000108654, ENSG00000109861, ENSG00000141367, ENSG00000160862, ENSG00000182899, ENSG00000071553, ENSG00000198561, ENSG00000178952, ENSG00000111057, ENSG00000104408, ENSG00000115414, ENSG00000170312, ENSG00000169567, ENSG00000117394, ENSG00000090863, ENSG00000161960, ENSG00000106263, ENSG00000184840, ENSG00000163586, ENSG00000163468, ENSG00000087460, ENSG00000108679, ENSG00000243989, ENSG00000019582, ENSG00000135916, ENSG00000090861, ENSG00000196136, ENSG00000064115, ENSG00000073060, ENSG00000115884, ENSG00000152234, ENSG00000196924, ENSG00000170315, ENSG00000084623, ENSG00000168003, ENSG00000233822, ENSG00000120306, ENSG00000166986, ENSG00000123131, ENSG00000162267, ENSG00000166501, ENSG00000100031, ENSG00000031698, ENSG00000167711, ENSG00000140497, ENSG00000142676	835	2039	17529	3.449040124752946	8.063934731793504E-102	8.063934731793504E-102	7.016258172151042E-102
GOTERM_CC_DIRECT	GO:0005783~endoplasmic reticulum	153	17.873831775700936	1.4321453592427498E-33	ENSG00000127022, ENSG00000185825, ENSG00000115718, ENSG00000128595, ENSG00000198189, ENSG00000142937, ENSG00000104549, ENSG00000133265, ENSG00000064601, ENSG00000115310, ENSG00000139644, ENSG00000115275, ENSG00000165389, ENSG00000166598, ENSG00000139641, ENSG00000127948, ENSG00000101439, ENSG00000123983, ENSG00000147155, ENSG00000143198, ENSG00000143870, ENSG00000148248, ENSG00000254772, ENSG00000067167, ENSG00000130208, ENSG00000136026, ENSG00000197249, ENSG00000119655, ENSG00000174938, ENSG00000125818, ENSG00000120885, ENSG00000255339, ENSG00000221983, ENSG00000033011, ENSG00000239264, ENSG00000106397, ENSG00000182158, ENSG00000198171, ENSG00000149273, ENSG00000101294, ENSG00000072682, ENSG00000171560, ENSG00000168394, ENSG00000165280, ENSG00000134970, ENSG00000171564, ENSG00000172893, ENSG00000135821, ENSG00000058262, ENSG00000174437, ENSG00000170348, ENSG00000166136, ENSG00000008394, ENSG00000101856, ENSG00000166130, ENSG00000063177, ENSG00000100243, ENSG00000143575, ENSG00000132963, ENSG00000135316, ENSG00000162736, ENSG00000151348, ENSG00000138029, ENSG00000142192, ENSG00000179218, ENSG00000152952, ENSG00000001630, ENSG00000133135, ENSG00000204525, ENSG00000116133, ENSG00000099194, ENSG00000161011, ENSG00000136240, ENSG00000118705, ENSG00000131507, ENSG00000101444, ENSG00000163956, ENSG00000149428, ENSG00000163399, ENSG00000147403, ENSG00000122642, ENSG00000125991, ENSG00000124783, ENSG00000183726, ENSG00000074842, ENSG00000078808, ENSG00000135926, ENSG00000108829, ENSG00000117899, ENSG00000136731, ENSG00000172831, ENSG00000166794, ENSG00000167004, ENSG00000100823, ENSG00000257727, ENSG00000083444, ENSG00000259900, ENSG00000147872, ENSG00000109475, ENSG00000125844, ENSG00000149257, ENSG00000166557, ENSG00000167526, ENSG00000167645, ENSG00000155368, ENSG00000099219, ENSG00000149084, ENSG00000090520, ENSG00000074696, ENSG00000159322, ENSG00000170540, ENSG00000112473, ENSG00000119335, ENSG00000133872, ENSG00000167775, ENSG00000030582, ENSG00000113161, ENSG00000120725, ENSG00000079459, ENSG00000240849, ENSG00000101346, ENSG00000185624, ENSG00000181789, ENSG00000135506, ENSG00000160867, ENSG00000104529, ENSG00000137801, ENSG00000130175, ENSG00000198848, ENSG00000089248, ENSG00000234745, ENSG00000186468, ENSG00000073849, ENSG00000141756, ENSG00000129625, ENSG00000184840, ENSG00000062282, ENSG00000163902, ENSG00000099797, ENSG00000134825, ENSG00000169174, ENSG00000244038, ENSG00000196655, ENSG00000213719, ENSG00000231925, ENSG00000167397, ENSG00000164040, ENSG00000206503, ENSG00000255439, ENSG00000116171, ENSG00000180879, ENSG00000123131, ENSG00000163631, ENSG00000163479	835	1118	17529	2.872898567801785	1.0912947637429754E-30	5.456473818714877E-31	4.747561865889716E-31
GOTERM_CC_DIRECT	GO:0016020~membrane	307	35.86448598130841	8.471843176349836E-32	ENSG00000127022, ENSG00000185825, ENSG00000129562, ENSG00000092199, ENSG00000134910, ENSG00000260371, ENSG00000128595, ENSG00000104823, ENSG00000103855, ENSG00000242265, ENSG00000104824, ENSG00000077235, ENSG00000064601, ENSG00000138279, ENSG00000115275, ENSG00000127948, ENSG00000205403, ENSG00000143198, ENSG00000100342, ENSG00000178982, ENSG00000126067, ENSG00000075624, ENSG00000132507, ENSG00000115268, ENSG00000172757, ENSG00000120885, ENSG00000108298, ENSG00000060491, ENSG00000164587, ENSG00000105220, ENSG00000149273, ENSG00000105135, ENSG00000197157, ENSG00000168394, ENSG00000137845, ENSG00000172893, ENSG00000058262, ENSG00000134333, ENSG00000170348, ENSG00000100926, ENSG00000164111, ENSG00000117592, ENSG00000168036, ENSG00000156482, ENSG00000013275, ENSG00000092964, ENSG00000182220, ENSG00000063177, ENSG00000103512, ENSG00000105372, ENSG00000110717, ENSG00000100243, ENSG00000239672, ENSG00000109971, ENSG00000132963, ENSG00000110955, ENSG00000093010, ENSG00000128463, ENSG00000135316, ENSG00000108518, ENSG00000162736, ENSG00000092841, ENSG00000151348, ENSG00000152558, ENSG00000142192, ENSG00000253729, ENSG00000169490, ENSG00000133135, ENSG00000204525, ENSG00000116133, ENSG00000011304, ENSG00000100911, ENSG00000185164, ENSG00000205730, ENSG00000155380, ENSG00000126602, ENSG00000163399, ENSG00000147403, ENSG00000125991, ENSG00000051523, ENSG00000124783, ENSG00000059804, ENSG00000183207, ENSG00000078808, ENSG00000127463, ENSG00000075415, ENSG00000108828, ENSG00000108829, ENSG00000173762, ENSG00000173402, ENSG00000166794, ENSG00000005022, ENSG00000125844, ENSG00000140688, ENSG00000143153, ENSG00000167526, ENSG00000136628, ENSG00000073921, ENSG00000197043, ENSG00000132824, ENSG00000111666, ENSG00000149485, ENSG00000105669, ENSG00000115902, ENSG00000213614, ENSG00000136068, ENSG00000072274, ENSG00000204463, ENSG00000112077, ENSG00000167775, ENSG00000149925, ENSG00000143947, ENSG00000165119, ENSG00000079459, ENSG00000141526, ENSG00000143384, ENSG00000141522, ENSG00000105699, ENSG00000162407, ENSG00000134419, ENSG00000159399, ENSG00000173786, ENSG00000136156, ENSG00000104805, ENSG00000131143, ENSG00000174748, ENSG00000088832, ENSG00000143933, ENSG00000188488, ENSG00000089248, ENSG00000084234, ENSG00000234745, ENSG00000143252, ENSG00000141756, ENSG00000100201, ENSG00000185896, ENSG00000110911, ENSG00000105202, ENSG00000198034, ENSG00000105568, ENSG00000077147, ENSG00000116459, ENSG00000112655, ENSG00000213719, ENSG00000115486, ENSG00000198715, ENSG00000231925, ENSG00000164040, ENSG00000206503, ENSG00000167792, ENSG00000185883, ENSG00000089597, ENSG00000185885, ENSG00000122566, ENSG00000090339, ENSG00000074800, ENSG00000157637, ENSG00000130830, ENSG00000142937, ENSG00000182718, ENSG00000104549, ENSG00000139644, ENSG00000135048, ENSG00000079385, ENSG00000166598, ENSG00000139641, ENSG00000141736, ENSG00000105193, ENSG00000123983, ENSG00000183255, ENSG00000142945, ENSG00000108582, ENSG00000214078, ENSG00000124155, ENSG00000185559, ENSG00000254772, ENSG00000170180, ENSG00000141959, ENSG00000067167, ENSG00000091136, ENSG00000136026, ENSG00000132341, ENSG00000204386, ENSG00000113368, ENSG00000130164, ENSG00000125818, ENSG00000142494, ENSG00000033011, ENSG00000110090, ENSG00000197081, ENSG00000101294, ENSG00000131469, ENSG00000049860, ENSG00000128050, ENSG00000135387, ENSG00000117632, ENSG00000174437, ENSG00000132432, ENSG00000008394, ENSG00000101856, ENSG00000166130, ENSG00000079246, ENSG00000138095, ENSG00000139182, ENSG00000147255, ENSG00000184009, ENSG00000102144, ENSG00000131238, ENSG00000105404, ENSG00000083845, ENSG00000198755, ENSG00000179218, ENSG00000131473, ENSG00000071082, ENSG00000001630, ENSG00000113140, ENSG00000055044, ENSG00000099194, ENSG00000125912, ENSG00000136240, ENSG00000118705, ENSG00000164889, ENSG00000149428, ENSG00000161016, ENSG00000172270, ENSG00000183726, ENSG00000108424, ENSG00000111716, ENSG00000197694, ENSG00000135926, ENSG00000135486, ENSG00000156508, ENSG00000134153, ENSG00000006757, ENSG00000177600, ENSG00000116962, ENSG00000119686, ENSG00000146701, ENSG00000163682, ENSG00000170889, ENSG00000138074, ENSG00000204632, ENSG00000127863, ENSG00000142227, ENSG00000166710, ENSG00000179115, ENSG00000099219, ENSG00000129255, ENSG00000104853, ENSG00000165629, ENSG00000090520, ENSG00000159322, ENSG00000115866, ENSG00000042445, ENSG00000170540, ENSG00000105707, ENSG00000112473, ENSG00000005893, ENSG00000030582, ENSG00000138760, ENSG00000109062, ENSG00000140391, ENSG00000087111, ENSG00000101346, ENSG00000106351, ENSG00000162244, ENSG00000057608, ENSG00000121774, ENSG00000108654, ENSG00000109861, ENSG00000141367, ENSG00000182899, ENSG00000071553, ENSG00000285330, ENSG00000178952, ENSG00000174231, ENSG00000169682, ENSG00000137404, ENSG00000104408, ENSG00000170312, ENSG00000144867, ENSG00000117394, ENSG00000186468, ENSG00000108561, ENSG00000090863, ENSG00000161960, ENSG00000062282, ENSG00000087460, ENSG00000108679, ENSG00000134824, ENSG00000019582, ENSG00000163902, ENSG00000134825, ENSG00000104635, ENSG00000090861, ENSG00000244038, ENSG00000152234, ENSG00000113583, ENSG00000196924, ENSG00000168003, ENSG00000116171, ENSG00000166508, ENSG00000166986, ENSG00000140497, ENSG00000091947, ENSG00000142676, ENSG00000163479	835	3464	17529	1.8605063544965497	6.455544500378575E-29	2.1518481667928585E-29	1.8722773419733138E-29
GOTERM_CC_DIRECT	GO:0005788~endoplasmic reticulum lumen	68	7.943925233644859	1.4142008908278517E-26	ENSG00000127022, ENSG00000074842, ENSG00000115718, ENSG00000128595, ENSG00000180210, ENSG00000172037, ENSG00000151655, ENSG00000173402, ENSG00000136731, ENSG00000172831, ENSG00000183291, ENSG00000166794, ENSG00000139684, ENSG00000166598, ENSG00000167004, ENSG00000101439, ENSG00000149257, ENSG00000143870, ENSG00000166710, ENSG00000100342, ENSG00000155368, ENSG00000047457, ENSG00000108219, ENSG00000090520, ENSG00000091136, ENSG00000136026, ENSG00000197249, ENSG00000117601, ENSG00000158874, ENSG00000171557, ENSG00000120725, ENSG00000026297, ENSG00000239264, ENSG00000185269, ENSG00000106397, ENSG00000185624, ENSG00000081051, ENSG00000109861, ENSG00000125730, ENSG00000169439, ENSG00000100097, ENSG00000135506, ENSG00000179403, ENSG00000072682, ENSG00000171560, ENSG00000132031, ENSG00000137801, ENSG00000115414, ENSG00000104805, ENSG00000137845, ENSG00000130175, ENSG00000198848, ENSG00000118137, ENSG00000084234, ENSG00000089248, ENSG00000147257, ENSG00000141756, ENSG00000091513, ENSG00000102265, ENSG00000162576, ENSG00000142192, ENSG00000169174, ENSG00000179218, ENSG00000170558, ENSG00000089597, ENSG00000149428, ENSG00000092758, ENSG00000163631	835	306	17529	4.665069860279441	1.077621078810823E-23	2.6940526970270574E-24	2.344037976547164E-24
GOTERM_MF_DIRECT	GO:0003723~RNA binding	157	18.341121495327105	1.2103848243239331E-24	ENSG00000127022, ENSG00000074800, ENSG00000092199, ENSG00000182718, ENSG00000142937, ENSG00000242265, ENSG00000104824, ENSG00000138279, ENSG00000115310, ENSG00000113013, ENSG00000255508, ENSG00000166598, ENSG00000117450, ENSG00000105193, ENSG00000126457, ENSG00000089220, ENSG00000122257, ENSG00000178982, ENSG00000182944, ENSG00000132507, ENSG00000136026, ENSG00000115306, ENSG00000132341, ENSG00000115268, ENSG00000268083, ENSG00000086504, ENSG00000164062, ENSG00000026297, ENSG00000108298, ENSG00000164587, ENSG00000124562, ENSG00000149273, ENSG00000131469, ENSG00000089280, ENSG00000197157, ENSG00000165280, ENSG00000135387, ENSG00000244462, ENSG00000179604, ENSG00000168710, ENSG00000198918, ENSG00000143977, ENSG00000079246, ENSG00000138095, ENSG00000156482, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000239672, ENSG00000109971, ENSG00000135316, ENSG00000108518, ENSG00000138029, ENSG00000138668, ENSG00000083845, ENSG00000253729, ENSG00000198755, ENSG00000179218, ENSG00000071082, ENSG00000055044, ENSG00000011304, ENSG00000100632, ENSG00000164924, ENSG00000126602, ENSG00000147403, ENSG00000103342, ENSG00000161016, ENSG00000134318, ENSG00000213741, ENSG00000106246, ENSG00000108424, ENSG00000137309, ENSG00000129084, ENSG00000135486, ENSG00000156508, ENSG00000108829, ENSG00000120948, ENSG00000044115, ENSG00000159217, ENSG00000146701, ENSG00000166794, ENSG00000163682, ENSG00000171858, ENSG00000170889, ENSG00000167004, ENSG00000005022, ENSG00000100823, ENSG00000100028, ENSG00000109475, ENSG00000125844, ENSG00000149257, ENSG00000161547, ENSG00000167526, ENSG00000181019, ENSG00000128951, ENSG00000179115, ENSG00000196591, ENSG00000130402, ENSG00000165629, ENSG00000115866, ENSG00000134684, ENSG00000136068, ENSG00000072274, ENSG00000150991, ENSG00000030582, ENSG00000149925, ENSG00000249141, ENSG00000102317, ENSG00000143947, ENSG00000165119, ENSG00000141526, ENSG00000162244, ENSG00000057608, ENSG00000125970, ENSG00000204628, ENSG00000121774, ENSG00000185624, ENSG00000108654, ENSG00000100097, ENSG00000141367, ENSG00000182899, ENSG00000178952, ENSG00000174231, ENSG00000134419, ENSG00000111057, ENSG00000173786, ENSG00000104408, ENSG00000197756, ENSG00000130175, ENSG00000116221, ENSG00000010244, ENSG00000174748, ENSG00000186468, ENSG00000130726, ENSG00000161960, ENSG00000106263, ENSG00000100201, ENSG00000163468, ENSG00000160752, ENSG00000105202, ENSG00000182768, ENSG00000130985, ENSG00000163902, ENSG00000198034, ENSG00000067225, ENSG00000169174, ENSG00000152234, ENSG00000112651, ENSG00000196924, ENSG00000170558, ENSG00000084623, ENSG00000206503, ENSG00000168003, ENSG00000089597, ENSG00000122566, ENSG00000031698, ENSG00000142676	810	1401	16929	2.3421127765881513	1.4609344829589873E-21	1.4621448677833112E-21	1.4161502444590017E-21
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	37	4.322429906542056	1.7027414681590113E-24	ENSG00000182899, ENSG00000149273, ENSG00000213741, ENSG00000131469, ENSG00000142937, ENSG00000134419, ENSG00000197756, ENSG00000177600, ENSG00000163682, ENSG00000171858, ENSG00000198918, ENSG00000174748, ENSG00000170889, ENSG00000105193, ENSG00000156482, ENSG00000186468, ENSG00000063177, ENSG00000109475, ENSG00000172809, ENSG00000105372, ENSG00000167526, ENSG00000137818, ENSG00000198034, ENSG00000083845, ENSG00000198755, ENSG00000115268, ENSG00000071082, ENSG00000221983, ENSG00000143947, ENSG00000108298, ENSG00000164587, ENSG00000162244, ENSG00000204628, ENSG00000147403, ENSG00000031698, ENSG00000142676, ENSG00000161016	813	88	16565	8.566826009169183	6.4806340278131966E-21	6.478931286345038E-21	6.358036642105748E-21
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	75	8.761682242990654	1.152566215616638E-22	ENSG00000172270, ENSG00000002834, ENSG00000213741, ENSG00000142937, ENSG00000137309, ENSG00000135046, ENSG00000044115, ENSG00000177600, ENSG00000173402, ENSG00000117335, ENSG00000113013, ENSG00000166794, ENSG00000163682, ENSG00000166598, ENSG00000170889, ENSG00000167004, ENSG00000105193, ENSG00000166710, ENSG00000035403, ENSG00000067560, ENSG00000197043, ENSG00000075624, ENSG00000130402, ENSG00000147065, ENSG00000072110, ENSG00000074696, ENSG00000136068, ENSG00000115268, ENSG00000002586, ENSG00000169756, ENSG00000172757, ENSG00000138760, ENSG00000082781, ENSG00000165119, ENSG00000108298, ENSG00000185624, ENSG00000164587, ENSG00000057608, ENSG00000197081, ENSG00000141367, ENSG00000149273, ENSG00000131469, ENSG00000137845, ENSG00000197756, ENSG00000148180, ENSG00000110880, ENSG00000164111, ENSG00000168036, ENSG00000156482, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000184009, ENSG00000109971, ENSG00000131236, ENSG00000137818, ENSG00000198034, ENSG00000162736, ENSG00000108518, ENSG00000213639, ENSG00000083845, ENSG00000136167, ENSG00000112655, ENSG00000198755, ENSG00000179218, ENSG00000071082, ENSG00000196924, ENSG00000170558, ENSG00000164889, ENSG00000185883, ENSG00000164924, ENSG00000149428, ENSG00000090339, ENSG00000051523, ENSG00000161016	835	427	17529	3.687262477387146	8.782554562998782E-20	1.7565109125997566E-20	1.528302801907662E-20
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	35	4.0887850467289715	6.639684854723508E-22	ENSG00000182899, ENSG00000149273, ENSG00000131469, ENSG00000142937, ENSG00000134419, ENSG00000156508, ENSG00000197756, ENSG00000163682, ENSG00000171858, ENSG00000198918, ENSG00000174748, ENSG00000170889, ENSG00000105193, ENSG00000156482, ENSG00000186468, ENSG00000063177, ENSG00000109475, ENSG00000172809, ENSG00000105372, ENSG00000167526, ENSG00000137818, ENSG00000198034, ENSG00000083845, ENSG00000198755, ENSG00000115268, ENSG00000071082, ENSG00000221983, ENSG00000143947, ENSG00000108298, ENSG00000164587, ENSG00000162244, ENSG00000147403, ENSG00000142676, ENSG00000161016, ENSG00000103342	835	92	17529	7.986396771674042	5.059439859299313E-19	8.432399765498856E-20	7.336851764469476E-20
GOTERM_BP_DIRECT	GO:0006412~translation	50	5.841121495327103	2.3882084218703442E-21	ENSG00000130312, ENSG00000213741, ENSG00000142937, ENSG00000156508, ENSG00000177600, ENSG00000163682, ENSG00000171858, ENSG00000170889, ENSG00000105193, ENSG00000109475, ENSG00000125844, ENSG00000167526, ENSG00000179115, ENSG00000115866, ENSG00000137876, ENSG00000115268, ENSG00000262660, ENSG00000086504, ENSG00000221983, ENSG00000143947, ENSG00000108298, ENSG00000162244, ENSG00000204628, ENSG00000164587, ENSG00000182899, ENSG00000149273, ENSG00000131469, ENSG00000134419, ENSG00000197756, ENSG00000116221, ENSG00000198918, ENSG00000174748, ENSG00000156482, ENSG00000186468, ENSG00000063177, ENSG00000172809, ENSG00000140105, ENSG00000105372, ENSG00000137818, ENSG00000198034, ENSG00000083845, ENSG00000198755, ENSG00000112651, ENSG00000071082, ENSG00000260342, ENSG00000147403, ENSG00000031698, ENSG00000142676, ENSG00000161016, ENSG00000103342	813	201	16565	5.068446206850129	9.08952125363853E-18	4.54356652260833E-18	4.458785123631933E-18
GOTERM_CC_DIRECT	GO:0042470~melanosome	36	4.205607476635514	2.842436397490298E-21	ENSG00000172270, ENSG00000127022, ENSG00000135404, ENSG00000128595, ENSG00000182718, ENSG00000197157, ENSG00000173786, ENSG00000148180, ENSG00000170348, ENSG00000166794, ENSG00000166598, ENSG00000167004, ENSG00000117450, ENSG00000117394, ENSG00000089248, ENSG00000185896, ENSG00000143870, ENSG00000109971, ENSG00000164733, ENSG00000197043, ENSG00000162736, ENSG00000163902, ENSG00000115902, ENSG00000132341, ENSG00000072274, ENSG00000132386, ENSG00000117984, ENSG00000069849, ENSG00000166340, ENSG00000168003, ENSG00000164924, ENSG00000101444, ENSG00000089597, ENSG00000163399, ENSG00000185624, ENSG00000141367	835	102	17529	7.409228601620289	2.165936534887607E-18	3.094195049839439E-19	2.6921933307658106E-19
