Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	128	29.09090909090909	5.80076718462047E-41	ENSG00000127022, ENSG00000092199, ENSG00000147274, ENSG00000113013, ENSG00000166598, ENSG00000166197, ENSG00000117450, ENSG00000079785, ENSG00000126457, ENSG00000124795, ENSG00000178982, ENSG00000147140, ENSG00000132341, ENSG00000153944, ENSG00000135698, ENSG00000143621, ENSG00000232119, ENSG00000164587, ENSG00000011485, ENSG00000167978, ENSG00000124562, ENSG00000087274, ENSG00000149273, ENSG00000132676, ENSG00000131469, ENSG00000215301, ENSG00000066044, ENSG00000131747, ENSG00000265681, ENSG00000004478, ENSG00000138095, ENSG00000159352, ENSG00000062485, ENSG00000156482, ENSG00000125743, ENSG00000063177, ENSG00000172809, ENSG00000162613, ENSG00000274523, ENSG00000109971, ENSG00000146963, ENSG00000211450, ENSG00000109606, ENSG00000083845, ENSG00000169251, ENSG00000174444, ENSG00000071082, ENSG00000143569, ENSG00000116251, ENSG00000122406, ENSG00000130935, ENSG00000179051, ENSG00000164924, ENSG00000089157, ENSG00000124942, ENSG00000147403, ENSG00000100353, ENSG00000187109, ENSG00000161016, ENSG00000105640, ENSG00000213741, ENSG00000090097, ENSG00000108424, ENSG00000099622, ENSG00000074201, ENSG00000129084, ENSG00000135486, ENSG00000156508, ENSG00000171863, ENSG00000116288, ENSG00000163682, ENSG00000171858, ENSG00000116560, ENSG00000136450, ENSG00000100028, ENSG00000120438, ENSG00000109475, ENSG00000161547, ENSG00000182004, ENSG00000125691, ENSG00000179115, ENSG00000153187, ENSG00000071462, ENSG00000072274, ENSG00000150991, ENSG00000149925, ENSG00000134283, ENSG00000166441, ENSG00000102317, ENSG00000108010, ENSG00000204628, ENSG00000121774, ENSG00000185624, ENSG00000182899, ENSG00000196262, ENSG00000133606, ENSG00000134419, ENSG00000181163, ENSG00000104408, ENSG00000197756, ENSG00000080824, ENSG00000145833, ENSG00000196419, ENSG00000174748, ENSG00000125944, ENSG00000090621, ENSG00000161960, ENSG00000106263, ENSG00000102054, ENSG00000105202, ENSG00000182768, ENSG00000198034, ENSG00000118181, ENSG00000270647, ENSG00000008988, ENSG00000152234, ENSG00000196924, ENSG00000115484, ENSG00000164167, ENSG00000084623, ENSG00000125835, ENSG00000127616, ENSG00000204842, ENSG00000186298, ENSG00000100038, ENSG00000122566, ENSG00000075914, ENSG00000105321	415	1401	16929	3.726962668661799	3.5964756544646914E-38	3.602276421649312E-38	3.4746595435876616E-38
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	133	30.227272727272727	8.866271316659865E-29	ENSG00000127022, ENSG00000092199, ENSG00000147274, ENSG00000162704, ENSG00000164292, ENSG00000137106, ENSG00000000971, ENSG00000113013, ENSG00000119888, ENSG00000166598, ENSG00000159131, ENSG00000117450, ENSG00000156261, ENSG00000165704, ENSG00000164733, ENSG00000132589, ENSG00000106554, ENSG00000132341, ENSG00000119655, ENSG00000172757, ENSG00000143106, ENSG00000165795, ENSG00000136143, ENSG00000180817, ENSG00000142657, ENSG00000164587, ENSG00000149273, ENSG00000131469, ENSG00000215301, ENSG00000197153, ENSG00000163815, ENSG00000249915, ENSG00000196465, ENSG00000176978, ENSG00000113552, ENSG00000135821, ENSG00000117632, ENSG00000134333, ENSG00000004478, ENSG00000100804, ENSG00000168036, ENSG00000062485, ENSG00000156482, ENSG00000125743, ENSG00000072958, ENSG00000014641, ENSG00000109971, ENSG00000110955, ENSG00000108639, ENSG00000092841, ENSG00000083845, ENSG00000174444, ENSG00000071082, ENSG00000116251, ENSG00000158373, ENSG00000122406, ENSG00000143162, ENSG00000106052, ENSG00000164924, ENSG00000089157, ENSG00000124942, ENSG00000163399, ENSG00000213741, ENSG00000186716, ENSG00000108424, ENSG00000075415, ENSG00000135404, ENSG00000180573, ENSG00000167085, ENSG00000004455, ENSG00000129084, ENSG00000135486, ENSG00000156508, ENSG00000108828, ENSG00000116288, ENSG00000120438, ENSG00000109475, ENSG00000166710, ENSG00000074319, ENSG00000125691, ENSG00000112514, ENSG00000175792, ENSG00000041357, ENSG00000072274, ENSG00000204463, ENSG00000150991, ENSG00000149925, ENSG00000103769, ENSG00000157020, ENSG00000204628, ENSG00000185624, ENSG00000182899, ENSG00000135624, ENSG00000196262, ENSG00000180596, ENSG00000092531, ENSG00000067057, ENSG00000176014, ENSG00000134419, ENSG00000104408, ENSG00000197756, ENSG00000196305, ENSG00000151552, ENSG00000080824, ENSG00000164032, ENSG00000103316, ENSG00000161960, ENSG00000106263, ENSG00000087460, ENSG00000105202, ENSG00000130741, ENSG00000198034, ENSG00000118181, ENSG00000105968, ENSG00000008988, ENSG00000138107, ENSG00000213719, ENSG00000138069, ENSG00000152234, ENSG00000196924, ENSG00000115484, ENSG00000170315, ENSG00000084623, ENSG00000256646, ENSG00000233822, ENSG00000006042, ENSG00000124103, ENSG00000166986, ENSG00000122566, ENSG00000142798, ENSG00000166501, ENSG00000126247, ENSG00000120265	416	2039	17529	2.7485157222620438	4.911914309429565E-26	4.911914309429565E-26	4.459734472279912E-26
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	40	9.090909090909092	9.198900029434613E-28	ENSG00000182899, ENSG00000149273, ENSG00000131368, ENSG00000132676, ENSG00000213741, ENSG00000131469, ENSG00000163319, ENSG00000134419, ENSG00000265681, ENSG00000197756, ENSG00000171863, ENSG00000182180, ENSG00000163682, ENSG00000171858, ENSG00000174748, ENSG00000156482, ENSG00000063177, ENSG00000109475, ENSG00000172809, ENSG00000125691, ENSG00000137818, ENSG00000090263, ENSG00000198034, ENSG00000118181, ENSG00000008988, ENSG00000137876, ENSG00000174444, ENSG00000083845, ENSG00000243147, ENSG00000262660, ENSG00000071082, ENSG00000260342, ENSG00000116251, ENSG00000166441, ENSG00000122406, ENSG00000089157, ENSG00000164587, ENSG00000147403, ENSG00000161016, ENSG00000105640	415	163	16929	10.010495971616526	5.70331801824946E-25	2.8562584591394474E-25	2.7550705588156667E-25
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	32	7.2727272727272725	1.0195432669782225E-27	ENSG00000182899, ENSG00000149273, ENSG00000213741, ENSG00000131469, ENSG00000134419, ENSG00000265681, ENSG00000197756, ENSG00000171863, ENSG00000163682, ENSG00000171858, ENSG00000174748, ENSG00000156482, ENSG00000063177, ENSG00000109475, ENSG00000172809, ENSG00000125691, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000008988, ENSG00000174444, ENSG00000083845, ENSG00000071082, ENSG00000116251, ENSG00000166441, ENSG00000122406, ENSG00000089157, ENSG00000164587, ENSG00000204628, ENSG00000147403, ENSG00000161016, ENSG00000105640	415	88	16565	14.51478641840088	2.1043373030430512E-24	2.103317759776073E-24	2.071711918499748E-24
GOTERM_CC_DIRECT	GO:0005840~ribosome	38	8.636363636363637	6.102529035081232E-27	ENSG00000182899, ENSG00000149273, ENSG00000131368, ENSG00000127022, ENSG00000132676, ENSG00000213741, ENSG00000131469, ENSG00000163319, ENSG00000134419, ENSG00000156508, ENSG00000197756, ENSG00000171863, ENSG00000182180, ENSG00000163682, ENSG00000171858, ENSG00000174748, ENSG00000063177, ENSG00000172809, ENSG00000125691, ENSG00000137818, ENSG00000090263, ENSG00000198034, ENSG00000118181, ENSG00000008988, ENSG00000137876, ENSG00000174444, ENSG00000083845, ENSG00000262660, ENSG00000071082, ENSG00000260342, ENSG00000116251, ENSG00000166441, ENSG00000122406, ENSG00000089157, ENSG00000164587, ENSG00000147403, ENSG00000161016, ENSG00000105640	416	154	17529	10.397446303696304	3.380801085435002E-24	1.690400542717501E-24	1.5347860523229299E-24
GOTERM_BP_DIRECT	GO:0006412~translation	43	9.772727272727273	6.2886581623179176E-27	ENSG00000182899, ENSG00000149273, ENSG00000213741, ENSG00000131469, ENSG00000163319, ENSG00000134419, ENSG00000156508, ENSG00000265681, ENSG00000197756, ENSG00000171863, ENSG00000182180, ENSG00000163682, ENSG00000171858, ENSG00000174748, ENSG00000156482, ENSG00000063177, ENSG00000109475, ENSG00000090621, ENSG00000172809, ENSG00000265818, ENSG00000125691, ENSG00000179115, ENSG00000137818, ENSG00000090263, ENSG00000198034, ENSG00000118181, ENSG00000008988, ENSG00000137876, ENSG00000174444, ENSG00000083845, ENSG00000243147, ENSG00000262660, ENSG00000071082, ENSG00000260342, ENSG00000116251, ENSG00000166441, ENSG00000124802, ENSG00000122406, ENSG00000089157, ENSG00000164587, ENSG00000204628, ENSG00000147403, ENSG00000161016, ENSG00000105640	415	201	16565	8.539171611820416	1.2979790447024182E-23	6.486750894430932E-24	6.389276692915004E-24
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	31	7.045454545454545	2.2193492253567539E-26	ENSG00000182899, ENSG00000149273, ENSG00000131469, ENSG00000134419, ENSG00000156508, ENSG00000265681, ENSG00000197756, ENSG00000171863, ENSG00000163682, ENSG00000171858, ENSG00000174748, ENSG00000156482, ENSG00000063177, ENSG00000109475, ENSG00000172809, ENSG00000125691, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000008988, ENSG00000174444, ENSG00000083845, ENSG00000071082, ENSG00000116251, ENSG00000166441, ENSG00000122406, ENSG00000089157, ENSG00000164587, ENSG00000147403, ENSG00000161016, ENSG00000105640	416	92	17529	14.198343436454849	1.2295194708476417E-23	4.098398236158805E-24	3.721108867848157E-24
GOTERM_CC_DIRECT	GO:0005829~cytosol	224	50.90909090909091	1.4001050136811975E-23	ENSG00000092199, ENSG00000133706, ENSG00000162704, ENSG00000198901, ENSG00000261582, ENSG00000117450, ENSG00000079785, ENSG00000156261, ENSG00000265818, ENSG00000178982, ENSG00000213931, ENSG00000135698, ENSG00000143621, ENSG00000172757, ENSG00000165795, ENSG00000122705, ENSG00000137198, ENSG00000232119, ENSG00000180817, ENSG00000142657, ENSG00000164587, ENSG00000087274, ENSG00000149273, ENSG00000215301, ENSG00000109854, ENSG00000160789, ENSG00000124092, ENSG00000249915, ENSG00000127481, ENSG00000113552, ENSG00000136877, ENSG00000134333, ENSG00000100804, ENSG00000141552, ENSG00000230989, ENSG00000168036, ENSG00000156482, ENSG00000127922, ENSG00000125743, ENSG00000063177, ENSG00000104164, ENSG00000109971, ENSG00000092841, ENSG00000116251, ENSG00000168288, ENSG00000256206, ENSG00000179051, ENSG00000164924, ENSG00000147403, ENSG00000100353, ENSG00000213741, ENSG00000186716, ENSG00000074201, ENSG00000108946, ENSG00000129083, ENSG00000114942, ENSG00000129084, ENSG00000117650, ENSG00000116560, ENSG00000147872, ENSG00000109475, ENSG00000108384, ENSG00000161547, ENSG00000182004, ENSG00000074319, ENSG00000104695, ENSG00000153187, ENSG00000138801, ENSG00000204463, ENSG00000166200, ENSG00000149925, ENSG00000166441, ENSG00000108010, ENSG00000185624, ENSG00000162521, ENSG00000135624, ENSG00000134419, ENSG00000181163, ENSG00000029534, ENSG00000197756, ENSG00000151552, ENSG00000131143, ENSG00000196305, ENSG00000196419, ENSG00000186184, ENSG00000174748, ENSG00000122550, ENSG00000102054, ENSG00000137818, ENSG00000130741, ENSG00000156795, ENSG00000198034, ENSG00000068796, ENSG00000149100, ENSG00000118181, ENSG00000008988, ENSG00000138107, ENSG00000196655, ENSG00000115484, ENSG00000168765, ENSG00000077380, ENSG00000164167, ENSG00000256646, ENSG00000125835, ENSG00000186298, ENSG00000184432, ENSG00000059728, ENSG00000126247, ENSG00000120265, ENSG00000117859, ENSG00000196565, ENSG00000164292, ENSG00000095066, ENSG00000137106, ENSG00000100749, ENSG00000166598, ENSG00000159131, ENSG00000188026, ENSG00000256950, ENSG00000140525, ENSG00000126457, ENSG00000165704, ENSG00000126698, ENSG00000075340, ENSG00000132341, ENSG00000153944, ENSG00000112159, ENSG00000143106, ENSG00000125818, ENSG00000011485, ENSG00000101266, ENSG00000089053, ENSG00000131469, ENSG00000066044, ENSG00000196465, ENSG00000265681, ENSG00000135821, ENSG00000114125, ENSG00000117632, ENSG00000004478, ENSG00000132432, ENSG00000182180, ENSG00000159352, ENSG00000072958, ENSG00000172809, ENSG00000149554, ENSG00000014641, ENSG00000101972, ENSG00000083845, ENSG00000174444, ENSG00000156515, ENSG00000071082, ENSG00000184470, ENSG00000124702, ENSG00000158373, ENSG00000122406, ENSG00000106052, ENSG00000085231, ENSG00000089157, ENSG00000124942, ENSG00000149547, ENSG00000161016, ENSG00000105640, ENSG00000090097, ENSG00000108424, ENSG00000092036, ENSG00000269307, ENSG00000135486, ENSG00000156508, ENSG00000171863, ENSG00000116288, ENSG00000163682, ENSG00000171858, ENSG00000145979, ENSG00000100028, ENSG00000120438, ENSG00000105393, ENSG00000166710, ENSG00000125691, ENSG00000179115, ENSG00000175792, ENSG00000041357, ENSG00000150991, ENSG00000141002, ENSG00000085733, ENSG00000134283, ENSG00000103769, ENSG00000157020, ENSG00000124802, ENSG00000147224, ENSG00000166848, ENSG00000204628, ENSG00000121774, ENSG00000182899, ENSG00000180596, ENSG00000196262, ENSG00000133606, ENSG00000104886, ENSG00000067057, ENSG00000176890, ENSG00000173020, ENSG00000104408, ENSG00000131781, ENSG00000080824, ENSG00000011052, ENSG00000103316, ENSG00000090621, ENSG00000142208, ENSG00000161960, ENSG00000106263, ENSG00000087460, ENSG00000080819, ENSG00000239920, ENSG00000131558, ENSG00000138069, ENSG00000196924, ENSG00000170315, ENSG00000007255, ENSG00000084623, ENSG00000233822, ENSG00000204842, ENSG00000166986, ENSG00000126883, ENSG00000166501, ENSG00000075914	416	5348	17529	1.7649013290374547	7.756581775793834E-21	1.9391454439484586E-21	1.760632054704106E-21
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	21	4.772727272727273	1.5068000195003043E-18	ENSG00000125691, ENSG00000182899, ENSG00000137818, ENSG00000131469, ENSG00000174444, ENSG00000265681, ENSG00000197756, ENSG00000071082, ENSG00000163682, ENSG00000174748, ENSG00000116251, ENSG00000166441, ENSG00000122406, ENSG00000156482, ENSG00000063177, ENSG00000109475, ENSG00000172809, ENSG00000089157, ENSG00000147403, ENSG00000161016, ENSG00000105640	416	58	17529	15.256506962864721	8.347672108031685E-16	1.6695344216063372E-16	1.515840819617306E-16
GOTERM_CC_DIRECT	GO:0005743~mitochondrial inner membrane	44	10.0	1.36842236158184E-14	ENSG00000124172, ENSG00000149273, ENSG00000131368, ENSG00000132676, ENSG00000075415, ENSG00000004779, ENSG00000163319, ENSG00000130414, ENSG00000176890, ENSG00000127184, ENSG00000167283, ENSG00000109919, ENSG00000167085, ENSG00000136877, ENSG00000204370, ENSG00000105819, ENSG00000131143, ENSG00000135940, ENSG00000113013, ENSG00000182180, ENSG00000109390, ENSG00000166136, ENSG00000274523, ENSG00000164919, ENSG00000255292, ENSG00000110955, ENSG00000176340, ENSG00000106554, ENSG00000080819, ENSG00000178741, ENSG00000259112, ENSG00000090263, ENSG00000111843, ENSG00000115944, ENSG00000136521, ENSG00000243147, ENSG00000151366, ENSG00000158578, ENSG00000152234, ENSG00000135390, ENSG00000189043, ENSG00000255339, ENSG00000270136, ENSG00000147684, ENSG00000241837	416	460	17529	4.030497491638796	7.565281734400742E-12	1.263509980527232E-12	1.1471940797927758E-12
