SND1	GEMIN5	PCBP1	PCBP2	YBX3	LSM11	PABPN1	RBFOX2	PRPF4
ENSG00000137845	ENSG00000204842	ENSG00000284906	ENSG00000127837	ENSG00000127603	ENSG00000117054	ENSG00000263798	ENSG00000107331	ENSG00000262304
ENSG00000142192	ENSG00000103126	ENSG00000168488	ENSG00000091262	ENSG00000091262	ENSG00000161203	ENSG00000254536	ENSG00000135776	ENSG00000152117
ENSG00000104763	ENSG00000130309	ENSG00000071462	ENSG00000257379	ENSG00000257379	ENSG00000129993	ENSG00000250151	ENSG00000103222	ENSG00000285043
ENSG00000108588	ENSG00000105669	ENSG00000090061	ENSG00000152117	ENSG00000114739	ENSG00000103249	ENSG00000197586	ENSG00000204574	ENSG00000072778
ENSG00000117335	ENSG00000213923	ENSG00000205436	ENSG00000284906	ENSG00000018510	ENSG00000163703	ENSG00000205436	ENSG00000285162	ENSG00000087008
ENSG00000150938	ENSG00000175029	ENSG00000156504	ENSG00000283761	ENSG00000273637	ENSG00000175029	ENSG00000172890	ENSG00000152117	ENSG00000176715
ENSG00000175029	ENSG00000070413	ENSG00000132589	ENSG00000176715	ENSG00000135046	ENSG00000070413	ENSG00000141562	ENSG00000087008	ENSG00000172482
ENSG00000204580	ENSG00000096060	ENSG00000112699	ENSG00000115091	ENSG00000161203	ENSG00000141994	ENSG00000105373	ENSG00000115170	ENSG00000105127
ENSG00000170266	ENSG00000078369	ENSG00000128908	ENSG00000105963	ENSG00000070669	ENSG00000109911	ENSG00000185813	ENSG00000121281	ENSG00000183020
ENSG00000148358	ENSG00000105376	ENSG00000130175	ENSG00000183077	ENSG00000058668	ENSG00000137878	ENSG00000039650	ENSG00000087274	ENSG00000215769
ENSG00000074696	ENSG00000055118	ENSG00000122257	ENSG00000254536	ENSG00000152234	ENSG00000105220	ENSG00000104960	ENSG00000011243	ENSG00000169696
ENSG00000213614	ENSG00000130702	ENSG00000167978	ENSG00000131503	ENSG00000204842	ENSG00000169660	ENSG00000196642	ENSG00000257524	ENSG00000204842
ENSG00000101294	ENSG00000007392	ENSG00000159733	ENSG00000183020	ENSG00000172530	ENSG00000105376	ENSG00000167978	ENSG00000197043	ENSG00000168646
ENSG00000091136	ENSG00000164877	ENSG00000269881	ENSG00000120868	ENSG00000126581	ENSG00000136231	ENSG00000164828	ENSG00000183020	ENSG00000172530
ENSG00000116678	ENSG00000185049	ENSG00000257379	ENSG00000146376	ENSG00000012048	ENSG00000151276	ENSG00000103197	ENSG00000101199	ENSG00000078898
ENSG00000111144	ENSG00000197183	ENSG00000129993	ENSG00000145819	ENSG00000129993	ENSG00000164877	ENSG00000214021	ENSG00000175866	ENSG00000100425
ENSG00000177239	ENSG00000185624	ENSG00000102225	ENSG00000130762	ENSG00000108100	ENSG00000141562	ENSG00000261915	ENSG00000172530	ENSG00000028310
ENSG00000099250	ENSG00000141959	ENSG00000166266	ENSG00000153317	ENSG00000163468	ENSG00000101158	ENSG00000181513	ENSG00000078898	ENSG00000011114
ENSG00000104805	ENSG00000067225	ENSG00000109670	ENSG00000169696	ENSG00000100888	ENSG00000141905	ENSG00000168010	ENSG00000028310	ENSG00000146826
ENSG00000135506	ENSG00000214193	ENSG00000127054	ENSG00000137343	ENSG00000138767	ENSG00000197183	ENSG00000102225	ENSG00000131591	ENSG00000182985
ENSG00000117385	ENSG00000168575	ENSG00000120071	ENSG00000166669	ENSG00000163050	ENSG00000164830	ENSG00000090539	ENSG00000146826	ENSG00000143418
ENSG00000169174	ENSG00000115694	ENSG00000124702	ENSG00000068650	ENSG00000106789	ENSG00000185813	ENSG00000179335	ENSG00000182985	ENSG00000090661
ENSG00000092621	ENSG00000283900	ENSG00000125912	ENSG00000204842	ENSG00000140374	ENSG00000156873	ENSG00000071626	ENSG00000142453	ENSG00000110721
ENSG00000139323	ENSG00000163374	ENSG00000142657	ENSG00000168646	ENSG00000101052	ENSG00000142599	ENSG00000070061	ENSG00000129993	ENSG00000196739
ENSG00000116260	ENSG00000284292	ENSG00000184640	ENSG00000158019	ENSG00000138614	ENSG00000277957	ENSG00000100083	ENSG00000176155	ENSG00000130309
ENSG00000110628	ENSG00000176248	ENSG00000063244	ENSG00000115760	ENSG00000237649	ENSG00000167978	ENSG00000141738	ENSG00000107771	ENSG00000215908
ENSG00000162695	ENSG00000141867	ENSG00000115464	ENSG00000071462	ENSG00000161813	ENSG00000135316	ENSG00000185122	ENSG00000117335	ENSG00000213923
ENSG00000138074	ENSG00000129993	ENSG00000282278	ENSG00000182985	ENSG00000101577	ENSG00000182670	ENSG00000101361	ENSG00000196352	ENSG00000154832
ENSG00000268104	ENSG00000112877	ENSG00000244255	ENSG00000130559	ENSG00000119487	ENSG00000169554	ENSG00000101104	ENSG00000093009	ENSG00000140995
ENSG00000131389	ENSG00000129083	ENSG00000168397	ENSG00000090061	ENSG00000073111	ENSG00000181513	ENSG00000004534	ENSG00000164118	ENSG00000124795
ENSG00000101187	ENSG00000178773	ENSG00000148672	ENSG00000151465	ENSG00000118855	ENSG00000168010	ENSG00000144028	ENSG00000103249	ENSG00000176124
ENSG00000198732	ENSG00000100201	ENSG00000105983	ENSG00000136861	ENSG00000153944	ENSG00000090539	ENSG00000197912	ENSG00000038532	ENSG00000158856
ENSG00000100242	ENSG00000108654	ENSG00000160789	ENSG00000100422	ENSG00000102908	ENSG00000071626	ENSG00000169696	ENSG00000176444	ENSG00000105204
ENSG00000166340	ENSG00000074800	ENSG00000170248	ENSG00000090661	ENSG00000112992	ENSG00000108654	ENSG00000131778	ENSG00000130309	ENSG00000121310
ENSG00000062716	ENSG00000159592	ENSG00000237441	ENSG00000177200	ENSG00000198000	ENSG00000106462	ENSG00000163702	ENSG00000163050	ENSG00000197586
ENSG00000260729	ENSG00000153187	ENSG00000160214	ENSG00000176444	ENSG00000007168	ENSG00000265817	ENSG00000203485	ENSG00000105662	ENSG00000117480
ENSG00000125695	ENSG00000127054	ENSG00000129515	ENSG00000080802	ENSG00000065989	ENSG00000100083	ENSG00000182979	ENSG00000175029	ENSG00000047346
ENSG00000244255	ENSG00000099875	ENSG00000126091	ENSG00000106078	ENSG00000152256	ENSG00000105323	ENSG00000132780	ENSG00000137770	ENSG00000137478
ENSG00000163297	ENSG00000187109	ENSG00000141524	ENSG00000240230	ENSG00000149782	ENSG00000120071	ENSG00000078618	ENSG00000198561	ENSG00000161513
ENSG00000084234	ENSG00000130024	ENSG00000171045	ENSG00000134030	ENSG00000127948	ENSG00000125912	ENSG00000011485	ENSG00000085733	ENSG00000068078
ENSG00000123838	ENSG00000073060	ENSG00000124422	ENSG00000153015	ENSG00000154001	ENSG00000180900	ENSG00000160214	ENSG00000154832	ENSG00000117308
ENSG00000127022	ENSG00000277957	ENSG00000273398	ENSG00000144535	ENSG00000108344	ENSG00000214193	ENSG00000101194	ENSG00000140995	ENSG00000158555
ENSG00000115484	ENSG00000013306	ENSG00000074964	ENSG00000176124	ENSG00000102054	ENSG00000185420	ENSG00000204991	ENSG00000081791	ENSG00000112699
ENSG00000172831	ENSG00000180747	ENSG00000076928	ENSG00000082458	ENSG00000104312	ENSG00000272752	ENSG00000076944	ENSG00000070413	ENSG00000078369
ENSG00000100473	ENSG00000054611	ENSG00000079805	ENSG00000116138	ENSG00000155906	ENSG00000175662	ENSG00000142765	ENSG00000077044	ENSG00000167110
ENSG00000099219	ENSG00000184470	ENSG00000167930	ENSG00000167264	ENSG00000135119	ENSG00000259080	ENSG00000067445	ENSG00000176124	ENSG00000238105
ENSG00000197930	ENSG00000176105	ENSG00000105220	ENSG00000205436	ENSG00000025796	ENSG00000072364	ENSG00000285238	ENSG00000106976	ENSG00000089351
ENSG00000180210	ENSG00000142208	ENSG00000173020	ENSG00000131558	ENSG00000277957	ENSG00000142208	ENSG00000111271	ENSG00000079805	ENSG00000115207
ENSG00000134824	ENSG00000104824	ENSG00000141503	ENSG00000182197	ENSG00000139514	ENSG00000137343	ENSG00000177479	ENSG00000104885	ENSG00000169660
ENSG00000054983	ENSG00000143797	ENSG00000179832	ENSG00000156504	ENSG00000167978	ENSG00000105321	ENSG00000110274	ENSG00000105656	ENSG00000064393
ENSG00000143641	ENSG00000168268	ENSG00000164050	ENSG00000108950	ENSG00000165209	ENSG00000164045	ENSG00000163050	ENSG00000132199	ENSG00000122566
ENSG00000135677	ENSG00000143870	ENSG00000091490	ENSG00000153310	ENSG00000132405	ENSG00000183495	ENSG00000167264	ENSG00000197586	ENSG00000080824
ENSG00000100979	ENSG00000179051	ENSG00000095539	ENSG00000083857	ENSG00000163931	ENSG00000137171	ENSG00000105220	ENSG00000072134	ENSG00000105376
ENSG00000105568	ENSG00000102445	ENSG00000106771	ENSG00000161513	ENSG00000134490	ENSG00000160789	ENSG00000173020	ENSG00000117868	ENSG00000136231
ENSG00000184640	ENSG00000168066	ENSG00000131584	ENSG00000151422	ENSG00000116747	ENSG00000243207	ENSG00000129351	ENSG00000090989	ENSG00000111203
ENSG00000112759	ENSG00000141524	ENSG00000185513	ENSG00000077782	ENSG00000130529	ENSG00000011485	ENSG00000162267	ENSG00000205436	ENSG00000120049
ENSG00000120451	ENSG00000284946	ENSG00000167615	ENSG00000132589	ENSG00000196367	ENSG00000100239	ENSG00000168137	ENSG00000182197	ENSG00000127663
ENSG00000057252	ENSG00000155111	ENSG00000196498	ENSG00000143614	ENSG00000140740	ENSG00000010017	ENSG00000116337	ENSG00000158161	ENSG00000132680
ENSG00000099797	ENSG00000136830	ENSG00000119403	ENSG00000158555	ENSG00000105176	ENSG00000101194	ENSG00000182944	ENSG00000117480	ENSG00000007202
ENSG00000120708	ENSG00000105556	ENSG00000204469	ENSG00000112699	ENSG00000168883	ENSG00000164828	ENSG00000178950	ENSG00000156504	ENSG00000130702
ENSG00000170876	ENSG00000119314	ENSG00000169398	ENSG00000078369	ENSG00000071127	ENSG00000141524	ENSG00000167615	ENSG00000153310	ENSG00000225872
ENSG00000205336	ENSG00000164828	ENSG00000168758	ENSG00000116580	ENSG00000065183	ENSG00000067445	ENSG00000141002	ENSG00000137478	ENSG00000160285
ENSG00000118217	ENSG00000071564	ENSG00000135250	ENSG00000062194	ENSG00000157954	ENSG00000285238	ENSG00000120708	ENSG00000077782	ENSG00000102858
ENSG00000039068	ENSG00000165138	ENSG00000079308	ENSG00000082701	ENSG00000116213	ENSG00000120868	ENSG00000269547	ENSG00000158555	ENSG00000153944
ENSG00000113161	ENSG00000122359	ENSG00000167992	ENSG00000104687	ENSG00000112200	ENSG00000104859	ENSG00000126522	ENSG00000112699	ENSG00000198646
ENSG00000164171	ENSG00000183337	ENSG00000204681	ENSG00000113924	ENSG00000284707	ENSG00000145495	ENSG00000147162	ENSG00000078369	ENSG00000130414
ENSG00000130164	ENSG00000075711	ENSG00000120733	ENSG00000122566	ENSG00000239900	ENSG00000166912	ENSG00000070047	ENSG00000167110	ENSG00000125967
ENSG00000023228	ENSG00000103342	ENSG00000196313	ENSG00000119471	ENSG00000141385	ENSG00000156170	ENSG00000061936	ENSG00000105220	ENSG00000185049
ENSG00000112655	ENSG00000205531	ENSG00000142784	ENSG00000136231	ENSG00000084693	ENSG00000004534	ENSG00000254995	ENSG00000196208	ENSG00000101158
ENSG00000169071	ENSG00000168758	ENSG00000068366	ENSG00000128908	ENSG00000173744	ENSG00000168137	ENSG00000104946	ENSG00000056998	ENSG00000197183
ENSG00000132164	ENSG00000135250	ENSG00000171603	ENSG00000129636	ENSG00000107863	ENSG00000071564	ENSG00000110719	ENSG00000169660	ENSG00000185269
ENSG00000182934	ENSG00000099889	ENSG00000106976	ENSG00000123104	ENSG00000157087	ENSG00000125733	ENSG00000014216	ENSG00000109758	ENSG00000165802
ENSG00000197142	ENSG00000214078	ENSG00000196924	ENSG00000130702	ENSG00000173715	ENSG00000111271	ENSG00000215301	ENSG00000064393	ENSG00000144645
ENSG00000163631	ENSG00000090615	ENSG00000068024	ENSG00000070018	ENSG00000125149	ENSG00000183337	ENSG00000197530	ENSG00000159399	ENSG00000185624
