SND1	GEMIN5	PCBP1	PCBP2	YBX3	LSM11	PABPN1	RBFOX2	PRPF4
ENSG00000125912	ENSG00000132463	ENSG00000160282	ENSG00000196296	ENSG00000179335	ENSG00000186166	ENSG00000186635	ENSG00000107331	ENSG00000187244
ENSG00000130175	ENSG00000068308	ENSG00000131067	ENSG00000082258	ENSG00000161202	ENSG00000136271	ENSG00000144591	ENSG00000127586	ENSG00000090539
ENSG00000138018	ENSG00000284874	ENSG00000132463	ENSG00000131067	ENSG00000105613	ENSG00000137171	ENSG00000169660	ENSG00000177106	ENSG00000177106
ENSG00000099797	ENSG00000143889	ENSG00000106397	ENSG00000184216	ENSG00000131652	ENSG00000258388	ENSG00000185122	ENSG00000160282	ENSG00000140400
ENSG00000074695	ENSG00000196365	ENSG00000125733	ENSG00000277258	ENSG00000163159	ENSG00000163703	ENSG00000102878	ENSG00000197858	ENSG00000215041
ENSG00000160789	ENSG00000133612	ENSG00000184216	ENSG00000166908	ENSG00000088038	ENSG00000186204	ENSG00000138002	ENSG00000108840	ENSG00000258388
ENSG00000125991	ENSG00000171456	ENSG00000237441	ENSG00000006282	ENSG00000140859	ENSG00000131584	ENSG00000087191	ENSG00000127415	ENSG00000139540
ENSG00000115524	ENSG00000130770	ENSG00000013810	ENSG00000145191	ENSG00000129353	ENSG00000173137	ENSG00000140983	ENSG00000137171	ENSG00000272752
ENSG00000164307	ENSG00000235334	ENSG00000167615	ENSG00000165792	ENSG00000143569	ENSG00000108465	ENSG00000131652	ENSG00000140400	ENSG00000104907
ENSG00000090863	ENSG00000228549	ENSG00000070756	ENSG00000237441	ENSG00000137871	ENSG00000079616	ENSG00000163516	ENSG00000108389	ENSG00000158856
ENSG00000135506	ENSG00000166734	ENSG00000091592	ENSG00000196497	ENSG00000164163	ENSG00000104960	ENSG00000112511	ENSG00000215041	ENSG00000112511
ENSG00000188338	ENSG00000113328	ENSG00000076944	ENSG00000104805	ENSG00000145734	ENSG00000139540	ENSG00000104960	ENSG00000124006	ENSG00000130822
ENSG00000168036	ENSG00000138764	ENSG00000119777	ENSG00000143442	ENSG00000170004	ENSG00000064601	ENSG00000101194	ENSG00000130827	ENSG00000243207
ENSG00000119777	ENSG00000166226	ENSG00000177169	ENSG00000185101	ENSG00000114982	ENSG00000104518	ENSG00000061656	ENSG00000125733	ENSG00000011304
ENSG00000174437	ENSG00000135624	ENSG00000117448	ENSG00000166986	ENSG00000188976	ENSG00000105707	ENSG00000108465	ENSG00000063244	ENSG00000115282
ENSG00000214160	ENSG00000134690	ENSG00000179218	ENSG00000091262	ENSG00000076924	ENSG00000165792	ENSG00000125991	ENSG00000143258	ENSG00000092929
ENSG00000158874	ENSG00000172586	ENSG00000250479	ENSG00000114786	ENSG00000114786	ENSG00000142765	ENSG00000188747	ENSG00000172375	ENSG00000131584
ENSG00000084674	ENSG00000113300	ENSG00000068120	ENSG00000169696	ENSG00000204536	ENSG00000117480	ENSG00000139540	ENSG00000128591	ENSG00000169710
ENSG00000165272	ENSG00000168090	ENSG00000105722	ENSG00000167615	ENSG00000104774	ENSG00000089280	ENSG00000165792	ENSG00000084734	ENSG00000100429
ENSG00000104763	ENSG00000088986	ENSG00000172354	ENSG00000070756	ENSG00000095319	ENSG00000006282	ENSG00000142765	ENSG00000112511	ENSG00000104960
ENSG00000110651	ENSG00000106263	ENSG00000143321	ENSG00000092098	ENSG00000188157	ENSG00000167615	ENSG00000167702	ENSG00000008710	ENSG00000137824
ENSG00000171603	ENSG00000111640	ENSG00000088247	ENSG00000124574	ENSG00000130985	ENSG00000164828	ENSG00000169696	ENSG00000174669	ENSG00000125089
ENSG00000117984	ENSG00000177225	ENSG00000108424	ENSG00000119777	ENSG00000156256	ENSG00000126522	ENSG00000108773	ENSG00000169710	ENSG00000215305
ENSG00000108654	ENSG00000103253	ENSG00000113368	ENSG00000184634	ENSG00000175164	ENSG00000249115	ENSG00000167615	ENSG00000100429	ENSG00000166278
ENSG00000172893	ENSG00000198830	ENSG00000047849	ENSG00000204469	ENSG00000213875	ENSG00000197912	ENSG00000101158	ENSG00000196547	ENSG00000064601
ENSG00000066322	ENSG00000128944	ENSG00000140545	ENSG00000071894	ENSG00000104964	ENSG00000173442	ENSG00000100918	ENSG00000197530	ENSG00000107404
ENSG00000100031	ENSG00000108424	ENSG00000175727	ENSG00000254419	ENSG00000106992	ENSG00000076944	ENSG00000104946	ENSG00000104960	ENSG00000102890
ENSG00000213614	ENSG00000113368	ENSG00000158887	ENSG00000163466	ENSG00000159199	ENSG00000100359	ENSG00000164062	ENSG00000107404	ENSG00000105707
ENSG00000234745	ENSG00000104738	ENSG00000204316	ENSG00000129473	ENSG00000258315	ENSG00000094914	ENSG00000126522	ENSG00000167280	ENSG00000187778
ENSG00000104824	ENSG00000110492	ENSG00000109180	ENSG00000179218	ENSG00000188493	ENSG00000119688	ENSG00000249115	ENSG00000065361	ENSG00000275023
ENSG00000110169	ENSG00000179010	ENSG00000068308	ENSG00000171302	ENSG00000174917	ENSG00000072778	ENSG00000196235	ENSG00000251322	ENSG00000163050
ENSG00000078596	ENSG00000132780	ENSG00000196923	ENSG00000160799	ENSG00000176731	ENSG00000188511	ENSG00000076928	ENSG00000242802	ENSG00000089280
ENSG00000117139	ENSG00000213639	ENSG00000102096	ENSG00000163249	ENSG00000129226	ENSG00000103326	ENSG00000197530	ENSG00000142453	ENSG00000204740
ENSG00000140545	ENSG00000007038	ENSG00000130175	ENSG00000089737	ENSG00000103502	ENSG00000138764	ENSG00000183963	ENSG00000198837	ENSG00000169220
ENSG00000101608	ENSG00000122257	ENSG00000105287	ENSG00000198837	ENSG00000166165	ENSG00000102901	ENSG00000087087	ENSG00000158856	ENSG00000012171
ENSG00000164976	ENSG00000239306	ENSG00000108557	ENSG00000179532	ENSG00000198791	ENSG00000160318	ENSG00000173442	ENSG00000177943	ENSG00000115657
ENSG00000106397	ENSG00000198242	ENSG00000022840	ENSG00000115211	ENSG00000198930	ENSG00000169738	ENSG00000160633	ENSG00000166986	ENSG00000169696
ENSG00000105404	ENSG00000110700	ENSG00000147403	ENSG00000160867	ENSG00000175826	ENSG00000198563	ENSG00000185359	ENSG00000012171	ENSG00000115355
ENSG00000026297	ENSG00000233927	ENSG00000110700	ENSG00000105723	ENSG00000100897	ENSG00000176978	ENSG00000064687	ENSG00000136699	ENSG00000183258
ENSG00000058262	ENSG00000171863	ENSG00000164587	ENSG00000099377	ENSG00000172893	ENSG00000069696	ENSG00000119688	ENSG00000285314	ENSG00000127511
ENSG00000113811	ENSG00000184702	ENSG00000164054	ENSG00000149428	ENSG00000080845	ENSG00000225828	ENSG00000234431	ENSG00000183258	ENSG00000124608
