LARP4	PABPC4	SUB1	DDX3X	RPS3	NCBP2	DDX55	METAP2	BCLAF1	UCHL5	ZNF622	TRA2A	ZNF800	GRWD1	PUM1	DDX24	FXR2	TIA1	TIAL1	U2AF1	U2AF2	KHSRP	AATF	DKC1	NOLC1	SMNDC1	AGO	DICER
ENSG00000170144	ENSG00000104408	ENSG00000234741	ENSG00000270149	ENSG00000160867	ENSG00000284874	ENSG00000125733	ENSG00000172053	ENSG00000279765	ENSG00000116337	ENSG00000284681	ENSG00000090615	ENSG00000095564	ENSG00000284681	ENSG00000165733	ENSG00000095564	ENSG00000087274	ENSG00000167930	ENSG00000113161	ENSG00000087274	ENSG00000131069	ENSG00000279765	ENSG00000284874	ENSG00000277957	ENSG00000135486	ENSG00000134262	ENSG00000092847	ENSG00000197599
ENSG00000060491	ENSG00000168883	ENSG00000168883	ENSG00000132463	ENSG00000030582	ENSG00000169710	ENSG00000071859	ENSG00000163931	ENSG00000126070	ENSG00000087152	ENSG00000186635	ENSG00000130175	ENSG00000122786	ENSG00000087274	ENSG00000178773	ENSG00000127586	ENSG00000107581	ENSG00000256269	ENSG00000170144	ENSG00000163516	ENSG00000087274	ENSG00000165733	ENSG00000198837	ENSG00000226950	ENSG00000234741	ENSG00000127586	ENSG00000126070	ENSG00000160741
ENSG00000104960	ENSG00000089280	ENSG00000168036	ENSG00000130414	ENSG00000256269	ENSG00000140688	ENSG00000213780	ENSG00000284874	ENSG00000100852	ENSG00000060982	ENSG00000095564	ENSG00000087365	ENSG00000116675	ENSG00000173744	ENSG00000058272	ENSG00000182871	ENSG00000280987	ENSG00000113161	ENSG00000004864	ENSG00000067048	ENSG00000095564	ENSG00000164118	ENSG00000071894	ENSG00000234741	ENSG00000070756	ENSG00000070610	ENSG00000116337	ENSG00000169660
ENSG00000116754	ENSG00000076944	ENSG00000119777	ENSG00000204356	ENSG00000178921	ENSG00000129515	ENSG00000173442	ENSG00000126934	ENSG00000165733	ENSG00000160200	ENSG00000113163	ENSG00000137776	ENSG00000058272	ENSG00000087152	ENSG00000087365	ENSG00000178773	ENSG00000160633	ENSG00000127603	ENSG00000139292	ENSG00000165219	ENSG00000170037	ENSG00000197594	ENSG00000204387	ENSG00000198242	ENSG00000277957	ENSG00000256269	ENSG00000170037	ENSG00000142733
ENSG00000104805	ENSG00000176731	ENSG00000184009	ENSG00000185813	ENSG00000130175	ENSG00000115355	ENSG00000158874	ENSG00000184792	ENSG00000122786	ENSG00000213213	ENSG00000125485	ENSG00000119707	ENSG00000130175	ENSG00000115307	ENSG00000113649	ENSG00000111674	ENSG00000087365	ENSG00000198901	ENSG00000131051	ENSG00000115282	ENSG00000101266	ENSG00000089280	ENSG00000226950	ENSG00000140988	ENSG00000184009	ENSG00000184216	ENSG00000161249	ENSG00000156711
ENSG00000167614	ENSG00000135404	ENSG00000159720	ENSG00000138629	ENSG00000163931	ENSG00000196547	ENSG00000130208	ENSG00000112511	ENSG00000103540	ENSG00000138778	ENSG00000135164	ENSG00000134318	ENSG00000087365	ENSG00000060982	ENSG00000182979	ENSG00000197858	ENSG00000109111	ENSG00000174177	ENSG00000204469	ENSG00000170037	ENSG00000067048	ENSG00000113161	ENSG00000234741	ENSG00000203875	ENSG00000152234	ENSG00000172977	ENSG00000163938	ENSG00000184967
ENSG00000089280	ENSG00000130724	ENSG00000179218	ENSG00000284874	ENSG00000140105	ENSG00000039650	ENSG00000152234	ENSG00000008710	ENSG00000164118	ENSG00000105443	ENSG00000145191	ENSG00000076108	ENSG00000082898	ENSG00000165733	ENSG00000116754	ENSG00000256269	ENSG00000215301	ENSG00000139292	ENSG00000132300	ENSG00000125772	ENSG00000197594	ENSG00000170144	ENSG00000132475	ENSG00000255198	ENSG00000204387	ENSG00000223705	ENSG00000184216	ENSG00000185189
ENSG00000105568	ENSG00000105669	ENSG00000112514	ENSG00000115307	ENSG00000160789	ENSG00000100949	ENSG00000175334	ENSG00000100241	ENSG00000090539	ENSG00000135164	ENSG00000094631	ENSG00000125447	ENSG00000132300	ENSG00000122786	ENSG00000163938	ENSG00000127415	ENSG00000196642	ENSG00000182934	ENSG00000140350	ENSG00000149480	ENSG00000070610	ENSG00000139116	ENSG00000109971	ENSG00000166012	ENSG00000226950	ENSG00000130827	ENSG00000115216	ENSG00000177595
ENSG00000070756	ENSG00000112514	ENSG00000109971	ENSG00000126581	ENSG00000196576	ENSG00000091136	ENSG00000179218	ENSG00000104960	ENSG00000113163	ENSG00000104129	ENSG00000112511	ENSG00000196642	ENSG00000102054	ENSG00000160200	ENSG00000092201	ENSG00000163702	ENSG00000115524	ENSG00000116337	ENSG00000119787	ENSG00000117569	ENSG00000112855	ENSG00000001631	ENSG00000175061	ENSG00000161960	ENSG00000198563	ENSG00000111602	ENSG00000110048	ENSG00000105618
ENSG00000146416	ENSG00000171604	ENSG00000101365	ENSG00000126934	ENSG00000127948	ENSG00000196365	ENSG00000102901	ENSG00000130402	ENSG00000108669	ENSG00000116675	ENSG00000058272	ENSG00000137497	ENSG00000134318	ENSG00000213213	ENSG00000013810	ENSG00000126012	ENSG00000127616	ENSG00000172869	ENSG00000179218	ENSG00000110911	ENSG00000170144	ENSG00000143815	ENSG00000239306	ENSG00000267321	ENSG00000089154	ENSG00000284874	ENSG00000145916	ENSG00000140983
