Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	17	44.73684210526316	8.922775947922206E-10	ENSG00000101361, ENSG00000198242, ENSG00000108848, ENSG00000147274, ENSG00000239306, ENSG00000163938, ENSG00000204351, ENSG00000008988, ENSG00000174444, ENSG00000265681, ENSG00000156976, ENSG00000130255, ENSG00000142541, ENSG00000055044, ENSG00000115053, ENSG00000188986, ENSG00000109971	30	1024	10709	5.926204427083333	7.405903690305138E-8	7.495131796254653E-8	7.405904036775431E-8
GOTERM_CC_DIRECT	GO:0005730~nucleolus	14	36.84210526315789	1.931219865264058E-9	ENSG00000101361, ENSG00000198242, ENSG00000239306, ENSG00000171163, ENSG00000163938, ENSG00000174444, ENSG00000130255, ENSG00000142541, ENSG00000055044, ENSG00000115053, ENSG00000255717, ENSG00000166012, ENSG00000175061, ENSG00000109971	31	616	11171	8.189882697947214	2.0664050282004354E-7	2.066405255832542E-7	1.9119076666114173E-7
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	6	15.789473684210526	1.4898757595427895E-6	ENSG00000142541, ENSG00000198242, ENSG00000008988, ENSG00000174444, ENSG00000265681, ENSG00000130255	31	75	11171	28.828387096774193	1.5940411883974548E-4	7.970835313553923E-5	7.374885009736808E-5
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	6	15.789473684210526	1.9611221166313503E-6	ENSG00000142541, ENSG00000198242, ENSG00000008988, ENSG00000174444, ENSG00000265681, ENSG00000130255	32	73	10635	27.315924657534246	3.921478978240467E-4	3.9026330120963873E-4	3.9026330120963873E-4
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	5	13.157894736842104	4.8493222294138336E-6	ENSG00000142541, ENSG00000198242, ENSG00000174444, ENSG00000265681, ENSG00000130255	31	43	11171	41.90172543135784	5.187441423647465E-4	1.7295915951576004E-4	1.600276335706565E-4
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	6	15.789473684210526	1.3757529742382798E-5	ENSG00000142541, ENSG00000198242, ENSG00000008988, ENSG00000174444, ENSG00000265681, ENSG00000130255	30	117	10709	18.30598290598291	0.0011412311232698036	5.778162491800775E-4	5.709374843088862E-4
GOTERM_CC_DIRECT	GO:1990904~ribonucleoprotein complex	6	15.789473684210526	1.9910922331432045E-5	ENSG00000142541, ENSG00000115053, ENSG00000147274, ENSG00000239306, ENSG00000174444, ENSG00000109971	31	127	11171	17.0246380492761	0.0021282220167914145	5.326171723658072E-4	4.927953277029431E-4
GOTERM_BP_DIRECT	GO:0006412~translation	6	15.789473684210526	6.19022704114168E-5	ENSG00000142541, ENSG00000198242, ENSG00000008988, ENSG00000174444, ENSG00000265681, ENSG00000130255	32	148	10635	13.47339527027027	0.012304510044347183	0.006159275905935972	0.006159275905935972
GOTERM_CC_DIRECT	GO:0005840~ribosome	5	13.157894736842104	2.7082007774171683E-4	ENSG00000142541, ENSG00000198242, ENSG00000008988, ENSG00000174444, ENSG00000130255	31	119	11171	15.140959609650311	0.02856573212840119	0.00579554966367274	0.005362237539285993
GOTERM_BP_DIRECT	GO:0048026~positive regulation of mRNA splicing, via spliceosome	3	7.894736842105263	0.00236604620801489	ENSG00000115053, ENSG00000147274, ENSG00000109971	32	25	10635	39.88125	0.3773495192267057	0.15694773179832103	0.15694773179832103
GOTERM_CC_DIRECT	GO:0005634~nucleus	18	47.368421052631575	0.0045680369281127006	ENSG00000071894, ENSG00000110955, ENSG00000105576, ENSG00000198242, ENSG00000108848, ENSG00000147274, ENSG00000239306, ENSG00000163938, ENSG00000204351, ENSG00000174444, ENSG00000104904, ENSG00000265681, ENSG00000132475, ENSG00000142541, ENSG00000115053, ENSG00000188986, ENSG00000167702, ENSG00000109971	31	3580	11171	1.811839971165976	0.3873121840100897	0.08146332521800982	0.07537260931385956
GOTERM_MF_DIRECT	GO:0003729~mRNA binding	4	10.526315789473683	0.010439644265237375	ENSG00000142541, ENSG00000108848, ENSG00000147274, ENSG00000239306	30	169	10709	8.448915187376725	0.5814860796860077	0.2793815288330277	0.2760555582516821
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	5	13.157894736842104	0.013303882325382271	ENSG00000110955, ENSG00000204351, ENSG00000167702, ENSG00000109971, ENSG00000156976	30	345	10709	5.173429951690821	0.6709788544174153	0.2793815288330277	0.2760555582516821
GOTERM_CC_DIRECT	GO:0031428~box C/D snoRNP complex	2	5.263157894736842	0.01335807700702854	ENSG00000101361, ENSG00000055044	31	5	11171	144.14193548387095	0.7628225206978821	0.1359433272405757	0.12577934015716818
GOTERM_CC_DIRECT	GO:0005732~small nucleolar ribonucleoprotein complex	2	5.263157894736842	0.01335807700702854	ENSG00000101361, ENSG00000055044	31	5	11171	144.14193548387095	0.7628225206978821	0.1359433272405757	0.12577934015716818
GOTERM_CC_DIRECT	GO:0070761~pre-snoRNP complex	2	5.263157894736842	0.01335807700702854	ENSG00000101361, ENSG00000055044	31	5	11171	144.14193548387095	0.7628225206978821	0.1359433272405757	0.12577934015716818
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	14	36.84210526315789	0.013602450992460794	ENSG00000101361, ENSG00000071894, ENSG00000108848, ENSG00000147274, ENSG00000239306, ENSG00000171163, ENSG00000008988, ENSG00000132475, ENSG00000198837, ENSG00000055044, ENSG00000115053, ENSG00000166012, ENSG00000188986, ENSG00000109971	31	2643	11171	1.90880353459534	0.7690264034188896	0.1359433272405757	0.12577934015716818
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	10	26.31578947368421	0.013975482239685352	ENSG00000110955, ENSG00000118137, ENSG00000198242, ENSG00000115053, ENSG00000076944, ENSG00000147274, ENSG00000008988, ENSG00000174444, ENSG00000132475, ENSG00000109971	31	1498	11171	2.4055730220939746	0.7781878202225996	0.1359433272405757	0.12577934015716818
GOTERM_BP_DIRECT	GO:0001649~osteoblast differentiation	3	7.894736842105263	0.020499811838523903	ENSG00000110955, ENSG00000147274, ENSG00000132475	32	76	10635	13.118832236842106	0.9841180160900406	1.0	1.0
GOTERM_CC_DIRECT	GO:0005681~spliceosomal complex	3	7.894736842105263	0.026155718249502007	ENSG00000115053, ENSG00000147274, ENSG00000109971	31	94	11171	11.500686341798215	0.9413350804755796	0.23322182105805955	0.21578467555839156
GOTERM_CC_DIRECT	GO:0015934~large ribosomal subunit	2	5.263157894736842	0.02916017066347378	ENSG00000142541, ENSG00000265681	31	11	11171	65.51906158357771	0.9578505782763633	0.24001063546089954	0.222065915052608
GOTERM_MF_DIRECT	GO:0030515~snoRNA binding	2	5.263157894736842	0.03465678677175864	ENSG00000101361, ENSG00000055044	30	13	10709	54.91794871794872	0.9464715022373952	0.5822340177655452	0.5753026604111935
