Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	160	44.9438202247191	1.5320936523623376E-20	ENSG00000160803, ENSG00000071894, ENSG00000181222, ENSG00000165819, ENSG00000102081, ENSG00000110700, ENSG00000006712, ENSG00000137504, ENSG00000128191, ENSG00000114861, ENSG00000004777, ENSG00000135446, ENSG00000156304, ENSG00000165782, ENSG00000156261, ENSG00000126457, ENSG00000105197, ENSG00000144048, ENSG00000094880, ENSG00000066117, ENSG00000113761, ENSG00000135974, ENSG00000131652, ENSG00000143621, ENSG00000171824, ENSG00000088247, ENSG00000221983, ENSG00000120800, ENSG00000102119, ENSG00000063244, ENSG00000054654, ENSG00000184216, ENSG00000125651, ENSG00000105220, ENSG00000183765, ENSG00000076924, ENSG00000197150, ENSG00000105258, ENSG00000177302, ENSG00000132716, ENSG00000172531, ENSG00000114767, ENSG00000115216, ENSG00000110048, ENSG00000227057, ENSG00000196504, ENSG00000137203, ENSG00000141030, ENSG00000168036, ENSG00000167065, ENSG00000100644, ENSG00000166012, ENSG00000160392, ENSG00000013275, ENSG00000061273, ENSG00000101457, ENSG00000105372, ENSG00000092847, ENSG00000103510, ENSG00000160957, ENSG00000134987, ENSG00000135679, ENSG00000043355, ENSG00000092201, ENSG00000039650, ENSG00000198356, ENSG00000142507, ENSG00000132680, ENSG00000111641, ENSG00000133895, ENSG00000164880, ENSG00000169018, ENSG00000011304, ENSG00000171604, ENSG00000085872, ENSG00000124702, ENSG00000122406, ENSG00000178498, ENSG00000213465, ENSG00000126012, ENSG00000126254, ENSG00000178896, ENSG00000108788, ENSG00000039560, ENSG00000198026, ENSG00000128272, ENSG00000243156, ENSG00000148606, ENSG00000145216, ENSG00000119844, ENSG00000166313, ENSG00000171858, ENSG00000136450, ENSG00000100941, ENSG00000188986, ENSG00000149532, ENSG00000143033, ENSG00000123143, ENSG00000240972, ENSG00000177731, ENSG00000154277, ENSG00000089094, ENSG00000072310, ENSG00000006744, ENSG00000139613, ENSG00000196235, ENSG00000167491, ENSG00000133112, ENSG00000100813, ENSG00000116670, ENSG00000168066, ENSG00000167770, ENSG00000188976, ENSG00000164548, ENSG00000108654, ENSG00000188739, ENSG00000272333, ENSG00000076604, ENSG00000198563, ENSG00000174231, ENSG00000116747, ENSG00000134375, ENSG00000117713, ENSG00000126070, ENSG00000028203, ENSG00000132356, ENSG00000080824, ENSG00000143258, ENSG00000186185, ENSG00000277957, ENSG00000166452, ENSG00000116062, ENSG00000169045, ENSG00000169727, ENSG00000149636, ENSG00000163104, ENSG00000163743, ENSG00000104881, ENSG00000121067, ENSG00000102054, ENSG00000135913, ENSG00000105202, ENSG00000105325, ENSG00000105722, ENSG00000174243, ENSG00000115524, ENSG00000055483, ENSG00000005073, ENSG00000185482, ENSG00000168003, ENSG00000103549, ENSG00000169057, ENSG00000154370, ENSG00000123136, ENSG00000140259, ENSG00000148773, ENSG00000122566, ENSG00000105287, ENSG00000147687, ENSG00000163875	347	2643	11171	1.9488813362686057	7.246802975673857E-18	7.246802975673857E-18	7.093593610437622E-18
GOTERM_MF_DIRECT	GO:0003723~RNA binding	91	25.56179775280899	4.565713842477139E-20	ENSG00000108107, ENSG00000103495, ENSG00000126254, ENSG00000181222, ENSG00000102081, ENSG00000110700, ENSG00000156508, ENSG00000156304, ENSG00000145216, ENSG00000171858, ENSG00000117450, ENSG00000136450, ENSG00000100941, ENSG00000126457, ENSG00000188986, ENSG00000149532, ENSG00000143793, ENSG00000105197, ENSG00000123144, ENSG00000144048, ENSG00000099899, ENSG00000006744, ENSG00000196235, ENSG00000113761, ENSG00000133112, ENSG00000131652, ENSG00000143621, ENSG00000100813, ENSG00000171824, ENSG00000089737, ENSG00000182196, ENSG00000120800, ENSG00000168066, ENSG00000088247, ENSG00000063244, ENSG00000188976, ENSG00000164548, ENSG00000162244, ENSG00000125651, ENSG00000188739, ENSG00000108654, ENSG00000072506, ENSG00000182899, ENSG00000178952, ENSG00000198563, ENSG00000174231, ENSG00000163938, ENSG00000116747, ENSG00000114767, ENSG00000110321, ENSG00000135387, ENSG00000126070, ENSG00000227057, ENSG00000196504, ENSG00000080824, ENSG00000062485, ENSG00000100403, ENSG00000169045, ENSG00000172809, ENSG00000105372, ENSG00000092847, ENSG00000102054, ENSG00000105202, ENSG00000134987, ENSG00000092201, ENSG00000174243, ENSG00000156990, ENSG00000111641, ENSG00000132680, ENSG00000205531, ENSG00000174444, ENSG00000198755, ENSG00000115524, ENSG00000179218, ENSG00000113300, ENSG00000055483, ENSG00000011304, ENSG00000114391, ENSG00000085872, ENSG00000168003, ENSG00000169057, ENSG00000122406, ENSG00000123136, ENSG00000140259, ENSG00000089597, ENSG00000089157, ENSG00000148773, ENSG00000122566, ENSG00000147403, ENSG00000187109, ENSG00000161016	342	1024	10709	2.782686289290936	2.497445471834995E-17	2.502011185677472E-17	2.4791826164650864E-17
GOTERM_CC_DIRECT	GO:0005634~nucleus	180	50.56179775280899	1.077088413771285E-14	ENSG00000160803, ENSG00000071894, ENSG00000181222, ENSG00000165819, ENSG00000102081, ENSG00000110700, ENSG00000117616, ENSG00000137504, ENSG00000128191, ENSG00000114861, ENSG00000135446, ENSG00000156304, ENSG00000139645, ENSG00000167565, ENSG00000117450, ENSG00000163481, ENSG00000126457, ENSG00000168813, ENSG00000144048, ENSG00000173334, ENSG00000237649, ENSG00000066117, ENSG00000113761, ENSG00000176842, ENSG00000135974, ENSG00000131652, ENSG00000143621, ENSG00000171824, ENSG00000101306, ENSG00000088247, ENSG00000221983, ENSG00000063244, ENSG00000105063, ENSG00000054654, ENSG00000184216, ENSG00000125651, ENSG00000126464, ENSG00000183765, ENSG00000076924, ENSG00000105258, ENSG00000145191, ENSG00000177302, ENSG00000132716, ENSG00000163938, ENSG00000172531, ENSG00000008710, ENSG00000136238, ENSG00000196504, ENSG00000137203, ENSG00000141030, ENSG00000168036, ENSG00000145916, ENSG00000167065, ENSG00000100644, ENSG00000160392, ENSG00000062485, ENSG00000100403, ENSG00000013275, ENSG00000061273, ENSG00000101457, ENSG00000251562, ENSG00000092847, ENSG00000167900, ENSG00000103510, ENSG00000184009, ENSG00000105255, ENSG00000160957, ENSG00000135679, ENSG00000043355, ENSG00000092201, ENSG00000039650, ENSG00000130702, ENSG00000142507, ENSG00000132680, ENSG00000111640, ENSG00000174444, ENSG00000198755, ENSG00000179218, ENSG00000133895, ENSG00000113300, ENSG00000164880, ENSG00000169018, ENSG00000011304, ENSG00000171604, ENSG00000171848, ENSG00000133250, ENSG00000122406, ENSG00000089157, ENSG00000147403, ENSG00000187109, ENSG00000103495, ENSG00000213465, ENSG00000126012, ENSG00000126254, ENSG00000178896, ENSG00000108788, ENSG00000179222, ENSG00000198026, ENSG00000128272, ENSG00000156508, ENSG00000243156, ENSG00000148606, ENSG00000204514, ENSG00000166313, ENSG00000142186, ENSG00000125967, ENSG00000136450, ENSG00000100304, ENSG00000188986, ENSG00000149499, ENSG00000149532, ENSG00000143033, ENSG00000123143, ENSG00000177731, ENSG00000089094, ENSG00000072310, ENSG00000006744, ENSG00000196235, ENSG00000167491, ENSG00000132024, ENSG00000133112, ENSG00000141002, ENSG00000100813, ENSG00000116670, ENSG00000183283, ENSG00000168066, ENSG00000182196, ENSG00000167770, ENSG00000166165, ENSG00000188976, ENSG00000182199, ENSG00000164548, ENSG00000108654, ENSG00000272333, ENSG00000107443, ENSG00000076604, ENSG00000104763, ENSG00000110925, ENSG00000198563, ENSG00000174231, ENSG00000117713, ENSG00000136436, ENSG00000068308, ENSG00000267303, ENSG00000132356, ENSG00000080824, ENSG00000186185, ENSG00000277957, ENSG00000116062, ENSG00000169045, ENSG00000145431, ENSG00000127328, ENSG00000109775, ENSG00000169727, ENSG00000149636, ENSG00000163104, ENSG00000163743, ENSG00000104881, ENSG00000121067, ENSG00000102054, ENSG00000135913, ENSG00000105202, ENSG00000105325, ENSG00000105722, ENSG00000174243, ENSG00000205531, ENSG00000115524, ENSG00000055483, ENSG00000005073, ENSG00000167674, ENSG00000103549, ENSG00000169057, ENSG00000123136, ENSG00000140259, ENSG00000148773, ENSG00000122566, ENSG00000169738, ENSG00000179091, ENSG00000105287, ENSG00000163875	347	3580	11171	1.6186466601194598	5.093814259282681E-12	2.5473140985690893E-12	2.4934596778805248E-12
GOTERM_MF_DIRECT	GO:0005515~protein binding	298	83.70786516853933	1.1394878920448548E-10	ENSG00000181222, ENSG00000110700, ENSG00000102081, ENSG00000104823, ENSG00000006712, ENSG00000104946, ENSG00000204310, ENSG00000137504, ENSG00000114861, ENSG00000004777, ENSG00000135446, ENSG00000165782, ENSG00000117450, ENSG00000163481, ENSG00000156261, ENSG00000039523, ENSG00000103160, ENSG00000113407, ENSG00000131899, ENSG00000066117, ENSG00000113761, ENSG00000114850, ENSG00000143621, ENSG00000140474, ENSG00000101306, ENSG00000088247, ENSG00000100335, ENSG00000125651, ENSG00000105220, ENSG00000183765, ENSG00000076924, ENSG00000197150, ENSG00000105258, ENSG00000149150, ENSG00000177302, ENSG00000132716, ENSG00000163938, ENSG00000172531, ENSG00000133243, ENSG00000114767, ENSG00000113312, ENSG00000151239, ENSG00000096093, ENSG00000110048, ENSG00000196504, ENSG00000168036, ENSG00000159199, ENSG00000145916, ENSG00000167065, ENSG00000013275, ENSG00000101457, ENSG00000125503, ENSG00000105372, ENSG00000103510, ENSG00000092847, ENSG00000089682, ENSG00000135679, ENSG00000161647, ENSG00000130787, ENSG00000039650, ENSG00000198356, ENSG00000142507, ENSG00000244355, ENSG00000204084, ENSG00000113300, ENSG00000169018, ENSG00000011304, ENSG00000085998, ENSG00000085872, ENSG00000133250, ENSG00000143727, ENSG00000103502, ENSG00000147403, ENSG00000187109, ENSG00000103495, ENSG00000132017, ENSG00000126012, ENSG00000178896, ENSG00000126254, ENSG00000039560, ENSG00000075413, ENSG00000198026, ENSG00000114942, ENSG00000137822, ENSG00000148606, ENSG00000145216, ENSG00000166313, ENSG00000125967, ENSG00000100304, ENSG00000140688, ENSG00000108262, ENSG00000149499, ENSG00000103496, ENSG00000240972, ENSG00000177697, ENSG00000154277, ENSG00000132024, ENSG00000196998, ENSG00000133112, ENSG00000116670, ENSG00000163050, ENSG00000030066, ENSG00000168066, ENSG00000168067, ENSG00000167770, ENSG00000125734, ENSG00000272333, ENSG00000076604, ENSG00000110925, ENSG00000170037, ENSG00000132356, ENSG00000143258, ENSG00000186185, ENSG00000143811, ENSG00000166452, ENSG00000169045, ENSG00000145431, ENSG00000127328, ENSG00000148943, ENSG00000169727, ENSG00000163743, ENSG00000102054, ENSG00000105202, ENSG00000105325, ENSG00000155463, ENSG00000268861, ENSG00000205531, ENSG00000116337, ENSG00000116213, ENSG00000055483, ENSG00000163870, ENSG00000167674, ENSG00000114391, ENSG00000114270, ENSG00000169057, ENSG00000167792, ENSG00000154370, ENSG00000141503, ENSG00000089597, ENSG00000122566, ENSG00000122203, ENSG00000169738, ENSG00000179091, ENSG00000126247, ENSG00000163875, ENSG00000108107, ENSG00000160803, ENSG00000071894, ENSG00000111639, ENSG00000165819, ENSG00000117616, ENSG00000128191, ENSG00000164050, ENSG00000204394, ENSG00000244045, ENSG00000139645, ENSG00000167325, ENSG00000167565, ENSG00000126457, ENSG00000020181, ENSG00000140521, ENSG00000105197, ENSG00000125124, ENSG00000095059, ENSG00000151881, ENSG00000094880, ENSG00000099899, ENSG00000173334, ENSG00000135974, ENSG00000089737, ENSG00000171824, ENSG00000221983, ENSG00000120800, ENSG00000102119, ENSG00000063244, ENSG00000105063, ENSG00000054654, ENSG00000184216, ENSG00000105186, ENSG00000072506, ENSG00000145191, ENSG00000105655, ENSG00000176058, ENSG00000110321, ENSG00000135387, ENSG00000074582, ENSG00000137207, ENSG00000115216, ENSG00000008710, ENSG00000136238, ENSG00000137203, ENSG00000141030, ENSG00000100644, ENSG00000166012, ENSG00000160392, ENSG00000100403, ENSG00000061273, ENSG00000177380, ENSG00000172809, ENSG00000167900, ENSG00000161249, ENSG00000184009, ENSG00000105771, ENSG00000160957, ENSG00000126562, ENSG00000198198, ENSG00000092201, ENSG00000105404, ENSG00000156990, ENSG00000111641, ENSG00000132680, ENSG00000111640, ENSG00000174444, ENSG00000198755, ENSG00000133895, ENSG00000179218, ENSG00000136247, ENSG00000176619, ENSG00000171848, ENSG00000124702, ENSG00000122406, ENSG00000089157, ENSG00000146830, ENSG00000162222, ENSG00000161016, ENSG00000178498, ENSG00000213465, ENSG00000108788, ENSG00000179222, ENSG00000128272, ENSG00000156508, ENSG00000171858, ENSG00000136450, ENSG00000100941, ENSG00000188986, ENSG00000149532, ENSG00000143793, ENSG00000123143, ENSG00000123144, ENSG00000089094, ENSG00000177731, ENSG00000113569, ENSG00000072310, ENSG00000099331, ENSG00000139613, ENSG00000196235, ENSG00000167491, ENSG00000141002, ENSG00000100813, ENSG00000183283, ENSG00000117362, ENSG00000182196, ENSG00000166165, ENSG00000092931, ENSG00000188976, ENSG00000164548, ENSG00000182199, ENSG00000123159, ENSG00000087470, ENSG00000108654, ENSG00000182899, ENSG00000104763, ENSG00000178952, ENSG00000198563, ENSG00000104886, ENSG00000105976, ENSG00000174231, ENSG00000172053, ENSG00000137409, ENSG00000117713, ENSG00000126070, ENSG00000172057, ENSG00000136436, ENSG00000110880, ENSG00000080824, ENSG00000277957, ENSG00000116062, ENSG00000109775, ENSG00000149636, ENSG00000163104, ENSG00000104881, ENSG00000121067, ENSG00000135913, ENSG00000105722, ENSG00000198794, ENSG00000174243, ENSG00000175455, ENSG00000115524, ENSG00000185482, ENSG00000168003, ENSG00000103549, ENSG00000123136, ENSG00000140259, ENSG00000148773, ENSG00000067182, ENSG00000105287, ENSG00000214087, ENSG00000147687	342	7812	10709	1.1944743878812922	6.232995852784029E-8	3.122196824202902E-8	3.093709626901781E-8
GOTERM_CC_DIRECT	GO:0005730~nucleolus	51	14.325842696629213	2.794796143595943E-10	ENSG00000213465, ENSG00000178896, ENSG00000102081, ENSG00000110700, ENSG00000148120, ENSG00000156508, ENSG00000128191, ENSG00000135446, ENSG00000175061, ENSG00000089094, ENSG00000113761, ENSG00000143621, ENSG00000100813, ENSG00000171824, ENSG00000116670, ENSG00000089737, ENSG00000182196, ENSG00000120800, ENSG00000188976, ENSG00000164548, ENSG00000188739, ENSG00000108654, ENSG00000197150, ENSG00000105258, ENSG00000163938, ENSG00000172531, ENSG00000114767, ENSG00000110048, ENSG00000151239, ENSG00000227057, ENSG00000277957, ENSG00000166012, ENSG00000101457, ENSG00000105372, ENSG00000149636, ENSG00000105202, ENSG00000134987, ENSG00000135679, ENSG00000174243, ENSG00000039650, ENSG00000198356, ENSG00000111641, ENSG00000174444, ENSG00000115524, ENSG00000055483, ENSG00000255717, ENSG00000011304, ENSG00000122406, ENSG00000148773, ENSG00000166986, ENSG00000163875	347	616	11171	2.6653364646880497	1.3219387118290626E-7	4.406461919736269E-8	4.313302048283072E-8
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	17	4.775280898876404	8.248203050090154E-10	ENSG00000108107, ENSG00000182899, ENSG00000110700, ENSG00000156508, ENSG00000174444, ENSG00000198755, ENSG00000171858, ENSG00000114391, ENSG00000163481, ENSG00000221983, ENSG00000122406, ENSG00000172809, ENSG00000105372, ENSG00000089157, ENSG00000162244, ENSG00000147403, ENSG00000161016	347	75	11171	7.297098943323728	3.901399369121705E-7	9.753500106731607E-8	9.547295030479353E-8
GOTERM_CC_DIRECT	GO:0005829~cytosol	166	46.62921348314607	1.8714438921482162E-8	ENSG00000108107, ENSG00000160803, ENSG00000165819, ENSG00000102081, ENSG00000110700, ENSG00000104823, ENSG00000148120, ENSG00000104946, ENSG00000128191, ENSG00000004777, ENSG00000135446, ENSG00000204394, ENSG00000139645, ENSG00000167325, ENSG00000117450, ENSG00000163481, ENSG00000156261, ENSG00000126457, ENSG00000125124, ENSG00000095059, ENSG00000094880, ENSG00000113407, ENSG00000099899, ENSG00000173334, ENSG00000205593, ENSG00000143621, ENSG00000140474, ENSG00000171824, ENSG00000088247, ENSG00000221983, ENSG00000102119, ENSG00000105063, ENSG00000184216, ENSG00000105186, ENSG00000105220, ENSG00000105655, ENSG00000145191, ENSG00000132716, ENSG00000172531, ENSG00000133243, ENSG00000110321, ENSG00000135387, ENSG00000113312, ENSG00000151239, ENSG00000110048, ENSG00000136238, ENSG00000141030, ENSG00000168036, ENSG00000145916, ENSG00000100644, ENSG00000166012, ENSG00000013275, ENSG00000061273, ENSG00000177380, ENSG00000172809, ENSG00000105372, ENSG00000092847, ENSG00000167900, ENSG00000184009, ENSG00000105771, ENSG00000100241, ENSG00000126562, ENSG00000130787, ENSG00000135679, ENSG00000071127, ENSG00000142507, ENSG00000111640, ENSG00000174444, ENSG00000198755, ENSG00000179218, ENSG00000204084, ENSG00000133895, ENSG00000113300, ENSG00000169018, ENSG00000171604, ENSG00000171848, ENSG00000124702, ENSG00000143727, ENSG00000122406, ENSG00000089157, ENSG00000146830, ENSG00000147403, ENSG00000161016, ENSG00000213465, ENSG00000126012, ENSG00000178896, ENSG00000108788, ENSG00000039560, ENSG00000075413, ENSG00000179222, ENSG00000114942, ENSG00000156508, ENSG00000243156, ENSG00000137822, ENSG00000148606, ENSG00000145216, ENSG00000119844, ENSG00000171858, ENSG00000142186, ENSG00000100304, ENSG00000108262, ENSG00000123143, ENSG00000103496, ENSG00000240972, ENSG00000177697, ENSG00000177731, ENSG00000154277, ENSG00000113569, ENSG00000072310, ENSG00000099331, ENSG00000006744, ENSG00000132024, ENSG00000196998, ENSG00000133112, ENSG00000141002, ENSG00000100813, ENSG00000116670, ENSG00000030066, ENSG00000167770, ENSG00000166165, ENSG00000188976, ENSG00000182199, ENSG00000123159, ENSG00000162244, ENSG00000087470, ENSG00000108654, ENSG00000182899, ENSG00000076604, ENSG00000104886, ENSG00000172053, ENSG00000116747, ENSG00000126070, ENSG00000028203, ENSG00000170037, ENSG00000136436, ENSG00000068308, ENSG00000132356, ENSG00000080824, ENSG00000143258, ENSG00000186185, ENSG00000116062, ENSG00000169045, ENSG00000145431, ENSG00000127328, ENSG00000169727, ENSG00000149636, ENSG00000163743, ENSG00000104881, ENSG00000102054, ENSG00000135913, ENSG00000105325, ENSG00000105722, ENSG00000268861, ENSG00000116337, ENSG00000055483, ENSG00000185482, ENSG00000114391, ENSG00000103549, ENSG00000169057, ENSG00000167792, ENSG00000154370, ENSG00000141503, ENSG00000166986, ENSG00000169738, ENSG00000105287, ENSG00000126247	347	3738	11171	1.4296553967894188	8.851890498373649E-6	1.7703859219722124E-6	1.7329570441292481E-6
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	15	4.213483146067416	4.116016451411764E-8	ENSG00000108107, ENSG00000182899, ENSG00000110700, ENSG00000174444, ENSG00000198755, ENSG00000171858, ENSG00000114391, ENSG00000221983, ENSG00000122406, ENSG00000172809, ENSG00000105372, ENSG00000089157, ENSG00000162244, ENSG00000147403, ENSG00000161016	331	73	10635	6.602036171005255	8.239925601760678E-5	8.23614891927494E-5	8.227916886372116E-5
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	12	3.3707865168539324	5.081885971879616E-8	ENSG00000182899, ENSG00000108107, ENSG00000114391, ENSG00000221983, ENSG00000122406, ENSG00000172809, ENSG00000174444, ENSG00000198755, ENSG00000089157, ENSG00000147403, ENSG00000162244, ENSG00000161016	347	43	11171	8.984116346089404	2.4037032343438014E-5	4.0062201078317635E-6	3.921522008300437E-6
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	19	5.337078651685393	8.634412144101345E-8	ENSG00000076924, ENSG00000126254, ENSG00000198563, ENSG00000174243, ENSG00000174231, ENSG00000165819, ENSG00000115524, ENSG00000196504, ENSG00000136450, ENSG00000100941, ENSG00000168066, ENSG00000063244, ENSG00000169045, ENSG00000123136, ENSG00000164548, ENSG00000140259, ENSG00000122566, ENSG00000089682, ENSG00000108654	331	129	10635	4.732312232136584	1.7284599893097052E-4	8.638729350173396E-5	8.630094938029294E-5
