Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	64	28.31858407079646	2.48560933403918E-21	ENSG00000108349, ENSG00000055609, ENSG00000213741, ENSG00000076108, ENSG00000135486, ENSG00000156508, ENSG00000120948, ENSG00000075292, ENSG00000113013, ENSG00000166598, ENSG00000170889, ENSG00000134030, ENSG00000136450, ENSG00000151923, ENSG00000149532, ENSG00000101158, ENSG00000161547, ENSG00000070756, ENSG00000125691, ENSG00000096746, ENSG00000099899, ENSG00000131051, ENSG00000072274, ENSG00000170144, ENSG00000150991, ENSG00000132300, ENSG00000197958, ENSG00000204469, ENSG00000140350, ENSG00000102317, ENSG00000026297, ENSG00000126226, ENSG00000204628, ENSG00000100650, ENSG00000167978, ENSG00000108654, ENSG00000182934, ENSG00000089280, ENSG00000124571, ENSG00000108848, ENSG00000174231, ENSG00000130255, ENSG00000080824, ENSG00000169045, ENSG00000119707, ENSG00000127603, ENSG00000105372, ENSG00000071626, ENSG00000101361, ENSG00000102054, ENSG00000179335, ENSG00000153201, ENSG00000112739, ENSG00000176102, ENSG00000198830, ENSG00000179218, ENSG00000204569, ENSG00000168488, ENSG00000164167, ENSG00000159140, ENSG00000186298, ENSG00000089157, ENSG00000122566, ENSG00000147403	213	1479	18967	3.8532824170626645	1.2055205270090022E-18	1.2080061363430415E-18	1.1906068710047671E-18
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	93	41.150442477876105	1.6437605704562682E-14	ENSG00000108349, ENSG00000055609, ENSG00000213741, ENSG00000106009, ENSG00000159377, ENSG00000135486, ENSG00000120948, ENSG00000198901, ENSG00000075292, ENSG00000168137, ENSG00000170889, ENSG00000038358, ENSG00000204713, ENSG00000136450, ENSG00000151923, ENSG00000100867, ENSG00000177084, ENSG00000149532, ENSG00000101158, ENSG00000221978, ENSG00000161547, ENSG00000100462, ENSG00000214078, ENSG00000100023, ENSG00000125691, ENSG00000125450, ENSG00000075624, ENSG00000096746, ENSG00000115947, ENSG00000131778, ENSG00000139613, ENSG00000169230, ENSG00000131051, ENSG00000170144, ENSG00000204463, ENSG00000150991, ENSG00000132300, ENSG00000204469, ENSG00000040933, ENSG00000140350, ENSG00000102317, ENSG00000165792, ENSG00000168385, ENSG00000184575, ENSG00000139292, ENSG00000204628, ENSG00000100650, ENSG00000167978, ENSG00000108654, ENSG00000162521, ENSG00000089053, ENSG00000161956, ENSG00000089280, ENSG00000124571, ENSG00000104885, ENSG00000108848, ENSG00000094631, ENSG00000131748, ENSG00000175166, ENSG00000174231, ENSG00000112983, ENSG00000115657, ENSG00000112984, ENSG00000077254, ENSG00000080824, ENSG00000168036, ENSG00000169045, ENSG00000119707, ENSG00000125347, ENSG00000061273, ENSG00000105372, ENSG00000127564, ENSG00000071626, ENSG00000101361, ENSG00000102054, ENSG00000179335, ENSG00000153201, ENSG00000129158, ENSG00000109920, ENSG00000112739, ENSG00000129197, ENSG00000176102, ENSG00000172943, ENSG00000204569, ENSG00000164167, ENSG00000171604, ENSG00000169136, ENSG00000100911, ENSG00000174917, ENSG00000186298, ENSG00000125676, ENSG00000125877, ENSG00000122566	218	4076	20647	2.1609724860674704	6.786127215718807E-12	6.788731155984388E-12	6.459979041893134E-12
GOTERM_MF_DIRECT	GO:0005515~protein binding	188	83.1858407079646	3.5741788311998576E-13	ENSG00000108349, ENSG00000055609, ENSG00000069696, ENSG00000176155, ENSG00000159377, ENSG00000117616, ENSG00000198901, ENSG00000117335, ENSG00000076382, ENSG00000113013, ENSG00000006831, ENSG00000169228, ENSG00000166598, ENSG00000204713, ENSG00000143515, ENSG00000151923, ENSG00000100867, ENSG00000122133, ENSG00000177084, ENSG00000101158, ENSG00000221978, ENSG00000100462, ENSG00000214078, ENSG00000108465, ENSG00000075624, ENSG00000131778, ENSG00000141959, ENSG00000115947, ENSG00000115307, ENSG00000099899, ENSG00000169230, ENSG00000117448, ENSG00000074370, ENSG00000171557, ENSG00000140350, ENSG00000173209, ENSG00000168385, ENSG00000137076, ENSG00000165792, ENSG00000163251, ENSG00000184575, ENSG00000256269, ENSG00000126226, ENSG00000167978, ENSG00000101384, ENSG00000051108, ENSG00000089280, ENSG00000077458, ENSG00000094631, ENSG00000131748, ENSG00000112983, ENSG00000169241, ENSG00000112742, ENSG00000112984, ENSG00000163660, ENSG00000134294, ENSG00000168036, ENSG00000084674, ENSG00000125347, ENSG00000061273, ENSG00000105372, ENSG00000184009, ENSG00000102144, ENSG00000103111, ENSG00000071626, ENSG00000179335, ENSG00000129158, ENSG00000065361, ENSG00000112739, ENSG00000176102, ENSG00000243943, ENSG00000139636, ENSG00000179218, ENSG00000159348, ENSG00000172943, ENSG00000175899, ENSG00000170522, ENSG00000169136, ENSG00000137177, ENSG00000100911, ENSG00000167110, ENSG00000089157, ENSG00000147403, ENSG00000076108, ENSG00000106009, ENSG00000174177, ENSG00000105559, ENSG00000103091, ENSG00000135486, ENSG00000156508, ENSG00000119682, ENSG00000120948, ENSG00000117410, ENSG00000122218, ENSG00000170889, ENSG00000038358, ENSG00000134030, ENSG00000136450, ENSG00000146826, ENSG00000138074, ENSG00000149532, ENSG00000160055, ENSG00000161547, ENSG00000100023, ENSG00000070756, ENSG00000125691, ENSG00000102030, ENSG00000125450, ENSG00000096746, ENSG00000156970, ENSG00000148396, ENSG00000148672, ENSG00000092148, ENSG00000139613, ENSG00000131051, ENSG00000072274, ENSG00000170144, ENSG00000204463, ENSG00000137955, ENSG00000150991, ENSG00000213619, ENSG00000132300, ENSG00000197958, ENSG00000113161, ENSG00000204469, ENSG00000040933, ENSG00000007392, ENSG00000102317, ENSG00000168906, ENSG00000125731, ENSG00000148399, ENSG00000139292, ENSG00000204628, ENSG00000100650, ENSG00000108654, ENSG00000162521, ENSG00000161956, ENSG00000126870, ENSG00000160867, ENSG00000124571, ENSG00000104885, ENSG00000108848, ENSG00000175166, ENSG00000174231, ENSG00000008517, ENSG00000115414, ENSG00000077254, ENSG00000062716, ENSG00000061987, ENSG00000080824, ENSG00000119787, ENSG00000204219, ENSG00000143418, ENSG00000089006, ENSG00000169045, ENSG00000183077, ENSG00000164032, ENSG00000161202, ENSG00000109133, ENSG00000119707, ENSG00000127603, ENSG00000168758, ENSG00000127564, ENSG00000101361, ENSG00000102054, ENSG00000153201, ENSG00000109920, ENSG00000129197, ENSG00000155463, ENSG00000133858, ENSG00000135596, ENSG00000198830, ENSG00000175455, ENSG00000116337, ENSG00000077782, ENSG00000213719, ENSG00000083807, ENSG00000204569, ENSG00000168488, ENSG00000164167, ENSG00000159140, ENSG00000143924, ENSG00000174917, ENSG00000186298, ENSG00000125676, ENSG00000122203, ENSG00000122566, ENSG00000124067	213	12657	18967	1.3226535743920211	1.7332968393901638E-10	8.685254559815654E-11	8.560158300723659E-11
GOTERM_CC_DIRECT	GO:0016607~nuclear speck	25	11.061946902654867	6.072225297643926E-11	ENSG00000108349, ENSG00000076108, ENSG00000108848, ENSG00000077458, ENSG00000174231, ENSG00000120948, ENSG00000075292, ENSG00000163660, ENSG00000136450, ENSG00000119707, ENSG00000221978, ENSG00000161547, ENSG00000179335, ENSG00000109920, ENSG00000112739, ENSG00000092148, ENSG00000131051, ENSG00000168488, ENSG00000159140, ENSG00000102878, ENSG00000186298, ENSG00000125676, ENSG00000100650, ENSG00000167978, ENSG00000108654	218	445	20647	5.320843212039996	2.5078270349254694E-8	1.2539145239634707E-8	1.1931922709870315E-8
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	17	7.52212389380531	1.5276901859776212E-9	ENSG00000108349, ENSG00000089280, ENSG00000112739, ENSG00000108848, ENSG00000096746, ENSG00000174231, ENSG00000135486, ENSG00000131051, ENSG00000120948, ENSG00000075292, ENSG00000164167, ENSG00000159140, ENSG00000119707, ENSG00000125676, ENSG00000161547, ENSG00000100023, ENSG00000108654	214	211	19453	7.323847278203481	2.1876499702866425E-6	2.186124656133976E-6	2.17695851501811E-6
GOTERM_CC_DIRECT	GO:0005829~cytosol	98	43.36283185840708	2.3243891793793884E-8	ENSG00000108349, ENSG00000055609, ENSG00000159377, ENSG00000198901, ENSG00000076382, ENSG00000169228, ENSG00000166598, ENSG00000204713, ENSG00000143515, ENSG00000151923, ENSG00000100462, ENSG00000214078, ENSG00000108465, ENSG00000075624, ENSG00000131778, ENSG00000141959, ENSG00000115947, ENSG00000099899, ENSG00000117448, ENSG00000173209, ENSG00000137076, ENSG00000184575, ENSG00000256269, ENSG00000164506, ENSG00000089053, ENSG00000094631, ENSG00000131748, ENSG00000130255, ENSG00000168036, ENSG00000084674, ENSG00000125347, ENSG00000061273, ENSG00000105372, ENSG00000184009, ENSG00000102144, ENSG00000071626, ENSG00000129158, ENSG00000179218, ENSG00000159348, ENSG00000171604, ENSG00000169136, ENSG00000100911, ENSG00000125877, ENSG00000089157, ENSG00000147403, ENSG00000213741, ENSG00000076108, ENSG00000174177, ENSG00000103091, ENSG00000135486, ENSG00000156508, ENSG00000119682, ENSG00000122218, ENSG00000170889, ENSG00000038358, ENSG00000134030, ENSG00000161547, ENSG00000070756, ENSG00000125691, ENSG00000102030, ENSG00000125450, ENSG00000156970, ENSG00000148396, ENSG00000204463, ENSG00000137955, ENSG00000150991, ENSG00000132300, ENSG00000197958, ENSG00000204469, ENSG00000040933, ENSG00000168906, ENSG00000204628, ENSG00000100650, ENSG00000108654, ENSG00000162521, ENSG00000124571, ENSG00000175166, ENSG00000115657, ENSG00000008517, ENSG00000077254, ENSG00000061987, ENSG00000080824, ENSG00000089006, ENSG00000169045, ENSG00000183077, ENSG00000161202, ENSG00000127564, ENSG00000102054, ENSG00000153201, ENSG00000149182, ENSG00000135596, ENSG00000116337, ENSG00000077782, ENSG00000168488, ENSG00000164167, ENSG00000143924, ENSG00000186298, ENSG00000166986	218	5627	20647	1.649489763476554	9.599681352390199E-6	3.199909103612291E-6	3.044949824986999E-6
GOTERM_MF_DIRECT	GO:0003729~mRNA binding	17	7.52212389380531	3.038456661413227E-8	ENSG00000108349, ENSG00000124571, ENSG00000108848, ENSG00000176102, ENSG00000170144, ENSG00000179218, ENSG00000075292, ENSG00000080824, ENSG00000168488, ENSG00000007392, ENSG00000136450, ENSG00000119707, ENSG00000125676, ENSG00000149532, ENSG00000167978, ENSG00000100650, ENSG00000070756	213	255	18967	5.936463223787167	1.4736406462656504E-5	4.9222997914894276E-6	4.851402469389785E-6
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	11	4.867256637168142	4.5476851579890336E-8	ENSG00000112739, ENSG00000136450, ENSG00000174231, ENSG00000169045, ENSG00000135486, ENSG00000170144, ENSG00000122566, ENSG00000167978, ENSG00000108654, ENSG00000100023, ENSG00000070756	218	92	20647	11.324142401276426	1.8781763765685078E-5	4.695484925623678E-6	4.4681006677242255E-6
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	15	6.637168141592921	4.572695169047992E-8	ENSG00000108349, ENSG00000112739, ENSG00000096746, ENSG00000174231, ENSG00000135486, ENSG00000170144, ENSG00000164167, ENSG00000136450, ENSG00000169045, ENSG00000122566, ENSG00000161547, ENSG00000167978, ENSG00000108654, ENSG00000100650, ENSG00000070756	214	200	19453	6.817640186915887	6.547885245433704E-5	3.2717633934538386E-5	3.2580453079466946E-5
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	51	22.566371681415927	1.8101426386646958E-7	ENSG00000213741, ENSG00000159377, ENSG00000135486, ENSG00000156508, ENSG00000117335, ENSG00000113013, ENSG00000122218, ENSG00000166598, ENSG00000170889, ENSG00000214078, ENSG00000070756, ENSG00000125691, ENSG00000075624, ENSG00000141959, ENSG00000115307, ENSG00000072274, ENSG00000117448, ENSG00000204463, ENSG00000150991, ENSG00000171557, ENSG00000197958, ENSG00000167930, ENSG00000204469, ENSG00000137076, ENSG00000168385, ENSG00000026297, ENSG00000204628, ENSG00000108654, ENSG00000182934, ENSG00000175166, ENSG00000115657, ENSG00000117834, ENSG00000115414, ENSG00000061987, ENSG00000080824, ENSG00000168036, ENSG00000084674, ENSG00000164032, ENSG00000105372, ENSG00000184009, ENSG00000102144, ENSG00000179532, ENSG00000213719, ENSG00000179218, ENSG00000159348, ENSG00000175899, ENSG00000137496, ENSG00000100911, ENSG00000089157, ENSG00000166986, ENSG00000122566	218	2240	20647	2.1563667267365663	7.475610338480987E-5	1.4951778195370387E-5	1.4227721139904508E-5
