Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	65	28.634361233480178	3.568167769991107E-22	ENSG00000076108, ENSG00000147274, ENSG00000181222, ENSG00000099622, ENSG00000142937, ENSG00000114867, ENSG00000099821, ENSG00000107937, ENSG00000204351, ENSG00000135486, ENSG00000156508, ENSG00000142541, ENSG00000126457, ENSG00000188986, ENSG00000164896, ENSG00000070756, ENSG00000153187, ENSG00000239306, ENSG00000159840, ENSG00000116754, ENSG00000173812, ENSG00000156976, ENSG00000197958, ENSG00000169710, ENSG00000117360, ENSG00000102317, ENSG00000188976, ENSG00000100650, ENSG00000167978, ENSG00000108654, ENSG00000198242, ENSG00000108848, ENSG00000198563, ENSG00000174231, ENSG00000163938, ENSG00000132591, ENSG00000265681, ENSG00000130255, ENSG00000136270, ENSG00000115053, ENSG00000174748, ENSG00000169045, ENSG00000140988, ENSG00000161960, ENSG00000090621, ENSG00000183431, ENSG00000109971, ENSG00000071626, ENSG00000101361, ENSG00000130305, ENSG00000008988, ENSG00000174444, ENSG00000198755, ENSG00000179218, ENSG00000152234, ENSG00000115484, ENSG00000055044, ENSG00000123136, ENSG00000130816, ENSG00000089597, ENSG00000089157, ENSG00000163714, ENSG00000089154, ENSG00000147403, ENSG00000161016	212	1479	18967	3.931949813106765	1.7091523618257403E-19	1.7127205295957314E-19	1.6627661808158558E-19
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	95	41.85022026431718	3.037925041082034E-16	ENSG00000071894, ENSG00000168090, ENSG00000147274, ENSG00000181222, ENSG00000099622, ENSG00000129484, ENSG00000090013, ENSG00000142937, ENSG00000128272, ENSG00000107937, ENSG00000135486, ENSG00000154920, ENSG00000089820, ENSG00000084774, ENSG00000126457, ENSG00000183255, ENSG00000177084, ENSG00000188986, ENSG00000179262, ENSG00000140400, ENSG00000214078, ENSG00000072778, ENSG00000127586, ENSG00000197170, ENSG00000163126, ENSG00000153187, ENSG00000075624, ENSG00000239306, ENSG00000072310, ENSG00000175634, ENSG00000196313, ENSG00000116754, ENSG00000130165, ENSG00000188130, ENSG00000117360, ENSG00000102317, ENSG00000188976, ENSG00000184216, ENSG00000100650, ENSG00000103168, ENSG00000167978, ENSG00000108654, ENSG00000076924, ENSG00000076604, ENSG00000131788, ENSG00000108848, ENSG00000198563, ENSG00000094631, ENSG00000174231, ENSG00000127481, ENSG00000171163, ENSG00000076201, ENSG00000132475, ENSG00000092094, ENSG00000131143, ENSG00000178999, ENSG00000115053, ENSG00000166851, ENSG00000122952, ENSG00000204256, ENSG00000277957, ENSG00000168036, ENSG00000054267, ENSG00000166012, ENSG00000169045, ENSG00000140988, ENSG00000061273, ENSG00000183431, ENSG00000167548, ENSG00000106462, ENSG00000109971, ENSG00000141510, ENSG00000071626, ENSG00000101361, ENSG00000160957, ENSG00000197063, ENSG00000126088, ENSG00000130305, ENSG00000111602, ENSG00000010292, ENSG00000008988, ENSG00000134222, ENSG00000111642, ENSG00000170322, ENSG00000198837, ENSG00000115484, ENSG00000055044, ENSG00000172977, ENSG00000113141, ENSG00000168002, ENSG00000123136, ENSG00000163636, ENSG00000130816, ENSG00000163714, ENSG00000148337	213	4076	20647	2.2592629706929834	1.2789769243681803E-13	1.166563215775501E-13	1.1027667899127783E-13
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	16	7.048458149779736	3.488081142914202E-14	ENSG00000198242, ENSG00000142937, ENSG00000008988, ENSG00000156508, ENSG00000174444, ENSG00000198755, ENSG00000265681, ENSG00000130255, ENSG00000197958, ENSG00000142541, ENSG00000174748, ENSG00000140988, ENSG00000089157, ENSG00000089154, ENSG00000147403, ENSG00000161016	213	93	20647	16.676864051693673	1.3386625141720288E-11	6.697115794395268E-12	6.330867274389277E-12
GOTERM_CC_DIRECT	GO:0005634~nucleus	115	50.66079295154186	1.2033399913715032E-13	ENSG00000071894, ENSG00000168090, ENSG00000181222, ENSG00000147274, ENSG00000142937, ENSG00000114867, ENSG00000117616, ENSG00000107937, ENSG00000154920, ENSG00000142541, ENSG00000126457, ENSG00000183255, ENSG00000142945, ENSG00000177084, ENSG00000179262, ENSG00000214078, ENSG00000163126, ENSG00000162039, ENSG00000175197, ENSG00000075624, ENSG00000239306, ENSG00000175634, ENSG00000116754, ENSG00000130165, ENSG00000188130, ENSG00000102878, ENSG00000184216, ENSG00000100056, ENSG00000167978, ENSG00000076924, ENSG00000198242, ENSG00000094631, ENSG00000163938, ENSG00000265681, ENSG00000178999, ENSG00000204536, ENSG00000115053, ENSG00000204256, ENSG00000168036, ENSG00000140988, ENSG00000061273, ENSG00000183431, ENSG00000106462, ENSG00000184009, ENSG00000109971, ENSG00000071626, ENSG00000160957, ENSG00000110955, ENSG00000130702, ENSG00000010292, ENSG00000174444, ENSG00000111642, ENSG00000198755, ENSG00000179218, ENSG00000113141, ENSG00000130816, ENSG00000089157, ENSG00000163714, ENSG00000147403, ENSG00000100075, ENSG00000186812, ENSG00000148337, ENSG00000076108, ENSG00000158805, ENSG00000129484, ENSG00000099622, ENSG00000128272, ENSG00000204351, ENSG00000135486, ENSG00000156508, ENSG00000104904, ENSG00000084774, ENSG00000188986, ENSG00000127586, ENSG00000070756, ENSG00000153187, ENSG00000072310, ENSG00000159840, ENSG00000265972, ENSG00000173812, ENSG00000141002, ENSG00000102317, ENSG00000117360, ENSG00000188976, ENSG00000126787, ENSG00000108654, ENSG00000105576, ENSG00000076604, ENSG00000131788, ENSG00000104763, ENSG00000108848, ENSG00000198563, ENSG00000174231, ENSG00000076201, ENSG00000092094, ENSG00000132475, ENSG00000136436, ENSG00000166851, ENSG00000174748, ENSG00000277957, ENSG00000054267, ENSG00000169045, ENSG00000090621, ENSG00000167702, ENSG00000167548, ENSG00000141510, ENSG00000197063, ENSG00000133612, ENSG00000111602, ENSG00000170322, ENSG00000152234, ENSG00000172977, ENSG00000168002, ENSG00000123136, ENSG00000101365	213	6100	20647	1.8274493958285232	4.6213699533836916E-11	1.540275188955524E-11	1.4560413895595188E-11
GOTERM_CC_DIRECT	GO:0005829~cytosol	107	47.136563876651984	1.3728812727458141E-12	ENSG00000104783, ENSG00000168090, ENSG00000076944, ENSG00000142937, ENSG00000114867, ENSG00000128591, ENSG00000107937, ENSG00000013810, ENSG00000142541, ENSG00000126457, ENSG00000142945, ENSG00000179262, ENSG00000140400, ENSG00000214078, ENSG00000163126, ENSG00000175197, ENSG00000075624, ENSG00000070610, ENSG00000188130, ENSG00000137076, ENSG00000256269, ENSG00000184216, ENSG00000198242, ENSG00000105655, ENSG00000094631, ENSG00000127481, ENSG00000265681, ENSG00000178999, ENSG00000130255, ENSG00000204536, ENSG00000118137, ENSG00000168036, ENSG00000166012, ENSG00000140988, ENSG00000061273, ENSG00000184009, ENSG00000109971, ENSG00000071626, ENSG00000010292, ENSG00000134222, ENSG00000174444, ENSG00000198755, ENSG00000179218, ENSG00000055044, ENSG00000184470, ENSG00000089157, ENSG00000089154, ENSG00000147403, ENSG00000186812, ENSG00000161016, ENSG00000076108, ENSG00000090013, ENSG00000178814, ENSG00000204351, ENSG00000135486, ENSG00000156508, ENSG00000104904, ENSG00000132254, ENSG00000008130, ENSG00000089820, ENSG00000084774, ENSG00000101199, ENSG00000127586, ENSG00000185359, ENSG00000197170, ENSG00000070756, ENSG00000153187, ENSG00000072310, ENSG00000159840, ENSG00000172046, ENSG00000265972, ENSG00000156976, ENSG00000141002, ENSG00000197958, ENSG00000169710, ENSG00000117360, ENSG00000188976, ENSG00000126787, ENSG00000100650, ENSG00000108654, ENSG00000237441, ENSG00000076604, ENSG00000173020, ENSG00000076201, ENSG00000111696, ENSG00000132591, ENSG00000092094, ENSG00000136436, ENSG00000131143, ENSG00000174903, ENSG00000122952, ENSG00000166851, ENSG00000174748, ENSG00000054267, ENSG00000169045, ENSG00000090621, ENSG00000161960, ENSG00000141510, ENSG00000126088, ENSG00000124181, ENSG00000008988, ENSG00000198837, ENSG00000115484, ENSG00000172977, ENSG00000134262, ENSG00000163636, ENSG00000101246	213	5627	20647	1.8432498909099404	5.271942882245639E-10	1.3179660218359816E-10	1.2458897550168263E-10
GOTERM_BP_DIRECT	GO:0006412~translation	20	8.81057268722467	3.3403010046836574E-12	ENSG00000198242, ENSG00000148187, ENSG00000142937, ENSG00000114867, ENSG00000175634, ENSG00000008988, ENSG00000156508, ENSG00000174444, ENSG00000198755, ENSG00000265681, ENSG00000130255, ENSG00000197958, ENSG00000142541, ENSG00000174748, ENSG00000140988, ENSG00000090621, ENSG00000162910, ENSG00000089157, ENSG00000147403, ENSG00000161016	212	219	19453	8.379856982855173	5.057256613483219E-9	5.053875420086374E-9	5.047194818077006E-9
GOTERM_MF_DIRECT	GO:0005515~protein binding	185	81.4977973568282	6.108891015215946E-12	ENSG00000071894, ENSG00000104783, ENSG00000069696, ENSG00000168090, ENSG00000076944, ENSG00000181222, ENSG00000147274, ENSG00000142937, ENSG00000099821, ENSG00000114867, ENSG00000128591, ENSG00000117616, ENSG00000107937, ENSG00000154920, ENSG00000013810, ENSG00000139641, ENSG00000126457, ENSG00000183255, ENSG00000142945, ENSG00000130827, ENSG00000177084, ENSG00000179262, ENSG00000140521, ENSG00000214078, ENSG00000163126, ENSG00000175197, ENSG00000134802, ENSG00000075624, ENSG00000239306, ENSG00000115307, ENSG00000196313, ENSG00000116754, ENSG00000130165, ENSG00000188130, ENSG00000187961, ENSG00000137076, ENSG00000256269, ENSG00000103326, ENSG00000184216, ENSG00000100056, ENSG00000103168, ENSG00000167978, ENSG00000076924, ENSG00000161638, ENSG00000198242, ENSG00000136758, ENSG00000105655, ENSG00000148187, ENSG00000077458, ENSG00000196187, ENSG00000094631, ENSG00000127481, ENSG00000171163, ENSG00000163938, ENSG00000265681, ENSG00000064547, ENSG00000005961, ENSG00000178999, ENSG00000204536, ENSG00000118137, ENSG00000115053, ENSG00000172889, ENSG00000134294, ENSG00000204256, ENSG00000168036, ENSG00000166012, ENSG00000140988, ENSG00000061273, ENSG00000183431, ENSG00000163703, ENSG00000106462, ENSG00000184009, ENSG00000109971, ENSG00000071626, ENSG00000160957, ENSG00000110955, ENSG00000010292, ENSG00000134222, ENSG00000175137, ENSG00000174444, ENSG00000111642, ENSG00000198755, ENSG00000179218, ENSG00000055044, ENSG00000184470, ENSG00000113141, ENSG00000130816, ENSG00000089157, ENSG00000163714, ENSG00000147403, ENSG00000186812, ENSG00000148337, ENSG00000161016, ENSG00000076108, ENSG00000158805, ENSG00000129484, ENSG00000099622, ENSG00000090013, ENSG00000128272, ENSG00000178814, ENSG00000204351, ENSG00000135486, ENSG00000156508, ENSG00000120708, ENSG00000104904, ENSG00000132254, ENSG00000008130, ENSG00000146826, ENSG00000089820, ENSG00000161542, ENSG00000188986, ENSG00000164896, ENSG00000101199, ENSG00000072778, ENSG00000127586, ENSG00000185359, ENSG00000197170, ENSG00000070756, ENSG00000153187, ENSG00000112514, ENSG00000072310, ENSG00000159840, ENSG00000172046, ENSG00000265972, ENSG00000173812, ENSG00000156976, ENSG00000141002, ENSG00000197958, ENSG00000169710, ENSG00000102317, ENSG00000117360, ENSG00000188976, ENSG00000126787, ENSG00000100650, ENSG00000108654, ENSG00000237441, ENSG00000105576, ENSG00000076604, ENSG00000131788, ENSG00000104763, ENSG00000108848, ENSG00000198563, ENSG00000174231, ENSG00000173020, ENSG00000171241, ENSG00000076201, ENSG00000132591, ENSG00000092094, ENSG00000132475, ENSG00000136436, ENSG00000131143, ENSG00000136270, ENSG00000174903, ENSG00000122952, ENSG00000143811, ENSG00000166851, ENSG00000174748, ENSG00000277957, ENSG00000054267, ENSG00000169045, ENSG00000090621, ENSG00000161960, ENSG00000168758, ENSG00000167548, ENSG00000141510, ENSG00000101361, ENSG00000197063, ENSG00000126088, ENSG00000066651, ENSG00000155463, ENSG00000124181, ENSG00000111602, ENSG00000116857, ENSG00000008988, ENSG00000170322, ENSG00000152234, ENSG00000115484, ENSG00000172977, ENSG00000168002, ENSG00000134262, ENSG00000123136, ENSG00000163636, ENSG00000101246, ENSG00000089597, ENSG00000142798	212	12657	18967	1.3076867748624446	2.926158870764084E-9	1.4661338436518272E-9	1.4233716065453155E-9
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	14	6.167400881057269	1.8096342640599258E-11	ENSG00000198242, ENSG00000142937, ENSG00000008988, ENSG00000174444, ENSG00000198755, ENSG00000265681, ENSG00000130255, ENSG00000197958, ENSG00000142541, ENSG00000174748, ENSG00000140988, ENSG00000089157, ENSG00000147403, ENSG00000161016	212	91	19453	14.116835994194485	2.7397801249939846E-8	1.3689883207613339E-8	1.3671786864972739E-8
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	18	7.929515418502203	6.673540700744E-11	ENSG00000076924, ENSG00000153187, ENSG00000198563, ENSG00000147274, ENSG00000239306, ENSG00000174231, ENSG00000135486, ENSG00000113141, ENSG00000117360, ENSG00000169045, ENSG00000183431, ENSG00000123136, ENSG00000167978, ENSG00000108654, ENSG00000100056, ENSG00000100650, ENSG00000070756, ENSG00000109971	212	200	19453	8.258349056603773	1.0103738290467845E-7	3.36568902674189E-8	3.361239999608061E-8
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	11	4.845814977973569	7.11113455732389E-10	ENSG00000197958, ENSG00000142541, ENSG00000198242, ENSG00000174748, ENSG00000174444, ENSG00000198755, ENSG00000265681, ENSG00000089157, ENSG00000147403, ENSG00000130255, ENSG00000161016	213	62	20647	17.198016053309104	2.730675473516797E-7	5.4613513400247475E-8	5.162683688617144E-8
