Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	32	6.286836935166994	2.807377320733617E-16	ENSG00000182899, ENSG00000172590, ENSG00000213741, ENSG00000111639, ENSG00000112306, ENSG00000197756, ENSG00000171863, ENSG00000130255, ENSG00000171858, ENSG00000174748, ENSG00000170889, ENSG00000055950, ENSG00000156482, ENSG00000186468, ENSG00000062582, ENSG00000167526, ENSG00000137818, ENSG00000122140, ENSG00000181991, ENSG00000118181, ENSG00000008988, ENSG00000243147, ENSG00000233927, ENSG00000086504, ENSG00000185088, ENSG00000231500, ENSG00000143947, ENSG00000128626, ENSG00000089157, ENSG00000182774, ENSG00000105364, ENSG00000161016	480	117	10709	6.101994301994302	2.4913404672588513E-13	2.1027256132294793E-13	2.0971108585880118E-13
GOTERM_CC_DIRECT	GO:0005840~ribosome	30	5.893909626719057	2.5953110449099587E-14	ENSG00000182899, ENSG00000213741, ENSG00000111639, ENSG00000197756, ENSG00000171863, ENSG00000130255, ENSG00000204316, ENSG00000171858, ENSG00000174748, ENSG00000170889, ENSG00000055950, ENSG00000100823, ENSG00000186468, ENSG00000167526, ENSG00000137818, ENSG00000122140, ENSG00000181991, ENSG00000118181, ENSG00000008988, ENSG00000175756, ENSG00000233927, ENSG00000086504, ENSG00000185088, ENSG00000231500, ENSG00000143947, ENSG00000128626, ENSG00000089157, ENSG00000182774, ENSG00000105364, ENSG00000161016	496	119	11171	5.677859853618867	1.535371829675114E-11	1.5338288275417856E-11	1.4741366735088565E-11
GOTERM_MF_DIRECT	GO:0005515~protein binding	415	81.53241650294696	3.1217042538903814E-13	ENSG00000185825, ENSG00000178057, ENSG00000204316, ENSG00000169228, ENSG00000168374, ENSG00000090686, ENSG00000100342, ENSG00000100221, ENSG00000122257, ENSG00000182307, ENSG00000158552, ENSG00000110492, ENSG00000158555, ENSG00000168385, ENSG00000125656, ENSG00000089693, ENSG00000162961, ENSG00000215301, ENSG00000103876, ENSG00000144381, ENSG00000066322, ENSG00000172531, ENSG00000113552, ENSG00000134690, ENSG00000156482, ENSG00000121022, ENSG00000163702, ENSG00000147535, ENSG00000147533, ENSG00000065361, ENSG00000172780, ENSG00000162736, ENSG00000146670, ENSG00000092841, ENSG00000172301, ENSG00000204525, ENSG00000103507, ENSG00000198909, ENSG00000102898, ENSG00000103502, ENSG00000125995, ENSG00000164924, ENSG00000125991, ENSG00000163950, ENSG00000158526, ENSG00000135404, ENSG00000137824, ENSG00000103811, ENSG00000004059, ENSG00000114942, ENSG00000171222, ENSG00000168291, ENSG00000132254, ENSG00000204356, ENSG00000126934, ENSG00000087088, ENSG00000144485, ENSG00000070756, ENSG00000181038, ENSG00000073921, ENSG00000165905, ENSG00000112514, ENSG00000204220, ENSG00000197961, ENSG00000159840, ENSG00000173894, ENSG00000132386, ENSG00000134686, ENSG00000146416, ENSG00000149925, ENSG00000175826, ENSG00000030066, ENSG00000100897, ENSG00000079459, ENSG00000149923, ENSG00000100650, ENSG00000181029, ENSG00000153179, ENSG00000135624, ENSG00000165916, ENSG00000136718, ENSG00000112306, ENSG00000110245, ENSG00000172331, ENSG00000008517, ENSG00000197756, ENSG00000132475, ENSG00000131143, ENSG00000136710, ENSG00000197879, ENSG00000130299, ENSG00000122557, ENSG00000174748, ENSG00000089006, ENSG00000100567, ENSG00000179085, ENSG00000109133, ENSG00000123643, ENSG00000147854, ENSG00000137818, ENSG00000118181, ENSG00000134308, ENSG00000175854, ENSG00000008988, ENSG00000170043, ENSG00000131153, ENSG00000143368, ENSG00000010256, ENSG00000231925, ENSG00000089597, ENSG00000184436, ENSG00000071894, ENSG00000068120, ENSG00000168090, ENSG00000170291, ENSG00000111639, ENSG00000157870, ENSG00000172354, ENSG00000060762, ENSG00000184584, ENSG00000183010, ENSG00000183011, ENSG00000100983, ENSG00000233276, ENSG00000162433, ENSG00000187838, ENSG00000067167, ENSG00000091136, ENSG00000172366, ENSG00000132341, ENSG00000118046, ENSG00000132463, ENSG00000175756, ENSG00000011009, ENSG00000256269, ENSG00000106397, ENSG00000089280, ENSG00000153130, ENSG00000178913, ENSG00000128050, ENSG00000244187, ENSG00000118137, ENSG00000123728, ENSG00000010165, ENSG00000184363, ENSG00000072958, ENSG00000100883, ENSG00000184007, ENSG00000111641, ENSG00000213639, ENSG00000111642, ENSG00000133895, ENSG00000175899, ENSG00000082641, ENSG00000089159, ENSG00000089157, ENSG00000162585, ENSG00000161016, ENSG00000071575, ENSG00000092036, ENSG00000196365, ENSG00000172037, ENSG00000177963, ENSG00000100823, ENSG00000120437, ENSG00000095539, ENSG00000187778, ENSG00000134709, ENSG00000166710, ENSG00000164897, ENSG00000071462, ENSG00000217930, ENSG00000132780, ENSG00000100934, ENSG00000120686, ENSG00000182196, ENSG00000083312, ENSG00000188976, ENSG00000106355, ENSG00000092010, ENSG00000178952, ENSG00000153339, ENSG00000140022, ENSG00000117395, ENSG00000116062, ENSG00000186468, ENSG00000165527, ENSG00000106263, ENSG00000167703, ENSG00000109534, ENSG00000163466, ENSG00000129226, ENSG00000108679, ENSG00000111725, ENSG00000105048, ENSG00000135916, ENSG00000244038, ENSG00000141101, ENSG00000162144, ENSG00000165416, ENSG00000164329, ENSG00000108433, ENSG00000167711, ENSG00000165898, ENSG00000179820, ENSG00000177885, ENSG00000102081, ENSG00000120509, ENSG00000064961, ENSG00000119402, ENSG00000143515, ENSG00000138030, ENSG00000163249, ENSG00000140365, ENSG00000167965, ENSG00000105223, ENSG00000134802, ENSG00000173171, ENSG00000130208, ENSG00000129691, ENSG00000197006, ENSG00000120885, ENSG00000086504, ENSG00000165792, ENSG00000105583, ENSG00000105220, ENSG00000163138, ENSG00000175482, ENSG00000105258, ENSG00000108523, ENSG00000149150, ENSG00000126391, ENSG00000131748, ENSG00000249915, ENSG00000099800, ENSG00000117118, ENSG00000002330, ENSG00000177426, ENSG00000164111, ENSG00000063854, ENSG00000163382, ENSG00000170906, ENSG00000110717, ENSG00000167986, ENSG00000177674, ENSG00000130545, ENSG00000072210, ENSG00000128340, ENSG00000176101, ENSG00000153406, ENSG00000148290, ENSG00000115286, ENSG00000116133, ENSG00000100911, ENSG00000138382, ENSG00000224877, ENSG00000143727, ENSG00000062650, ENSG00000105364, ENSG00000103495, ENSG00000106400, ENSG00000243678, ENSG00000099622, ENSG00000127580, ENSG00000140319, ENSG00000154845, ENSG00000162191, ENSG00000241370, ENSG00000116685, ENSG00000117410, ENSG00000149257, ENSG00000167526, ENSG00000196072, ENSG00000103363, ENSG00000198492, ENSG00000177697, ENSG00000125170, ENSG00000198258, ENSG00000213619, ENSG00000117640, ENSG00000165355, ENSG00000143947, ENSG00000141526, ENSG00000169957, ENSG00000130733, ENSG00000108604, ENSG00000167543, ENSG00000088832, ENSG00000166452, ENSG00000125149, ENSG00000141756, ENSG00000149476, ENSG00000166337, ENSG00000105202, ENSG00000176142, ENSG00000101084, ENSG00000116459, ENSG00000139318, ENSG00000213719, ENSG00000242372, ENSG00000168887, ENSG00000166340, ENSG00000185088, ENSG00000129515, ENSG00000169738, ENSG00000102178, ENSG00000166226, ENSG00000141741, ENSG00000126247, ENSG00000117614, ENSG00000115677, ENSG00000187051, ENSG00000204394, ENSG00000120913, ENSG00000166595, ENSG00000147155, ENSG00000103335, ENSG00000182600, ENSG00000141971, ENSG00000243649, ENSG00000126581, ENSG00000160932, ENSG00000181991, ENSG00000115307, ENSG00000147140, ENSG00000099899, ENSG00000178585, ENSG00000113368, ENSG00000120802, ENSG00000214063, ENSG00000008282, ENSG00000100297, ENSG00000105655, ENSG00000130811, ENSG00000205220, ENSG00000171960, ENSG00000115694, ENSG00000167468, ENSG00000165283, ENSG00000055950, ENSG00000160710, ENSG00000213079, ENSG00000178127, ENSG00000099875, ENSG00000117748, ENSG00000117868, ENSG00000117505, ENSG00000170522, ENSG00000136247, ENSG00000088986, ENSG00000128626, ENSG00000128989, ENSG00000140854, ENSG00000100077, ENSG00000149428, ENSG00000215012, ENSG00000123297, ENSG00000022840, ENSG00000106803, ENSG00000179222, ENSG00000138757, ENSG00000171863, ENSG00000097046, ENSG00000171865, ENSG00000166278, ENSG00000171858, ENSG00000170889, ENSG00000171617, ENSG00000109072, ENSG00000149532, ENSG00000085063, ENSG00000130921, ENSG00000113328, ENSG00000205155, ENSG00000041357, ENSG00000104738, ENSG00000105707, ENSG00000233927, ENSG00000030582, ENSG00000231500, ENSG00000166165, ENSG00000087111, ENSG00000215193, ENSG00000123395, ENSG00000183844, ENSG00000182899, ENSG00000185803, ENSG00000160867, ENSG00000104886, ENSG00000169682, ENSG00000234906, ENSG00000174903, ENSG00000126756, ENSG00000102100, ENSG00000185813, ENSG00000101361, ENSG00000077549, ENSG00000138629, ENSG00000167272, ENSG00000116857, ENSG00000066777, ENSG00000115884, ENSG00000168002, ENSG00000168000, ENSG00000174917, ENSG00000006042, ENSG00000109084, ENSG00000100038, ENSG00000126768, ENSG00000179010, ENSG00000128944, ENSG00000123374, ENSG00000100031, ENSG00000147687, ENSG00000104870	480	7812	10709	1.185205186465267	2.3352164646439633E-10	1.1690782430819478E-10	1.1659565388280575E-10
GOTERM_BP_DIRECT	GO:0006412~translation	32	6.286836935166994	3.8922363498204476E-13	ENSG00000182899, ENSG00000172590, ENSG00000213741, ENSG00000111639, ENSG00000112306, ENSG00000197756, ENSG00000171863, ENSG00000130255, ENSG00000171858, ENSG00000174748, ENSG00000170889, ENSG00000055950, ENSG00000156482, ENSG00000186468, ENSG00000121022, ENSG00000167526, ENSG00000137818, ENSG00000181991, ENSG00000118181, ENSG00000008988, ENSG00000243147, ENSG00000233927, ENSG00000086504, ENSG00000185088, ENSG00000231500, ENSG00000165792, ENSG00000143947, ENSG00000128626, ENSG00000089157, ENSG00000182774, ENSG00000105364, ENSG00000161016	479	148	10635	4.80054166901766	8.411566998489661E-10	8.407230515612167E-10	8.383877097513245E-10
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	125	24.557956777996072	8.104338987250135E-13	ENSG00000068120, ENSG00000177885, ENSG00000157870, ENSG00000172354, ENSG00000168374, ENSG00000138030, ENSG00000100983, ENSG00000141971, ENSG00000105223, ENSG00000243649, ENSG00000115307, ENSG00000091136, ENSG00000132341, ENSG00000118046, ENSG00000133313, ENSG00000120885, ENSG00000011009, ENSG00000168385, ENSG00000008282, ENSG00000221988, ENSG00000106397, ENSG00000105220, ENSG00000215301, ENSG00000144381, ENSG00000249915, ENSG00000103876, ENSG00000172531, ENSG00000071073, ENSG00000128050, ENSG00000113552, ENSG00000118137, ENSG00000164111, ENSG00000167468, ENSG00000115694, ENSG00000123728, ENSG00000163382, ENSG00000062485, ENSG00000156482, ENSG00000072958, ENSG00000167986, ENSG00000147533, ENSG00000130545, ENSG00000162736, ENSG00000172780, ENSG00000128340, ENSG00000092841, ENSG00000213639, ENSG00000175899, ENSG00000204525, ENSG00000100911, ENSG00000143727, ENSG00000102898, ENSG00000164924, ENSG00000089157, ENSG00000149428, ENSG00000100075, ENSG00000213741, ENSG00000135404, ENSG00000243678, ENSG00000103811, ENSG00000004059, ENSG00000172037, ENSG00000172831, ENSG00000166278, ENSG00000170889, ENSG00000109072, ENSG00000120437, ENSG00000087088, ENSG00000166710, ENSG00000070756, ENSG00000085063, ENSG00000155368, ENSG00000112514, ENSG00000041357, ENSG00000105707, ENSG00000132386, ENSG00000233927, ENSG00000030582, ENSG00000138363, ENSG00000149925, ENSG00000231500, ENSG00000083312, ENSG00000143947, ENSG00000166165, ENSG00000180979, ENSG00000183844, ENSG00000182899, ENSG00000092010, ENSG00000182934, ENSG00000135624, ENSG00000178952, ENSG00000109814, ENSG00000110245, ENSG00000172331, ENSG00000197756, ENSG00000132475, ENSG00000197879, ENSG00000115652, ENSG00000139540, ENSG00000174903, ENSG00000100567, ENSG00000165527, ENSG00000106263, ENSG00000149476, ENSG00000163466, ENSG00000108679, ENSG00000105202, ENSG00000077549, ENSG00000118181, ENSG00000135916, ENSG00000134308, ENSG00000008988, ENSG00000158850, ENSG00000213719, ENSG00000242372, ENSG00000115884, ENSG00000166340, ENSG00000006042, ENSG00000180879, ENSG00000089597, ENSG00000169738, ENSG00000166226, ENSG00000126247, ENSG00000100031, ENSG00000167711	496	1498	11171	1.8793539235109176	4.789835195140313E-10	1.6549329439681264E-10	1.5905277701757968E-10
GOTERM_CC_DIRECT	GO:0005743~mitochondrial inner membrane	43	8.447937131630647	8.400674842477799E-13	ENSG00000172590, ENSG00000089060, ENSG00000111639, ENSG00000130414, ENSG00000144381, ENSG00000099800, ENSG00000178057, ENSG00000169682, ENSG00000117118, ENSG00000131143, ENSG00000204316, ENSG00000060762, ENSG00000055950, ENSG00000165283, ENSG00000170906, ENSG00000062582, ENSG00000110717, ENSG00000156411, ENSG00000187838, ENSG00000178127, ENSG00000122140, ENSG00000181991, ENSG00000217930, ENSG00000116459, ENSG00000243147, ENSG00000119013, ENSG00000131495, ENSG00000148290, ENSG00000175756, ENSG00000213619, ENSG00000115286, ENSG00000010256, ENSG00000086504, ENSG00000120885, ENSG00000174917, ENSG00000128626, ENSG00000164405, ENSG00000125995, ENSG00000126768, ENSG00000105364, ENSG00000100075, ENSG00000167536, ENSG00000143224	496	271	11171	3.5736296274253068	4.965025057757089E-10	1.6549329439681264E-10	1.5905277701757968E-10
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	22	4.322200392927308	4.065962604902894E-12	ENSG00000182899, ENSG00000137818, ENSG00000213741, ENSG00000118181, ENSG00000112306, ENSG00000008988, ENSG00000197756, ENSG00000171863, ENSG00000130255, ENSG00000233927, ENSG00000171858, ENSG00000174748, ENSG00000170889, ENSG00000231500, ENSG00000143947, ENSG00000156482, ENSG00000186468, ENSG00000232112, ENSG00000089157, ENSG00000182774, ENSG00000167526, ENSG00000161016	479	73	10635	6.691165956473246	8.78656070124606E-9	4.391239613295126E-9	4.379041725480417E-9
GOTERM_MF_DIRECT	GO:0003723~RNA binding	91	17.87819253438114	1.655063202398456E-10	ENSG00000103495, ENSG00000213741, ENSG00000177885, ENSG00000099622, ENSG00000102081, ENSG00000106803, ENSG00000140319, ENSG00000138757, ENSG00000117614, ENSG00000115677, ENSG00000171863, ENSG00000187051, ENSG00000171865, ENSG00000171858, ENSG00000170889, ENSG00000082153, ENSG00000204356, ENSG00000100823, ENSG00000183011, ENSG00000062582, ENSG00000149257, ENSG00000149532, ENSG00000167526, ENSG00000122257, ENSG00000070756, ENSG00000065183, ENSG00000198492, ENSG00000071462, ENSG00000181991, ENSG00000147140, ENSG00000106638, ENSG00000099899, ENSG00000132341, ENSG00000159840, ENSG00000132463, ENSG00000233927, ENSG00000030582, ENSG00000149925, ENSG00000086504, ENSG00000182196, ENSG00000231500, ENSG00000083312, ENSG00000143947, ENSG00000141526, ENSG00000188976, ENSG00000100650, ENSG00000169957, ENSG00000106355, ENSG00000182899, ENSG00000182934, ENSG00000089280, ENSG00000215301, ENSG00000178952, ENSG00000130811, ENSG00000144381, ENSG00000104889, ENSG00000112306, ENSG00000116747, ENSG00000197756, ENSG00000130255, ENSG00000174748, ENSG00000117395, ENSG00000055950, ENSG00000062485, ENSG00000156482, ENSG00000186468, ENSG00000106263, ENSG00000085760, ENSG00000100883, ENSG00000109534, ENSG00000160710, ENSG00000101361, ENSG00000105202, ENSG00000213079, ENSG00000107625, ENSG00000118181, ENSG00000111641, ENSG00000008988, ENSG00000143368, ENSG00000169972, ENSG00000185088, ENSG00000128626, ENSG00000100038, ENSG00000164924, ENSG00000089597, ENSG00000089157, ENSG00000182774, ENSG00000163950, ENSG00000123297, ENSG00000105364, ENSG00000161016	480	1024	10709	1.9826639811197917	1.2379868630230106E-7	4.1321411286548115E-8	4.1211073739721553E-8
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	20	3.9292730844793713	3.8923794497397565E-10	ENSG00000182899, ENSG00000137818, ENSG00000022840, ENSG00000118181, ENSG00000112306, ENSG00000008988, ENSG00000197756, ENSG00000171863, ENSG00000130255, ENSG00000171858, ENSG00000174748, ENSG00000170889, ENSG00000231500, ENSG00000143947, ENSG00000156482, ENSG00000186468, ENSG00000089157, ENSG00000182774, ENSG00000167526, ENSG00000161016	496	75	11171	6.005913978494624	2.3003961691081543E-7	5.75099063699049E-8	5.5271788186304545E-8
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	80	15.717092337917485	9.362648078471303E-10	ENSG00000185825, ENSG00000172590, ENSG00000111639, ENSG00000137824, ENSG00000196365, ENSG00000168291, ENSG00000204316, ENSG00000060762, ENSG00000100823, ENSG00000126934, ENSG00000120437, ENSG00000183010, ENSG00000090686, ENSG00000062582, ENSG00000087088, ENSG00000134709, ENSG00000167969, ENSG00000233276, ENSG00000162433, ENSG00000196072, ENSG00000126581, ENSG00000156411, ENSG00000187838, ENSG00000122140, ENSG00000130921, ENSG00000181991, ENSG00000197006, ENSG00000118046, ENSG00000132463, ENSG00000175756, ENSG00000213619, ENSG00000117640, ENSG00000120885, ENSG00000086504, ENSG00000165792, ENSG00000166165, ENSG00000125656, ENSG00000143543, ENSG00000178952, ENSG00000130414, ENSG00000144381, ENSG00000131748, ENSG00000099800, ENSG00000002330, ENSG00000117118, ENSG00000131143, ENSG00000130299, ENSG00000167468, ENSG00000063854, ENSG00000010165, ENSG00000055950, ENSG00000165283, ENSG00000163382, ENSG00000062485, ENSG00000170906, ENSG00000085760, ENSG00000110717, ENSG00000178127, ENSG00000162736, ENSG00000134308, ENSG00000116459, ENSG00000243147, ENSG00000213719, ENSG00000148290, ENSG00000172500, ENSG00000010256, ENSG00000103507, ENSG00000169972, ENSG00000088986, ENSG00000224877, ENSG00000174917, ENSG00000125995, ENSG00000164405, ENSG00000164924, ENSG00000101365, ENSG00000215012, ENSG00000123297, ENSG00000105364, ENSG00000100075, ENSG00000165898	496	885	11171	2.035903043557499	5.533323695905423E-7	1.106665002875308E-7	1.06359682171434E-7
