Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	22	25.287356321839084	1.322010204528536E-5	ENSG00000105202, ENSG00000096746, ENSG00000130811, ENSG00000174231, ENSG00000104835, ENSG00000204351, ENSG00000135486, ENSG00000179218, ENSG00000171863, ENSG00000173812, ENSG00000152234, ENSG00000131652, ENSG00000233927, ENSG00000229117, ENSG00000071859, ENSG00000188976, ENSG00000149257, ENSG00000125107, ENSG00000076928, ENSG00000142546, ENSG00000167978, ENSG00000070756	81	1024	10709	2.8404465663580245	0.0029042162559215212	0.0029216425520080646	0.0029216425520080646
GOTERM_CC_DIRECT	GO:0005829~cytosol	44	50.57471264367817	2.9187443871651225E-4	ENSG00000213465, ENSG00000104522, ENSG00000104886, ENSG00000148341, ENSG00000130811, ENSG00000160948, ENSG00000204351, ENSG00000135486, ENSG00000171863, ENSG00000076382, ENSG00000062822, ENSG00000168237, ENSG00000167468, ENSG00000229117, ENSG00000078061, ENSG00000102901, ENSG00000125107, ENSG00000100462, ENSG00000142546, ENSG00000233276, ENSG00000070756, ENSG00000127445, ENSG00000108479, ENSG00000105723, ENSG00000092841, ENSG00000213676, ENSG00000175334, ENSG00000173113, ENSG00000158874, ENSG00000179218, ENSG00000233927, ENSG00000171604, ENSG00000169696, ENSG00000167792, ENSG00000167770, ENSG00000188976, ENSG00000129559, ENSG00000125733, ENSG00000126883, ENSG00000169738, ENSG00000076928, ENSG00000103024, ENSG00000166965, ENSG00000103485	83	3738	11171	1.584263216590278	0.05698710831333664	0.05866676218201896	0.05837488774330245
GOTERM_MF_DIRECT	GO:0005515~protein binding	72	82.75862068965517	4.7779886048202616E-4	ENSG00000213465, ENSG00000204351, ENSG00000135486, ENSG00000174851, ENSG00000171863, ENSG00000076382, ENSG00000062822, ENSG00000138074, ENSG00000149257, ENSG00000213780, ENSG00000105472, ENSG00000100462, ENSG00000142546, ENSG00000233276, ENSG00000070756, ENSG00000133315, ENSG00000112514, ENSG00000096746, ENSG00000115307, ENSG00000130208, ENSG00000204220, ENSG00000158874, ENSG00000173812, ENSG00000233927, ENSG00000140990, ENSG00000167770, ENSG00000100258, ENSG00000071859, ENSG00000188976, ENSG00000125733, ENSG00000167978, ENSG00000166965, ENSG00000103485, ENSG00000161956, ENSG00000104522, ENSG00000104886, ENSG00000148341, ENSG00000130811, ENSG00000160948, ENSG00000174231, ENSG00000099800, ENSG00000169241, ENSG00000135940, ENSG00000168237, ENSG00000167468, ENSG00000229117, ENSG00000078061, ENSG00000102901, ENSG00000103512, ENSG00000126756, ENSG00000125107, ENSG00000127445, ENSG00000105202, ENSG00000108479, ENSG00000134986, ENSG00000105723, ENSG00000092841, ENSG00000213676, ENSG00000104835, ENSG00000173113, ENSG00000175334, ENSG00000179218, ENSG00000152234, ENSG00000085998, ENSG00000168002, ENSG00000169696, ENSG00000167792, ENSG00000129559, ENSG00000076928, ENSG00000126883, ENSG00000169738, ENSG00000103024	81	7812	10709	1.2185242077715195	0.09980229665685203	0.052796774083263893	0.052796774083263893
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	23	26.436781609195403	8.964560371666195E-4	ENSG00000105202, ENSG00000108479, ENSG00000104522, ENSG00000112514, ENSG00000115307, ENSG00000130702, ENSG00000160948, ENSG00000092841, ENSG00000176978, ENSG00000135486, ENSG00000179218, ENSG00000158874, ENSG00000152234, ENSG00000233927, ENSG00000167468, ENSG00000205544, ENSG00000167770, ENSG00000129559, ENSG00000140545, ENSG00000125733, ENSG00000169738, ENSG00000070756, ENSG00000103485	83	1498	11171	2.0664741744012094	0.16495400927092918	0.09009383173524527	0.08964560371666196
GOTERM_CC_DIRECT	GO:0005634~nucleus	40	45.97701149425287	0.002354331141965877	ENSG00000213465, ENSG00000161956, ENSG00000130811, ENSG00000174231, ENSG00000204351, ENSG00000135486, ENSG00000171863, ENSG00000062822, ENSG00000167468, ENSG00000102901, ENSG00000126756, ENSG00000125107, ENSG00000213780, ENSG00000100462, ENSG00000142546, ENSG00000233276, ENSG00000070756, ENSG00000127445, ENSG00000105202, ENSG00000134986, ENSG00000133315, ENSG00000096746, ENSG00000105723, ENSG00000130702, ENSG00000213676, ENSG00000175334, ENSG00000179218, ENSG00000173812, ENSG00000152234, ENSG00000131652, ENSG00000171604, ENSG00000168002, ENSG00000169696, ENSG00000167770, ENSG00000071859, ENSG00000188976, ENSG00000129559, ENSG00000101365, ENSG00000169738, ENSG00000167978	83	3580	11171	1.5038029211819344	0.377354843296106	0.15774018651171376	0.1569554094643918
GOTERM_BP_DIRECT	GO:0060213~positive regulation of nuclear-transcribed mRNA poly(A) tail shortening	3	3.4482758620689653	0.002478193218970197	ENSG00000168002, ENSG00000125107, ENSG00000070756	82	10	10635	38.90853658536585	0.7526508702590058	1.0	1.0
GOTERM_BP_DIRECT	GO:0050821~protein stabilization	6	6.896551724137931	0.005663039679006539	ENSG00000204220, ENSG00000126756, ENSG00000158874, ENSG00000171863, ENSG00000179218, ENSG00000127445	82	150	10635	5.18780487804878	0.9591297668902738	1.0	1.0
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	31	35.63218390804598	0.0057074453247456264	ENSG00000213465, ENSG00000161956, ENSG00000148341, ENSG00000174231, ENSG00000135486, ENSG00000171863, ENSG00000062822, ENSG00000102901, ENSG00000126756, ENSG00000213780, ENSG00000100462, ENSG00000142546, ENSG00000127445, ENSG00000105202, ENSG00000133315, ENSG00000096746, ENSG00000213676, ENSG00000175334, ENSG00000173113, ENSG00000131652, ENSG00000233927, ENSG00000171604, ENSG00000168002, ENSG00000169696, ENSG00000167770, ENSG00000071859, ENSG00000188976, ENSG00000129559, ENSG00000125733, ENSG00000126883, ENSG00000167978	83	2643	11171	1.5786232330001047	0.6835160663152515	0.2867991275684677	0.28537226623728135
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	4	4.597701149425287	0.011034050735578385	ENSG00000174231, ENSG00000135486, ENSG00000167978, ENSG00000070756	83	63	11171	8.545419774335437	0.8924899405770691	0.4435688395702511	0.4413620294231354
GOTERM_MF_DIRECT	GO:0003730~mRNA 3'-UTR binding	4	4.597701149425287	0.013108659482220463	ENSG00000229117, ENSG00000135486, ENSG00000171863, ENSG00000070756	81	66	10709	8.012719790497568	0.9451401747783441	0.8224288669195607	0.8224288669195607
GOTERM_BP_DIRECT	GO:0006641~triglyceride metabolic process	3	3.4482758620689653	0.014186851588107723	ENSG00000130208, ENSG00000158874, ENSG00000233276	82	24	10635	16.211890243902438	0.9996791046998996	1.0	1.0
GOTERM_MF_DIRECT	GO:0047066~phospholipid-hydroperoxide glutathione peroxidase activity	2	2.2988505747126435	0.014885590351485262	ENSG00000167468, ENSG00000233276	81	2	10709	132.20987654320987	0.963096481423381	0.8224288669195607	0.8224288669195607
GOTERM_BP_DIRECT	GO:0042776~mitochondrial ATP synthesis coupled proton transport	3	3.4482758620689653	0.015345052720006365	ENSG00000140990, ENSG00000167792, ENSG00000152234	82	25	10635	15.563414634146342	0.9998344497305269	1.0	1.0
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	5	5.747126436781609	0.016766132364471747	ENSG00000096746, ENSG00000174231, ENSG00000135486, ENSG00000167978, ENSG00000070756	82	129	10635	5.026942711287577	0.999926583277342	1.0	1.0
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	4	4.597701149425287	0.018068498833853423	ENSG00000233927, ENSG00000229117, ENSG00000232112, ENSG00000171863	82	73	10635	7.106582024724356	0.9999651893981881	1.0	1.0
GOTERM_BP_DIRECT	GO:0018158~protein oxidation	2	2.2988505747126435	0.022677614373016654	ENSG00000158874, ENSG00000233276	82	3	10635	86.46341463414635	0.999997537889517	1.0	1.0
GOTERM_BP_DIRECT	GO:0050766~positive regulation of phagocytosis	3	3.4482758620689653	0.023096550405012822	ENSG00000140545, ENSG00000158874, ENSG00000179218	82	31	10635	12.551140833988985	0.9999980659170233	1.0	1.0
GOTERM_MF_DIRECT	GO:0051082~unfolded protein binding	4	4.597701149425287	0.02481651739975189	ENSG00000229833, ENSG00000204220, ENSG00000149257, ENSG00000179218	81	84	10709	6.295708406819517	0.996028138686864	1.0	1.0
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	13	14.942528735632186	0.027377250654633034	ENSG00000213465, ENSG00000105723, ENSG00000099800, ENSG00000104835, ENSG00000152234, ENSG00000135940, ENSG00000168237, ENSG00000229833, ENSG00000167468, ENSG00000078061, ENSG00000167792, ENSG00000101365, ENSG00000233276	83	885	11171	1.9770335579606562	0.9962257636218267	0.9171378969302066	0.9125750218211012
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	5	5.747126436781609	0.029180043791939583	ENSG00000096746, ENSG00000174231, ENSG00000071859, ENSG00000135486, ENSG00000131652	82	153	10635	4.238402678144428	0.9999999425770691	1.0	1.0
GOTERM_MF_DIRECT	GO:0060228~phosphatidylcholine-sterol O-acyltransferase activator activity	2	2.2988505747126435	0.029552328902461553	ENSG00000130208, ENSG00000158874	81	4	10709	66.10493827160494	0.998638972593078	1.0	1.0
GOTERM_BP_DIRECT	GO:0032375~negative regulation of cholesterol transport	2	2.2988505747126435	0.030123354895545046	ENSG00000130208, ENSG00000158874	82	4	10635	64.84756097560977	0.9999999667807089	1.0	1.0
GOTERM_MF_DIRECT	GO:0055102~lipase inhibitor activity	2	2.2988505747126435	0.03680462350169483	ENSG00000130208, ENSG00000158874	81	5	10709	52.88395061728394	0.9997386842231517	1.0	1.0
GOTERM_BP_DIRECT	GO:0010873~positive regulation of cholesterol esterification	2	2.2988505747126435	0.037513065013714056	ENSG00000130208, ENSG00000158874	82	5	10635	51.87804878048781	0.9999999995519808	1.0	1.0
GOTERM_BP_DIRECT	GO:0048387~negative regulation of retinoic acid receptor signaling pathway	2	2.2988505747126435	0.044847161131155805	ENSG00000125107, ENSG00000179218	82	6	10635	43.23170731707317	0.9999999999939602	1.0	1.0
GOTERM_CC_DIRECT	GO:0005743~mitochondrial inner membrane	6	6.896551724137931	0.04883436304840262	ENSG00000140990, ENSG00000229833, ENSG00000167792, ENSG00000099800, ENSG00000152234, ENSG00000135940	83	271	11171	2.9798604010136485	0.9999573924508924	1.0	1.0
GOTERM_CC_DIRECT	GO:1990062~RPAP3/R2TP/prefoldin-like complex	2	2.2988505747126435	0.05027847299153393	ENSG00000204220, ENSG00000126756	83	7	11171	38.45438898450947	0.9999686055625324	1.0	1.0
GOTERM_BP_DIRECT	GO:0031167~rRNA methylation	2	2.2988505747126435	0.05935016173950516	ENSG00000105202, ENSG00000173113	82	8	10635	32.42378048780488	0.9999999999999989	1.0	1.0
GOTERM_CC_DIRECT	GO:0033116~endoplasmic reticulum-Golgi intermediate compartment membrane	3	3.4482758620689653	0.0615560956444747	ENSG00000169696, ENSG00000174851, ENSG00000179218	83	55	11171	7.341292442497261	0.9999971550682049	1.0	1.0
GOTERM_BP_DIRECT	GO:0043484~regulation of RNA splicing	3	3.4482758620689653	0.06357182715559855	ENSG00000096746, ENSG00000071859, ENSG00000135486	82	54	10635	7.205284552845527	0.9999999999999999	1.0	1.0
GOTERM_BP_DIRECT	GO:0071285~cellular response to lithium ion	2	2.2988505747126435	0.06651988385402642	ENSG00000105723, ENSG00000179218	82	9	10635	28.821138211382113	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:1990904~ribonucleoprotein complex	4	4.597701149425287	0.0665434507931767	ENSG00000096746, ENSG00000135486, ENSG00000171863, ENSG00000070756	83	127	11171	4.239066502229391	0.999999025199987	1.0	1.0
GOTERM_CC_DIRECT	GO:0032040~small-subunit processome	3	3.4482758620689653	0.06961943866422693	ENSG00000233927, ENSG00000105202, ENSG00000171863	83	59	11171	6.843577700633041	0.9999994979046176	1.0	1.0
GOTERM_BP_DIRECT	GO:0006325~chromatin organization	5	5.747126436781609	0.06997605677006416	ENSG00000167468, ENSG00000071859, ENSG00000175334, ENSG00000100462, ENSG00000166965	82	204	10635	3.1788020086083213	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0042274~ribosomal small subunit biogenesis	3	3.4482758620689653	0.0720339215863281	ENSG00000233927, ENSG00000105202, ENSG00000171863	82	58	10635	6.708368376787216	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0005049~nuclear export signal receptor activity	2	2.2988505747126435	0.07227098143086148	ENSG00000126883, ENSG00000179218	81	10	10709	26.44197530864197	0.99999993197774	1.0	1.0
GOTERM_BP_DIRECT	GO:1900153~positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	2	2.2988505747126435	0.07363562725767488	ENSG00000125107, ENSG00000070756	82	10	10635	25.939024390243905	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0019372~lipoxygenase pathway	2	2.2988505747126435	0.07363562725767488	ENSG00000167468, ENSG00000233276	82	10	10635	25.939024390243905	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0050995~negative regulation of lipid catabolic process	2	2.2988505747126435	0.07363562725767488	ENSG00000130208, ENSG00000158874	82	10	10635	25.939024390243905	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0042627~chylomicron	2	2.2988505747126435	0.07787918232074606	ENSG00000130208, ENSG00000158874	83	11	11171	24.470974808324204	0.9999999163717193	1.0	1.0
GOTERM_MF_DIRECT	GO:0043130~ubiquitin binding	3	3.4482758620689653	0.08037866747458013	ENSG00000115307, ENSG00000160948, ENSG00000167770	81	63	10709	6.295708406819518	0.9999999901374741	1.0	1.0
GOTERM_BP_DIRECT	GO:0034375~high-density lipoprotein particle remodeling	2	2.2988505747126435	0.08069779329907675	ENSG00000130208, ENSG00000158874	82	11	10635	23.580931263858094	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0033700~phospholipid efflux	2	2.2988505747126435	0.08069779329907675	ENSG00000130208, ENSG00000158874	82	11	10635	23.580931263858094	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0016020~membrane	24	27.586206896551722	0.08304323342596738	ENSG00000105202, ENSG00000108479, ENSG00000148341, ENSG00000112514, ENSG00000174231, ENSG00000115307, ENSG00000092841, ENSG00000135486, ENSG00000173442, ENSG00000179218, ENSG00000171863, ENSG00000152234, ENSG00000062822, ENSG00000085998, ENSG00000205544, ENSG00000138074, ENSG00000167792, ENSG00000100258, ENSG00000140545, ENSG00000103512, ENSG00000125733, ENSG00000125107, ENSG00000076928, ENSG00000070756	83	2360	11171	1.368715540126608	0.9999999729528944	1.0	1.0
GOTERM_BP_DIRECT	GO:0007059~chromosome segregation	3	3.4482758620689653	0.08535954278960589	ENSG00000102901, ENSG00000175334, ENSG00000076382	82	64	10635	6.079458841463414	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0033290~eukaryotic 48S preinitiation complex	2	2.2988505747126435	0.09138088073503842	ENSG00000130811, ENSG00000173812	83	13	11171	20.706209453197406	0.9999999956872322	1.0	1.0
GOTERM_CC_DIRECT	GO:0005635~nuclear envelope	4	4.597701149425287	0.0920629579546842	ENSG00000167468, ENSG00000175334, ENSG00000126883, ENSG00000179218	83	146	11171	3.687407162898168	0.9999999962914623	1.0	1.0
GOTERM_BP_DIRECT	GO:0032355~response to estradiol	3	3.4482758620689653	0.09228188281781496	ENSG00000167468, ENSG00000179218, ENSG00000233276	82	67	10635	5.807244266472515	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0004602~glutathione peroxidase activity	2	2.2988505747126435	0.09292849637632106	ENSG00000167468, ENSG00000233276	81	13	10709	20.339981006647673	0.9999999995201172	1.0	1.0
GOTERM_CC_DIRECT	GO:0016282~eukaryotic 43S preinitiation complex	2	2.2988505747126435	0.09805831108034313	ENSG00000130811, ENSG00000173812	83	14	11171	19.227194492254736	0.9999999990208016	1.0	1.0
