Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	72	19.565217391304348	6.649177869089424E-10	ENSG00000108107, ENSG00000103495, ENSG00000099622, ENSG00000099821, ENSG00000175467, ENSG00000167962, ENSG00000197728, ENSG00000125445, ENSG00000126457, ENSG00000140488, ENSG00000105197, ENSG00000183258, ENSG00000167526, ENSG00000105671, ENSG00000100461, ENSG00000179115, ENSG00000184967, ENSG00000198492, ENSG00000052749, ENSG00000104852, ENSG00000196235, ENSG00000115268, ENSG00000149806, ENSG00000169710, ENSG00000100813, ENSG00000113360, ENSG00000088247, ENSG00000063244, ENSG00000143947, ENSG00000087077, ENSG00000071859, ENSG00000125651, ENSG00000204628, ENSG00000108654, ENSG00000132478, ENSG00000198242, ENSG00000178952, ENSG00000130811, ENSG00000174231, ENSG00000110844, ENSG00000114767, ENSG00000105618, ENSG00000112787, ENSG00000265681, ENSG00000117395, ENSG00000055950, ENSG00000062485, ENSG00000156482, ENSG00000140988, ENSG00000186468, ENSG00000070814, ENSG00000161960, ENSG00000183751, ENSG00000141994, ENSG00000129347, ENSG00000101361, ENSG00000130985, ENSG00000132603, ENSG00000156990, ENSG00000104835, ENSG00000172586, ENSG00000174444, ENSG00000198755, ENSG00000196924, ENSG00000168488, ENSG00000185163, ENSG00000011304, ENSG00000123136, ENSG00000108592, ENSG00000089157, ENSG00000147403, ENSG00000143321	353	1024	10709	2.133078080736544	4.109191084067376E-7	4.115841100966353E-7	4.109191923097264E-7
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	17	4.619565217391304	1.000703261194878E-9	ENSG00000108107, ENSG00000198242, ENSG00000174444, ENSG00000198755, ENSG00000265681, ENSG00000115268, ENSG00000177600, ENSG00000149806, ENSG00000197728, ENSG00000143947, ENSG00000140988, ENSG00000156482, ENSG00000186468, ENSG00000089157, ENSG00000147403, ENSG00000167526, ENSG00000204628	345	73	10635	7.178677784395473	1.9093400707159702E-6	1.9083411190986325E-6	1.9083411190986325E-6
GOTERM_CC_DIRECT	GO:0005634~nucleus	167	45.380434782608695	2.385658653089915E-9	ENSG00000178971, ENSG00000071894, ENSG00000071655, ENSG00000108509, ENSG00000175467, ENSG00000134874, ENSG00000169180, ENSG00000062822, ENSG00000058600, ENSG00000166595, ENSG00000126457, ENSG00000167968, ENSG00000140488, ENSG00000183258, ENSG00000140365, ENSG00000100461, ENSG00000254772, ENSG00000133316, ENSG00000052749, ENSG00000115268, ENSG00000176842, ENSG00000198858, ENSG00000100219, ENSG00000188130, ENSG00000113360, ENSG00000088247, ENSG00000063244, ENSG00000105063, ENSG00000166529, ENSG00000125651, ENSG00000105221, ENSG00000163930, ENSG00000103197, ENSG00000241878, ENSG00000198242, ENSG00000182979, ENSG00000161999, ENSG00000177302, ENSG00000130811, ENSG00000110844, ENSG00000025770, ENSG00000172531, ENSG00000104969, ENSG00000265681, ENSG00000008710, ENSG00000133247, ENSG00000131462, ENSG00000178999, ENSG00000157216, ENSG00000142002, ENSG00000062485, ENSG00000156482, ENSG00000140988, ENSG00000013275, ENSG00000187634, ENSG00000063176, ENSG00000187514, ENSG00000184007, ENSG00000103510, ENSG00000184009, ENSG00000110719, ENSG00000160957, ENSG00000131238, ENSG00000132604, ENSG00000136807, ENSG00000197782, ENSG00000149782, ENSG00000039650, ENSG00000130702, ENSG00000174444, ENSG00000198755, ENSG00000115289, ENSG00000164880, ENSG00000185163, ENSG00000011304, ENSG00000101966, ENSG00000160200, ENSG00000101444, ENSG00000108592, ENSG00000177030, ENSG00000089157, ENSG00000093009, ENSG00000143320, ENSG00000147403, ENSG00000143321, ENSG00000100075, ENSG00000103495, ENSG00000126012, ENSG00000130511, ENSG00000099622, ENSG00000076984, ENSG00000169660, ENSG00000196642, ENSG00000243156, ENSG00000104904, ENSG00000149091, ENSG00000038358, ENSG00000100429, ENSG00000142186, ENSG00000126934, ENSG00000160211, ENSG00000149499, ENSG00000105393, ENSG00000167526, ENSG00000105671, ENSG00000198492, ENSG00000177731, ENSG00000104852, ENSG00000113328, ENSG00000105429, ENSG00000214706, ENSG00000196235, ENSG00000188290, ENSG00000154832, ENSG00000170421, ENSG00000100813, ENSG00000141480, ENSG00000143947, ENSG00000166165, ENSG00000128604, ENSG00000087077, ENSG00000182199, ENSG00000071859, ENSG00000258366, ENSG00000149923, ENSG00000204628, ENSG00000108654, ENSG00000272333, ENSG00000160741, ENSG00000105576, ENSG00000076604, ENSG00000104884, ENSG00000161956, ENSG00000180198, ENSG00000174231, ENSG00000108604, ENSG00000105618, ENSG00000037042, ENSG00000068308, ENSG00000267303, ENSG00000130299, ENSG00000277957, ENSG00000143418, ENSG00000165802, ENSG00000165804, ENSG00000185379, ENSG00000169727, ENSG00000167548, ENSG00000104881, ENSG00000127054, ENSG00000130985, ENSG00000113108, ENSG00000105723, ENSG00000177595, ENSG00000137497, ENSG00000156711, ENSG00000196924, ENSG00000009950, ENSG00000079432, ENSG00000168883, ENSG00000103549, ENSG00000079313, ENSG00000141867, ENSG00000123136, ENSG00000101365, ENSG00000275023, ENSG00000179091, ENSG00000103266	355	3580	11171	1.46790227397907	1.1331872278308452E-6	1.1331878602177097E-6	1.1093312736868105E-6
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	20	5.434782608695652	7.443173585028115E-9	ENSG00000108107, ENSG00000198242, ENSG00000111639, ENSG00000122140, ENSG00000174444, ENSG00000198755, ENSG00000265681, ENSG00000115268, ENSG00000177600, ENSG00000149806, ENSG00000197728, ENSG00000055950, ENSG00000143947, ENSG00000140988, ENSG00000156482, ENSG00000186468, ENSG00000125445, ENSG00000089157, ENSG00000147403, ENSG00000167526	353	117	10709	5.185830851553232	4.599870742860723E-6	2.3036622245662015E-6	2.2999406377736876E-6
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	131	35.59782608695652	1.450109843874659E-8	ENSG00000178971, ENSG00000071894, ENSG00000116809, ENSG00000096433, ENSG00000071655, ENSG00000175467, ENSG00000154889, ENSG00000134874, ENSG00000169180, ENSG00000062822, ENSG00000058600, ENSG00000166595, ENSG00000126457, ENSG00000140400, ENSG00000105197, ENSG00000183258, ENSG00000167965, ENSG00000133316, ENSG00000184967, ENSG00000115268, ENSG00000100219, ENSG00000188130, ENSG00000113360, ENSG00000088247, ENSG00000063244, ENSG00000125651, ENSG00000105221, ENSG00000163930, ENSG00000197150, ENSG00000104960, ENSG00000182979, ENSG00000177302, ENSG00000160949, ENSG00000025770, ENSG00000172531, ENSG00000114767, ENSG00000133247, ENSG00000178999, ENSG00000162298, ENSG00000140988, ENSG00000013275, ENSG00000063176, ENSG00000070814, ENSG00000187514, ENSG00000103510, ENSG00000160957, ENSG00000132604, ENSG00000136807, ENSG00000132603, ENSG00000039650, ENSG00000110711, ENSG00000117505, ENSG00000134222, ENSG00000115289, ENSG00000164880, ENSG00000011304, ENSG00000101966, ENSG00000108592, ENSG00000177030, ENSG00000093009, ENSG00000143320, ENSG00000143321, ENSG00000126012, ENSG00000099622, ENSG00000243156, ENSG00000197728, ENSG00000038358, ENSG00000163684, ENSG00000100429, ENSG00000105393, ENSG00000105671, ENSG00000177731, ENSG00000154277, ENSG00000104852, ENSG00000113328, ENSG00000139613, ENSG00000196235, ENSG00000154832, ENSG00000170421, ENSG00000149806, ENSG00000100813, ENSG00000141480, ENSG00000143947, ENSG00000103249, ENSG00000071859, ENSG00000258366, ENSG00000149923, ENSG00000204628, ENSG00000108654, ENSG00000272333, ENSG00000185504, ENSG00000160741, ENSG00000092010, ENSG00000076604, ENSG00000104884, ENSG00000161956, ENSG00000137802, ENSG00000180198, ENSG00000174231, ENSG00000108604, ENSG00000105618, ENSG00000197879, ENSG00000277957, ENSG00000186468, ENSG00000165802, ENSG00000165804, ENSG00000183751, ENSG00000185379, ENSG00000169727, ENSG00000167548, ENSG00000180900, ENSG00000104881, ENSG00000101361, ENSG00000127054, ENSG00000173272, ENSG00000130985, ENSG00000176783, ENSG00000177595, ENSG00000172586, ENSG00000137497, ENSG00000100949, ENSG00000009950, ENSG00000079432, ENSG00000168883, ENSG00000103549, ENSG00000079313, ENSG00000154370, ENSG00000141867, ENSG00000123136, ENSG00000103266, ENSG00000141741, ENSG00000147687	355	2643	11171	1.55968836096412	6.887998083349167E-6	3.444010879202315E-6	3.371505387008582E-6
GOTERM_BP_DIRECT	GO:0006412~translation	21	5.706521739130435	5.671731277322785E-8	ENSG00000108107, ENSG00000179115, ENSG00000198242, ENSG00000111639, ENSG00000174444, ENSG00000198755, ENSG00000265681, ENSG00000115268, ENSG00000177600, ENSG00000149806, ENSG00000197728, ENSG00000055950, ENSG00000143947, ENSG00000140988, ENSG00000156482, ENSG00000186468, ENSG00000125445, ENSG00000089157, ENSG00000147403, ENSG00000167526, ENSG00000204628	345	148	10635	4.373971797884842	1.0821078055889277E-4	5.4079957729272755E-5	5.4079957729272755E-5
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	15	4.076086956521739	7.741110429995309E-8	ENSG00000108107, ENSG00000198242, ENSG00000174444, ENSG00000198755, ENSG00000265681, ENSG00000115268, ENSG00000167962, ENSG00000149806, ENSG00000143947, ENSG00000140988, ENSG00000156482, ENSG00000186468, ENSG00000089157, ENSG00000147403, ENSG00000167526	355	75	11171	6.293521126760563	3.6769599949582066E-5	1.2256758180825908E-5	1.199872116649273E-5
GOTERM_CC_DIRECT	GO:0005840~ribosome	16	4.3478260869565215	5.032487174778401E-6	ENSG00000108107, ENSG00000198242, ENSG00000111639, ENSG00000122140, ENSG00000174444, ENSG00000115268, ENSG00000149806, ENSG00000197728, ENSG00000055950, ENSG00000143947, ENSG00000140988, ENSG00000186468, ENSG00000125445, ENSG00000089157, ENSG00000147403, ENSG00000167526	355	119	11171	4.230938572612144	0.0023875826026122926	5.976078520049351E-4	5.850266340679892E-4
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	10	2.717391304347826	6.328091826841375E-6	ENSG00000108107, ENSG00000198242, ENSG00000156482, ENSG00000174444, ENSG00000198755, ENSG00000265681, ENSG00000089157, ENSG00000177600, ENSG00000147403, ENSG00000167526	355	43	11171	7.318047821814608	0.003001340074911263	6.011687235499306E-4	5.885125398962478E-4
GOTERM_MF_DIRECT	GO:0005515~protein binding	292	79.34782608695652	9.01546071104979E-6	ENSG00000178971, ENSG00000116809, ENSG00000096433, ENSG00000103174, ENSG00000099821, ENSG00000133265, ENSG00000196961, ENSG00000104946, ENSG00000108509, ENSG00000154889, ENSG00000175467, ENSG00000167962, ENSG00000162032, ENSG00000160410, ENSG00000088256, ENSG00000140365, ENSG00000167965, ENSG00000100461, ENSG00000184967, ENSG00000107404, ENSG00000103160, ENSG00000104936, ENSG00000115268, ENSG00000140474, ENSG00000167971, ENSG00000100219, ENSG00000183087, ENSG00000088247, ENSG00000158792, ENSG00000166529, ENSG00000125651, ENSG00000105221, ENSG00000161996, ENSG00000163930, ENSG00000197150, ENSG00000103197, ENSG00000161638, ENSG00000198242, ENSG00000161999, ENSG00000177302, ENSG00000173064, ENSG00000110844, ENSG00000066322, ENSG00000172531, ENSG00000114767, ENSG00000104969, ENSG00000133247, ENSG00000249115, ENSG00000178999, ENSG00000157216, ENSG00000162298, ENSG00000156482, ENSG00000013275, ENSG00000063176, ENSG00000070814, ENSG00000125503, ENSG00000103510, ENSG00000110719, ENSG00000185615, ENSG00000147533, ENSG00000130787, ENSG00000132604, ENSG00000132603, ENSG00000039650, ENSG00000110711, ENSG00000198355, ENSG00000104835, ENSG00000159069, ENSG00000134222, ENSG00000115289, ENSG00000011304, ENSG00000103507, ENSG00000103502, ENSG00000160200, ENSG00000101444, ENSG00000093009, ENSG00000147403, ENSG00000125991, ENSG00000103495, ENSG00000132017, ENSG00000103253, ENSG00000126012, ENSG00000130511, ENSG00000099622, ENSG00000076984, ENSG00000114942, ENSG00000073350, ENSG00000196642, ENSG00000104904, ENSG00000205560, ENSG00000116685, ENSG00000197728, ENSG00000038358, ENSG00000100429, ENSG00000126934, ENSG00000168056, ENSG00000160211, ENSG00000090006, ENSG00000149499, ENSG00000167526, ENSG00000105671, ENSG00000109113, ENSG00000103496, ENSG00000102032, ENSG00000198492, ENSG00000154277, ENSG00000105668, ENSG00000214706, ENSG00000105429, ENSG00000111665, ENSG00000154832, ENSG00000159842, ENSG00000149806, ENSG00000169710, ENSG00000165355, ENSG00000175826, ENSG00000143947, ENSG00000079337, ENSG00000087077, ENSG00000103249, ENSG00000071859, ENSG00000258366, ENSG00000149923, ENSG00000272333, ENSG00000185504, ENSG00000105576, ENSG00000076604, ENSG00000137802, ENSG00000180198, ENSG00000108604, ENSG00000104805, ENSG00000197879, ENSG00000130299, ENSG00000165804, ENSG00000168758, ENSG00000169727, ENSG00000167548, ENSG00000214253, ENSG00000161204, ENSG00000141994, ENSG00000131711, ENSG00000130985, ENSG00000177595, ENSG00000172586, ENSG00000083807, ENSG00000137497, ENSG00000116213, ENSG00000163870, ENSG00000079432, ENSG00000114270, ENSG00000168883, ENSG00000154370, ENSG00000141867, ENSG00000275023, ENSG00000179091, ENSG00000103266, ENSG00000141741, ENSG00000108107, ENSG00000071894, ENSG00000068120, ENSG00000111639, ENSG00000071655, ENSG00000134874, ENSG00000169180, ENSG00000062822, ENSG00000139641, ENSG00000168894, ENSG00000166595, ENSG00000126457, ENSG00000215041, ENSG00000103335, ENSG00000183258, ENSG00000105197, ENSG00000254772, ENSG00000133316, ENSG00000141959, ENSG00000110651, ENSG00000188130, ENSG00000124608, ENSG00000113360, ENSG00000063244, ENSG00000105063, ENSG00000126107, ENSG00000105655, ENSG00000182979, ENSG00000184916, ENSG00000160949, ENSG00000130811, ENSG00000025770, ENSG00000064545, ENSG00000265681, ENSG00000008710, ENSG00000131462, ENSG00000142002, ENSG00000055950, ENSG00000165283, ENSG00000140988, ENSG00000187634, ENSG00000143570, ENSG00000187514, ENSG00000184007, ENSG00000140983, ENSG00000184009, ENSG00000160957, ENSG00000126562, ENSG00000131238, ENSG00000136807, ENSG00000197782, ENSG00000149782, ENSG00000105404, ENSG00000156990, ENSG00000213995, ENSG00000117505, ENSG00000174444, ENSG00000198755, ENSG00000066735, ENSG00000176619, ENSG00000101966, ENSG00000008382, ENSG00000161013, ENSG00000108592, ENSG00000089157, ENSG00000177030, ENSG00000146830, ENSG00000143320, ENSG00000213347, ENSG00000177600, ENSG00000149091, ENSG00000163684, ENSG00000115073, ENSG00000146826, ENSG00000105393, ENSG00000160972, ENSG00000179115, ENSG00000177731, ENSG00000104852, ENSG00000113328, ENSG00000205155, ENSG00000139613, ENSG00000196235, ENSG00000188290, ENSG00000170421, ENSG00000117122, ENSG00000100813, ENSG00000141480, ENSG00000166165, ENSG00000128604, ENSG00000015520, ENSG00000182199, ENSG00000204628, ENSG00000108654, ENSG00000160741, ENSG00000092010, ENSG00000104884, ENSG00000161956, ENSG00000132635, ENSG00000178952, ENSG00000113119, ENSG00000104886, ENSG00000174231, ENSG00000080822, ENSG00000105618, ENSG00000168591, ENSG00000172057, ENSG00000084754, ENSG00000117395, ENSG00000277957, ENSG00000143418, ENSG00000186468, ENSG00000161960, ENSG00000183751, ENSG00000185379, ENSG00000180900, ENSG00000104881, ENSG00000143774, ENSG00000101361, ENSG00000127054, ENSG00000173272, ENSG00000183979, ENSG00000113108, ENSG00000105723, ENSG00000176783, ENSG00000100949, ENSG00000156711, ENSG00000196924, ENSG00000168488, ENSG00000185000, ENSG00000103549, ENSG00000123136, ENSG00000101246, ENSG00000067182, ENSG00000147687, ENSG00000142675	353	7812	10709	1.1339524143142894	0.0055560873695946755	0.0018601900600466066	0.0018571849064762565
