Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	55	45.08196721311475	2.3527529343264417E-24	ENSG00000108349, ENSG00000129245, ENSG00000076108, ENSG00000092199, ENSG00000108424, ENSG00000072501, ENSG00000114867, ENSG00000115677, ENSG00000116560, ENSG00000100941, ENSG00000109111, ENSG00000126777, ENSG00000087365, ENSG00000141456, ENSG00000153187, ENSG00000132382, ENSG00000082898, ENSG00000157106, ENSG00000064607, ENSG00000089737, ENSG00000280987, ENSG00000182196, ENSG00000167978, ENSG00000108654, ENSG00000141367, ENSG00000087274, ENSG00000215301, ENSG00000108848, ENSG00000174231, ENSG00000047849, ENSG00000115053, ENSG00000138095, ENSG00000106263, ENSG00000100201, ENSG00000160633, ENSG00000108883, ENSG00000105323, ENSG00000161847, ENSG00000092201, ENSG00000197102, ENSG00000104517, ENSG00000155506, ENSG00000115524, ENSG00000179218, ENSG00000119596, ENSG00000071082, ENSG00000196924, ENSG00000159140, ENSG00000127616, ENSG00000122406, ENSG00000107581, ENSG00000130816, ENSG00000122566, ENSG00000163950, ENSG00000143321	121	1024	10709	4.7536399147727275	7.1523689203523825E-22	7.175896449695647E-22	6.7288733921736235E-22
GOTERM_CC_DIRECT	GO:0005634~nucleus	77	63.114754098360656	1.5512946537296762E-12	ENSG00000108349, ENSG00000129245, ENSG00000076108, ENSG00000092199, ENSG00000108424, ENSG00000072501, ENSG00000114867, ENSG00000196642, ENSG00000115677, ENSG00000062822, ENSG00000116560, ENSG00000170606, ENSG00000153827, ENSG00000087365, ENSG00000141456, ENSG00000073921, ENSG00000153187, ENSG00000132382, ENSG00000113368, ENSG00000082898, ENSG00000139697, ENSG00000118046, ENSG00000196712, ENSG00000171634, ENSG00000153147, ENSG00000157106, ENSG00000064607, ENSG00000120802, ENSG00000280987, ENSG00000182196, ENSG00000151914, ENSG00000182670, ENSG00000167978, ENSG00000108654, ENSG00000124486, ENSG00000087274, ENSG00000215301, ENSG00000095002, ENSG00000108848, ENSG00000175166, ENSG00000174231, ENSG00000172493, ENSG00000117713, ENSG00000077097, ENSG00000115053, ENSG00000138095, ENSG00000116062, ENSG00000187514, ENSG00000187555, ENSG00000100201, ENSG00000160633, ENSG00000167986, ENSG00000066084, ENSG00000108883, ENSG00000105323, ENSG00000161847, ENSG00000092201, ENSG00000104517, ENSG00000115524, ENSG00000111642, ENSG00000171456, ENSG00000179218, ENSG00000119596, ENSG00000137497, ENSG00000196924, ENSG00000204843, ENSG00000127616, ENSG00000122406, ENSG00000130816, ENSG00000122566, ENSG00000141027, ENSG00000166501, ENSG00000163950, ENSG00000124782, ENSG00000143321, ENSG00000102572, ENSG00000140575	121	3580	11171	1.985703402742509	4.96420682338794E-10	2.7618888103989314E-10	2.5806398572165016E-10
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	65	53.278688524590166	1.726180506499332E-12	ENSG00000108349, ENSG00000177200, ENSG00000092199, ENSG00000108424, ENSG00000072501, ENSG00000173120, ENSG00000130396, ENSG00000062822, ENSG00000116560, ENSG00000100941, ENSG00000153827, ENSG00000109111, ENSG00000087365, ENSG00000141456, ENSG00000153187, ENSG00000139613, ENSG00000132382, ENSG00000113368, ENSG00000082898, ENSG00000118046, ENSG00000196712, ENSG00000171634, ENSG00000153147, ENSG00000157106, ENSG00000064607, ENSG00000151914, ENSG00000182670, ENSG00000167978, ENSG00000108654, ENSG00000087274, ENSG00000215301, ENSG00000095002, ENSG00000108848, ENSG00000175166, ENSG00000174231, ENSG00000117713, ENSG00000077097, ENSG00000115053, ENSG00000138095, ENSG00000116062, ENSG00000187514, ENSG00000187555, ENSG00000100201, ENSG00000160633, ENSG00000167986, ENSG00000108883, ENSG00000105323, ENSG00000092201, ENSG00000104517, ENSG00000175215, ENSG00000115524, ENSG00000111642, ENSG00000171456, ENSG00000119596, ENSG00000137497, ENSG00000127616, ENSG00000122406, ENSG00000107581, ENSG00000130816, ENSG00000122566, ENSG00000141027, ENSG00000166501, ENSG00000163950, ENSG00000143321, ENSG00000102572	121	2643	11171	2.2705071559678927	5.523759227799019E-10	2.7618888103989314E-10	2.5806398572165016E-10
GOTERM_CC_DIRECT	GO:0016607~nuclear speck	19	15.573770491803279	4.194990395338972E-9	ENSG00000108349, ENSG00000076108, ENSG00000153187, ENSG00000108848, ENSG00000174231, ENSG00000115524, ENSG00000119596, ENSG00000130396, ENSG00000159140, ENSG00000116560, ENSG00000182196, ENSG00000100941, ENSG00000153827, ENSG00000087365, ENSG00000100201, ENSG00000167978, ENSG00000108654, ENSG00000124782, ENSG00000108883	121	307	11171	5.713758849974425	1.3423960154579362E-6	4.474656421694904E-7	4.1810070940211756E-7
GOTERM_CC_DIRECT	GO:0005829~cytosol	72	59.01639344262295	6.02068192540994E-9	ENSG00000108349, ENSG00000129245, ENSG00000177200, ENSG00000076108, ENSG00000186716, ENSG00000092199, ENSG00000108424, ENSG00000072501, ENSG00000197694, ENSG00000133706, ENSG00000114867, ENSG00000198589, ENSG00000196642, ENSG00000168172, ENSG00000115677, ENSG00000130396, ENSG00000204394, ENSG00000115355, ENSG00000062822, ENSG00000116560, ENSG00000170606, ENSG00000008294, ENSG00000153827, ENSG00000073921, ENSG00000153187, ENSG00000148396, ENSG00000134440, ENSG00000082898, ENSG00000118046, ENSG00000196712, ENSG00000153147, ENSG00000157106, ENSG00000143549, ENSG00000151914, ENSG00000182670, ENSG00000108654, ENSG00000124486, ENSG00000141367, ENSG00000087274, ENSG00000215301, ENSG00000175166, ENSG00000172053, ENSG00000047849, ENSG00000077097, ENSG00000116062, ENSG00000162413, ENSG00000187514, ENSG00000187555, ENSG00000106263, ENSG00000100201, ENSG00000108883, ENSG00000262246, ENSG00000197102, ENSG00000175216, ENSG00000104517, ENSG00000155506, ENSG00000179218, ENSG00000119596, ENSG00000137497, ENSG00000071082, ENSG00000196924, ENSG00000204843, ENSG00000170759, ENSG00000122406, ENSG00000167792, ENSG00000107581, ENSG00000166986, ENSG00000141027, ENSG00000166501, ENSG00000163950, ENSG00000102572, ENSG00000140575	121	3738	11171	1.7782789223034372	1.9266163748810072E-6	4.816545540327952E-7	4.50045973924393E-7
GOTERM_CC_DIRECT	GO:1990904~ribonucleoprotein complex	13	10.655737704918032	1.0288501537093226E-8	ENSG00000105323, ENSG00000153187, ENSG00000082898, ENSG00000077097, ENSG00000115053, ENSG00000138095, ENSG00000122406, ENSG00000100201, ENSG00000122566, ENSG00000163950, ENSG00000108654, ENSG00000140575, ENSG00000108883	121	127	11171	9.450315611375025	3.2923150756758446E-6	5.653330156040509E-7	5.28233036455035E-7
GOTERM_CC_DIRECT	GO:0016020~membrane	54	44.26229508196721	1.0599994042575953E-8	ENSG00000129245, ENSG00000157637, ENSG00000186716, ENSG00000092199, ENSG00000108424, ENSG00000197694, ENSG00000114867, ENSG00000198589, ENSG00000115355, ENSG00000062822, ENSG00000100941, ENSG00000126777, ENSG00000141456, ENSG00000073921, ENSG00000153187, ENSG00000091136, ENSG00000132382, ENSG00000113368, ENSG00000082898, ENSG00000118046, ENSG00000196712, ENSG00000089737, ENSG00000120802, ENSG00000280987, ENSG00000151914, ENSG00000108654, ENSG00000124486, ENSG00000141367, ENSG00000095002, ENSG00000175166, ENSG00000174231, ENSG00000115053, ENSG00000138095, ENSG00000100201, ENSG00000066084, ENSG00000108883, ENSG00000262246, ENSG00000197102, ENSG00000175216, ENSG00000104517, ENSG00000155506, ENSG00000111642, ENSG00000179218, ENSG00000071082, ENSG00000196924, ENSG00000204843, ENSG00000127616, ENSG00000170759, ENSG00000122406, ENSG00000167792, ENSG00000107581, ENSG00000166986, ENSG00000122566, ENSG00000141027	121	2360	11171	2.1124597282532567	3.391992343115824E-6	5.653330156040509E-7	5.28233036455035E-7
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	14	11.475409836065573	1.1582999109233533E-8	ENSG00000108349, ENSG00000092199, ENSG00000108848, ENSG00000174231, ENSG00000115524, ENSG00000064607, ENSG00000159140, ENSG00000116560, ENSG00000182196, ENSG00000100941, ENSG00000109111, ENSG00000087365, ENSG00000108654, ENSG00000108883	118	153	10635	8.246925888999668	1.155976636946221E-5	1.1548250111905831E-5	1.137450512526733E-5
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	10	8.19672131147541	2.046968327926965E-8	ENSG00000153187, ENSG00000092199, ENSG00000174231, ENSG00000100941, ENSG00000087365, ENSG00000115524, ENSG00000122566, ENSG00000167978, ENSG00000108654, ENSG00000108883	121	63	11171	14.654335563426471	6.550277264039117E-6	9.357569499094698E-7	8.743479000716608E-7
GOTERM_MF_DIRECT	GO:0045296~cadherin binding	16	13.114754098360656	5.7719838710917973E-8	ENSG00000073921, ENSG00000215301, ENSG00000113758, ENSG00000197694, ENSG00000175216, ENSG00000155506, ENSG00000115677, ENSG00000130396, ENSG00000196924, ENSG00000120802, ENSG00000170759, ENSG00000167110, ENSG00000126777, ENSG00000087274, ENSG00000102572, ENSG00000140575	121	237	10709	5.974962513512572	1.754667752229544E-5	8.802275403414991E-6	8.25393693566127E-6
