Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	118	30.179028132992325	6.875482123355375E-34	ENSG00000075856, ENSG00000055609, ENSG00000185946, ENSG00000092199, ENSG00000110700, ENSG00000075292, ENSG00000004534, ENSG00000113013, ENSG00000116001, ENSG00000138398, ENSG00000079785, ENSG00000164338, ENSG00000130826, ENSG00000047410, ENSG00000174780, ENSG00000173575, ENSG00000082898, ENSG00000115541, ENSG00000132466, ENSG00000157106, ENSG00000168028, ENSG00000116350, ENSG00000091127, ENSG00000167978, ENSG00000215301, ENSG00000089280, ENSG00000131503, ENSG00000131747, ENSG00000110321, ENSG00000135387, ENSG00000265681, ENSG00000060339, ENSG00000196504, ENSG00000144028, ENSG00000115053, ENSG00000136231, ENSG00000162613, ENSG00000165209, ENSG00000125107, ENSG00000138709, ENSG00000047315, ENSG00000131876, ENSG00000125351, ENSG00000112855, ENSG00000163946, ENSG00000065243, ENSG00000132680, ENSG00000253729, ENSG00000174444, ENSG00000111364, ENSG00000071082, ENSG00000055044, ENSG00000130935, ENSG00000163714, ENSG00000089154, ENSG00000165733, ENSG00000187109, ENSG00000133226, ENSG00000119285, ENSG00000135486, ENSG00000156508, ENSG00000115875, ENSG00000138593, ENSG00000145216, ENSG00000136450, ENSG00000120438, ENSG00000126777, ENSG00000100664, ENSG00000087365, ENSG00000161547, ENSG00000070756, ENSG00000153187, ENSG00000096746, ENSG00000105821, ENSG00000137710, ENSG00000131051, ENSG00000139218, ENSG00000067248, ENSG00000072274, ENSG00000138768, ENSG00000170144, ENSG00000156976, ENSG00000088205, ENSG00000280987, ENSG00000117360, ENSG00000143947, ENSG00000063046, ENSG00000108010, ENSG00000062194, ENSG00000100650, ENSG00000108654, ENSG00000162642, ENSG00000182899, ENSG00000196262, ENSG00000108848, ENSG00000080824, ENSG00000090905, ENSG00000143815, ENSG00000169045, ENSG00000119707, ENSG00000100201, ENSG00000188529, ENSG00000101361, ENSG00000055917, ENSG00000198791, ENSG00000197102, ENSG00000104517, ENSG00000115524, ENSG00000090060, ENSG00000138346, ENSG00000113460, ENSG00000168488, ENSG00000159140, ENSG00000147604, ENSG00000185088, ENSG00000204842, ENSG00000107581, ENSG00000122566	370	1024	10709	3.3352565456081082	4.152791202506647E-31	4.159666684630002E-31	4.077160899149738E-31
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	171	43.73401534526854	5.7225317991830664E-21	ENSG00000075856, ENSG00000055609, ENSG00000185946, ENSG00000183527, ENSG00000079819, ENSG00000136813, ENSG00000092199, ENSG00000165819, ENSG00000110700, ENSG00000166908, ENSG00000113810, ENSG00000111596, ENSG00000137504, ENSG00000128191, ENSG00000075292, ENSG00000169180, ENSG00000112282, ENSG00000066739, ENSG00000116001, ENSG00000204713, ENSG00000138398, ENSG00000089902, ENSG00000168137, ENSG00000135164, ENSG00000079785, ENSG00000183495, ENSG00000153827, ENSG00000184465, ENSG00000164338, ENSG00000090686, ENSG00000130826, ENSG00000123104, ENSG00000011198, ENSG00000196792, ENSG00000047410, ENSG00000129691, ENSG00000115548, ENSG00000165392, ENSG00000082898, ENSG00000112159, ENSG00000132466, ENSG00000157106, ENSG00000168028, ENSG00000143228, ENSG00000116350, ENSG00000168385, ENSG00000108055, ENSG00000123473, ENSG00000167978, ENSG00000089053, ENSG00000146457, ENSG00000215301, ENSG00000089280, ENSG00000113558, ENSG00000131747, ENSG00000068745, ENSG00000138778, ENSG00000134057, ENSG00000117118, ENSG00000060339, ENSG00000196504, ENSG00000120699, ENSG00000144028, ENSG00000115053, ENSG00000141030, ENSG00000082258, ENSG00000168036, ENSG00000078674, ENSG00000118418, ENSG00000162613, ENSG00000161800, ENSG00000105497, ENSG00000132600, ENSG00000047315, ENSG00000131876, ENSG00000125351, ENSG00000178127, ENSG00000163946, ENSG00000065243, ENSG00000197386, ENSG00000132680, ENSG00000115966, ENSG00000253729, ENSG00000151503, ENSG00000153922, ENSG00000111364, ENSG00000181090, ENSG00000055044, ENSG00000011426, ENSG00000124789, ENSG00000080345, ENSG00000130935, ENSG00000163714, ENSG00000108510, ENSG00000109685, ENSG00000124784, ENSG00000165733, ENSG00000185627, ENSG00000133226, ENSG00000177565, ENSG00000198783, ENSG00000173120, ENSG00000119285, ENSG00000135486, ENSG00000115875, ENSG00000173889, ENSG00000139842, ENSG00000110066, ENSG00000120798, ENSG00000145216, ENSG00000118515, ENSG00000136450, ENSG00000118518, ENSG00000087365, ENSG00000161547, ENSG00000100023, ENSG00000153187, ENSG00000154310, ENSG00000133997, ENSG00000096746, ENSG00000105821, ENSG00000131051, ENSG00000139218, ENSG00000112237, ENSG00000170144, ENSG00000171988, ENSG00000166164, ENSG00000117360, ENSG00000143947, ENSG00000162402, ENSG00000100650, ENSG00000108654, ENSG00000108651, ENSG00000162642, ENSG00000137807, ENSG00000105698, ENSG00000108848, ENSG00000092531, ENSG00000162923, ENSG00000157014, ENSG00000157259, ENSG00000118058, ENSG00000080824, ENSG00000113593, ENSG00000090905, ENSG00000169045, ENSG00000119707, ENSG00000100201, ENSG00000188529, ENSG00000163104, ENSG00000185658, ENSG00000101361, ENSG00000175054, ENSG00000109920, ENSG00000153560, ENSG00000173273, ENSG00000198556, ENSG00000198677, ENSG00000104517, ENSG00000064995, ENSG00000115524, ENSG00000170322, ENSG00000090060, ENSG00000138346, ENSG00000170315, ENSG00000128708, ENSG00000107581, ENSG00000125676, ENSG00000145386, ENSG00000122566, ENSG00000163875	377	2643	11171	1.9171215492402232	3.176005148546602E-18	3.176005148546602E-18	3.0386643853662083E-18
GOTERM_CC_DIRECT	GO:0005634~nucleus	200	51.150895140664964	8.203197783578267E-18	ENSG00000075856, ENSG00000185946, ENSG00000183527, ENSG00000092199, ENSG00000110700, ENSG00000144283, ENSG00000111596, ENSG00000137504, ENSG00000133026, ENSG00000075292, ENSG00000177646, ENSG00000004534, ENSG00000116001, ENSG00000138398, ENSG00000089902, ENSG00000168137, ENSG00000079785, ENSG00000090686, ENSG00000162039, ENSG00000129691, ENSG00000157106, ENSG00000168028, ENSG00000138160, ENSG00000116350, ENSG00000168385, ENSG00000082146, ENSG00000108055, ENSG00000167978, ENSG00000146457, ENSG00000215301, ENSG00000113558, ENSG00000131747, ENSG00000068745, ENSG00000060339, ENSG00000196504, ENSG00000144028, ENSG00000115053, ENSG00000082258, ENSG00000168036, ENSG00000118418, ENSG00000162613, ENSG00000165209, ENSG00000251562, ENSG00000105497, ENSG00000132600, ENSG00000138709, ENSG00000131876, ENSG00000065243, ENSG00000197386, ENSG00000115966, ENSG00000253729, ENSG00000106692, ENSG00000163714, ENSG00000108510, ENSG00000187109, ENSG00000185627, ENSG00000133226, ENSG00000177565, ENSG00000118193, ENSG00000173889, ENSG00000118515, ENSG00000138592, ENSG00000118518, ENSG00000161547, ENSG00000070756, ENSG00000167766, ENSG00000073921, ENSG00000153187, ENSG00000131051, ENSG00000072274, ENSG00000170144, ENSG00000115464, ENSG00000280987, ENSG00000143947, ENSG00000162402, ENSG00000108010, ENSG00000137807, ENSG00000105698, ENSG00000108848, ENSG00000118058, ENSG00000144228, ENSG00000169045, ENSG00000143815, ENSG00000164032, ENSG00000184445, ENSG00000100201, ENSG00000185658, ENSG00000175054, ENSG00000110911, ENSG00000196531, ENSG00000064995, ENSG00000138346, ENSG00000147604, ENSG00000185088, ENSG00000241837, ENSG00000122566, ENSG00000163875, ENSG00000055609, ENSG00000091140, ENSG00000136813, ENSG00000165819, ENSG00000117616, ENSG00000113810, ENSG00000164171, ENSG00000128191, ENSG00000169180, ENSG00000112282, ENSG00000204713, ENSG00000135164, ENSG00000153827, ENSG00000183495, ENSG00000130826, ENSG00000142945, ENSG00000123066, ENSG00000196792, ENSG00000047410, ENSG00000115548, ENSG00000165392, ENSG00000173575, ENSG00000112159, ENSG00000082898, ENSG00000132466, ENSG00000123636, ENSG00000162688, ENSG00000091127, ENSG00000089053, ENSG00000089280, ENSG00000138778, ENSG00000134057, ENSG00000112742, ENSG00000265681, ENSG00000266412, ENSG00000120699, ENSG00000163660, ENSG00000159593, ENSG00000136231, ENSG00000141030, ENSG00000125107, ENSG00000161800, ENSG00000047315, ENSG00000125351, ENSG00000132680, ENSG00000174444, ENSG00000153922, ENSG00000151503, ENSG00000181090, ENSG00000080345, ENSG00000013441, ENSG00000109685, ENSG00000022840, ENSG00000198783, ENSG00000000419, ENSG00000135486, ENSG00000156508, ENSG00000115875, ENSG00000139842, ENSG00000110066, ENSG00000120798, ENSG00000136450, ENSG00000087365, ENSG00000138071, ENSG00000100023, ENSG00000154310, ENSG00000133997, ENSG00000096746, ENSG00000105821, ENSG00000112237, ENSG00000265972, ENSG00000092140, ENSG00000183283, ENSG00000166164, ENSG00000117360, ENSG00000164306, ENSG00000187522, ENSG00000062194, ENSG00000108654, ENSG00000256223, ENSG00000104763, ENSG00000196262, ENSG00000162923, ENSG00000133961, ENSG00000157259, ENSG00000080824, ENSG00000188529, ENSG00000146247, ENSG00000163104, ENSG00000165525, ENSG00000198791, ENSG00000153560, ENSG00000173273, ENSG00000133858, ENSG00000198556, ENSG00000198677, ENSG00000104517, ENSG00000115524, ENSG00000170322, ENSG00000090060, ENSG00000170315, ENSG00000128708, ENSG00000145386	377	3580	11171	1.6553798734496097	4.552774769885938E-15	2.276387384942969E-15	2.17794901154003E-15
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	28	7.161125319693094	2.322035111799474E-14	ENSG00000075856, ENSG00000185946, ENSG00000133226, ENSG00000092199, ENSG00000165819, ENSG00000135486, ENSG00000115875, ENSG00000004534, ENSG00000196504, ENSG00000144028, ENSG00000113593, ENSG00000136450, ENSG00000169045, ENSG00000087365, ENSG00000188529, ENSG00000161547, ENSG00000070756, ENSG00000131876, ENSG00000153187, ENSG00000096746, ENSG00000115524, ENSG00000170144, ENSG00000116350, ENSG00000117360, ENSG00000122566, ENSG00000100650, ENSG00000167978, ENSG00000108654	367	129	10635	6.289842215322222	4.559519428681824E-11	4.5604769595741664E-11	4.525646432897175E-11
GOTERM_MF_DIRECT	GO:0005515~protein binding	325	83.12020460358056	1.4714132504869119E-12	ENSG00000075856, ENSG00000183527, ENSG00000092199, ENSG00000093167, ENSG00000134910, ENSG00000180376, ENSG00000110700, ENSG00000144283, ENSG00000198589, ENSG00000111596, ENSG00000137504, ENSG00000133026, ENSG00000177646, ENSG00000076382, ENSG00000004534, ENSG00000116001, ENSG00000138398, ENSG00000089902, ENSG00000079785, ENSG00000055211, ENSG00000164338, ENSG00000090686, ENSG00000146463, ENSG00000165669, ENSG00000011198, ENSG00000070831, ENSG00000129691, ENSG00000134243, ENSG00000157106, ENSG00000168028, ENSG00000138160, ENSG00000116350, ENSG00000168385, ENSG00000082146, ENSG00000108055, ENSG00000123473, ENSG00000167978, ENSG00000104133, ENSG00000146457, ENSG00000215301, ENSG00000093144, ENSG00000131503, ENSG00000113558, ENSG00000131747, ENSG00000068745, ENSG00000151239, ENSG00000096093, ENSG00000117118, ENSG00000060339, ENSG00000196504, ENSG00000144028, ENSG00000115053, ENSG00000061676, ENSG00000082258, ENSG00000168036, ENSG00000078674, ENSG00000118418, ENSG00000164118, ENSG00000162613, ENSG00000165209, ENSG00000162852, ENSG00000105497, ENSG00000100483, ENSG00000132600, ENSG00000138709, ENSG00000131876, ENSG00000163946, ENSG00000065243, ENSG00000197386, ENSG00000115966, ENSG00000176105, ENSG00000253729, ENSG00000139116, ENSG00000111364, ENSG00000124789, ENSG00000123338, ENSG00000106692, ENSG00000163714, ENSG00000187109, ENSG00000124784, ENSG00000133226, ENSG00000177565, ENSG00000118193, ENSG00000119285, ENSG00000154845, ENSG00000173889, ENSG00000138593, ENSG00000197969, ENSG00000054282, ENSG00000145216, ENSG00000142188, ENSG00000101639, ENSG00000118515, ENSG00000138592, ENSG00000118518, ENSG00000278540, ENSG00000119729, ENSG00000100664, ENSG00000161547, ENSG00000070756, ENSG00000167766, ENSG00000073921, ENSG00000153187, ENSG00000153066, ENSG00000111666, ENSG00000074695, ENSG00000117528, ENSG00000137710, ENSG00000131051, ENSG00000139218, ENSG00000072274, ENSG00000170144, ENSG00000115464, ENSG00000135775, ENSG00000113161, ENSG00000280987, ENSG00000030066, ENSG00000143947, ENSG00000078369, ENSG00000162402, ENSG00000108010, ENSG00000100650, ENSG00000065060, ENSG00000137807, ENSG00000105698, ENSG00000108848, ENSG00000092531, ENSG00000173660, ENSG00000118058, ENSG00000090905, ENSG00000144228, ENSG00000089006, ENSG00000169045, ENSG00000143815, ENSG00000164032, ENSG00000119707, ENSG00000184445, ENSG00000100201, ENSG00000166579, ENSG00000175054, ENSG00000110911, ENSG00000055917, ENSG00000109920, ENSG00000198954, ENSG00000064995, ENSG00000138346, ENSG00000159140, ENSG00000147604, ENSG00000185088, ENSG00000164163, ENSG00000241837, ENSG00000122566, ENSG00000163875, ENSG00000055609, ENSG00000091140, ENSG00000079819, ENSG00000136813, ENSG00000165819, ENSG00000166908, ENSG00000117616, ENSG00000113810, ENSG00000164171, ENSG00000128191, ENSG00000138674, ENSG00000169180, ENSG00000113013, ENSG00000112282, ENSG00000167325, ENSG00000170846, ENSG00000204713, ENSG00000035681, ENSG00000153827, ENSG00000183495, ENSG00000184465, ENSG00000130826, ENSG00000142945, ENSG00000143353, ENSG00000196792, ENSG00000047410, ENSG00000174780, ENSG00000115548, ENSG00000165392, ENSG00000173575, ENSG00000112159, ENSG00000082898, ENSG00000115541, ENSG00000132466, ENSG00000143228, ENSG00000173209, ENSG00000123636, ENSG00000162688, ENSG00000125257, ENSG00000089280, ENSG00000109458, ENSG00000163539, ENSG00000147251, ENSG00000138778, ENSG00000134057, ENSG00000173588, ENSG00000110321, ENSG00000135387, ENSG00000112742, ENSG00000136111, ENSG00000265681, ENSG00000174437, ENSG00000120699, ENSG00000163660, ENSG00000100528, ENSG00000159593, ENSG00000136231, ENSG00000141030, ENSG00000125107, ENSG00000161800, ENSG00000102144, ENSG00000047315, ENSG00000125351, ENSG00000178127, ENSG00000112855, ENSG00000150093, ENSG00000132680, ENSG00000174444, ENSG00000153922, ENSG00000151503, ENSG00000001631, ENSG00000071082, ENSG00000181090, ENSG00000055044, ENSG00000080345, ENSG00000130935, ENSG00000013441, ENSG00000109685, ENSG00000074603, ENSG00000022840, ENSG00000070367, ENSG00000111711, ENSG00000198783, ENSG00000000419, ENSG00000173120, ENSG00000135486, ENSG00000156508, ENSG00000115875, ENSG00000085978, ENSG00000139842, ENSG00000110066, ENSG00000120798, ENSG00000119326, ENSG00000136450, ENSG00000120438, ENSG00000126777, ENSG00000160299, ENSG00000033627, ENSG00000087365, ENSG00000138071, ENSG00000100023, ENSG00000154310, ENSG00000133997, ENSG00000096746, ENSG00000105821, ENSG00000112237, ENSG00000138768, ENSG00000074054, ENSG00000265972, ENSG00000174106, ENSG00000092140, ENSG00000156976, ENSG00000171988, ENSG00000183283, ENSG00000088205, ENSG00000007392, ENSG00000166164, ENSG00000117360, ENSG00000063046, ENSG00000168906, ENSG00000164306, ENSG00000187522, ENSG00000062194, ENSG00000108654, ENSG00000108651, ENSG00000256223, ENSG00000182899, ENSG00000126870, ENSG00000104763, ENSG00000196262, ENSG00000197594, ENSG00000162923, ENSG00000114209, ENSG00000112146, ENSG00000080822, ENSG00000133961, ENSG00000154305, ENSG00000061987, ENSG00000080824, ENSG00000119787, ENSG00000082213, ENSG00000188529, ENSG00000146247, ENSG00000163104, ENSG00000101361, ENSG00000198791, ENSG00000066651, ENSG00000153560, ENSG00000132768, ENSG00000173273, ENSG00000197102, ENSG00000133858, ENSG00000175216, ENSG00000198556, ENSG00000198677, ENSG00000104517, ENSG00000115524, ENSG00000138069, ENSG00000170322, ENSG00000090060, ENSG00000113460, ENSG00000170315, ENSG00000168488, ENSG00000128708, ENSG00000141580, ENSG00000204842, ENSG00000185246, ENSG00000164327, ENSG00000107581, ENSG00000166747, ENSG00000125676, ENSG00000145386	370	7812	10709	1.2041159823417888	8.887126590195749E-10	4.451025082722908E-10	4.362740287693694E-10
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	27	6.905370843989769	1.1424836648404945E-11	ENSG00000185946, ENSG00000133226, ENSG00000089280, ENSG00000092199, ENSG00000198783, ENSG00000108848, ENSG00000135486, ENSG00000115875, ENSG00000075292, ENSG00000116001, ENSG00000138398, ENSG00000119707, ENSG00000087365, ENSG00000161547, ENSG00000100023, ENSG00000131876, ENSG00000096746, ENSG00000139218, ENSG00000131051, ENSG00000115524, ENSG00000159140, ENSG00000116350, ENSG00000117360, ENSG00000125676, ENSG00000091127, ENSG00000108654, ENSG00000146457	367	153	10635	5.1138002885077745	2.24498517553684E-8	1.1219189588733656E-8	1.1133503313870619E-8
GOTERM_CC_DIRECT	GO:0016607~nuclear speck	38	9.718670076726342	1.1941809139793747E-11	ENSG00000075856, ENSG00000133226, ENSG00000198783, ENSG00000108848, ENSG00000165819, ENSG00000113810, ENSG00000115875, ENSG00000075292, ENSG00000196504, ENSG00000163660, ENSG00000138398, ENSG00000118515, ENSG00000136450, ENSG00000183495, ENSG00000153827, ENSG00000119707, ENSG00000033627, ENSG00000100201, ENSG00000087365, ENSG00000188529, ENSG00000161547, ENSG00000109920, ENSG00000131876, ENSG00000153187, ENSG00000198791, ENSG00000131051, ENSG00000165392, ENSG00000115524, ENSG00000168488, ENSG00000159140, ENSG00000183283, ENSG00000116350, ENSG00000117360, ENSG00000125676, ENSG00000100650, ENSG00000167978, ENSG00000108654, ENSG00000146457	377	307	11171	3.6677178824769525	6.627688398097575E-9	1.7419920624063461E-9	1.6666626759239094E-9
GOTERM_CC_DIRECT	GO:0005829~cytosol	189	48.33759590792839	1.2554897747072764E-11	ENSG00000055609, ENSG00000183527, ENSG00000079819, ENSG00000092199, ENSG00000180376, ENSG00000165819, ENSG00000110700, ENSG00000166908, ENSG00000197894, ENSG00000198589, ENSG00000113810, ENSG00000111596, ENSG00000128191, ENSG00000133026, ENSG00000138674, ENSG00000076382, ENSG00000169180, ENSG00000167325, ENSG00000116001, ENSG00000204713, ENSG00000138398, ENSG00000135164, ENSG00000159131, ENSG00000079785, ENSG00000035681, ENSG00000153827, ENSG00000090686, ENSG00000142945, ENSG00000011198, ENSG00000143353, ENSG00000070831, ENSG00000174780, ENSG00000134243, ENSG00000082898, ENSG00000112159, ENSG00000157106, ENSG00000168028, ENSG00000173209, ENSG00000143228, ENSG00000138160, ENSG00000082146, ENSG00000108055, ENSG00000162688, ENSG00000164506, ENSG00000125772, ENSG00000123473, ENSG00000089053, ENSG00000104133, ENSG00000215301, ENSG00000109458, ENSG00000093144, ENSG00000163539, ENSG00000110721, ENSG00000113558, ENSG00000147251, ENSG00000138778, ENSG00000134057, ENSG00000173588, ENSG00000110321, ENSG00000135387, ENSG00000151239, ENSG00000136111, ENSG00000265681, ENSG00000120699, ENSG00000061676, ENSG00000136231, ENSG00000159593, ENSG00000141030, ENSG00000082258, ENSG00000168036, ENSG00000078674, ENSG00000118418, ENSG00000125107, ENSG00000161800, ENSG00000102144, ENSG00000105497, ENSG00000100483, ENSG00000132600, ENSG00000138709, ENSG00000125351, ENSG00000178127, ENSG00000112855, ENSG00000065243, ENSG00000197386, ENSG00000176105, ENSG00000253729, ENSG00000174444, ENSG00000139116, ENSG00000111364, ENSG00000071082, ENSG00000055044, ENSG00000011426, ENSG00000124789, ENSG00000123338, ENSG00000089154, ENSG00000124784, ENSG00000129003, ENSG00000185627, ENSG00000074603, ENSG00000133226, ENSG00000070367, ENSG00000111711, ENSG00000118193, ENSG00000135486, ENSG00000156508, ENSG00000085978, ENSG00000197969, ENSG00000119326, ENSG00000054282, ENSG00000145216, ENSG00000101639, ENSG00000118515, ENSG00000120438, ENSG00000138592, ENSG00000118518, ENSG00000278540, ENSG00000100664, ENSG00000103657, ENSG00000160299, ENSG00000033627, ENSG00000138071, ENSG00000161547, ENSG00000070756, ENSG00000073921, ENSG00000153187, ENSG00000154310, ENSG00000105821, ENSG00000117528, ENSG00000138768, ENSG00000074054, ENSG00000265972, ENSG00000115464, ENSG00000135775, ENSG00000092140, ENSG00000156976, ENSG00000166164, ENSG00000030066, ENSG00000117360, ENSG00000143947, ENSG00000063046, ENSG00000162402, ENSG00000078369, ENSG00000168906, ENSG00000187522, ENSG00000108010, ENSG00000062194, ENSG00000100650, ENSG00000108654, ENSG00000182899, ENSG00000137807, ENSG00000196262, ENSG00000116906, ENSG00000162923, ENSG00000114209, ENSG00000111696, ENSG00000112146, ENSG00000061987, ENSG00000118058, ENSG00000176658, ENSG00000080824, ENSG00000090905, ENSG00000089006, ENSG00000169045, ENSG00000184445, ENSG00000100201, ENSG00000188529, ENSG00000166579, ENSG00000165525, ENSG00000185658, ENSG00000055917, ENSG00000198791, ENSG00000132768, ENSG00000153560, ENSG00000173273, ENSG00000197102, ENSG00000175216, ENSG00000198677, ENSG00000104517, ENSG00000138069, ENSG00000170315, ENSG00000168488, ENSG00000147604, ENSG00000141580, ENSG00000204842, ENSG00000164163, ENSG00000164327, ENSG00000107581, ENSG00000166747, ENSG00000145386	377	3738	11171	1.4982117843411915	6.967939558677472E-9	1.7419920624063461E-9	1.6666626759239094E-9
GOTERM_MF_DIRECT	GO:0003729~mRNA binding	28	7.161125319693094	2.0890105636625966E-11	ENSG00000215301, ENSG00000108848, ENSG00000165819, ENSG00000110700, ENSG00000135387, ENSG00000110321, ENSG00000115875, ENSG00000075292, ENSG00000080824, ENSG00000136231, ENSG00000136450, ENSG00000119707, ENSG00000162613, ENSG00000070756, ENSG00000055917, ENSG00000125351, ENSG00000047410, ENSG00000115524, ENSG00000170144, ENSG00000168488, ENSG00000147604, ENSG00000007392, ENSG00000116350, ENSG00000204842, ENSG00000107581, ENSG00000125676, ENSG00000100650, ENSG00000167978	370	169	10709	4.795330241484088	1.261760063098194E-8	4.212837970052903E-9	4.129277547506399E-9
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	17	4.3478260869565215	1.707815988605282E-10	ENSG00000131876, ENSG00000133226, ENSG00000092199, ENSG00000153187, ENSG00000135486, ENSG00000115524, ENSG00000170144, ENSG00000144028, ENSG00000113593, ENSG00000136450, ENSG00000169045, ENSG00000087365, ENSG00000122566, ENSG00000167978, ENSG00000100023, ENSG00000108654, ENSG00000070756	377	63	11171	7.995747547471685	9.478378970584345E-8	1.895675747351863E-8	1.8137005798988094E-8
