Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	22	16.793893129770993	5.540223863019794E-20	ENSG00000182899, ENSG00000214026, ENSG00000213741, ENSG00000083845, ENSG00000115268, ENSG00000171863, ENSG00000130255, ENSG00000233927, ENSG00000142541, ENSG00000163682, ENSG00000114391, ENSG00000055950, ENSG00000143947, ENSG00000156482, ENSG00000125445, ENSG00000062582, ENSG00000172809, ENSG00000089157, ENSG00000164587, ENSG00000182774, ENSG00000147403, ENSG00000167526	121	117	10709	16.64180264180264	1.3573548464398494E-17	1.3628950703028693E-17	1.3462743987138099E-17
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	19	14.50381679389313	1.195964166515608E-19	ENSG00000182899, ENSG00000213741, ENSG00000083845, ENSG00000115268, ENSG00000171863, ENSG00000130255, ENSG00000233927, ENSG00000142541, ENSG00000163682, ENSG00000114391, ENSG00000143947, ENSG00000156482, ENSG00000232112, ENSG00000172809, ENSG00000089157, ENSG00000164587, ENSG00000182774, ENSG00000147403, ENSG00000167526	124	73	10635	22.322691117984974	9.866704373753766E-17	9.85474473208861E-17	9.818865807093142E-17
GOTERM_CC_DIRECT	GO:0005840~ribosome	21	16.030534351145036	1.3291047108588519E-18	ENSG00000182899, ENSG00000214026, ENSG00000213741, ENSG00000083845, ENSG00000115268, ENSG00000171863, ENSG00000130255, ENSG00000175756, ENSG00000233927, ENSG00000142541, ENSG00000163682, ENSG00000114391, ENSG00000055950, ENSG00000143947, ENSG00000125445, ENSG00000172809, ENSG00000089157, ENSG00000164587, ENSG00000182774, ENSG00000147403, ENSG00000167526	124	119	11171	15.898007590132826	3.2695975887127754E-16	3.2695975887127754E-16	3.056940834975359E-16
GOTERM_BP_DIRECT	GO:0006412~translation	21	16.030534351145036	2.8294832310028154E-16	ENSG00000182899, ENSG00000214026, ENSG00000213741, ENSG00000083845, ENSG00000115268, ENSG00000171863, ENSG00000130255, ENSG00000233927, ENSG00000142541, ENSG00000163682, ENSG00000114391, ENSG00000055950, ENSG00000143947, ENSG00000156482, ENSG00000125445, ENSG00000172809, ENSG00000089157, ENSG00000164587, ENSG00000182774, ENSG00000147403, ENSG00000167526	124	148	10635	12.169518308631211	2.7478019859472624E-13	1.16574709117316E-13	1.1615028663266556E-13
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	16	12.213740458015266	2.3436670985105247E-15	ENSG00000182899, ENSG00000083845, ENSG00000115268, ENSG00000171863, ENSG00000130255, ENSG00000142541, ENSG00000163682, ENSG00000114391, ENSG00000143947, ENSG00000156482, ENSG00000172809, ENSG00000089157, ENSG00000164587, ENSG00000182774, ENSG00000147403, ENSG00000167526	124	75	11171	19.218924731182796	5.735412145213559E-13	2.8827105311679453E-13	2.6952171632871035E-13
GOTERM_MF_DIRECT	GO:0003723~RNA binding	44	33.587786259541986	3.521934813052943E-15	ENSG00000182899, ENSG00000213741, ENSG00000089280, ENSG00000108528, ENSG00000171863, ENSG00000130255, ENSG00000142541, ENSG00000163682, ENSG00000055950, ENSG00000119705, ENSG00000183011, ENSG00000156482, ENSG00000125445, ENSG00000062582, ENSG00000172809, ENSG00000149257, ENSG00000167526, ENSG00000070756, ENSG00000214026, ENSG00000105202, ENSG00000211450, ENSG00000096746, ENSG00000150459, ENSG00000083845, ENSG00000170144, ENSG00000115268, ENSG00000116754, ENSG00000179218, ENSG00000173812, ENSG00000133112, ENSG00000233927, ENSG00000149925, ENSG00000089737, ENSG00000114391, ENSG00000143947, ENSG00000089157, ENSG00000164587, ENSG00000182774, ENSG00000122566, ENSG00000147403, ENSG00000167978, ENSG00000143321, ENSG00000141543, ENSG00000106211	121	1024	10709	3.802911931818182	8.704148513061227E-13	4.3319798200551196E-13	4.2791507978593257E-13
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	10	7.633587786259542	7.285663362150892E-10	ENSG00000182899, ENSG00000142541, ENSG00000163682, ENSG00000114391, ENSG00000156482, ENSG00000172809, ENSG00000089157, ENSG00000147403, ENSG00000167526, ENSG00000130255	124	43	11171	20.95086271567892	1.7922729833586004E-7	5.974243956963732E-8	5.585675244315685E-8
GOTERM_CC_DIRECT	GO:0005743~mitochondrial inner membrane	17	12.977099236641221	4.275755293709763E-8	ENSG00000214026, ENSG00000099624, ENSG00000108528, ENSG00000099800, ENSG00000204099, ENSG00000131143, ENSG00000175756, ENSG00000115286, ENSG00000140990, ENSG00000229833, ENSG00000186010, ENSG00000013306, ENSG00000055950, ENSG00000174917, ENSG00000125445, ENSG00000062582, ENSG00000241837	124	271	11171	5.6513212712772285	1.0518302931084023E-5	2.6295895056315043E-6	2.4585592938831137E-6
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	18	13.740458015267176	7.33466835476532E-8	ENSG00000213465, ENSG00000213741, ENSG00000177697, ENSG00000083845, ENSG00000115268, ENSG00000179218, ENSG00000171863, ENSG00000142541, ENSG00000163682, ENSG00000156482, ENSG00000172809, ENSG00000089157, ENSG00000164587, ENSG00000182774, ENSG00000149428, ENSG00000166710, ENSG00000070756, ENSG00000106211	124	320	11171	5.067489919354839	1.804312202469127E-5	3.6086568305445377E-6	3.3739474431920476E-6
GOTERM_CC_DIRECT	GO:0022627~cytosolic small ribosomal subunit	8	6.106870229007633	1.5712723437567277E-7	ENSG00000233927, ENSG00000213741, ENSG00000143947, ENSG00000083845, ENSG00000164587, ENSG00000115268, ENSG00000171863, ENSG00000182774	124	38	11171	18.9660441426146	3.8652555653828635E-5	6.442216609402584E-6	6.023210651067457E-6
