Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005829~cytosol	61	63.541666666666664	7.964509680934857E-10	ENSG00000213465, ENSG00000168090, ENSG00000108424, ENSG00000072501, ENSG00000196961, ENSG00000104904, ENSG00000172354, ENSG00000084207, ENSG00000204394, ENSG00000062822, ENSG00000142784, ENSG00000086758, ENSG00000126934, ENSG00000105193, ENSG00000183258, ENSG00000167526, ENSG00000123143, ENSG00000070756, ENSG00000167965, ENSG00000177731, ENSG00000130402, ENSG00000112511, ENSG00000150991, ENSG00000133112, ENSG00000233927, ENSG00000169710, ENSG00000149925, ENSG00000221983, ENSG00000102119, ENSG00000166165, ENSG00000163931, ENSG00000188976, ENSG00000204628, ENSG00000185624, ENSG00000105220, ENSG00000182899, ENSG00000105655, ENSG00000172053, ENSG00000196465, ENSG00000104529, ENSG00000130255, ENSG00000140988, ENSG00000061273, ENSG00000090621, ENSG00000105373, ENSG00000169727, ENSG00000184009, ENSG00000100241, ENSG00000111725, ENSG00000197102, ENSG00000159069, ENSG00000155506, ENSG00000006125, ENSG00000196924, ENSG00000170315, ENSG00000184792, ENSG00000167792, ENSG00000089157, ENSG00000166986, ENSG00000089351, ENSG00000161016	94	3738	11171	1.9393434878134854	1.943340292021034E-7	1.0452728255673834E-7	9.852981552479434E-8
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	37	38.54166666666667	8.56781004563429E-10	ENSG00000182899, ENSG00000108424, ENSG00000196465, ENSG00000172354, ENSG00000104805, ENSG00000084207, ENSG00000008710, ENSG00000086758, ENSG00000188486, ENSG00000105193, ENSG00000140988, ENSG00000140545, ENSG00000184009, ENSG00000167986, ENSG00000070756, ENSG00000105223, ENSG00000130402, ENSG00000197102, ENSG00000150991, ENSG00000133112, ENSG00000196924, ENSG00000233927, ENSG00000170315, ENSG00000169710, ENSG00000011304, ENSG00000149925, ENSG00000221983, ENSG00000166165, ENSG00000163931, ENSG00000180879, ENSG00000089157, ENSG00000141524, ENSG00000204628, ENSG00000185624, ENSG00000166986, ENSG00000105220, ENSG00000142798	94	1498	11171	2.935310911001903	2.090545372368524E-7	1.0452728255673834E-7	9.852981552479434E-8
GOTERM_MF_DIRECT	GO:0003723~RNA binding	30	31.25	2.6724971801485553E-9	ENSG00000182899, ENSG00000181588, ENSG00000108424, ENSG00000072501, ENSG00000174231, ENSG00000130255, ENSG00000086758, ENSG00000105193, ENSG00000140988, ENSG00000090621, ENSG00000149257, ENSG00000183258, ENSG00000105373, ENSG00000167526, ENSG00000070756, ENSG00000130402, ENSG00000197102, ENSG00000155506, ENSG00000150991, ENSG00000133112, ENSG00000196924, ENSG00000233927, ENSG00000169710, ENSG00000011304, ENSG00000149925, ENSG00000188976, ENSG00000089157, ENSG00000204628, ENSG00000185624, ENSG00000161016	92	1024	10709	3.410219938858696	7.242464862278197E-7	7.269192330004071E-7	7.269192330004071E-7
GOTERM_BP_DIRECT	GO:0006412~translation	13	13.541666666666666	4.704940239263117E-9	ENSG00000182899, ENSG00000172053, ENSG00000130255, ENSG00000233927, ENSG00000221983, ENSG00000105193, ENSG00000140988, ENSG00000090621, ENSG00000089157, ENSG00000167526, ENSG00000204628, ENSG00000101210, ENSG00000161016	93	148	10635	10.044681778552745	3.38755122519796E-6	3.382852032030181E-6	3.382852032030181E-6
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	10	10.416666666666668	1.1232388520873111E-8	ENSG00000182899, ENSG00000233927, ENSG00000221983, ENSG00000105193, ENSG00000140988, ENSG00000089157, ENSG00000167526, ENSG00000204628, ENSG00000130255, ENSG00000161016	93	73	10635	15.665046398585947	8.087287116986808E-6	4.038043673253883E-6	4.038043673253883E-6
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	9	9.375	1.817073686120133E-7	ENSG00000182899, ENSG00000022840, ENSG00000221983, ENSG00000105193, ENSG00000140988, ENSG00000089157, ENSG00000167526, ENSG00000130255, ENSG00000161016	94	75	11171	14.260851063829788	4.4335619112989555E-5	1.4778865980443746E-5	1.3930898260254353E-5
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	14	14.583333333333334	2.2639857727310753E-6	ENSG00000213465, ENSG00000177731, ENSG00000130402, ENSG00000172354, ENSG00000196924, ENSG00000126934, ENSG00000105193, ENSG00000140988, ENSG00000089157, ENSG00000185624, ENSG00000142798, ENSG00000184009, ENSG00000070756, ENSG00000161016	94	320	11171	5.199268617021276	5.52260601823007E-4	1.381031321365956E-4	1.3017918193203683E-4
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	54	56.25	3.0317627552633705E-6	ENSG00000213465, ENSG00000022840, ENSG00000168090, ENSG00000108424, ENSG00000104904, ENSG00000172354, ENSG00000084207, ENSG00000142784, ENSG00000086758, ENSG00000105193, ENSG00000167526, ENSG00000123143, ENSG00000070756, ENSG00000185559, ENSG00000167965, ENSG00000177731, ENSG00000130402, ENSG00000172366, ENSG00000112511, ENSG00000150991, ENSG00000133112, ENSG00000233927, ENSG00000169710, ENSG00000175826, ENSG00000221983, ENSG00000102119, ENSG00000141524, ENSG00000204628, ENSG00000182899, ENSG00000105655, ENSG00000164828, ENSG00000172053, ENSG00000104529, ENSG00000104805, ENSG00000008710, ENSG00000130255, ENSG00000204256, ENSG00000140988, ENSG00000061273, ENSG00000090621, ENSG00000169727, ENSG00000101210, ENSG00000184009, ENSG00000167986, ENSG00000100241, ENSG00000111725, ENSG00000197102, ENSG00000159069, ENSG00000155506, ENSG00000196924, ENSG00000170315, ENSG00000089157, ENSG00000166986, ENSG00000161016	94	3759	11171	1.7072048360530472	7.394776851793461E-4	1.4795002245685248E-4	1.3946108674211505E-4
GOTERM_CC_DIRECT	GO:0005840~ribosome	9	9.375	6.266451985537584E-6	ENSG00000182899, ENSG00000233927, ENSG00000221983, ENSG00000105193, ENSG00000140988, ENSG00000089157, ENSG00000167526, ENSG00000130255, ENSG00000161016	94	119	11171	8.987931342749865	0.0015278507211266001	2.5483571407852837E-4	2.4021399277894073E-4
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	9	9.375	6.373568634828663E-6	ENSG00000182899, ENSG00000233927, ENSG00000221983, ENSG00000105193, ENSG00000140988, ENSG00000089157, ENSG00000167526, ENSG00000130255, ENSG00000161016	92	117	10709	8.954013377926422	0.0017257517793591859	8.668053343366982E-4	8.668053343366982E-4
