Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	24	50.0	5.1219853966546904E-14	ENSG00000101361, ENSG00000198242, ENSG00000198563, ENSG00000147274, ENSG00000142937, ENSG00000163938, ENSG00000135486, ENSG00000008988, ENSG00000174444, ENSG00000265681, ENSG00000173812, ENSG00000152234, ENSG00000156976, ENSG00000115484, ENSG00000142541, ENSG00000055044, ENSG00000115053, ENSG00000161960, ENSG00000089157, ENSG00000089154, ENSG00000167978, ENSG00000100650, ENSG00000070756, ENSG00000109971	41	1024	10709	6.121760670731708	5.47639711356851E-12	5.531744228387066E-12	5.173205250621237E-12
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	8	16.666666666666664	8.654870051286045E-9	ENSG00000142541, ENSG00000198242, ENSG00000142937, ENSG00000008988, ENSG00000174444, ENSG00000265681, ENSG00000089157, ENSG00000089154	42	75	11171	28.37079365079365	1.116477617135736E-6	1.0058004480837003E-6	8.810500049105282E-7
GOTERM_CC_DIRECT	GO:1990904~ribonucleoprotein complex	9	18.75	1.5593805396646515E-8	ENSG00000142541, ENSG00000115053, ENSG00000147274, ENSG00000142937, ENSG00000135486, ENSG00000174444, ENSG00000089157, ENSG00000109971, ENSG00000070756	42	127	11171	18.848706411698537	2.0115988835778253E-6	1.0058004480837003E-6	8.810500049105282E-7
GOTERM_CC_DIRECT	GO:0005730~nucleolus	14	29.166666666666668	1.6170609330950758E-7	ENSG00000101361, ENSG00000198242, ENSG00000142937, ENSG00000163938, ENSG00000174444, ENSG00000142541, ENSG00000055044, ENSG00000115053, ENSG00000255717, ENSG00000277957, ENSG00000166012, ENSG00000175061, ENSG00000100650, ENSG00000109971	42	616	11171	6.04491341991342	2.0859870151324067E-5	6.9533620123088266E-6	6.090929514658119E-6
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	7	14.583333333333334	3.6619600887200905E-7	ENSG00000142541, ENSG00000198242, ENSG00000142937, ENSG00000008988, ENSG00000174444, ENSG00000265681, ENSG00000089157	43	73	10635	23.71615164064989	7.177185515350182E-5	7.140822173004176E-5	7.030963370342573E-5
GOTERM_BP_DIRECT	GO:0006412~translation	8	16.666666666666664	1.573402671301525E-6	ENSG00000142541, ENSG00000198242, ENSG00000148187, ENSG00000142937, ENSG00000008988, ENSG00000174444, ENSG00000265681, ENSG00000089157	43	148	10635	13.368950345694532	3.083396197416377E-4	1.534067604518987E-4	1.510466564449464E-4
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	7	14.583333333333334	4.23835583429853E-6	ENSG00000142541, ENSG00000198242, ENSG00000142937, ENSG00000008988, ENSG00000174444, ENSG00000265681, ENSG00000089157	41	117	10709	15.627058578278092	4.534022174630392E-4	2.288712150521206E-4	2.1403696963207574E-4
GOTERM_CC_DIRECT	GO:0005840~ribosome	7	14.583333333333334	4.2694859508355815E-6	ENSG00000142541, ENSG00000198242, ENSG00000142937, ENSG00000008988, ENSG00000174444, ENSG00000089157, ENSG00000089154	42	119	11171	15.645658263305322	5.506132202668379E-4	1.376909219144475E-4	1.2061297811110517E-4
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	7	14.583333333333334	1.0394707421586346E-5	ENSG00000147274, ENSG00000198563, ENSG00000135486, ENSG00000167978, ENSG00000100650, ENSG00000109971, ENSG00000070756	43	129	10635	13.420767982693349	0.0020352992075002296	6.756559824031125E-4	6.652612749815262E-4
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	5	10.416666666666668	1.7377374688406278E-5	ENSG00000142541, ENSG00000198242, ENSG00000174444, ENSG00000265681, ENSG00000089157	42	43	11171	30.927464008859356	0.0022391900774915152	4.1939590196721503E-4	3.673778055991883E-4
