Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	27	24.107142857142858	4.3149174649165165E-35	ENSG00000182899, ENSG00000213741, ENSG00000110700, ENSG00000265681, ENSG00000171863, ENSG00000130255, ENSG00000197728, ENSG00000142541, ENSG00000229117, ENSG00000170889, ENSG00000156482, ENSG00000186468, ENSG00000172809, ENSG00000167526, ENSG00000008988, ENSG00000241343, ENSG00000174444, ENSG00000115268, ENSG00000177954, ENSG00000114391, ENSG00000143947, ENSG00000232112, ENSG00000182774, ENSG00000204628, ENSG00000147403, ENSG00000142534, ENSG00000105640	104	73	10635	37.82204952581665	2.5199117995112455E-32	2.515596882046329E-32	2.48970737725683E-32
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	25	22.321428571428573	2.786604779183717E-26	ENSG00000182899, ENSG00000213741, ENSG00000110700, ENSG00000265681, ENSG00000171863, ENSG00000130255, ENSG00000197728, ENSG00000142541, ENSG00000229117, ENSG00000170889, ENSG00000156482, ENSG00000186468, ENSG00000172809, ENSG00000167526, ENSG00000008988, ENSG00000241343, ENSG00000174444, ENSG00000115268, ENSG00000177954, ENSG00000114391, ENSG00000143947, ENSG00000182774, ENSG00000147403, ENSG00000142534, ENSG00000105640	101	117	10709	22.655919438097655	5.907602131869481E-24	5.935468179661318E-24	5.7125397973266204E-24
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	22	19.642857142857142	3.649470618443716E-26	ENSG00000182899, ENSG00000110700, ENSG00000008988, ENSG00000174444, ENSG00000241343, ENSG00000265681, ENSG00000115268, ENSG00000171863, ENSG00000177954, ENSG00000130255, ENSG00000142541, ENSG00000170889, ENSG00000114391, ENSG00000143947, ENSG00000156482, ENSG00000186468, ENSG00000172809, ENSG00000182774, ENSG00000147403, ENSG00000167526, ENSG00000142534, ENSG00000105640	105	75	11171	31.20787301587302	8.320793010051673E-24	8.320793010051673E-24	7.627393592547367E-24
GOTERM_BP_DIRECT	GO:0006412~translation	26	23.214285714285715	1.0511167063926643E-24	ENSG00000182899, ENSG00000213741, ENSG00000110700, ENSG00000265681, ENSG00000171863, ENSG00000130255, ENSG00000197728, ENSG00000142541, ENSG00000229117, ENSG00000170889, ENSG00000156482, ENSG00000186468, ENSG00000172809, ENSG00000167526, ENSG00000008988, ENSG00000241343, ENSG00000174444, ENSG00000115268, ENSG00000177954, ENSG00000114391, ENSG00000143947, ENSG00000182774, ENSG00000204628, ENSG00000147403, ENSG00000142534, ENSG00000105640	104	148	10635	17.964527027027028	6.138521565333159E-22	3.0640051991346163E-22	3.0324716979428366E-22
GOTERM_CC_DIRECT	GO:0005840~ribosome	23	20.535714285714285	4.860710962369933E-23	ENSG00000182899, ENSG00000213741, ENSG00000110700, ENSG00000008988, ENSG00000174444, ENSG00000241343, ENSG00000115268, ENSG00000171863, ENSG00000177954, ENSG00000130255, ENSG00000142541, ENSG00000197728, ENSG00000229117, ENSG00000170889, ENSG00000114391, ENSG00000143947, ENSG00000186468, ENSG00000172809, ENSG00000182774, ENSG00000147403, ENSG00000167526, ENSG00000142534, ENSG00000105640	105	119	11171	20.562865146058424	1.1082420994203447E-20	5.541210497101723E-21	5.0794429556765795E-21
GOTERM_MF_DIRECT	GO:0003723~RNA binding	45	40.17857142857143	1.3139567463960736E-19	ENSG00000182899, ENSG00000213741, ENSG00000089280, ENSG00000092199, ENSG00000130811, ENSG00000174231, ENSG00000110700, ENSG00000178035, ENSG00000104408, ENSG00000265681, ENSG00000171863, ENSG00000130255, ENSG00000197728, ENSG00000142541, ENSG00000229117, ENSG00000170889, ENSG00000100129, ENSG00000156482, ENSG00000186468, ENSG00000172809, ENSG00000105373, ENSG00000167526, ENSG00000070756, ENSG00000147677, ENSG00000105202, ENSG00000008988, ENSG00000241343, ENSG00000174444, ENSG00000115268, ENSG00000179218, ENSG00000173812, ENSG00000177954, ENSG00000164167, ENSG00000149925, ENSG00000114391, ENSG00000182196, ENSG00000143947, ENSG00000048162, ENSG00000182774, ENSG00000204628, ENSG00000147403, ENSG00000167978, ENSG00000142534, ENSG00000106211, ENSG00000105640	101	1024	10709	4.659508431311881	2.785588302359676E-17	1.3993639349118184E-17	1.3468056650559754E-17
GOTERM_CC_DIRECT	GO:0022627~cytosolic small ribosomal subunit	13	11.607142857142858	4.813627774389939E-16	ENSG00000213741, ENSG00000110700, ENSG00000008988, ENSG00000115268, ENSG00000171863, ENSG00000177954, ENSG00000197728, ENSG00000170889, ENSG00000143947, ENSG00000186468, ENSG00000182774, ENSG00000204628, ENSG00000142534	105	38	11171	36.39674185463659	1.0125233984581428E-13	3.6583571085363536E-14	3.353494016158325E-14
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	13	11.607142857142858	2.616216715399982E-15	ENSG00000182899, ENSG00000174444, ENSG00000241343, ENSG00000265681, ENSG00000130255, ENSG00000142541, ENSG00000229117, ENSG00000114391, ENSG00000156482, ENSG00000172809, ENSG00000147403, ENSG00000167526, ENSG00000105640	105	43	11171	32.16456256921373	6.075140390748857E-13	1.4685473032318596E-13	1.346168361295871E-13
GOTERM_CC_DIRECT	GO:0042788~polysomal ribosome	11	9.821428571428571	3.220498471999692E-15	ENSG00000197728, ENSG00000213741, ENSG00000229117, ENSG00000114391, ENSG00000186468, ENSG00000156482, ENSG00000172809, ENSG00000241343, ENSG00000130255, ENSG00000147677, ENSG00000105640	105	23	11171	50.882401656314705	7.340794638821535E-13	1.4685473032318596E-13	1.346168361295871E-13
GOTERM_CC_DIRECT	GO:0005829~cytosol	69	61.60714285714286	2.4060020471304068E-11	ENSG00000213465, ENSG00000213741, ENSG00000076944, ENSG00000092199, ENSG00000110700, ENSG00000114942, ENSG00000104904, ENSG00000171863, ENSG00000076382, ENSG00000197728, ENSG00000142541, ENSG00000170889, ENSG00000123349, ENSG00000160211, ENSG00000161981, ENSG00000100462, ENSG00000167526, ENSG00000166710, ENSG00000164611, ENSG00000070756, ENSG00000147677, ENSG00000217930, ENSG00000105669, ENSG00000130724, ENSG00000241343, ENSG00000115268, ENSG00000149925, ENSG00000167770, ENSG00000143947, ENSG00000163931, ENSG00000204628, ENSG00000142534, ENSG00000182899, ENSG00000130811, ENSG00000178035, ENSG00000104529, ENSG00000104408, ENSG00000176731, ENSG00000265681, ENSG00000179526, ENSG00000130255, ENSG00000167468, ENSG00000229117, ENSG00000100129, ENSG00000156482, ENSG00000186468, ENSG00000172809, ENSG00000105373, ENSG00000127445, ENSG00000105048, ENSG00000239920, ENSG00000178127, ENSG00000092841, ENSG00000008988, ENSG00000213639, ENSG00000174444, ENSG00000173113, ENSG00000179218, ENSG00000177954, ENSG00000164167, ENSG00000171604, ENSG00000114391, ENSG00000182774, ENSG00000126883, ENSG00000169738, ENSG00000147403, ENSG00000141741, ENSG00000106211, ENSG00000105640	105	3738	11171	1.9638691431628832	5.485674581251487E-9	9.142807779095546E-10	8.380907130837585E-10
